year, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg
1.850000000000000000e+03, 0.000000000000000000e+00, 7.948767871353870597e-04, 5.469173282498160198e-03, 1.334377558276174380e-01, 0.000000000000000000e+00, 1.375457395846467826e-02, 4.990965528378066285e-01, 1.791969562891449950e-05, 0.000000000000000000e+00
1.851000000000000000e+03, 4.549089016914005003e-03, 2.150152696585929356e-03, 1.010907791840325552e-02, 2.350475272082702405e-01, 2.251854504803156814e-04, 1.871392456787102782e-02, 6.122758973116543268e-01, 4.145738038044860822e-05, 2.182925362296309329e-03
1.852000000000000000e+03, 8.794751315784185217e-03, 3.257219941603416765e-03, 1.302008114042895598e-02, 2.921753004478110927e-01, 4.283400481496917349e-04, 2.284064483038900431e-02, 6.903094822264234098e-01, 5.629720937069519234e-05, 4.337666648889140775e-03
1.853000000000000000e+03, 1.238032738978376776e-02, 4.184160028911108019e-03, 1.553325487951591477e-02, 3.427565887334761974e-01, 6.072184575212060060e-04, 2.778054717911223465e-02, 7.468542971844736034e-01, 6.977762517917744916e-05, 6.419094732508625993e-03
1.854000000000000000e+03, 1.615353790872604833e-02, 4.972465910937591549e-03, 1.778392344983959969e-02, 3.727875878717957225e-01, 7.861176875745315125e-04, 3.059599004070366612e-02, 7.862964981651765495e-01, 8.055519768886906264e-05, 8.330051299846487692e-03
1.855000000000000000e+03, 1.917526613227001075e-02, 5.636135694384761079e-03, 1.946347114207357815e-02, 3.991769821341797364e-01, 9.465521268167273938e-04, 3.190774209557892260e-02, 8.158341522251886246e-01, 8.647209277389592789e-05, 1.013092213283639867e-02
1.856000000000000000e+03, 2.234999962219768460e-02, 6.176299822327644892e-03, 2.078396704534422185e-02, 4.196647033418542949e-01, 1.094869693709132723e-03, 3.384313581904740270e-02, 8.368920361611201786e-01, 9.325066175377200899e-05, 1.185332800903491496e-02
1.857000000000000000e+03, 2.537142412229771368e-02, 6.635363823925832967e-03, 2.187310977050358624e-02, 4.357292247794299911e-01, 1.225696065275110914e-03, 3.651527771826841573e-02, 8.539719807744388103e-01, 9.039815723369132858e-05, 1.350544489014701699e-02
1.858000000000000000e+03, 2.850344763000589240e-02, 7.038321815327667520e-03, 2.253793163573702615e-02, 4.494370329840916556e-01, 1.331552271207323912e-03, 3.747635845758855166e-02, 8.673469502815986942e-01, 8.832097006864285361e-05, 1.511200554182692835e-02
1.859000000000000000e+03, 3.125704293919021742e-02, 7.401371597099616617e-03, 2.277195094328065411e-02, 4.622323729517605617e-01, 1.413743804394986675e-03, 3.767052266849761633e-02, 8.774161657867942665e-01, 9.158894126935951169e-05, 1.664049429945705164e-02
1.860000000000000000e+03, 3.401039263166989735e-02, 7.783550338085130395e-03, 2.300584383589436566e-02, 4.740009695000843015e-01, 1.475064265822694691e-03, 3.837797602741940817e-02, 8.839978713619637274e-01, 9.871647684477865062e-05, 1.812042749228536323e-02
1.861000000000000000e+03, 3.717181547532731611e-02, 8.164565729109242095e-03, 2.261524698208633791e-02, 4.804023158908525826e-01, 1.512854894985642780e-03, 3.886330686870133333e-02, 8.908164607103663535e-01, 1.011752523106405536e-04, 1.935976648258031646e-02
1.862000000000000000e+03, 3.976867921695029923e-02, 8.494504770410325756e-03, 2.210601621314848067e-02, 4.843652798218092137e-01, 1.573884153474305967e-03, 3.982425136467233895e-02, 8.969558384485982749e-01, 9.938159808179731971e-05, 2.056177826792522298e-02
1.863000000000000000e+03, 4.267133565566296610e-02, 8.769316068528919608e-03, 2.139436771990051167e-02, 4.884144362737891099e-01, 1.620509414630810384e-03, 3.990417249292262103e-02, 9.037079667477688760e-01, 1.007124600658072897e-04, 2.171267466218436762e-02
1.864000000000000000e+03, 4.551942468478527987e-02, 9.016855843065116685e-03, 2.083317701067520164e-02, 4.906049710321546131e-01, 1.653626297606319634e-03, 4.073322810872027216e-02, 9.091937586619883715e-01, 1.040630973196692195e-04, 2.262193829136271289e-02
1.865000000000000000e+03, 4.771050585395520544e-02, 9.257850922486828005e-03, 2.036140956801354984e-02, 4.898594034356916205e-01, 1.672778209444531145e-03, 4.164172378775818362e-02, 9.154547191903865677e-01, 1.105307533452364673e-04, 2.348678983159162639e-02
1.866000000000000000e+03, 5.025415644206462223e-02, 9.481756524476803172e-03, 1.984515729824613134e-02, 4.921029404055577428e-01, 1.823802361956719173e-03, 4.199443036596648554e-02, 9.211047455055471067e-01, 1.176504881129688537e-04, 2.274994671368894827e-02
1.867000000000000000e+03, 5.276436607932627476e-02, 9.690345535339518757e-03, 1.958174174192339051e-02, 4.973419568598980711e-01, 2.017463599437618188e-03, 4.181336603366183485e-02, 9.256204694016777479e-01, 1.152979336443973397e-04, 2.211935963898450930e-02
1.868000000000000000e+03, 5.540698930662077415e-02, 9.899281818729642468e-03, 1.933706579617410284e-02, 4.996866514271071646e-01, 2.184219886033937023e-03, 4.082707690946869861e-02, 9.288123017045949448e-01, 1.130374391209629622e-04, 2.167740216993299662e-02
1.869000000000000000e+03, 5.781453250097060015e-02, 1.010939422968204493e-02, 1.942224442788495486e-02, 5.004180846345680500e-01, 2.349444440507546250e-03, 4.087055219441907555e-02, 9.340808997265435121e-01, 1.234963776809355285e-04, 2.140278906702420408e-02
1.870000000000000000e+03, 6.004371160078746106e-02, 1.088900357272278539e-02, 1.942666846568511310e-02, 4.996301227615269624e-01, 2.519589148599993018e-03, 4.260367356593331573e-02, 9.431131019762412082e-01, 1.759942870916100159e-04, 2.124481383819054603e-02
1.871000000000000000e+03, 6.337529803701826003e-02, 1.206394719289721924e-02, 2.167294607744163840e-02, 4.988470999126401462e-01, 2.767936095858389289e-03, 4.552636921138452503e-02, 9.508467280242575148e-01, 2.173754696729707204e-04, 2.163683322357052782e-02
1.872000000000000000e+03, 6.649038454760022865e-02, 1.303301625044587381e-02, 2.384151011906797055e-02, 5.013774004597668643e-01, 2.964868614955562445e-03, 4.912196981730771600e-02, 9.568721982600389975e-01, 2.209131488021668136e-04, 2.216780702905735492e-02
1.873000000000000000e+03, 6.953640408395311834e-02, 1.388132724256628883e-02, 2.581029334705921968e-02, 5.039418630896488338e-01, 3.184212776258734008e-03, 5.046246935055199306e-02, 9.634389421675467746e-01, 2.454970799740920843e-04, 2.280479761939207747e-02
1.874000000000000000e+03, 7.237764827043983995e-02, 1.463737011765436392e-02, 2.744327185578375808e-02, 5.024479809428307187e-01, 3.381147375969201230e-03, 5.061499242887809030e-02, 9.692274390750210689e-01, 2.412054720973715906e-04, 2.353985689338894752e-02
1.875000000000000000e+03, 7.537191747978969070e-02, 1.532012962950972390e-02, 2.899294715873780223e-02, 5.013047035676417851e-01, 3.542719697855436795e-03, 5.409851951692369598e-02, 9.751428535340412873e-01, 2.397234682040748029e-04, 2.439533721097926142e-02
1.876000000000000000e+03, 7.813515584781159651e-02, 1.593921649076748479e-02, 3.046355265577183058e-02, 5.057194339658626081e-01, 3.685733753434182729e-03, 5.454437643073883207e-02, 9.804146703031902943e-01, 2.300991802297834023e-04, 2.528341849232659810e-02
1.877000000000000000e+03, 8.007520278079727216e-02, 1.649904151366996322e-02, 3.173200426593646151e-02, 5.053423815438967681e-01, 3.809297739132521364e-03, 5.591409222931233852e-02, 9.847187055283238566e-01, 2.223824783652749088e-04, 2.614184518795699755e-02
1.878000000000000000e+03, 8.322330252953524798e-02, 1.702111868234199715e-02, 3.290441043165340251e-02, 5.074297698192115069e-01, 3.919706637769858858e-03, 5.637794524393363593e-02, 9.886912925052196988e-01, 2.289077913596158941e-04, 2.707397678529723656e-02
1.879000000000000000e+03, 8.579001620982598664e-02, 1.751163659014490920e-02, 3.371018429195377086e-02, 5.068378800025080677e-01, 4.040246471978248093e-03, 5.780826159276208909e-02, 9.916307612650975267e-01, 2.326757925324812965e-04, 2.805196566780091341e-02
1.880000000000000000e+03, 8.802133812506167387e-02, 1.776988262479088990e-02, 3.443565884461278342e-02, 5.041233373212352653e-01, 4.083888689687018361e-03, 5.853218581797335618e-02, 9.927004127707657055e-01, 2.406595657241310075e-04, 2.911346607020889182e-02
1.881000000000000000e+03, 9.063610227791255025e-02, 1.788013896191947144e-02, 3.412880353443949882e-02, 5.054191328540906802e-01, 4.235631503826323661e-03, 5.995822482173840395e-02, 9.963907156954528999e-01, 2.261527735019503154e-04, 2.930780223540577212e-02
1.882000000000000000e+03, 9.332256910600411626e-02, 1.806338181584320537e-02, 3.380752986888268391e-02, 5.099967531390431352e-01, 4.334607763003743390e-03, 5.951494021853159094e-02, 9.996419685519742915e-01, 2.117749348041914070e-04, 2.936581400747528825e-02
1.883000000000000000e+03, 9.586042431878714909e-02, 1.826640501604407177e-02, 3.342304078114352595e-02, 5.116876822894476096e-01, 4.430547572818630160e-03, 6.051927595947366456e-02, 1.004547184569754670e+00, 2.105869241534342724e-04, 2.934645198883546399e-02
1.884000000000000000e+03, 9.754178852666196831e-02, 1.847146385522279582e-02, 3.308795097202010815e-02, 5.082984314852121432e-01, 4.514082949826899414e-03, 6.117268756064046797e-02, 1.009180567187918154e+00, 2.372311484636938593e-04, 2.930901773486264267e-02
1.885000000000000000e+03, 9.947106457577914451e-02, 1.868817771677157638e-02, 3.281916326520968596e-02, 5.071520141216159239e-01, 4.597409485350403315e-03, 6.081487370726137293e-02, 1.014782095641940884e+00, 2.492871662353964880e-04, 2.926576582267791451e-02
1.886000000000000000e+03, 1.023673164589863627e-01, 1.891310618900361729e-02, 3.249511851257506218e-02, 5.138831804336159159e-01, 4.702347407924119781e-03, 6.129843878825311926e-02, 1.020880396116915279e+00, 2.715468253371073649e-04, 2.925313440647444446e-02
1.887000000000000000e+03, 1.046488311819164102e-01, 1.914288744553567165e-02, 3.221681637279339566e-02, 5.166972691373423743e-01, 4.764352200860950612e-03, 6.123766831063970351e-02, 1.026040066159672914e+00, 2.880563066694017543e-04, 2.931796122048029724e-02
1.888000000000000000e+03, 1.069512511044000969e-01, 1.937133892626977452e-02, 3.226520332172179428e-02, 5.132518986629787117e-01, 4.854741230721168824e-03, 6.196491566691698233e-02, 1.031465422324477688e+00, 2.895186234929101351e-04, 2.936545191690545856e-02
1.889000000000000000e+03, 1.094525783307143674e-01, 1.959549628163538559e-02, 3.210623250836369680e-02, 5.114933860754519168e-01, 4.914004128625384243e-03, 6.234508587690248266e-02, 1.036133452383908526e+00, 2.713175606056562211e-04, 2.943093511140166402e-02
1.890000000000000000e+03, 1.114122435540888384e-01, 2.057186732746611735e-02, 3.223775652963324634e-02, 5.100965960129404397e-01, 5.006924902859388217e-03, 6.296954054247036470e-02, 1.044000564077134374e+00, 3.207620016931207307e-04, 2.950016285363919050e-02
1.891000000000000000e+03, 1.151490303129694831e-01, 2.211452646638661923e-02, 3.480409564867934652e-02, 5.104062597227548848e-01, 5.193601873764770553e-03, 6.587577847990169766e-02, 1.051610347565250514e+00, 3.593209832245288079e-04, 3.041518671939679244e-02
1.892000000000000000e+03, 1.180386174484064354e-01, 2.342040559403534006e-02, 3.680021450930236193e-02, 5.111776507097095523e-01, 5.337145121903134892e-03, 6.952239310189765875e-02, 1.057589803384940463e+00, 3.851683181250074796e-04, 3.139584038792331971e-02
1.893000000000000000e+03, 1.212275313297181134e-01, 2.455415151102836521e-02, 3.885930572233567415e-02, 5.156032549202411719e-01, 5.482202101005601708e-03, 7.053686049363876165e-02, 1.064443603144966000e+00, 3.975486035197387511e-04, 3.242589873991552629e-02
1.894000000000000000e+03, 1.243914178734518566e-01, 2.554615757293823494e-02, 4.054960258632234887e-02, 5.149830561843564691e-01, 5.587968123269889537e-03, 7.268946729699278519e-02, 1.069144452379665822e+00, 4.096237614235073254e-04, 3.341909799611125775e-02
1.895000000000000000e+03, 1.274627551217025478e-01, 2.642831408808422183e-02, 4.220662735905227059e-02, 5.153279606298594162e-01, 5.687799061028178498e-03, 7.578305831223024203e-02, 1.073571268310464566e+00, 4.177305761599710244e-04, 3.445016892773226924e-02
1.896000000000000000e+03, 1.304015164915045821e-01, 2.722628636076920156e-02, 4.381067086528345894e-02, 5.195426543926376928e-01, 5.853217555844494532e-03, 7.678840142956237791e-02, 1.076970361482576299e+00, 4.081909645352548954e-04, 3.553951421465421229e-02
1.897000000000000000e+03, 1.329487412766558185e-01, 2.795321596445310072e-02, 4.523990414534728027e-02, 5.169897296530224784e-01, 6.138583161288508998e-03, 7.777378893073005894e-02, 1.081138501856514278e+00, 4.155328388894635695e-04, 3.662941954712274628e-02
1.898000000000000000e+03, 1.358104929075257816e-01, 2.861729571845614273e-02, 4.639620541335646997e-02, 5.134992659112251889e-01, 6.406907131290247651e-03, 7.858440411111609902e-02, 1.085286480155882138e+00, 4.376162074469315869e-04, 3.772989281332849582e-02
1.899000000000000000e+03, 1.386307193027943307e-01, 2.922950333511653564e-02, 4.747959534325137815e-02, 5.141927308511802241e-01, 6.632474691147799764e-03, 8.213037182321306084e-02, 1.087998214249551676e+00, 4.782625541438345206e-04, 3.871170021397991184e-02
1.900000000000000000e+03, 1.413947950279316468e-01, 3.007042148712869845e-02, 4.822727941645102434e-02, 5.204162374674913272e-01, 6.815980389871851078e-03, 8.260020298724668475e-02, 1.095618261519255121e+00, 7.257879837497557916e-04, 3.971743011474269947e-02
1.901000000000000000e+03, 1.460928054438642432e-01, 3.107005478807409876e-02, 5.019929144632971629e-02, 5.288833315470427010e-01, 7.136179595824376255e-03, 8.504953676302398624e-02, 1.102130049810466250e+00, 1.265828977511123136e-03, 4.106302991345878173e-02
1.902000000000000000e+03, 1.497476747444322076e-01, 3.194670757425289304e-02, 5.221163527848507457e-02, 5.289347596376302585e-01, 7.441628004986747605e-03, 8.707478750675377854e-02, 1.107665182915094526e+00, 2.150018391703673037e-03, 4.241586050788381801e-02
1.903000000000000000e+03, 1.539012007497072287e-01, 3.273212463030060471e-02, 5.357436198463902399e-02, 5.276952158290774131e-01, 7.772788976078058749e-03, 8.857985705399287757e-02, 1.112775862754300515e+00, 2.912293560118794488e-03, 4.378787704672608416e-02
1.904000000000000000e+03, 1.577991613625190914e-01, 3.344111414713109298e-02, 5.515976675464456108e-02, 5.255963752023874447e-01, 8.111809519393223950e-03, 9.030705393551960447e-02, 1.116214059827508542e+00, 4.120804760123861037e-03, 4.520122850046170981e-02
1.905000000000000000e+03, 1.615850006603662958e-01, 3.408326372326525577e-02, 5.651954499413946315e-02, 5.276402882269914940e-01, 8.554124847929016687e-03, 9.109390937895348039e-02, 1.121429288352111309e+00, 4.811056669471569514e-03, 4.661718687458049626e-02
1.906000000000000000e+03, 1.649960527938552080e-01, 3.467364721711242020e-02, 5.768764393326882012e-02, 5.288602171822510689e-01, 8.927108080920127808e-03, 9.359134952965617038e-02, 1.126280608195236566e+00, 5.408317846422921495e-03, 4.807692566087287678e-02
1.907000000000000000e+03, 1.685671113351302486e-01, 3.521217259418076700e-02, 5.909793450184239877e-02, 5.289745880784449961e-01, 9.233447631200182928e-03, 9.548841264485245783e-02, 1.131025182237621163e+00, 6.186819414427296819e-03, 4.941561067941578622e-02
1.908000000000000000e+03, 1.721692151826828554e-01, 3.570794932238776503e-02, 6.039267200922435880e-02, 5.275296141711595110e-01, 9.486388606339600169e-03, 9.714840141760752723e-02, 1.135886809316968726e+00, 6.742887247925819123e-03, 5.076912139782624456e-02
1.909000000000000000e+03, 1.754490482609684654e-01, 3.617360630655590964e-02, 6.138160925379119309e-02, 5.350441561551048109e-01, 9.750711167278013070e-03, 9.690028561549378361e-02, 1.140310881734955650e+00, 7.395081736585277545e-03, 5.210391398002131580e-02
1.910000000000000000e+03, 1.792229689885474486e-01, 3.692904321699022607e-02, 6.248543822377874285e-02, 5.366215136157520549e-01, 9.929457773833409717e-03, 9.963765510808904324e-02, 1.154735389648892108e+00, 7.627645046086476387e-03, 5.344360613126402509e-02
1.911000000000000000e+03, 1.852320525012353114e-01, 3.789283849669788928e-02, 6.565791138359390600e-02, 5.373848713223323692e-01, 1.038125036135542634e-02, 1.024827655076354788e-01, 1.166917234230830935e+00, 7.261673505375082667e-03, 5.484969600856073185e-02
1.912000000000000000e+03, 1.901948385535942865e-01, 3.873592121440871949e-02, 6.828174666403818982e-02, 5.375366391637845798e-01, 1.080097121517024222e-02, 1.068410445944321663e-01, 1.175257106707450427e+00, 7.208793952283980636e-03, 5.622170162744887650e-02
1.913000000000000000e+03, 1.955276075870531483e-01, 3.947851757151302210e-02, 7.093612422531984929e-02, 5.401112848230206209e-01, 1.123661657771482004e-02, 1.083022510667558252e-01, 1.183160721571015594e+00, 7.241249970756844651e-03, 5.709813070527901963e-02
1.914000000000000000e+03, 2.004147678366285934e-01, 4.012746746496292233e-02, 7.324962495615684743e-02, 5.378873927034912850e-01, 1.171388937217766012e-02, 1.121584887756351817e-01, 1.189936632347528223e+00, 7.375440866284533291e-03, 5.791113981708031350e-02
1.915000000000000000e+03, 2.060449960915839984e-01, 4.070080014141420205e-02, 7.530278152457109409e-02, 5.363553697897074368e-01, 1.225123974239415540e-02, 1.144456670595335873e-01, 1.196509146236250265e+00, 7.524081355437626552e-03, 5.879057556027798837e-02
1.916000000000000000e+03, 2.102379598120755477e-01, 4.120549510704250851e-02, 7.718052949516988892e-02, 5.421891977363080262e-01, 1.273164925799352178e-02, 1.157023736062904595e-01, 1.201047475387932995e+00, 7.856506977620568780e-03, 5.967626836532605866e-02
1.917000000000000000e+03, 2.141411901159709918e-01, 4.164795175806281641e-02, 7.873304622908477990e-02, 5.440057897593609804e-01, 1.318630710115162655e-02, 1.136898404160107123e-01, 1.205237734119328552e+00, 8.218845080914914322e-03, 6.066053664011464286e-02
1.918000000000000000e+03, 2.185030420234736204e-01, 4.204107154028000060e-02, 8.009392482700465610e-02, 5.500266457546484355e-01, 1.362520554943033591e-02, 1.160920213256696754e-01, 1.209125399731548089e+00, 8.410659333997115572e-03, 6.167896666751380291e-02
1.919000000000000000e+03, 2.230431729257006668e-01, 4.239384386224822471e-02, 8.107025921010833913e-02, 5.533699684246952133e-01, 1.427053296441114366e-02, 1.178939969050058073e-01, 1.212983919668159105e+00, 8.574034527753583365e-03, 6.273261769788179842e-02
1.920000000000000000e+03, 2.279393723395050086e-01, 4.368062900019797912e-02, 8.181111373446972590e-02, 5.606371780666408178e-01, 1.478639148239952947e-02, 1.194541784249902455e-01, 1.229924868377055613e+00, 9.290804290540676316e-03, 6.376182484021145069e-02
1.921000000000000000e+03, 2.380851258340507537e-01, 4.565788033361233011e-02, 8.679930736698855676e-02, 5.614792367370788906e-01, 1.586287890062788863e-02, 1.258697965185252010e-01, 1.245025389156512619e+00, 1.049318752092359350e-02, 6.585641251023609255e-02
1.922000000000000000e+03, 2.471652343464718349e-01, 4.738856051032070554e-02, 9.113291315046688490e-02, 5.684310813558112185e-01, 1.681884741142603001e-02, 1.313265089668288754e-01, 1.258571072494473642e+00, 1.244602250463875195e-02, 6.798686366330951303e-02
1.923000000000000000e+03, 2.546623674733247134e-01, 4.900614135509062663e-02, 9.509349923620949441e-02, 5.732932454374490838e-01, 1.770354466575368990e-02, 1.371153900556334460e-01, 1.270220308701569323e+00, 1.454484523148042406e-02, 7.014085240582587644e-02
