year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, NorESM2-MM, NorESM2-LM
1.850000000000000000e+03, 8.179590651079453204e-10, 1.636176915003094109e-09, 5.540571415773026569e-10, 5.071536636044840004e-10, 3.622008658598329231e-10
1.851000000000000000e+03, 8.333264583205028287e-10, 1.129740729581182754e-09, 4.256606343026912850e-10, 5.746367356904622635e-10, 4.816578838878399059e-10
1.852000000000000000e+03, 1.005826482896636232e-09, 1.385836264593061107e-09, 5.434827562290852745e-10, 8.768668969254651371e-10, 5.167133446732663242e-10
1.853000000000000000e+03, 9.971995396025381107e-10, 1.478687456167494839e-09, 4.708453160099614698e-10, 6.258433968606256473e-10, 6.171251593051923417e-10
1.854000000000000000e+03, 9.268265738548304160e-10, 1.157417462157978124e-09, 4.793562034382137654e-10, 7.483903716172196075e-10, 6.880415350176530138e-10
1.855000000000000000e+03, 1.105852201233460028e-09, 1.591280956302594733e-09, 6.191546735478279987e-10, 7.662590516917080224e-10, 4.696682055549885178e-10
1.856000000000000000e+03, 9.800959874193167200e-10, 1.545250026831142773e-09, 5.119354214985586137e-10, 6.148893042775530046e-10, 5.080686830403796799e-10
1.857000000000000000e+03, 9.379568478743643713e-10, 1.526375427966699237e-09, 4.881021345126827735e-10, 6.673393424648026486e-10, 4.258804199760182671e-10
1.858000000000000000e+03, 1.053137064447448727e-09, 1.620504733464909986e-09, 5.430957944484678138e-10, 7.551774583416393864e-10, 3.974021435080464176e-10
1.859000000000000000e+03, 9.362672887224479148e-10, 1.551547411749220152e-09, 6.519163323820901683e-10, 7.420064079924507873e-10, 5.074810314894180264e-10
1.860000000000000000e+03, 9.628942874561285044e-10, 1.459587727867155263e-09, 5.182372943609324672e-10, 6.348160756123289020e-10, 7.338492323011160513e-10
1.861000000000000000e+03, 9.961542326501582031e-10, 1.449855373954853543e-09, 3.835005695188700089e-10, 7.190092662447632182e-10, 6.500081522507511487e-10
1.862000000000000000e+03, 1.101199426684825775e-09, 1.445980867286866774e-09, 5.136453804392935740e-10, 7.699038398940084291e-10, 5.862314349040881325e-10
1.863000000000000000e+03, 1.090558257381518111e-09, 1.414679486903957392e-09, 5.033115660883351127e-10, 7.097257087368280025e-10, 5.406067880438561227e-10
1.864000000000000000e+03, 8.276584629134351477e-10, 1.451799039892133741e-09, 5.788927579656653416e-10, 5.586908062130984489e-10, 5.414201673594122274e-10
1.865000000000000000e+03, 9.852700232818059275e-10, 1.763562118406776926e-09, 4.683392827924868425e-10, 6.832520700374729478e-10, 4.090339732454524773e-10
1.866000000000000000e+03, 8.857962583136248882e-10, 1.258641485789592912e-09, 4.020803535566533253e-10, 6.683589713244931963e-10, 6.941567549295662215e-10
1.867000000000000000e+03, 8.703773691875938840e-10, 1.504222639150832695e-09, 4.533803871361104368e-10, 6.551333339678582583e-10, 4.723452868162312829e-10
1.868000000000000000e+03, 9.421703428548597486e-10, 1.287906277657373969e-09, 5.715433650614553532e-10, 6.388887259670734600e-10, 3.880142428261698422e-10
1.869000000000000000e+03, 1.070304515705176505e-09, 1.512118602841118816e-09, 5.590287151831137434e-10, 7.880943450288100126e-10, 5.906999513216835775e-10
1.870000000000000000e+03, 9.494095575841032535e-10, 1.142491927570941910e-09, 4.747893851212572556e-10, 7.606473713602975080e-10, 5.403151791725403024e-10
1.871000000000000000e+03, 1.024945826228344779e-09, 1.613240373949507526e-09, 4.285627015517745431e-10, 7.996688598713392717e-10, 5.087325679174268439e-10
1.872000000000000000e+03, 8.534395799259145944e-10, 1.376761434622336001e-09, 5.354276595287159133e-10, 5.898815271967668214e-10, 5.566689695840543634e-10
1.873000000000000000e+03, 8.868329003074919036e-10, 1.633637682521221237e-09, 4.167607429806366192e-10, 7.938493104212071208e-10, 5.418687426326210855e-10
1.874000000000000000e+03, 1.147266178357003049e-09, 9.967049256838409653e-10, 6.166295587371229626e-10, 5.723741045610542763e-10, 5.097263384298766650e-10
1.875000000000000000e+03, 8.152567075779296162e-10, 1.167011274153262231e-09, 5.138181297440826574e-10, 5.462799469374086402e-10, 7.091141547624377044e-10
1.876000000000000000e+03, 9.296136119189409527e-10, 1.461477653786571950e-09, 5.075187414879350631e-10, 4.885844043319593837e-10, 5.895659166164844828e-10
1.877000000000000000e+03, 8.353003069323756098e-10, 1.168658003888260034e-09, 4.772601526517064454e-10, 7.757739118731495102e-10, 4.795200777221046103e-10
1.878000000000000000e+03, 8.536735532968180850e-10, 1.224032909072659911e-09, 5.489517107319254078e-10, 7.177051299541585961e-10, 5.244862599758358853e-10
1.879000000000000000e+03, 1.150393308226901605e-09, 1.433574736383430564e-09, 5.006441186621029710e-10, 7.004908672728624231e-10, 7.797274853977850763e-10
1.880000000000000000e+03, 8.057243898228492407e-10, 1.288978175585859630e-09, 5.683355839810347735e-10, 6.368648007737555923e-10, 4.839274071887231297e-10
1.881000000000000000e+03, 1.310414409894214380e-09, 1.352197512989050248e-09, 5.538997577705403023e-10, 6.379181715175073167e-10, 5.870742727617148561e-10
1.882000000000000000e+03, 1.041775937010478900e-09, 1.249682321022230179e-09, 5.409612328268767779e-10, 8.300069380475139151e-10, 5.166303269781977859e-10
1.883000000000000000e+03, 9.470656223525658179e-10, 1.617884773702713282e-09, 5.442740785554823999e-10, 9.260585145715088698e-10, 4.795078979296112679e-10
1.884000000000000000e+03, 9.495765125157946699e-10, 1.465543588879849752e-09, 5.779734324880276556e-10, 5.816165259069666620e-10, 7.495134936627384496e-10
1.885000000000000000e+03, 9.097376236404909971e-10, 1.603723488833083236e-09, 4.913360085507921719e-10, 7.316398416236776625e-10, 5.480502700132158108e-10
1.886000000000000000e+03, 1.070467106762273919e-09, 1.458540101074939861e-09, 6.285705679917295368e-10, 1.012839753159398681e-09, 5.286507516046949857e-10
1.887000000000000000e+03, 8.179919809510699505e-10, 1.430635121287853532e-09, 5.523985225474803322e-10, 7.627054224572448689e-10, 3.708704752395564466e-10
1.888000000000000000e+03, 1.039590178455800932e-09, 1.900036812593312594e-09, 5.319847738384036345e-10, 7.758449975213792704e-10, 4.188851848812504099e-10
1.889000000000000000e+03, 9.521687210826604281e-10, 1.418414592916155809e-09, 5.017205534723085522e-10, 8.535755122517206842e-10, 3.415165015643763267e-10
1.890000000000000000e+03, 1.002681040583065113e-09, 1.540068234852208605e-09, 5.357400107673823776e-10, 6.899977832227815187e-10, 4.137155613070434564e-10
1.891000000000000000e+03, 8.573001478210857805e-10, 1.336860712684746543e-09, 4.572938831299525339e-10, 7.812709797784491378e-10, 4.809048985625672778e-10
1.892000000000000000e+03, 9.207735904818613300e-10, 1.670648128112273711e-09, 5.017116573391694210e-10, 6.265935012915751975e-10, 6.618007749525238330e-10
1.893000000000000000e+03, 8.555318662703026902e-10, 1.486116751195036341e-09, 6.973398128620852181e-10, 5.184911711147552010e-10, 6.421817328593170873e-10
1.894000000000000000e+03, 8.090026892535234577e-10, 1.698949600933378079e-09, 5.829286557240270310e-10, 4.730760216559099523e-10, 6.086899073824307987e-10
1.895000000000000000e+03, 1.035116495178895011e-09, 1.515947531829309594e-09, 3.858731384865710783e-10, 6.482710292811624840e-10, 4.271335496027803187e-10
1.896000000000000000e+03, 9.385596143538747011e-10, 1.560077484136103444e-09, 5.895412650711444221e-10, 4.879896319810697460e-10, 5.378405506846463763e-10
1.897000000000000000e+03, 1.049294805144418501e-09, 1.109405422375081279e-09, 5.764201906029884857e-10, 5.865221556528792248e-10, 4.974654153884329377e-10
1.898000000000000000e+03, 1.144750718808175533e-09, 1.373122483456137404e-09, 4.852664574170548861e-10, 6.832522091742736893e-10, 4.856995198546631462e-10
1.899000000000000000e+03, 9.108869173195958525e-10, 1.555225871767072671e-09, 5.536583140427184245e-10, 9.095992252571328191e-10, 5.577806565159421998e-10
1.900000000000000000e+03, 8.124440241931892059e-10, 1.734430058087575417e-09, 5.344487674566407330e-10, 7.599632985278612327e-10, 5.217110780804582193e-10
1.901000000000000000e+03, 8.849730783646984275e-10, 1.311724899610908515e-09, 5.500078680100480532e-10, 7.097198296068095944e-10, 6.946748660939230965e-10
1.902000000000000000e+03, 9.152844082374927337e-10, 1.258268059646505069e-09, 6.203569664531472048e-10, 6.203610230642356861e-10, 5.301207549630688447e-10
1.903000000000000000e+03, 9.441192744633184143e-10, 1.222837342881094297e-09, 5.436559491958759238e-10, 8.264358382003643210e-10, 5.259530146894590458e-10
1.904000000000000000e+03, 1.111029339348074139e-09, 1.474653711214792747e-09, 4.378141678553054187e-10, 8.380169498287652658e-10, 5.691454692920677376e-10
1.905000000000000000e+03, 1.019305143873361034e-09, 1.490610592631745663e-09, 4.251972458842246632e-10, 5.297355708217320639e-10, 7.589867207611192298e-10
1.906000000000000000e+03, 9.568159964758544658e-10, 1.400847771488191982e-09, 4.967339571139776591e-10, 7.523544739556383323e-10, 6.611493864597052445e-10
1.907000000000000000e+03, 1.018017558463384475e-09, 1.416757409062224117e-09, 4.433548387983311769e-10, 6.755403048704337788e-10, 6.764621142919546654e-10
1.908000000000000000e+03, 6.719817004987329516e-10, 1.429977527928911403e-09, 4.930632865694887761e-10, 7.290356200947597708e-10, 4.915944527285181443e-10
1.909000000000000000e+03, 1.115201145581518174e-09, 1.750841787472165864e-09, 5.887242239363131603e-10, 8.664402655342246724e-10, 5.483981268160739083e-10
1.910000000000000000e+03, 8.604170585862023833e-10, 1.255571465488715935e-09, 4.356802749007141043e-10, 7.433426109826257210e-10, 4.647045706073778860e-10
1.911000000000000000e+03, 8.585637589204605204e-10, 1.723895205225754809e-09, 4.830043392160892931e-10, 8.755975719168928280e-10, 5.909009015777619988e-10
1.912000000000000000e+03, 1.061656214840811599e-09, 1.529632142323165123e-09, 6.472625745889714619e-10, 7.201330930064893555e-10, 5.150176018100840821e-10
1.913000000000000000e+03, 9.371026150316909090e-10, 1.403029706044386136e-09, 5.566025965884883880e-10, 6.567433105685889698e-10, 6.852865167395432546e-10
1.914000000000000000e+03, 9.207700102731614656e-10, 1.460532640443907401e-09, 4.647937077442730293e-10, 6.753573938869340935e-10, 6.461417872888855735e-10
1.915000000000000000e+03, 9.447122346529661626e-10, 1.418704934016445270e-09, 5.883046128030658938e-10, 7.203032280800292192e-10, 5.058063114180044320e-10
1.916000000000000000e+03, 9.533436834614191565e-10, 1.894258908703410453e-09, 4.806564592181577993e-10, 8.997580080994875361e-10, 5.773526242326676481e-10
1.917000000000000000e+03, 8.728808001111256515e-10, 1.441601966709813378e-09, 3.593155904695495466e-10, 1.155284478968634472e-09, 4.305037410253304619e-10
1.918000000000000000e+03, 8.454881354241164983e-10, 1.666086487672782623e-09, 6.679449778888323416e-10, 8.955350933416070541e-10, 4.090882406203789434e-10
1.919000000000000000e+03, 1.135086834718644358e-09, 1.289544729427551574e-09, 4.891726253918210700e-10, 6.513585782120106367e-10, 7.214493195477657758e-10
1.920000000000000000e+03, 8.971687312821145878e-10, 1.421907197074156750e-09, 4.787640717439881509e-10, 7.401534652070144608e-10, 4.870371959432489631e-10
1.921000000000000000e+03, 9.278228926723632628e-10, 1.243722330191279479e-09, 6.689207324789453663e-10, 8.352226541694640069e-10, 4.724110405402243229e-10
1.922000000000000000e+03, 8.598929415084692935e-10, 1.808287171492049338e-09, 4.277409321875258865e-10, 8.260946016349304488e-10, 5.830142521649219623e-10
1.923000000000000000e+03, 8.880714966277056979e-10, 1.624129710712816901e-09, 4.557712425394869367e-10, 7.934467868892757978e-10, 6.947158147575889577e-10
1.924000000000000000e+03, 9.705098410836346257e-10, 1.295619939715902813e-09, 6.052975171298746467e-10, 9.104103213961436045e-10, 5.869970293380702669e-10
1.925000000000000000e+03, 9.713681067723269646e-10, 1.637217092581734835e-09, 6.370791569310576851e-10, 9.453645868523011867e-10, 5.736824871251110912e-10
1.926000000000000000e+03, 9.654606385054664587e-10, 1.524491326869981759e-09, 5.108130142744826832e-10, 8.667995363302000429e-10, 6.970624458443888683e-10
1.927000000000000000e+03, 8.415931927776671510e-10, 1.457159875020573970e-09, 4.703897602552478076e-10, 7.744187082329812649e-10, 7.906334356817829274e-10
1.928000000000000000e+03, 8.099839171886691283e-10, 1.532716401634569013e-09, 5.228077612184316929e-10, 8.612591723438674534e-10, 4.649136987212416811e-10
1.929000000000000000e+03, 7.576782297791625128e-10, 2.299737427678472208e-09, 5.643836824865833211e-10, 7.260509852716719975e-10, 5.136982607947449974e-10
1.930000000000000000e+03, 9.435651444375718424e-10, 1.312546505715825583e-09, 5.389957825181163717e-10, 8.376060533353559576e-10, 8.345593296809206355e-10
1.931000000000000000e+03, 6.081535643459664597e-10, 1.135690872038399865e-09, 3.981681738843680337e-10, 9.866326204445252292e-10, 7.792580461177690922e-10
1.932000000000000000e+03, 9.592750156936321407e-10, 1.347797562106479047e-09, 6.096477686664178152e-10, 9.079945333762544071e-10, 7.735417210525447388e-10
