year, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
1.850000000000000000e+03, 5.540571415773026569e-10, 1.647978868775778754e-09, 8.179590651079453204e-10, 1.636176915003094109e-09, 5.540571415773026569e-10, 8.560487372901195322e-10, 8.179590651079453204e-10, 5.071536636044840004e-10, 5.507065560864770346e-10, 1.653146023689029363e-09, 5.071536636044840004e-10, 3.622008658598329231e-10
1.851000000000000000e+03, 4.256606343026912850e-10, 1.141472422954547095e-09, 8.333264583205028287e-10, 1.129740729581182754e-09, 4.256606343026912850e-10, 5.943631419141049651e-10, 8.333264583205028287e-10, 5.746367356904622635e-10, 5.912144646872958518e-10, 1.622043169600827630e-09, 5.746367356904622635e-10, 4.816578838878399059e-10
1.852000000000000000e+03, 5.434827562290852745e-10, 1.397384501052317022e-09, 1.005826482896636232e-09, 1.385836264593061107e-09, 5.434827562290852745e-10, 9.392425128725174075e-10, 1.005826482896636232e-09, 8.768668969254651371e-10, 5.301903950414567497e-10, 1.181416367000595951e-09, 8.768668969254651371e-10, 5.167133446732663242e-10
1.853000000000000000e+03, 4.708453160099614698e-10, 1.490502137911095768e-09, 9.971995396025381107e-10, 1.478687456167494839e-09, 4.708453160099614698e-10, 8.484322099735197326e-10, 9.971995396025381107e-10, 6.258433968606256473e-10, 6.615247551432970394e-10, 2.814756566603673467e-09, 6.258433968606256473e-10, 6.171251593051923417e-10
1.854000000000000000e+03, 4.793562034382137654e-10, 1.169178565500648178e-09, 9.268265738548304160e-10, 1.157417462157978124e-09, 4.793562034382137654e-10, 5.761284694057791559e-10, 9.268265738548304160e-10, 7.483903716172196075e-10, 5.173336255652505927e-10, 1.766332444815780750e-09, 7.483903716172196075e-10, 6.880415350176530138e-10
1.855000000000000000e+03, 6.191546735478279987e-10, 1.603338515374707306e-09, 1.105852201233460028e-09, 1.591280956302594733e-09, 6.191546735478279987e-10, 7.249374290182547018e-10, 1.105852201233460028e-09, 7.662590516917080224e-10, 5.496142700461573232e-10, 1.572120514300382905e-09, 7.662590516917080224e-10, 4.696682055549885178e-10
1.856000000000000000e+03, 5.119354214985586137e-10, 1.557434455873154857e-09, 9.800959874193167200e-10, 1.545250026831142773e-09, 5.119354214985586137e-10, 7.741377693647771631e-10, 9.800959874193167200e-10, 6.148893042775530046e-10, 4.919396824409333498e-10, 1.507264391665641629e-09, 6.148893042775530046e-10, 5.080686830403796799e-10
1.857000000000000000e+03, 4.881021345126827735e-10, 1.538362625015555193e-09, 9.379568478743643713e-10, 1.526375427966699237e-09, 4.881021345126827735e-10, 7.942449595919555350e-10, 9.379568478743643713e-10, 6.673393424648026486e-10, 5.408742834152278003e-10, 1.329115987129907421e-09, 6.673393424648026486e-10, 4.258804199760182671e-10
1.858000000000000000e+03, 5.430957944484678138e-10, 1.632376306588223051e-09, 1.053137064447448727e-09, 1.620504733464909986e-09, 5.430957944484678138e-10, 6.329066058433123018e-10, 1.053137064447448727e-09, 7.551774583416393864e-10, 5.015471978729596764e-10, 1.546690447231684260e-09, 7.551774583416393864e-10, 3.974021435080464176e-10
1.859000000000000000e+03, 6.519163323820901683e-10, 1.563327708170331443e-09, 9.362672887224479148e-10, 1.551547411749220152e-09, 6.519163323820901683e-10, 9.359601375111588572e-10, 9.362672887224479148e-10, 7.420064079924507873e-10, 5.582297794013013518e-10, 1.482192383538973634e-09, 7.420064079924507873e-10, 5.074810314894180264e-10
1.860000000000000000e+03, 5.182372943609324672e-10, 1.471586716183040360e-09, 9.628942874561285044e-10, 1.459587727867155263e-09, 5.182372943609324672e-10, 8.645589218616668600e-10, 9.628942874561285044e-10, 6.348160756123289020e-10, 5.606266289104705131e-10, 1.411901513036160814e-09, 6.348160756123289020e-10, 7.338492323011160513e-10
1.861000000000000000e+03, 3.835005695188700089e-10, 1.461826865865674186e-09, 9.961542326501582031e-10, 1.449855373954853543e-09, 3.835005695188700089e-10, 1.060014792132653164e-09, 9.961542326501582031e-10, 7.190092662447632182e-10, 5.970398918169897561e-10, 1.185618625288932185e-09, 7.190092662447632182e-10, 6.500081522507511487e-10
1.862000000000000000e+03, 5.136453804392935740e-10, 1.458040875823203458e-09, 1.101199426684825775e-09, 1.445980867286866774e-09, 5.136453804392935740e-10, 6.584676093986606896e-10, 1.101199426684825775e-09, 7.699038398940084291e-10, 5.487038560569458330e-10, 1.624256589331727444e-09, 7.699038398940084291e-10, 5.862314349040881325e-10
1.863000000000000000e+03, 5.033115660883351127e-10, 1.426654156260748604e-09, 1.090558257381518111e-09, 1.414679486903957392e-09, 5.033115660883351127e-10, 9.498430818897741074e-10, 1.090558257381518111e-09, 7.097257087368280025e-10, 5.103340409891019827e-10, 1.746154206230944044e-09, 7.097257087368280025e-10, 5.406067880438561227e-10
1.864000000000000000e+03, 5.788927579656653416e-10, 1.464028757048753802e-09, 8.276584629134351477e-10, 1.451799039892133741e-09, 5.788927579656653416e-10, 4.389323414997780581e-10, 8.276584629134351477e-10, 5.586908062130984489e-10, 5.431488405952338266e-10, 1.601628696500367758e-09, 5.586908062130984489e-10, 5.414201673594122274e-10
1.865000000000000000e+03, 4.683392827924868425e-10, 1.775807438098863153e-09, 9.852700232818059275e-10, 1.763562118406776926e-09, 4.683392827924868425e-10, 8.860196915935222682e-10, 9.852700232818059275e-10, 6.832520700374729478e-10, 6.013296535654378735e-10, 1.695868848569760986e-09, 6.832520700374729478e-10, 4.090339732454524773e-10
1.866000000000000000e+03, 4.020803535566533253e-10, 1.270917268014710312e-09, 8.857962583136248882e-10, 1.258641485789592912e-09, 4.020803535566533253e-10, 5.308747054392545345e-10, 8.857962583136248882e-10, 6.683589713244931963e-10, 5.661524548175726892e-10, 1.580460401528881714e-09, 6.683589713244931963e-10, 6.941567549295662215e-10
1.867000000000000000e+03, 4.533803871361104368e-10, 1.516293032741581570e-09, 8.703773691875938840e-10, 1.504222639150832695e-09, 4.533803871361104368e-10, 6.458406146670126176e-10, 8.703773691875938840e-10, 6.551333339678582583e-10, 5.357119978573556314e-10, 1.824176884750755263e-09, 6.551333339678582583e-10, 4.723452868162312829e-10
1.868000000000000000e+03, 5.715433650614553532e-10, 1.299968136969561990e-09, 9.421703428548597486e-10, 1.287906277657373969e-09, 5.715433650614553532e-10, 7.945564817294533316e-10, 9.421703428548597486e-10, 6.388887259670734600e-10, 5.543817867277925222e-10, 1.434219179176287863e-09, 6.388887259670734600e-10, 3.880142428261698422e-10
1.869000000000000000e+03, 5.590287151831137434e-10, 1.524559000053712196e-09, 1.070304515705176505e-09, 1.512118602841118816e-09, 5.590287151831137434e-10, 7.344895367257078387e-10, 1.070304515705176505e-09, 7.880943450288100126e-10, 5.591056474331054322e-10, 1.385048638644395557e-09, 7.880943450288100126e-10, 5.906999513216835775e-10
