year, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1
1.850000000000000000e+03, 1.427175660983425723e-11, 0.000000000000000000e+00, 2.276999322081929452e-12, 1.146666216303085226e-10, 2.530026980589602050e-11, 1.992499756961606338e-11, 2.374790509844266239e-11, 2.222248302965281064e-13, 1.474338301036667874e-14, 0.000000000000000000e+00
1.851000000000000000e+03, 1.751339470617923087e-11, 3.302597747495469631e-10, 2.569057549853988647e-12, 1.927463657879283805e-10, 3.986935818546386284e-11, 3.757948069232375920e-11, 3.486170026791591187e-11, 9.693672206132758552e-12, 3.405640129493597046e-14, 1.546826467170929139e-12
1.852000000000000000e+03, 1.996738477199286568e-11, 3.299835507209969122e-10, 2.779415121007032675e-12, 2.096260820720701829e-10, 4.425260311893171746e-11, 3.812192454859955838e-11, 4.156329445801373551e-11, 1.056798181426864443e-11, 4.307109449599206428e-14, 1.634458478304962184e-12
1.853000000000000000e+03, 2.166249767101908759e-11, 3.324414450043896068e-10, 2.998911439701918252e-12, 2.213183091599381544e-10, 4.815102399447884692e-11, 3.886449493399075991e-11, 3.634931387115826441e-11, 1.117229306838012365e-11, 5.079337041151419127e-14, 1.696624177624492099e-12
1.854000000000000000e+03, 2.307967149466707976e-11, 3.276049302989281591e-10, 3.220841750248609413e-12, 2.261998217112509120e-10, 4.562297579595593210e-11, 3.961104989109365716e-11, 3.342829678057896912e-11, 1.157111737867594518e-11, 5.602986805734131530e-14, 1.912595312107658975e-12
1.855000000000000000e+03, 2.408160325562861082e-11, 3.277945411801979011e-10, 3.318875518919993824e-12, 2.299831045973335372e-10, 4.379595556662158026e-11, 4.026314505645447388e-11, 3.779131901267833780e-11, 1.219462586144828160e-11, 5.669213951556892012e-14, 2.031530942783255951e-12
1.856000000000000000e+03, 2.476915984361884781e-11, 3.241471858450828013e-10, 3.436436263535661742e-12, 2.324588178018091478e-10, 4.333313493151336875e-11, 4.097836652115047270e-11, 3.629108148359471326e-11, 1.258159685902979864e-11, 5.801744038087321089e-14, 2.317635637911770058e-12
1.857000000000000000e+03, 2.520749059039939446e-11, 3.272744491527957436e-10, 3.550767721094136072e-12, 2.345235989326058714e-10, 4.617453415068735066e-11, 4.134186342375316908e-11, 4.036899966277241299e-11, 1.287091993650587573e-11, 5.011532404426105552e-14, 2.004771183441801860e-12
1.858000000000000000e+03, 2.554924204777665672e-11, 3.293739464409686006e-10, 3.636344173274899302e-12, 2.358149145689306030e-10, 4.474013929129111782e-11, 4.165078096564366530e-11, 4.191352998643601129e-11, 1.306591238790033540e-11, 4.400975662592064374e-14, 2.060727249815465490e-12
1.859000000000000000e+03, 2.566161819622711173e-11, 3.295642493451455704e-10, 3.682695705910325829e-12, 2.375667637455925954e-10, 4.400743227204166298e-11, 4.212844795830991289e-11, 4.015338632295409226e-11, 1.329025278116828242e-11, 4.374996869146093950e-14, 2.133853119477157415e-12
