year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.850000000000000000e+03, 0.000000000000000000e+00, 3.180971536490078958e-10, 1.579454395930839418e-10, 3.079014616967829701e-11, 0.000000000000000000e+00, 1.474338281977028257e-14, 1.742769245975328926e-13, 2.038518407301593334e-10
1.851000000000000000e+03, 0.000000000000000000e+00, 3.472121904621190992e-10, 2.399793896884106838e-10, 3.198980201156343527e-11, 1.543387852704489955e-12, 3.405640101605822928e-14, 4.703501375357627264e-13, 2.284964116889396444e-10
1.852000000000000000e+03, 8.743025141805327592e-14, 3.596858220688596899e-10, 2.540907455127843144e-10, 3.329758833090093880e-11, 2.349834406250147234e-12, 4.307109511473011707e-14, 7.092953667265930020e-13, 2.167256768361859429e-10
1.853000000000000000e+03, 1.747268681511343263e-13, 3.685739038841378245e-10, 2.702525904548323228e-10, 3.826349715872971184e-11, 2.675531188289208145e-12, 5.079337090088707674e-14, 9.073632277524689608e-13, 2.114169926482880974e-10
1.854000000000000000e+03, 2.602991800112060484e-13, 3.722738889162233675e-10, 2.694073452859996249e-10, 3.947902559820138172e-11, 3.032411532371466954e-12, 5.602986879208118119e-14, 1.073535865701625505e-12, 2.308485653244432956e-10
1.855000000000000000e+03, 3.528666315927561647e-13, 3.749433836987840815e-10, 2.717994728768814365e-10, 3.801053820133420384e-11, 3.088409974570970487e-12, 5.669213883923020041e-14, 1.211322897230952911e-12, 2.238295200302183021e-10
1.856000000000000000e+03, 4.469717766049961298e-13, 3.743558899001278989e-10, 2.732560445284235636e-10, 3.883307778673194816e-11, 3.275055735397360545e-12, 5.801744053126239854e-14, 1.321896841752165402e-12, 2.237530173235844280e-10
1.857000000000000000e+03, 5.516471629087841919e-13, 3.752538543757601170e-10, 2.744659848164490734e-10, 4.204852355409184466e-11, 3.421219208009819062e-12, 5.011532417333450839e-14, 1.414019994220587275e-12, 2.244857953701603265e-10
1.858000000000000000e+03, 6.339876424049698520e-13, 3.744988369126900200e-10, 2.764436499722567283e-10, 4.169245250131399978e-11, 3.628119013898773653e-12, 4.400975649547040771e-14, 1.492824502633894599e-12, 2.332628403776238879e-10
1.859000000000000000e+03, 7.148012299785146973e-13, 3.728591564491659450e-10, 2.805549174651913755e-10, 3.988044827108159049e-11, 3.698866727300200359e-12, 4.374996860104406912e-14, 1.561603514937470982e-12, 2.345358132845172812e-10
1.860000000000000000e+03, 7.950403338359587511e-13, 3.688036961058500345e-10, 2.855994576255733467e-10, 3.979535458747933006e-11, 3.815648653250368888e-12, 4.736123081512477227e-14, 1.630910177650871792e-12, 2.370824312768671590e-10
