year, IPSL-CM6A-LR, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, UKESM1-0-LL, NorESM2-LM, CanESM5, INM-CM4-8, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, ACCESS-ESM1-5, CESM2-WACCM
1.850000000000000000e+03, 2.394590584961855839e+01, 3.042004727858591551e+01, 1.712317995239477497e+01, 1.450934140330372024e+01, 2.554863090832287753e+01, 2.167793119116793221e+01, 1.660012922870817675e+01, 2.713098122859005912e+01, 2.999954280720860211e+01, 1.456014476016370551e+01, 2.373724541240497032e+01, 3.025535825537388490e+01, 2.234206693091880425e+01, 2.169120732046472710e+01, 2.383627920376833487e+01, 1.952736702218859932e+01
1.851000000000000000e+03, 2.425648936683340651e+01, 3.072407688107548651e+01, 1.767176299064915312e+01, 1.459360601950396408e+01, 2.712283045135248827e+01, 2.019549876055776139e+01, 1.659820085146487756e+01, 2.781663457331282885e+01, 2.899904612340647958e+01, 1.529302165017724668e+01, 2.288578780419291192e+01, 3.078111546311107816e+01, 2.305556899126529302e+01, 2.171417808581638553e+01, 2.439087872412397928e+01, 1.966353828099670409e+01
1.852000000000000000e+03, 2.376495265725365513e+01, 3.079098413168024706e+01, 1.721950312809000039e+01, 1.511589560410676292e+01, 2.629243038526286114e+01, 1.990637229784698192e+01, 1.677938645237441762e+01, 2.817654671236200770e+01, 3.060879545767806675e+01, 1.594108510702720238e+01, 2.350962414870421924e+01, 3.185551808198436774e+01, 2.417892123626513268e+01, 2.178825783227856405e+01, 2.391087294556554710e+01, 1.902179363766128617e+01
1.853000000000000000e+03, 2.392188171216255554e+01, 3.061079677754860384e+01, 1.810898449186504777e+01, 1.487143462785733838e+01, 2.681712122840144730e+01, 2.112681217548313128e+01, 1.532492925829017416e+01, 2.760228567467824945e+01, 2.915902157215283452e+01, 1.651147863001444094e+01, 2.153012305289086115e+01, 2.934043857929068011e+01, 2.327026339886286266e+01, 2.140428312042714154e+01, 2.340423537136997822e+01, 2.010507216046812928e+01
1.854000000000000000e+03, 2.417664759630038418e+01, 2.918703127278657661e+01, 1.688966247427901735e+01, 1.498911916427199564e+01, 2.760482250429761564e+01, 2.135401732603535763e+01, 1.535373203372812867e+01, 2.753964941062142202e+01, 2.883165185147786502e+01, 1.473062088657941260e+01, 2.048040102717759936e+01, 2.886894091158452369e+01, 2.418923169452646960e+01, 2.177006017839269703e+01, 2.335725930093961722e+01, 2.022531462422090698e+01
1.855000000000000000e+03, 2.374873368866146706e+01, 3.210668379028012254e+01, 1.657995829476192284e+01, 1.500615606360809906e+01, 2.500622732493359379e+01, 2.237680762085762254e+01, 1.634665230226367783e+01, 2.732504424744409732e+01, 3.116441170822980311e+01, 1.584399843222312221e+01, 2.196348182945291327e+01, 2.900592254804104186e+01, 2.465994533034895753e+01, 2.145148491875055896e+01, 2.374095549834403585e+01, 1.984760340513548726e+01
1.856000000000000000e+03, 2.329290015119040547e+01, 3.136030540956807400e+01, 1.722494146423016659e+01, 1.439046271416522238e+01, 2.613143371034857410e+01, 1.974573223570575919e+01, 1.608410165495334354e+01, 2.717288676843163842e+01, 2.826464183791157225e+01, 1.543302880227408735e+01, 2.192342338628893472e+01, 3.038314240578842274e+01, 2.423931752001235651e+01, 2.157905622748290853e+01, 2.356474865678856290e+01, 1.978187754541950483e+01
1.857000000000000000e+03, 2.328103239739608199e+01, 3.252809084111198246e+01, 1.704112960834557100e+01, 1.488335249103555924e+01, 2.692778785348062343e+01, 2.053203452431895570e+01, 1.682543806922305052e+01, 2.687834269668560339e+01, 3.001624683191702303e+01, 1.520656396667747146e+01, 2.157261901478930710e+01, 3.035438821163183221e+01, 2.334533952457905315e+01, 2.183282201923270449e+01, 2.442991237592551101e+01, 2.079960862052312365e+01
1.858000000000000000e+03, 2.489154235842494955e+01, 3.113447391304679712e+01, 1.686879648688595168e+01, 1.483170658618031190e+01, 2.736007574422835020e+01, 2.002672072835584416e+01, 1.651429608851621467e+01, 2.716152613460034715e+01, 2.978373077684808479e+01, 1.617568000369483627e+01, 2.280940821396286111e+01, 2.982353613217761179e+01, 2.376612000164451644e+01, 2.134519865471493461e+01, 2.537528849674134790e+01, 2.053317891104937942e+01
1.859000000000000000e+03, 2.432982380500136443e+01, 3.117030518871785105e+01, 1.706404221703469304e+01, 1.476967445110222243e+01, 2.472128310826435893e+01, 1.917552220299586097e+01, 1.644843055726774139e+01, 2.700969375351215973e+01, 3.133541724063227107e+01, 1.620165253870687039e+01, 2.337957915726472535e+01, 2.999652812209327735e+01, 2.392592238788272496e+01, 2.169464188479366129e+01, 2.461105097367415695e+01, 1.920355828636284556e+01
