year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM5-0, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM4-8
1.850000000000000000e+03, 7.616105926431259165e-01, 9.580230853303784988e-01, 1.374119946830140160e+00, 9.160044575153940549e-01, 2.037639272151099412e+00, 7.578364083507669324e-01, 9.340498294731589546e-01, 2.055295466047882602e+00, 1.585721734710153985e+00, 1.370847851079495250e+00, 1.439584424572925458e+00, 7.963831922239468231e-01, 1.651217375252062691e+00, 1.268215609940409161e+00, 1.398636602439950360e+00, 1.448283418469072270e+00
1.851000000000000000e+03, 7.966835905948722596e-01, 9.422738778118924241e-01, 1.387579315049539463e+00, 9.340319973590924807e-01, 2.031209439720405907e+00, 7.628126154375671764e-01, 9.119372330699361262e-01, 2.021332128599730105e+00, 1.671092086710733060e+00, 1.430901106541799583e+00, 1.465991454374247160e+00, 8.143288172532315849e-01, 1.699265028166638380e+00, 1.261067734601711399e+00, 1.359733006799042965e+00, 1.421400109269461254e+00
1.852000000000000000e+03, 8.169197046908066584e-01, 9.220877429078925269e-01, 1.377843549913198240e+00, 9.212222356407381296e-01, 2.028069034256839487e+00, 7.635089244890135296e-01, 8.729688997476603429e-01, 2.105094692550222746e+00, 1.712629296095824483e+00, 1.456095572508613767e+00, 1.482823744861650583e+00, 8.019827510819235172e-01, 1.798987910316728556e+00, 1.263679445936791490e+00, 1.382135651680201471e+00, 1.447776778634827455e+00
1.853000000000000000e+03, 8.384836713221609505e-01, 9.371981573512248032e-01, 1.367023699753353361e+00, 9.042894352649608614e-01, 2.043287392933483826e+00, 7.360596106793811932e-01, 8.958494383642114922e-01, 2.020849283252422524e+00, 1.689780769729290366e+00, 1.399064845185530981e+00, 1.459449846052256694e+00, 8.381287780274829791e-01, 1.709209953664082127e+00, 1.253690945897450337e+00, 1.318284128350035722e+00, 1.421405339993453198e+00
1.854000000000000000e+03, 7.616378800826707485e-01, 9.659229023421646021e-01, 1.381063226161668211e+00, 8.884011812133303376e-01, 2.053683587772283659e+00, 7.152352217745768792e-01, 9.636676991785309010e-01, 1.879260197358223472e+00, 1.749221830879986506e+00, 1.409364764570071094e+00, 1.451902885448516534e+00, 8.021709718337616257e-01, 1.801934763147422514e+00, 1.268503570033465699e+00, 1.244946069609729644e+00, 1.417203634759318653e+00
1.855000000000000000e+03, 8.035982154942526989e-01, 9.571462693028304214e-01, 1.365546858207899339e+00, 9.015007548889965028e-01, 2.047822896144392502e+00, 7.407679253735741653e-01, 9.641069620685281949e-01, 1.943169082205029374e+00, 1.628006240567478446e+00, 1.433355181257845778e+00, 1.502897756421564202e+00, 7.778839820304525032e-01, 1.823755602961526945e+00, 1.254900484060818000e+00, 1.278515633205638879e+00, 1.470220155147929031e+00
1.856000000000000000e+03, 7.842064447595777921e-01, 9.422131418868391339e-01, 1.341258315042061611e+00, 8.971011839119656939e-01, 2.013003095474072079e+00, 7.441153687968276031e-01, 9.052971578637747374e-01, 2.079847249451000746e+00, 1.614673456379809302e+00, 1.398915788170052243e+00, 1.473028522694045606e+00, 8.030966868559478167e-01, 1.807266257623117101e+00, 1.248084582820767841e+00, 1.297666229624201639e+00, 1.399086430080380250e+00
1.857000000000000000e+03, 7.847988852821565775e-01, 9.648371933192765315e-01, 1.327297980508314934e+00, 9.250737210772030927e-01, 2.022385230391941846e+00, 7.645326642338243772e-01, 9.214834041789109476e-01, 2.026213971999084595e+00, 1.680118553765847400e+00, 1.345426630303980797e+00, 1.515710342466809024e+00, 7.975183709224420436e-01, 1.727835637346159414e+00, 1.252577116192075790e+00, 1.263971805417350325e+00, 1.433473268712031734e+00
1.858000000000000000e+03, 8.189258742793288359e-01, 9.652999155698993583e-01, 1.394185438429173862e+00, 9.678417778126087168e-01, 2.019973203312226850e+00, 7.514811276829718167e-01, 9.421207355093338398e-01, 2.057684215739429057e+00, 1.766329253940797317e+00, 1.395945646652194672e+00, 1.479572339642124534e+00, 7.820017897231815729e-01, 1.736766959050198844e+00, 1.241164786260694264e+00, 1.329334966756061220e+00, 1.424295748931519112e+00
1.859000000000000000e+03, 8.068894695702697462e-01, 9.364646671472328654e-01, 1.387156524437665350e+00, 9.662483913531288993e-01, 2.012467391396101313e+00, 7.634069296657408632e-01, 9.136885603197884009e-01, 2.097644555576261283e+00, 1.603760952600026046e+00, 1.364811075856487532e+00, 1.495551739595963436e+00, 7.958964295306869552e-01, 1.775685971728356405e+00, 1.257670249245580019e+00, 1.378758021408599044e+00, 1.478377388075723831e+00
1.860000000000000000e+03, 7.907478829624096095e-01, 9.318131045004148794e-01, 1.425385477168180204e+00, 9.651648027389825302e-01, 2.029763717071635831e+00, 7.728423962319911356e-01, 9.255626493910940056e-01, 2.064903378613725415e+00, 1.593740733522220010e+00, 1.412410683374489162e+00, 1.495310432244622678e+00, 8.115326971691354530e-01, 1.792980775715254049e+00, 1.237685675672060670e+00, 1.387882225416600557e+00, 1.435555904895214230e+00
1.861000000000000000e+03, 8.230742100756851531e-01, 9.137413288978588621e-01, 1.394374872551034095e+00, 9.826040815772230097e-01, 1.989170055907971690e+00, 7.286072443893110151e-01, 9.445068841704808982e-01, 2.073011631532518884e+00, 1.716620340980711479e+00, 1.445336570892361783e+00, 1.445082353418573717e+00, 8.161306306569920954e-01, 1.789079960618017884e+00, 1.239344450121807162e+00, 1.260268493736192763e+00, 1.433534182316275274e+00
1.862000000000000000e+03, 8.858539808824287265e-01, 9.087040747389143469e-01, 1.362981852024738760e+00, 9.705632549258402797e-01, 2.009349938196324015e+00, 7.108577338406084634e-01, 9.686169825295631863e-01, 2.165299669296436580e+00, 1.735439978176001485e+00, 1.457474235883731373e+00, 1.473994412650038610e+00, 7.945498985035159834e-01, 1.780419875381117789e+00, 1.243536562111212662e+00, 1.310169187934898449e+00, 1.445173397983341657e+00
1.863000000000000000e+03, 8.317165029871135262e-01, 9.185409848381784759e-01, 1.394517863417055636e+00, 9.517190681952490960e-01, 2.013633373707305996e+00, 7.147489690728496825e-01, 9.967500613294832945e-01, 2.047588631851037455e+00, 1.693319331098752878e+00, 1.375889752718594483e+00, 1.450212500171546903e+00, 8.011065072098193518e-01, 1.809002578060154409e+00, 1.241052181058703185e+00, 1.337548860475510137e+00, 1.486044718804484965e+00
1.864000000000000000e+03, 7.554435725258403789e-01, 9.500954765630358345e-01, 1.388456407620320521e+00, 9.335300407897471064e-01, 2.039367833179652756e+00, 7.279897413189051480e-01, 9.363261296018737800e-01, 1.967020141942751099e+00, 1.659851790705122232e+00, 1.388305674818463897e+00, 1.486358918564805620e+00, 8.202772726624868449e-01, 1.777107096089201033e+00, 1.245985340127222285e+00, 1.242282004602346834e+00, 1.475651459916095698e+00
1.865000000000000000e+03, 7.814228717091789012e-01, 9.478951765889702674e-01, 1.382718331809692280e+00, 9.284805746797930581e-01, 2.052341408793240340e+00, 7.418037975361737590e-01, 8.934352815401268577e-01, 1.918698359215419647e+00, 1.688882633513655973e+00, 1.433370706403706230e+00, 1.489295015530889721e+00, 8.139415452879836810e-01, 1.673082705609120868e+00, 1.244813344166125990e+00, 1.244622715224095177e+00, 1.471339297347318054e+00
1.866000000000000000e+03, 8.098519029453892237e-01, 9.756253505639458368e-01, 1.393610295995116877e+00, 9.314053795774612787e-01, 2.040958630480680380e+00, 7.318224520608265227e-01, 8.914043632579921050e-01, 1.967648332890681750e+00, 1.776406073536173968e+00, 1.416372043339325204e+00, 1.463385244723834244e+00, 7.955709398443245872e-01, 1.694331822754209016e+00, 1.231456285537980033e+00, 1.356858640866177579e+00, 1.455507115744151925e+00
1.867000000000000000e+03, 7.595783972302239118e-01, 9.632358639256450861e-01, 1.322052393840617679e+00, 9.298275287488125818e-01, 2.018829394980702574e+00, 7.390706941608490288e-01, 9.298616281834863884e-01, 2.001369450063933186e+00, 1.798640336603411827e+00, 1.431639064686829332e+00, 1.464613612489176875e+00, 7.830715315847092128e-01, 1.784061315368546285e+00, 1.240488247475582062e+00, 1.386344429832133907e+00, 1.438825076800304581e+00
1.868000000000000000e+03, 8.006549185108938760e-01, 9.507126974781201501e-01, 1.384692318779582543e+00, 9.058912660714141252e-01, 2.012623107972254299e+00, 7.543359076231116456e-01, 9.546759108624359724e-01, 2.004696004917701391e+00, 1.678279473147263667e+00, 1.438443629166396009e+00, 1.444663877356559878e+00, 7.937229818865669806e-01, 1.795925149866606674e+00, 1.244867785945852789e+00, 1.334817019401459692e+00, 1.404132322376232311e+00
1.869000000000000000e+03, 7.553971429283721228e-01, 9.407605219670056584e-01, 1.416630384834985712e+00, 9.270904972428386515e-01, 2.072027877502406579e+00, 7.359769356911298743e-01, 9.335749430217705758e-01, 2.035936044601791117e+00, 1.601201593633225340e+00, 1.459559976398590697e+00, 1.466040351973910694e+00, 7.978680790110799226e-01, 1.682841230183939718e+00, 1.237131776475632439e+00, 1.337865304563148339e+00, 1.442086832839781341e+00
1.870000000000000000e+03, 7.780445794151225058e-01, 9.274121156412821199e-01, 1.408112537317631530e+00, 9.641283328220436877e-01, 2.045840742916745558e+00, 7.359539044784813022e-01, 9.588526020867536026e-01, 2.095965686143064666e+00, 1.625664282829579976e+00, 1.460942868852224574e+00, 1.485365444714804806e+00, 8.060279637270170161e-01, 1.790347783187036468e+00, 1.239310704893674009e+00, 1.247403829617451887e+00, 1.418361856346071370e+00
1.871000000000000000e+03, 7.635254970227983717e-01, 9.405823499155324674e-01, 1.321691500336831249e+00, 9.566207091539220553e-01, 2.012513791846852751e+00, 7.299411688812431631e-01, 9.456043548936641230e-01, 1.961131826064836492e+00, 1.729398715378138496e+00, 1.468125539758402764e+00, 1.484781380031037212e+00, 8.060783634824819632e-01, 1.736985020546216729e+00, 1.240053569195329830e+00, 1.351825507265531190e+00, 1.478073465112011764e+00
