year, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CNRM-ESM2-1, CanESM5, CMCC-ESM2
1.850000000000000000e+03, -3.232179240342798251e-10, 2.097516936924874210e-10, 8.939927952559173493e-10, -2.842895809911130221e-10, -9.565456703349001136e-10, -1.805336030331947206e-10, -3.514175577188314989e-10, -4.619309816820673650e-13
1.851000000000000000e+03, 1.899346541212898504e-10, -8.760157788410719432e-11, -2.844774951219447150e-10, -5.860038677493963560e-10, 1.218954462744745879e-10, 3.856476772931332580e-11, 6.965119187309884927e-10, -1.302307489092987266e-10
1.852000000000000000e+03, -2.145161784661003812e-10, -1.529312091978642154e-10, 2.005391079193814671e-10, -1.893999265112359880e-10, 2.680209602764854887e-10, -7.328036587606401593e-11, 7.979439269399168426e-10, -4.272106631734793607e-11
1.853000000000000000e+03, 6.616552565559147901e-11, -6.689312930875693881e-13, -9.158351652797247547e-10, -2.033494013134551923e-10, -5.640124599165601179e-10, 5.147239267855799535e-10, 1.465659271633150492e-10, -4.481442257898481605e-10
1.854000000000000000e+03, 1.767662834392862395e-10, 2.925374287593447134e-10, -1.257732314775718902e-09, 1.534788807397942760e-10, 5.285288020524107349e-10, -2.927115881913909584e-10, -2.290731742857158355e-10, -5.413601080229568110e-10
1.855000000000000000e+03, -4.069884653726207816e-11, 6.449302477141722408e-10, -4.117239505379791612e-10, -5.198806448007281027e-10, 3.090517726951862102e-10, 3.726636520017500012e-10, -6.108042948723536540e-11, 1.319898237848642327e-10
1.856000000000000000e+03, -6.772249589093126626e-11, -2.960785931574002008e-10, -3.276227373501703415e-10, -3.171081309312672279e-10, -2.626693100076835887e-10, 6.493177865085217036e-11, 2.489893706503586358e-11, -6.287641804926118440e-11
1.857000000000000000e+03, 5.503635688954990278e-11, 1.056057087910605966e-10, -7.847339817139859393e-10, -1.591976226153219903e-10, -6.223271461847007502e-10, -1.830860378461902743e-10, -4.225818929660563626e-10, -4.462609903589555777e-10
1.858000000000000000e+03, 1.097002156824802742e-10, -1.568812017662910146e-10, 2.265777442257973248e-10, -4.000766696685101935e-10, -9.492943864920818730e-12, 3.836707731350021108e-10, -1.798672004676598532e-10, -7.341598808135786707e-11
1.859000000000000000e+03, -3.838267330399779512e-10, -4.141722507177831036e-10, 2.669739829908280035e-10, 3.550307947214485194e-11, -1.464343176961818376e-10, 2.142751810110043835e-10, -1.400638026919213989e-10, -3.956046547924822027e-11
1.860000000000000000e+03, -1.602162817122404629e-10, 4.268015564402259959e-10, 1.731332836119837238e-10, -3.342553254954895625e-10, 2.169355617923123316e-10, -5.165151225998075375e-10, -3.232501613649713612e-11, -4.096396626148201549e-10
1.861000000000000000e+03, -3.810205364662897171e-10, -9.609019108405584905e-10, -1.272871716313206565e-09, -3.219314931063651864e-10, 2.076277904147433074e-10, 8.806003130677086700e-10, 3.883005617566160060e-10, -1.653794130774020483e-10
1.862000000000000000e+03, 1.322393723886705078e-10, -3.931259367586376840e-10, -8.508437747698469664e-11, 6.717065399189010341e-11, -2.975057329419072874e-11, 6.640927305826915531e-10, 9.906126114041332988e-10, -3.161854205177529101e-10
1.863000000000000000e+03, -2.011851575612657443e-10, 5.355986389369622071e-11, 2.609888450138974297e-10, -6.043102020488117263e-11, 1.871974609357191339e-10, -3.164684573792090884e-10, -2.973064124506432434e-10, -2.240748535972359940e-10
1.864000000000000000e+03, 4.745775633196905723e-10, 8.977548172876015067e-11, -9.488068658143032175e-10, -1.464685609495794407e-10, -8.942913209996835533e-11, -6.374279859179661238e-10, -2.088468924303751681e-10, -1.647158660103484955e-12
1.865000000000000000e+03, -2.844237748868868769e-10, 1.275473505596621534e-09, -9.472211293062817025e-10, -3.273143344670343547e-10, -1.091630171040077893e-09, 2.279778533616924959e-10, 4.079712163232808646e-10, 1.684708734814506212e-10
1.866000000000000000e+03, 2.055021154534769303e-10, -5.018999360410503843e-11, 4.696872360962167082e-10, -6.478718012350448771e-10, 4.965541610265608971e-11, 3.985607672497843514e-10, 1.783732837546898532e-10, -3.192526866747155825e-10
1.867000000000000000e+03, -8.217064701864842920e-11, -3.263256476114129539e-10, 5.838479761607015734e-10, -6.384681953682319269e-11, 7.202529895228433466e-11, -7.890051056543946375e-10, -1.443022432647511146e-10, -1.502230256803750603e-10
1.868000000000000000e+03, -9.441710649838279945e-11, -3.241047351093571517e-10, -5.121123884460069441e-11, 3.296835493509321432e-10, 1.464049901720741998e-10, 4.343465989133095712e-10, 1.059181389021542783e-10, -9.637494279543720318e-11
1.869000000000000000e+03, -2.062195933598899581e-11, 1.336740398805938731e-09, -5.026950339693715917e-11, 5.058129748673778490e-11, -4.813533342013145866e-10, -5.064003833552037615e-10, 3.998084311931580654e-10, -2.042269835690860689e-10
1.870000000000000000e+03, -1.176479638522120503e-10, 5.174774184144142316e-10, -8.145029347763546345e-10, -1.550981539984679776e-10, 4.708573053142987039e-10, 1.559081944283474788e-10, 4.845210940867885872e-10, -4.233629756843322503e-10
1.871000000000000000e+03, 2.397807558310256334e-10, -5.905173904919656684e-10, 7.447234603298965550e-11, -2.780770697172672492e-10, -6.022064157429997718e-10, -3.757083471707377780e-10, 3.253650203038088899e-10, 4.678656859833340296e-11
1.872000000000000000e+03, -5.927038366222455272e-11, -5.611636269727945053e-10, -6.702579224561781621e-11, -5.922487133906268132e-10, -6.940355606998192106e-11, 4.535869210652431541e-10, 5.042185304331853969e-10, -7.165916933979981768e-11
1.873000000000000000e+03, -4.994655214998856921e-11, -1.429612517510072511e-10, -4.761523317896419543e-10, 1.717092459789149838e-11, -6.920145019047793600e-10, -1.386310800903512519e-10, 1.757055376544471629e-10, -1.731090678976215508e-10
1.874000000000000000e+03, -6.736414837813070074e-10, 1.731311901850689986e-10, -6.017581757921462417e-10, 2.351071634562398164e-10, -2.122603822595238587e-11, 7.386361596746884521e-11, 1.857212509322213484e-10, -2.417107339009420797e-10
1.875000000000000000e+03, 2.818462212545378701e-10, 1.875596702317861211e-11, -3.871604418767807143e-10, -3.254555746170527720e-11, 4.111681946905195879e-10, -1.294189807642035364e-10, 6.645463804380635299e-10, -3.102528772727272525e-11
1.876000000000000000e+03, -5.172786876470118808e-11, 1.224964292719405284e-10, 2.961736189763446234e-10, -9.392091591276202611e-10, -4.639579270465530708e-10, 2.271792228234669732e-10, -1.464311912831116131e-10, -2.381786126723092911e-10
1.877000000000000000e+03, -8.230077681060353658e-11, -5.143498718899025869e-10, -9.261458351137672242e-11, -6.128729122839894056e-10, -2.994199497637456578e-10, 7.647308691500367687e-11, -3.308482807609797349e-10, -6.104901262354277887e-11
1.878000000000000000e+03, 2.537916777780968673e-10, -5.434004078494557992e-10, 1.439050018900430564e-10, -1.781272267172935951e-10, -1.232698094471759758e-10, -1.919000090928878686e-11, -2.920477271934581343e-10, -2.897888123158573152e-10
1.879000000000000000e+03, -2.356263752101496026e-10, 4.682544614397086070e-10, -5.301363670953011528e-10, -1.223237362485303010e-10, -6.006295172112115709e-11, 1.897570017782900442e-10, 8.130429320003969470e-11, -3.491137314317509132e-10
1.880000000000000000e+03, 4.548039157012043404e-11, 1.800682973343933177e-10, -2.059595058143215962e-10, -2.280695799228724232e-10, 2.866251781750685033e-10, 4.412777925948479305e-10, 1.135193956612284641e-10, -1.230637780143754000e-10
1.881000000000000000e+03, 2.101185233223890435e-10, -3.099891252816083915e-11, 5.975302786778543713e-10, -4.542992102468132921e-11, -2.802304676630005794e-10, -1.320882702096596563e-10, 3.421242772901860844e-10, -3.286506666610400364e-11
1.882000000000000000e+03, -2.955695098877994979e-10, -7.291586856511418206e-10, -1.512374216033779186e-10, -1.410440026654220655e-10, 4.493371071219133812e-10, 8.142809719683887471e-11, 1.585162421932612127e-10, 2.059666801865900810e-11
1.883000000000000000e+03, 9.349821891224022086e-11, 2.652112960373379307e-10, -8.164496672766726867e-11, 3.043334242510329628e-10, 4.716093921507372766e-10, -3.973942441330238818e-10, -5.819917864431216317e-11, -5.311261315234985970e-10
1.884000000000000000e+03, 2.025241486730409653e-10, 7.468879099222189541e-10, -2.576476016385109914e-10, 5.477113892163662615e-10, 7.138496816880125788e-10, 4.094680384342338398e-10, 4.804415294160792874e-10, -1.526656190811170909e-10
1.885000000000000000e+03, 2.660106429696627735e-10, 7.243652130937511234e-11, 5.446389276517250066e-10, 2.007248721997271540e-10, 2.283920294042825865e-10, 1.061141650051031514e-10, -3.353678524594973069e-10, -2.731091806125004306e-10
1.886000000000000000e+03, -1.444922238181231470e-10, 1.532338976820418910e-11, 4.353013193647864732e-10, 1.864982111013046644e-10, 8.250140063962993639e-10, -3.056132435239487464e-10, -1.350666938782216913e-10, -4.070368736314215176e-10
1.887000000000000000e+03, 8.948687872326969784e-13, 1.322377285744362556e-10, -3.767522663228065820e-10, 3.558344643261975815e-10, 6.559729426293616256e-10, 2.391178774447869380e-10, 7.101623445596715811e-11, 2.265361205798512149e-10
1.888000000000000000e+03, 7.822302913412444077e-11, -2.001964259354781116e-10, -3.874667031977402370e-10, -1.308698735051782839e-10, -3.786825323530943673e-10, -3.365472554781531125e-10, -4.461799753042762130e-10, -5.980544048052081378e-11
1.889000000000000000e+03, -4.099969449562333763e-10, 4.481770487453487193e-10, -8.169966772584770203e-10, 2.519341896279110815e-10, -2.303928106866279429e-10, 5.911260077115107587e-10, -1.797596067642265330e-10, -4.909700749830847090e-10
1.890000000000000000e+03, 3.172626625456200259e-11, 4.112380907249406129e-10, -7.260580832715956904e-10, 4.269325716721979952e-10, -2.172654123993465962e-10, 4.336832101012970809e-10, 5.809569166244993191e-10, 3.424432899802701993e-11
1.891000000000000000e+03, -6.275283740418508752e-11, -7.796155196895637081e-10, -3.637648100941272249e-10, 1.153226346941612241e-10, 1.141037509427215030e-10, -2.130384580339715810e-10, 8.181284358557862802e-10, -4.953330806948137795e-10
1.892000000000000000e+03, 2.890830721113039381e-10, 5.932733571923094655e-10, 6.227395553846581599e-10, 3.690927552122698312e-11, -6.445787637693006674e-10, 1.973760174848833126e-10, 8.593435549242471025e-11, -2.023821963928052845e-11
1.893000000000000000e+03, -2.175894996254773215e-10, -3.550345095786396178e-10, -5.875299357483690738e-10, -1.860567064992114097e-10, 5.701087768187459300e-10, 5.707532768066332112e-11, 1.262054964415283645e-10, -2.857060201328182628e-10
1.894000000000000000e+03, -1.956022352721726713e-10, 6.038464819405879197e-10, -4.193940709108508968e-11, 2.588080741819738627e-10, -8.278012254607754057e-11, -3.603514557905543166e-10, 3.785803238466138885e-10, 5.708631220504265193e-11
1.895000000000000000e+03, 3.116104626636154617e-10, 9.588878942959446432e-11, 2.660140015082255815e-10, 2.444007397694272216e-10, -1.807231451716150811e-10, 2.589422325050081707e-10, -2.932345564555093865e-12, -3.107608654610377448e-10
1.896000000000000000e+03, 1.909933511767578534e-10, 1.155966242933495970e-10, 5.962835262902120604e-12, 3.159395311704879381e-10, -9.844115692521769027e-10, -1.647360203991452458e-10, 4.388679180448941218e-11, 2.310583240872322346e-12
1.897000000000000000e+03, 2.066815776715637215e-10, 3.077548416214812604e-10, -9.710092907039380230e-10, 1.371367250335027993e-10, 4.167042898730938480e-10, 5.059135214189935900e-11, 2.168577450915306093e-10, -1.436291802765210675e-10
1.898000000000000000e+03, -1.341696086362185949e-10, 5.809212895795723776e-10, -1.036975906008278705e-09, -2.940445996971777268e-10, -2.475891980072567365e-10, 3.239524985747840109e-10, 1.224407490494977175e-10, -7.736817868891293522e-11
1.899000000000000000e+03, 6.844922468990209100e-11, 4.518492653353672265e-10, 5.220342951913124100e-10, 2.352699745700070615e-10, -4.163644019425965012e-10, -1.766948049167250531e-10, 4.269398978030295364e-10, 6.164653736692700527e-11
1.900000000000000000e+03, -1.475880117195107772e-10, 1.392266788915695941e-10, 1.430559415618821519e-09, 3.235978393575432353e-10, -6.227502867662705657e-10, 2.663862006612407120e-10, -3.617259576313463392e-10, -2.340892598169268638e-10
1.901000000000000000e+03, 1.877404156897279098e-10, -1.518759082498869330e-10, 2.150868046754496262e-10, 3.631040465270853941e-11, 6.650892139629733531e-11, -4.034783321885410660e-10, 2.808982673076096986e-10, -1.425125935711921479e-10
1.902000000000000000e+03, -2.321943697593734222e-10, -2.948102349183742833e-10, -2.680683657703764569e-10, -5.920016481421802942e-10, 3.343638119424163123e-10, 7.121579485131100900e-10, -1.681502491452568937e-11, -3.949270693367448473e-10
1.903000000000000000e+03, -1.731186954835955274e-10, 1.169930186522264575e-10, -5.181562023271692568e-11, -1.905016724264498083e-10, 5.917525409801743792e-10, 2.235652615770422369e-10, -4.309250232698099867e-10, -1.417546122072465885e-10
1.904000000000000000e+03, 7.340440373704558649e-11, 1.977281845090409103e-10, -4.963819247370229616e-11, 3.453717540116882526e-10, -9.627010707106486793e-11, -3.264801998513285592e-10, 3.901243681611322312e-10, -1.434784105262589150e-11
1.905000000000000000e+03, -3.493276137435751503e-10, 5.113082517053792704e-10, -2.936644276896626630e-10, -2.037091815287868702e-11, -9.295301473612731828e-11, 7.833974057430282962e-11, 6.411048624923760706e-10, -2.990141987299715780e-10
1.906000000000000000e+03, -1.846624329726090135e-10, 5.035945973728135595e-11, -3.008164013593846807e-10, 7.442947057797611571e-11, 7.834637753752965643e-10, 1.643842318790393811e-10, 4.744327035494083479e-10, 1.415784340902228428e-10
1.907000000000000000e+03, 3.283559753859788628e-10, -2.617007296764012896e-10, -9.104356361075392181e-10, -1.704863186691581009e-11, 3.486486398829111071e-10, -4.358199117824555328e-10, 3.339188717897763807e-10, -3.364297401981746648e-10
1.908000000000000000e+03, 7.168012108887577821e-11, 2.703176287430328771e-10, 1.650548485708366897e-10, -2.280478470096206354e-10, 1.668095320632531362e-10, 1.745714398513322264e-10, -8.718417310604039418e-11, -1.613468821557135389e-11
1.909000000000000000e+03, 6.150994330555004811e-12, -2.350994807436958112e-10, 1.860939378563527315e-10, 1.386652777928697085e-10, -5.398118254692074313e-10, 4.094912455689159172e-10, -4.200161785357260486e-11, 5.513943062024680028e-11
1.910000000000000000e+03, 3.321718909779658096e-10, 1.855110032303461791e-10, 3.608093026219048256e-10, 2.535446864832941942e-10, 2.132357126604764075e-10, 3.329121330452909828e-10, 6.679416095915070729e-11, -2.853322824215334090e-10
1.911000000000000000e+03, -1.038280806828456364e-11, -3.781768022412245640e-10, -2.785899361354490477e-10, -1.220048782052148023e-10, -7.814224541803423398e-10, 4.035052083815209896e-10, -3.371950571574568467e-10, -2.085094213917461797e-10
1.912000000000000000e+03, 3.556578978902795237e-11, -4.317286633482556802e-10, -3.210248342983081918e-10, -6.162703168008828702e-10, 5.970838922237958528e-11, -8.211680474542014202e-11, 5.157281959713918597e-10, 3.315827086358949130e-12
1.913000000000000000e+03, 5.798391717618699768e-11, -3.574167207904684356e-10, -4.541281271286919562e-10, 9.331132943365518462e-11, 3.713974326615097216e-10, 7.907911304199762536e-11, 8.290391813401252680e-10, -7.046498003643134821e-11
1.914000000000000000e+03, 2.362682921361682283e-11, 7.431613856745894293e-11, -8.840741603325425821e-10, 2.218748246427275801e-10, 3.972806175949221367e-10, 3.571835036663139010e-10, -7.918093132717956144e-11, -1.865007383671146741e-10
1.915000000000000000e+03, 1.344652745734754306e-11, -5.479680720485887903e-10, 1.670446190955762573e-10, 4.343198786107545437e-10, 1.247031656206968715e-10, -3.573593819574846479e-11, -1.166704060809562808e-10, -3.379759652555075312e-10
1.916000000000000000e+03, -1.511525391397639662e-10, 1.039313112652332637e-10, 2.757350400348410562e-10, -4.261954417685171549e-10, -8.613585776603598523e-10, -7.478473267409190925e-11, -8.271287169229413214e-11, -6.688169532928550136e-11
1.917000000000000000e+03, -4.461501184493217515e-10, -2.317994744563838849e-10, 7.935366987224788056e-10, -5.800992443411190436e-10, 6.433305585913128934e-11, -1.882904621368453340e-11, 4.024116823159618860e-10, 9.996561110911683051e-11
1.918000000000000000e+03, 2.705227736478227089e-10, 3.163896133611875697e-10, 3.879186270594910418e-10, 5.714005791651399569e-11, -5.520969565598500161e-10, 8.097945325039110442e-10, 2.409560287627304946e-10, -5.880033844736333570e-10
