year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4
1.850000000000000000e+03, 5.750241321627898472e+00, 1.485467691707531834e+01, 1.107692478966914074e+01, 1.225178278429058132e+01, 1.199890556208152326e+01, 1.110508684437935933e+01, 6.236644776627164433e+00, 7.019146018076750870e+00, 1.393017868265682857e+01, 1.387304406576387805e+01, 1.041332072908893558e+01, 9.248296120633739292e+00, 5.975617308432380703e+00, 9.108978306671511760e+00, 6.232012945704327400e+00, 1.042796747975167015e+01
1.851000000000000000e+03, 5.672976171807788681e+00, 1.541881395178996428e+01, 1.101073133527873082e+01, 1.137798751860537472e+01, 1.233276672312359601e+01, 1.032625650081471314e+01, 6.454685292896146898e+00, 7.225520730965840244e+00, 1.428784525598151411e+01, 1.344953368974966246e+01, 1.054768142834527289e+01, 9.838271290454308371e+00, 6.133344956787511570e+00, 9.571338257856485399e+00, 6.251519522824319886e+00, 1.093203199363919254e+01
1.852000000000000000e+03, 6.001163116634252503e+00, 1.562121804974793093e+01, 1.112986101255316385e+01, 1.203401140935667080e+01, 1.287841228699441132e+01, 1.015313227614601033e+01, 6.657793791556590790e+00, 6.971560944573251817e+00, 1.414794385813122801e+01, 1.438101634201350798e+01, 1.025681357167172969e+01, 9.097669149536958599e+00, 6.397949777538571858e+00, 9.302963498735650205e+00, 6.122682615547186735e+00, 1.143285212891659874e+01
1.853000000000000000e+03, 5.203407921772279288e+00, 1.514900148092056753e+01, 1.093467033710004266e+01, 1.048624328954074336e+01, 1.061379313934684099e+01, 1.080276861820241940e+01, 7.075373085903482462e+00, 7.458693700866231069e+00, 1.424466727724456661e+01, 1.356522949865716932e+01, 1.036044230939744004e+01, 9.434080651656779892e+00, 6.074055655386331409e+00, 8.926163102215410206e+00, 6.372270562321918241e+00, 1.088888616293008305e+01
1.854000000000000000e+03, 5.495336099968864296e+00, 1.506605707530492744e+01, 1.122786720628547741e+01, 1.013491854548666815e+01, 1.170586370076987848e+01, 1.088668053992672213e+01, 6.386242551766190267e+00, 7.406184278005436106e+00, 1.352356838591970245e+01, 1.345066996145698113e+01, 1.048057763911643470e+01, 9.761944916618617185e+00, 6.155423506721116489e+00, 8.976842135370207032e+00, 5.835032445686092473e+00, 1.156246505265001900e+01
1.855000000000000000e+03, 5.852072134304385109e+00, 1.498320459867965226e+01, 1.093293414527734164e+01, 1.104428637154955695e+01, 1.193523041885027069e+01, 1.151157725220477346e+01, 6.993845255886951939e+00, 7.280292883341073384e+00, 1.488638044930147508e+01, 1.455029701266978037e+01, 1.029588226616596280e+01, 8.692199167816289318e+00, 6.164080699817223064e+00, 9.301556024044337789e+00, 6.022431794083031420e+00, 1.177744696244652900e+01
1.856000000000000000e+03, 5.712668698035872517e+00, 1.485258397956261511e+01, 1.103046311807037405e+01, 1.098174519338404309e+01, 1.249100075411062072e+01, 1.006893203677411819e+01, 6.774834551381034409e+00, 7.165484913758780827e+00, 1.446911350524269047e+01, 1.310710863508594493e+01, 9.999112154549719023e+00, 9.450331216073328378e+00, 5.892968803841850622e+00, 9.131869875547540261e+00, 6.169589796955383676e+00, 1.144997414015392323e+01
1.857000000000000000e+03, 5.748089781525112407e+00, 1.463911796986745451e+01, 1.117633557097440899e+01, 1.066723941961837419e+01, 1.247039973741856222e+01, 1.054749054372381778e+01, 6.337982649340228924e+00, 7.640835129916183632e+00, 1.511487460330030430e+01, 1.407406551977624787e+01, 1.004893822499266776e+01, 9.523861269493568926e+00, 6.301462075685680730e+00, 9.716992849039490565e+00, 5.868361325576477050e+00, 1.085106184144371078e+01
1.858000000000000000e+03, 5.982513910699123194e+00, 1.485653003197385935e+01, 1.087522820349751740e+01, 1.153834144646226889e+01, 1.192179133505017141e+01, 1.037286800294171307e+01, 7.088626511136383535e+00, 7.484152904158347219e+00, 1.434397777703827792e+01, 1.391569064829080027e+01, 1.099067527457005156e+01, 9.529728029053289973e+00, 6.086293083686665106e+00, 1.028768004666119396e+01, 5.923911840169765242e+00, 1.141412243094421441e+01
1.859000000000000000e+03, 5.921623812839929890e+00, 1.478623780789285824e+01, 1.113490080875129884e+01, 1.190551261461755672e+01, 1.236968161229160756e+01, 9.830309123508607527e+00, 7.114135941039201327e+00, 6.995360479828644173e+00, 1.442256609762083208e+01, 1.466137916668790453e+01, 1.054552630759954823e+01, 8.503749890302140457e+00, 6.078684665078758265e+00, 9.619403990271058191e+00, 6.180218448148389498e+00, 1.125784764376641611e+01
