year, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, CanESM5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM5-0, MIROC-ES2L
1.850000000000000000e+03, 2.971968096183840657e+02, 2.943964375754665639e+02, 2.969700952624837100e+02, 2.956594940453059053e+02, 2.957582250525815653e+02, 2.957670166390238364e+02, 2.968061016848058671e+02, 2.970624043418267775e+02, 2.964970618229395427e+02, 2.967898586989195451e+02, 2.960883979027492501e+02, 2.966934301337807369e+02, 2.966033158134102337e+02, 2.949985758391238164e+02, 2.955081302165901320e+02, 2.971534886534261659e+02
1.851000000000000000e+03, 2.970741728457463751e+02, 2.944647268211227811e+02, 2.973002167905904116e+02, 2.956460933635250399e+02, 2.956343208911158058e+02, 2.961383021129203712e+02, 2.969295995300447544e+02, 2.964837387125340342e+02, 2.966175125326478224e+02, 2.965346695254182237e+02, 2.953705335228112858e+02, 2.964858340405389185e+02, 2.967449561917536585e+02, 2.949109278900183426e+02, 2.954673988362722525e+02, 2.976035263626145024e+02
1.852000000000000000e+03, 2.966360549190407596e+02, 2.943767459101952682e+02, 2.968928415458159975e+02, 2.956185208861059550e+02, 2.957580735774246818e+02, 2.959927974652426883e+02, 2.971415158412099231e+02, 2.966100345025363367e+02, 2.965136788669418593e+02, 2.963529069660746700e+02, 2.955716721057291920e+02, 2.965043686868086183e+02, 2.966359671294002851e+02, 2.952303014181075014e+02, 2.955929761580321724e+02, 2.974357561124093081e+02
1.853000000000000000e+03, 2.972880242957386372e+02, 2.945102082260438578e+02, 2.969195782366619483e+02, 2.961525526282210308e+02, 2.956047348256389000e+02, 2.970559788585989054e+02, 2.966167086586358437e+02, 2.971500169640208924e+02, 2.969768963916308735e+02, 2.964552641569039793e+02, 2.960500791198074921e+02, 2.965519398309568260e+02, 2.969489035998076929e+02, 2.953666884486050321e+02, 2.953159024269759811e+02, 2.971592174153686301e+02
1.854000000000000000e+03, 2.973821661795449245e+02, 2.947366029488703703e+02, 2.974283831147643582e+02, 2.954382150268668283e+02, 2.956405137164806547e+02, 2.967383456653405460e+02, 2.968699926787672325e+02, 2.968211071897449642e+02, 2.967732380840947144e+02, 2.965294664050831557e+02, 2.959492337227318330e+02, 2.970704085563490366e+02, 2.966707575393943443e+02, 2.949822803377834362e+02, 2.954633207813100739e+02, 2.967485551224928031e+02
1.855000000000000000e+03, 2.970738521368625129e+02, 2.945980914595928652e+02, 2.972330175927357345e+02, 2.954092271735307804e+02, 2.956794225067161506e+02, 2.964255184212880749e+02, 2.961893098665360071e+02, 2.967685128506821002e+02, 2.960149438150804713e+02, 2.964309188137913793e+02, 2.959827059207117372e+02, 2.970896010773576563e+02, 2.962010685807238701e+02, 2.951304627260263374e+02, 2.957021209504524109e+02, 2.972964448613291779e+02
1.856000000000000000e+03, 2.974019892830736467e+02, 2.947195888582992325e+02, 2.966903778596550296e+02, 2.957653226820971781e+02, 2.956549165869315061e+02, 2.962896408354795312e+02, 2.966783525651386526e+02, 2.970637123426604376e+02, 2.967601434096384310e+02, 2.967014111944039314e+02, 2.958320679536303714e+02, 2.962216433858255300e+02, 2.968490672115577809e+02, 2.951023072596993302e+02, 2.954351534874878666e+02, 2.972965005121337754e+02
1.857000000000000000e+03, 2.972675935948429355e+02, 2.947714828496768860e+02, 2.971047147471018661e+02, 2.959481891590850182e+02, 2.954784204894507980e+02, 2.965030619654141333e+02, 2.969385774854855526e+02, 2.973055096486876892e+02, 2.970235348585602537e+02, 2.965577268570233400e+02, 2.959062384903082261e+02, 2.961208724859533845e+02, 2.967128585378308685e+02, 2.950042506165146960e+02, 2.955551634143835713e+02, 2.974528446011366896e+02
1.858000000000000000e+03, 2.971260120471496293e+02, 2.947388493424106741e+02, 2.973135833635457743e+02, 2.952980358827647365e+02, 2.955589606309450801e+02, 2.962774989619942971e+02, 2.963430736013565934e+02, 2.970635613625308906e+02, 2.967715821875817142e+02, 2.963571898834499052e+02, 2.958299495715622243e+02, 2.963601182015134441e+02, 2.967658255835090131e+02, 2.954678121572677014e+02, 2.956911740914420079e+02, 2.974385491403235164e+02
1.859000000000000000e+03, 2.973482805182129027e+02, 2.946741592942948955e+02, 2.966536845017110977e+02, 2.955795107707444913e+02, 2.956319947716852425e+02, 2.961499634145091022e+02, 2.965399903351840294e+02, 2.972323949850089093e+02, 2.964970881810230026e+02, 2.965594649599580066e+02, 2.959370439263466324e+02, 2.963512150253426967e+02, 2.969966966471401406e+02, 2.950574597433753183e+02, 2.956922603974464892e+02, 2.971753662686039092e+02
