year, ACCESS-ESM1-5, MIROC-ES2L, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg
2.015000000000000000e+03, 6.086846308184006737e+00, 3.682144236076848642e+01, 2.001335733404645012e+01, 3.521097369694806467e+00, 2.390961404126512946e+01, 4.916582649749621226e+00, 2.622258508232431851e+01, 1.430870176809208338e+01, 3.110861207933285044e+01, 2.043847457194698070e+00, 3.336378321838078254e+00, 2.883210694433986809e+00, 6.027971363251086068e+00
2.016000000000000000e+03, 6.213890941138719981e+00, 3.682184611030734800e+01, 1.988718437591444399e+01, 3.565217495319252361e+00, 2.397733446395456269e+01, 5.364477250486218374e+00, 2.604505873050733555e+01, 1.442635300610804983e+01, 3.117962190967346814e+01, 2.448828428906689947e+00, 3.287842328174723772e+00, 3.017656374851822587e+00, 6.070285298923831618e+00
2.017000000000000000e+03, 6.318085936563471172e+00, 3.711386713046449870e+01, 2.026522777767827677e+01, 3.453479370114279412e+00, 2.392868879586056963e+01, 5.109664382039679431e+00, 2.619314582209356956e+01, 1.457916356161169169e+01, 3.126390326248809615e+01, 2.057662362836300662e+00, 3.324409064234556510e+00, 3.047582618850547931e+00, 6.363604208804556350e+00
2.018000000000000000e+03, 6.348824613418551088e+00, 3.721067689339612627e+01, 2.038474759567803218e+01, 3.531972084602346129e+00, 2.378614714615687120e+01, 4.905299600137346339e+00, 2.606233835081069472e+01, 1.439723041472140963e+01, 3.128684673454596421e+01, 2.021625952789585678e+00, 3.341664632985982930e+00, 2.960842098545565904e+00, 6.178710472199696824e+00
2.019000000000000000e+03, 6.385917472826193375e+00, 3.710749260354278078e+01, 2.022445226319544531e+01, 3.352742494893768299e+00, 2.386583702689367215e+01, 5.348008348971419856e+00, 2.598228501814502778e+01, 1.454378116804845789e+01, 3.122485223489812967e+01, 1.934309612475983320e+00, 3.294007833705686394e+00, 3.075045910761048162e+00, 6.143983603963725670e+00
2.020000000000000000e+03, 6.291135054894183121e+00, 3.701358605772162491e+01, 2.051298339843616247e+01, 3.486436309647411136e+00, 2.385756997348710584e+01, 5.280757227822261868e+00, 2.603073293162939095e+01, 1.475693393224068828e+01, 3.129523679253948032e+01, 2.340373584380026628e+00, 3.356636999757086404e+00, 3.074804240746803252e+00, 6.153296600214547496e+00
2.021000000000000000e+03, 6.066424209710868709e+00, 3.707565825443551688e+01, 2.036307404884640349e+01, 3.436105819648304749e+00, 2.379383190843885387e+01, 5.179843464657235330e+00, 2.609054346973493210e+01, 1.481194443464733190e+01, 3.138015324953543228e+01, 2.343650014721367469e+00, 3.381179602179445798e+00, 2.990917586960078367e+00, 6.332156570883149982e+00
2.022000000000000000e+03, 6.097267614248004008e+00, 3.717144584372702099e+01, 2.055764289591626692e+01, 3.508194224677728457e+00, 2.373947215206273142e+01, 5.065501553248716426e+00, 2.618724451466042069e+01, 1.473057565941126867e+01, 3.157168408511580537e+01, 2.105971118257126573e+00, 3.433070847724506880e+00, 3.051840336538177212e+00, 6.449529649201314108e+00
2.023000000000000000e+03, 6.197936489865469412e+00, 3.708762416166005949e+01, 2.090210901814431210e+01, 3.498981279156789803e+00, 2.391960611387173330e+01, 5.423313941856904741e+00, 2.592442071914516077e+01, 1.465688788967405998e+01, 3.175068551958377583e+01, 2.090747993875722521e+00, 3.376055152705627282e+00, 3.056977640752746250e+00, 6.096743040233818078e+00
2.024000000000000000e+03, 6.212465772803592579e+00, 3.703837303526026403e+01, 2.069048054321306651e+01, 3.488818799609711085e+00, 2.392546078715570346e+01, 5.693023245645917108e+00, 2.598736251711145329e+01, 1.470202731141935715e+01, 3.182191927649647667e+01, 2.071242823738450589e+00, 3.376314639759271596e+00, 3.092174096473038869e+00, 6.082260899889583960e+00
