year, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL, ACCESS-ESM1-5
2.015000000000000000e+03, 8.772404319438396880e-02, 3.974511418880086189e-01, 1.509540780033490126e+00, 2.540960246080523066e-01, 8.326836009499717361e-01, 3.488548994842230577e+00, 1.300259715265246474e-01, 3.019189094982130950e-01, 1.338593130259466690e+00
2.016000000000000000e+03, 8.264327204979045327e-02, 3.688251696339837626e-01, 1.491409633628624887e+00, 2.608646361920410328e-01, 8.068749356878373025e-01, 3.442336219859781554e+00, 1.263192524294796948e-01, 2.734220359790215937e-01, 1.473928239685775354e+00
2.017000000000000000e+03, 7.750412588276554826e-02, 3.426540524444394720e-01, 1.488767171733716088e+00, 2.657161839440649875e-01, 7.970126365518502842e-01, 3.405429138793036881e+00, 1.227884466931364049e-01, 2.571081381011091072e-01, 1.427267221979796830e+00
2.018000000000000000e+03, 7.241458151007147681e-02, 3.143100699606807824e-01, 1.477708624597553255e+00, 2.691108909471431332e-01, 7.756306922262745651e-01, 3.369143618322557376e+00, 1.195227032996427075e-01, 2.453234376946984430e-01, 1.395696000416577043e+00
2.019000000000000000e+03, 6.642171150074252517e-02, 2.881716437872786085e-01, 1.465442433824782231e+00, 2.712067208855709621e-01, 7.666893902507437852e-01, 3.336814908473061614e+00, 1.163738556489964660e-01, 2.356557648106194780e-01, 1.371042052469860550e+00
2.020000000000000000e+03, 6.300177460371944593e-02, 2.661230060962687105e-01, 1.445828334609262189e+00, 2.654767073301116387e-01, 7.544377398547654767e-01, 3.283848188519699285e+00, 1.133155434892908486e-01, 2.268724083286006443e-01, 1.350314489318747757e+00
2.021000000000000000e+03, 5.766953414045670329e-02, 2.442725947709796230e-01, 1.426338226917318375e+00, 2.536281499237666992e-01, 7.264326569475234585e-01, 3.245678733399810501e+00, 1.099879099536673899e-01, 2.174346977564117489e-01, 1.352824525206118622e+00
2.022000000000000000e+03, 5.218270850213232309e-02, 2.248989571675975574e-01, 1.417849536819627554e+00, 2.431063292261962105e-01, 6.936776386838188202e-01, 3.217554713018406343e+00, 1.067154806581819687e-01, 2.090932706301325827e-01, 1.353472286105315225e+00
2.023000000000000000e+03, 4.737681675670239040e-02, 2.105069764786866027e-01, 1.411845759633522102e+00, 2.340653202734081506e-01, 6.668516996609507030e-01, 3.195378705861582347e+00, 1.036304495873939385e-01, 2.016980407605289960e-01, 1.353977412618202258e+00
2.024000000000000000e+03, 4.386691644671204815e-02, 1.994205722229873967e-01, 1.401039287762178898e+00, 2.263769344089978375e-01, 6.542401915853993666e-01, 3.176712069308068376e+00, 1.006031025598985718e-01, 1.949703053583797252e-01, 1.354469953539462868e+00
2.025000000000000000e+03, 4.169400269617234978e-02, 1.921334444300586697e-01, 1.400273269804459764e+00, 2.188254500461904728e-01, 6.275623993624639407e-01, 3.168102493010899856e+00, 9.776550080762919093e-02, 1.887694213685069677e-01, 1.355398368144288046e+00
2.026000000000000000e+03, 3.918699804391728020e-02, 1.876468380188401619e-01, 1.404127024473235119e+00, 2.115323466700590183e-01, 6.162403206327268235e-01, 3.162711807974528888e+00, 9.494213224071788859e-02, 1.830472102851251892e-01, 1.343988534452899453e+00
2.027000000000000000e+03, 3.681207735914217294e-02, 1.829880064440004839e-01, 1.403045128393858754e+00, 2.054328526032876967e-01, 5.991617987729385142e-01, 3.162645311995368136e+00, 9.224747483803516501e-02, 1.777539853979339946e-01, 1.334895928053141612e+00
2.028000000000000000e+03, 3.501931413402704224e-02, 1.784743791879224162e-01, 1.414958744712276673e+00, 2.004616655855181728e-01, 5.938714790008171596e-01, 3.163814011512930069e+00, 8.968486183453761029e-02, 1.728360777790627079e-01, 1.326909611414247125e+00
2.029000000000000000e+03, 3.343936320373994825e-02, 1.748269457364212409e-01, 1.425352193171604664e+00, 1.964558195654620698e-01, 5.828307300658130963e-01, 3.164845040591822478e+00, 8.721368166744801476e-02, 1.683065554493442528e-01, 1.319788006833090277e+00
2.030000000000000000e+03, 3.222678655822462657e-02, 1.716790099034397610e-01, 1.418091114960225330e+00, 1.925383363043588481e-01, 5.738365982729495274e-01, 3.173953320354899521e+00, 8.493227890988845619e-02, 1.640743763544687261e-01, 1.313282760821931072e+00
2.031000000000000000e+03, 3.159126498064689786e-02, 1.710629946755140851e-01, 1.389262125292378691e+00, 1.886787083165548384e-01, 5.723627273466092014e-01, 3.182392141709484701e+00, 8.270810744615504639e-02, 1.600964083595924625e-01, 1.291212217529905226e+00
