year, NorESM2-MM, CNRM-ESM2-1, NorESM2-LM, TaiESM1, GFDL-ESM4
2.015000000000000000e+03, 1.114617850034635459e-09, 8.292446681215701697e-10, 5.116356560634745604e-10, 3.799935759013830563e-10, 1.062715778310546925e-09
2.016000000000000000e+03, 7.322893118009631571e-10, 8.428320499307610600e-10, 6.100802274802951688e-10, 4.596918185837881914e-10, 1.091124193431034859e-09
2.017000000000000000e+03, 8.685617364295548574e-10, 7.587580518761785704e-10, 7.485688676862043548e-10, 3.534526560117922221e-10, 1.370149275192834666e-09
2.018000000000000000e+03, 8.887115240041765908e-10, 6.324821310885846254e-10, 8.983889877212081802e-10, 3.136373335372409289e-10, 1.209933819339884472e-09
2.019000000000000000e+03, 8.471060575613667185e-10, 1.006529336614162183e-09, 7.254884241772297681e-10, 2.968091042025220741e-10, 1.180526379065696665e-09
2.020000000000000000e+03, 9.671640350921529680e-10, 8.913541936544842356e-10, 9.493506520632980560e-10, 3.535350381544744217e-10, 1.171686670972198782e-09
2.021000000000000000e+03, 6.134355436289722365e-10, 7.505525259951743122e-10, 6.728046350993292562e-10, 4.418559328352616668e-10, 1.385509876713162669e-09
2.022000000000000000e+03, 7.748085854946431900e-10, 6.869821314429872306e-10, 6.314515468533898579e-10, 3.713416316117025948e-10, 1.333595886053124167e-09
2.023000000000000000e+03, 7.135688852781720968e-10, 7.355619805216795705e-10, 6.759053040682577280e-10, 3.396861219011313561e-10, 1.479717660293445272e-09
2.024000000000000000e+03, 7.707210452617125055e-10, 6.226850441244723347e-10, 6.632450399679894449e-10, 3.138482346198958288e-10, 1.123713977215438936e-09
2.025000000000000000e+03, 7.885626867565161512e-10, 7.758270917894606649e-10, 4.329087229230289058e-10, 4.561313095681309662e-10, 8.732998522270080515e-10
2.026000000000000000e+03, 6.726474117079054430e-10, 8.083843965205911162e-10, 6.654387843479707411e-10, 3.453209033800409082e-10, 1.288457916942795829e-09
2.027000000000000000e+03, 6.446785273485864469e-10, 6.273570690000627883e-10, 8.570723871709978601e-10, 3.050801063654097671e-10, 1.153305880721604936e-09
2.028000000000000000e+03, 7.937691201990989083e-10, 8.293725750702387957e-10, 7.860816440375687666e-10, 4.384013098126700090e-10, 1.186153721518547382e-09
2.029000000000000000e+03, 8.518491501600064552e-10, 7.329105181061272281e-10, 6.479378511366785883e-10, 4.458338721767250821e-10, 1.343136510767813591e-09
2.030000000000000000e+03, 6.504909109534960708e-10, 6.477012203761808593e-10, 6.755731252337516646e-10, 3.431629398456002746e-10, 1.346055958204094520e-09
2.031000000000000000e+03, 8.741559392623882793e-10, 7.878656796199326127e-10, 4.686963583488078718e-10, 4.214031901296166233e-10, 1.216096170548616858e-09
2.032000000000000000e+03, 8.930182622594669909e-10, 7.540809095243848646e-10, 4.374750148354107513e-10, 5.016107788145256380e-10, 1.406163708357120265e-09
2.033000000000000000e+03, 5.607076034717262279e-10, 5.311774031410179073e-10, 5.716716804529970766e-10, 4.380892084827070798e-10, 1.308214681445659148e-09
2.034000000000000000e+03, 6.001649812815697196e-10, 8.193694235128982694e-10, 5.998719152030328958e-10, 4.625631238014508783e-10, 1.244467163263882550e-09
2.035000000000000000e+03, 5.047247820744680437e-10, 7.824917119885148138e-10, 4.847786674900585961e-10, 4.600675769532848048e-10, 1.688970344147324230e-09
2.036000000000000000e+03, 7.389517781358549002e-10, 4.288353385561602352e-10, 5.828852590411456952e-10, 4.896062995491700092e-10, 1.187410576065506148e-09
2.037000000000000000e+03, 4.751700177068120581e-10, 8.680255492546390045e-10, 5.925087063352207534e-10, 3.929821765225943956e-10, 1.274635161666911006e-09
2.038000000000000000e+03, 7.660637638493195554e-10, 8.174501875758983321e-10, 8.401799412969947258e-10, 5.350246500332861746e-10, 1.387479870754209934e-09
2.039000000000000000e+03, 8.977548170300457432e-10, 6.130143747031041826e-10, 5.254370724748636713e-10, 4.679441972261754791e-10, 1.837045194725380977e-09
2.040000000000000000e+03, 6.567418792819015025e-10, 5.467113271074167068e-10, 6.154938113764882266e-10, 4.326588238252543489e-10, 1.464521539344515881e-09
2.041000000000000000e+03, 5.779060496826406862e-10, 5.714857733757159468e-10, 5.395615906979361194e-10, 4.445873222088751552e-10, 1.703786407750866446e-09
2.042000000000000000e+03, 6.796423799872283271e-10, 5.387110685168013692e-10, 5.285076056200702514e-10, 3.147871853255325644e-10, 1.179216634262597632e-09
2.043000000000000000e+03, 6.765496037603959267e-10, 3.442861174738579185e-10, 5.716864919827097375e-10, 4.322529702911440289e-10, 1.293844722585089016e-09
2.044000000000000000e+03, 5.112603452421041195e-10, 6.513563297877898136e-10, 5.423208243925290004e-10, 3.296863109101605057e-10, 1.822775258068207118e-09
2.045000000000000000e+03, 5.382133125192519740e-10, 6.441683958819792031e-10, 5.336868221058041891e-10, 2.967968348940681106e-10, 1.275265754451867623e-09
