year, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, TaiESM1, GFDL-ESM4
2.015000000000000000e+03, 1.052951110239680494e-09, 1.114617850034635459e-09, 7.538863825108626743e-10, 8.292446681215701697e-10, 8.292446681215701697e-10, 5.116356560634745604e-10, 3.799935759013830563e-10, 6.805862921343767611e-10, 1.114617850034635459e-09, 1.127190807966125417e-09, 3.799935759013830563e-10, 1.062715778310546925e-09
2.016000000000000000e+03, 1.328443631223155957e-09, 7.322893118009631571e-10, 7.669776923718223475e-10, 8.428320499307610600e-10, 8.428320499307610600e-10, 6.100802274802951688e-10, 4.596918185837881914e-10, 8.203164831002932546e-10, 7.322893118009631571e-10, 1.153776926988139534e-09, 4.596918185837881914e-10, 1.091124193431034859e-09
2.017000000000000000e+03, 1.335209344717348933e-09, 8.685617364295548574e-10, 7.839763739762209912e-10, 7.587580518761785704e-10, 7.587580518761785704e-10, 7.485688676862043548e-10, 3.534526560117922221e-10, 7.557943561038007649e-10, 8.685617364295548574e-10, 1.432597231495164176e-09, 3.534526560117922221e-10, 1.370149275192834666e-09
2.018000000000000000e+03, 1.270707894443979615e-09, 8.887115240041765908e-10, 7.639214835555218786e-10, 6.324821310885846254e-10, 6.324821310885846254e-10, 8.983889877212081802e-10, 3.136373335372409289e-10, 9.711469451209090312e-10, 8.887115240041765908e-10, 1.271418115525437449e-09, 3.136373335372409289e-10, 1.209933819339884472e-09
2.019000000000000000e+03, 1.241117280229054203e-09, 8.471060575613667185e-10, 6.972310814137310073e-10, 1.006529336614162183e-09, 1.006529336614162183e-09, 7.254884241772297681e-10, 2.968091042025220741e-10, 7.058690277730241172e-10, 8.471060575613667185e-10, 1.241410569370442982e-09, 2.968091042025220741e-10, 1.180526379065696665e-09
2.020000000000000000e+03, 1.299922479920837450e-09, 9.671640350921529680e-10, 7.546935343863537220e-10, 8.913541936544842356e-10, 8.913541936544842356e-10, 9.493506520632980560e-10, 3.535350381544744217e-10, 8.297826507729059008e-10, 9.671640350921529680e-10, 1.234492653233703332e-09, 3.535350381544744217e-10, 1.171686670972198782e-09
2.021000000000000000e+03, 1.482566038834970824e-09, 6.134355436289722365e-10, 8.185535328514472257e-10, 7.505525259951743122e-10, 7.505525259951743122e-10, 6.728046350993292562e-10, 4.418559328352616668e-10, 5.353565958127079817e-10, 6.134355436289722365e-10, 1.448677876942750457e-09, 4.418559328352616668e-10, 1.385509876713162669e-09
2.022000000000000000e+03, 1.208052835576630805e-09, 7.748085854946431900e-10, 8.044391221957746906e-10, 6.869821314429872306e-10, 6.869821314429872306e-10, 6.314515468533898579e-10, 3.713416316117025948e-10, 8.806534906583986373e-10, 7.748085854946431900e-10, 1.395720096707118519e-09, 3.713416316117025948e-10, 1.333595886053124167e-09
2.023000000000000000e+03, 1.215523486577112969e-09, 7.135688852781720968e-10, 7.625036716363347002e-10, 7.355619805216795705e-10, 7.355619805216795705e-10, 6.759053040682577280e-10, 3.396861219011313561e-10, 6.817553339362695477e-10, 7.135688852781720968e-10, 1.541212154105085579e-09, 3.396861219011313561e-10, 1.479717660293445272e-09
2.024000000000000000e+03, 1.647532133168455752e-09, 7.707210452617125055e-10, 8.199703579144035310e-10, 6.226850441244723347e-10, 6.226850441244723347e-10, 6.632450399679894449e-10, 3.138482346198958288e-10, 7.115261140753966243e-10, 7.707210452617125055e-10, 1.185798985027563009e-09, 3.138482346198958288e-10, 1.123713977215438936e-09
2.025000000000000000e+03, 1.360370936206022773e-09, 7.885626867565161512e-10, 8.274476921350483068e-10, 7.758270917894606649e-10, 7.758270917894606649e-10, 4.329087229230289058e-10, 4.561313095681309662e-10, 5.500775590739300637e-10, 7.885626867565161512e-10, 9.346318678624709614e-10, 4.561313095681309662e-10, 8.732998522270080515e-10
2.026000000000000000e+03, 8.204153252948889627e-10, 6.726474117079054430e-10, 8.749430035114734189e-10, 8.083843965205911162e-10, 8.083843965205911162e-10, 6.654387843479707411e-10, 3.453209033800409082e-10, 9.730678529715019748e-10, 6.726474117079054430e-10, 1.348954062035853482e-09, 3.453209033800409082e-10, 1.288457916942795829e-09
2.027000000000000000e+03, 1.535293217138466746e-09, 6.446785273485864469e-10, 7.375994834480355641e-10, 6.273570690000627883e-10, 6.273570690000627883e-10, 8.570723871709978601e-10, 3.050801063654097671e-10, 8.108989405612320109e-10, 6.446785273485864469e-10, 1.213354572563069009e-09, 3.050801063654097671e-10, 1.153305880721604936e-09
2.028000000000000000e+03, 1.623564916170334630e-09, 7.937691201990989083e-10, 7.502267033631994135e-10, 8.293725750702387957e-10, 8.293725750702387957e-10, 7.860816440375687666e-10, 4.384013098126700090e-10, 8.746600162715312031e-10, 7.937691201990989083e-10, 1.246809880507538422e-09, 4.384013098126700090e-10, 1.186153721518547382e-09
2.029000000000000000e+03, 1.502206355035866471e-09, 8.518491501600064552e-10, 9.294026381042641530e-10, 7.329105181061272281e-10, 7.329105181061272281e-10, 6.479378511366785883e-10, 4.458338721767250821e-10, 7.182627958624230570e-10, 8.518491501600064552e-10, 1.402234969026591886e-09, 4.458338721767250821e-10, 1.343136510767813591e-09
2.030000000000000000e+03, 1.761614907568659375e-09, 6.504909109534960708e-10, 8.772788189230055798e-10, 6.477012203761808593e-10, 6.477012203761808593e-10, 6.755731252337516646e-10, 3.431629398456002746e-10, 6.040993036872458785e-10, 6.504909109534960708e-10, 1.405416432653004500e-09, 3.431629398456002746e-10, 1.346055958204094520e-09
2.031000000000000000e+03, 1.342469014112049192e-09, 8.741559392623882793e-10, 7.738352619408682234e-10, 7.878656796199326127e-10, 7.878656796199326127e-10, 4.686963583488078718e-10, 4.214031901296166233e-10, 9.173869136074667526e-10, 8.741559392623882793e-10, 1.275998185501988430e-09, 4.214031901296166233e-10, 1.216096170548616858e-09
2.032000000000000000e+03, 1.496500244014598045e-09, 8.930182622594669909e-10, 7.431947580145527062e-10, 7.540809095243848646e-10, 7.540809095243848646e-10, 4.374750148354107513e-10, 5.016107788145256380e-10, 9.530775506172341346e-10, 8.930182622594669909e-10, 1.465433477145930516e-09, 5.016107788145256380e-10, 1.406163708357120265e-09
2.033000000000000000e+03, 1.145007085346729401e-09, 5.607076034717262279e-10, 8.627757115417107131e-10, 5.311774031410179073e-10, 5.311774031410179073e-10, 5.716716804529970766e-10, 4.380892084827070798e-10, 8.088959233027724270e-10, 5.607076034717262279e-10, 1.368269425542063547e-09, 4.380892084827070798e-10, 1.308214681445659148e-09
2.034000000000000000e+03, 1.004004953728322196e-09, 6.001649812815697196e-10, 7.680616144011754073e-10, 8.193694235128982694e-10, 8.193694235128982694e-10, 5.998719152030328958e-10, 4.625631238014508783e-10, 6.084289717013783773e-10, 6.001649812815697196e-10, 1.305155783945850757e-09, 4.625631238014508783e-10, 1.244467163263882550e-09
2.035000000000000000e+03, 1.649021912091655206e-09, 5.047247820744680437e-10, 8.644178510955417187e-10, 7.824917119885148138e-10, 7.824917119885148138e-10, 4.847786674900585961e-10, 4.600675769532848048e-10, 7.644378736712888672e-10, 5.047247820744680437e-10, 1.749056396860770007e-09, 4.600675769532848048e-10, 1.688970344147324230e-09
2.036000000000000000e+03, 1.673430562897734964e-09, 7.389517781358549002e-10, 8.666847161489456643e-10, 4.288353385561602352e-10, 4.288353385561602352e-10, 5.828852590411456952e-10, 4.896062995491700092e-10, 7.403210359405003680e-10, 7.389517781358549002e-10, 1.248666027172169842e-09, 4.896062995491700092e-10, 1.187410576065506148e-09
2.037000000000000000e+03, 1.344944474300325029e-09, 4.751700177068120581e-10, 8.231440298169036493e-10, 8.680255492546390045e-10, 8.680255492546390045e-10, 5.925087063352207534e-10, 3.929821765225943956e-10, 8.291648586394853787e-10, 4.751700177068120581e-10, 1.335767207751943135e-09, 3.929821765225943956e-10, 1.274635161666911006e-09
2.038000000000000000e+03, 1.472020723593444585e-09, 7.660637638493195554e-10, 8.489883400488092704e-10, 8.174501875758983321e-10, 8.174501875758983321e-10, 8.401799412969947258e-10, 5.350246500332861746e-10, 8.166680728915968965e-10, 7.660637638493195554e-10, 1.448236750382335445e-09, 5.350246500332861746e-10, 1.387479870754209934e-09
2.039000000000000000e+03, 1.179383061810440796e-09, 8.977548170300457432e-10, 7.908003717688987459e-10, 6.130143747031041826e-10, 6.130143747031041826e-10, 5.254370724748636713e-10, 4.679441972261754791e-10, 8.429540462242995782e-10, 8.977548170300457432e-10, 1.899639574876997557e-09, 4.679441972261754791e-10, 1.837045194725380977e-09
2.040000000000000000e+03, 1.506876517488458057e-09, 6.567418792819015025e-10, 8.023763300853087525e-10, 5.467113271074167068e-10, 5.467113271074167068e-10, 6.154938113764882266e-10, 4.326588238252543489e-10, 5.389649763366307105e-10, 6.567418792819015025e-10, 1.526609080768867069e-09, 4.326588238252543489e-10, 1.464521539344515881e-09
2.041000000000000000e+03, 1.434476127796452804e-09, 5.779060496826406862e-10, 8.255040372464138636e-10, 5.714857733757159468e-10, 5.714857733757159468e-10, 5.395615906979361194e-10, 4.445873222088751552e-10, 6.788594631095368875e-10, 5.779060496826406862e-10, 1.765036328900050300e-09, 4.445873222088751552e-10, 1.703786407750866446e-09
2.042000000000000000e+03, 1.376567637915696520e-09, 6.796423799872283271e-10, 8.121864630947711644e-10, 5.387110685168013692e-10, 5.387110685168013692e-10, 5.285076056200702514e-10, 3.147871853255325644e-10, 7.733211565718904385e-10, 6.796423799872283271e-10, 1.242064083798827716e-09, 3.147871853255325644e-10, 1.179216634262597632e-09
2.043000000000000000e+03, 1.789202700841290884e-09, 6.765496037603959267e-10, 7.305665349207843898e-10, 3.442861174738579185e-10, 3.442861174738579185e-10, 5.716864919827097375e-10, 4.322529702911440289e-10, 5.383505943369393317e-10, 6.765496037603959267e-10, 1.356155925275124348e-09, 4.322529702911440289e-10, 1.293844722585089016e-09
2.044000000000000000e+03, 1.635268484192777862e-09, 5.112603452421041195e-10, 8.108776784206780157e-10, 6.513563297877898136e-10, 6.513563297877898136e-10, 5.423208243925290004e-10, 3.296863109101605057e-10, 1.078493595917539396e-09, 5.112603452421041195e-10, 1.884802637488055676e-09, 3.296863109101605057e-10, 1.822775258068207118e-09
2.045000000000000000e+03, 1.036447024458365605e-09, 5.382133125192519740e-10, 7.984674680782223819e-10, 6.441683958819792031e-10, 6.441683958819792031e-10, 5.336868221058041891e-10, 2.967968348940681106e-10, 7.582842020081772749e-10, 5.382133125192519740e-10, 1.336495641686952040e-09, 2.967968348940681106e-10, 1.275265754451867623e-09
2.046000000000000000e+03, 1.143603807400718386e-09, 6.016302851323117241e-10, 8.308284922346563511e-10, 5.645483981218696546e-10, 5.645483981218696546e-10, 6.184545718761134151e-10, 6.279945367315705300e-10, 6.169114586451092615e-10, 6.016302851323117241e-10, 1.700164443456272424e-09, 6.279945367315705300e-10, 1.640833297275001565e-09
2.047000000000000000e+03, 1.276410651941231329e-09, 5.121467860721330732e-10, 8.757844638777683908e-10, 5.186349676964379713e-10, 5.186349676964379713e-10, 6.456573526908089215e-10, 4.082340888456087262e-10, 7.241337484518547799e-10, 5.121467860721330732e-10, 1.690858916301246834e-09, 4.082340888456087262e-10, 1.631458293706897938e-09
2.048000000000000000e+03, 1.917680515661500325e-09, 6.194392316171285496e-10, 8.828543263494015914e-10, 4.346238161306553232e-10, 4.346238161306553232e-10, 4.814562409350691707e-10, 3.100586711648864369e-10, 9.307669260286973550e-10, 6.194392316171285496e-10, 1.441501113683413366e-09, 3.100586711648864369e-10, 1.381039187273156645e-09
2.049000000000000000e+03, 1.231610047519762073e-09, 7.216941045820820939e-10, 8.135737034875433420e-10, 6.456091228576333745e-10, 6.456091228576333745e-10, 5.514708796230717349e-10, 3.592557849197500375e-10, 4.449159798445308669e-10, 7.216941045820820939e-10, 1.498529532421848937e-09, 3.592557849197500375e-10, 1.438660469962823296e-09
2.050000000000000000e+03, 1.396955509784226999e-09, 6.986220196446676267e-10, 7.618780024230797549e-10, 5.058919649978922024e-10, 5.058919649978922024e-10, 5.233755246662896222e-10, 4.763314894108725250e-10, 8.236122070163712493e-10, 6.986220196446676267e-10, 1.431635419623412686e-09, 4.763314894108725250e-10, 1.374067608066476377e-09
2.051000000000000000e+03, 1.805418967892172282e-09, 8.494607838349804857e-10, 7.175774837921779412e-10, 4.794009302963608488e-10, 4.794009302963608488e-10, 6.516200491052655994e-10, 4.179816240260523581e-10, 7.277261534105958861e-10, 8.494607838349804857e-10, 1.543974848270889451e-09, 4.179816240260523581e-10, 1.487512826764067952e-09
2.052000000000000000e+03, 1.381268485250040053e-09, 6.553759991477244151e-10, 7.619003701606113016e-10, 6.646364907847606919e-10, 6.646364907847606919e-10, 5.229610958758542349e-10, 3.521910888939096946e-10, 9.896162815326175208e-10, 6.553759991477244151e-10, 1.431024415794330590e-09, 3.521910888939096946e-10, 1.374288547983254640e-09
2.053000000000000000e+03, 1.107858003164679412e-09, 6.716609848605124077e-10, 7.296049771484980130e-10, 6.784524144205087719e-10, 6.784524144205087719e-10, 4.954268187825932256e-10, 3.161031237824403769e-10, 6.904479917482487779e-10, 6.716609848605124077e-10, 1.763586548475526028e-09, 3.161031237824403769e-10, 1.707137840584845287e-09
2.054000000000000000e+03, 1.306221117114031455e-09, 6.317926804952147243e-10, 8.065169277513484815e-10, 5.647801414588477722e-10, 5.647801414588477722e-10, 6.901756824973131498e-10, 4.880923386283657978e-10, 7.135548354617887894e-10, 6.317926804952147243e-10, 1.825336511490388995e-09, 4.880923386283657978e-10, 1.768714328620910463e-09
2.055000000000000000e+03, 1.317847587124264798e-09, 6.573663482944916646e-10, 8.198480611542733234e-10, 5.055370500000591270e-10, 5.055370500000591270e-10, 6.287486922854649613e-10, 3.829329995969557450e-10, 8.886678699480773729e-10, 6.573663482944916646e-10, 1.850784948503080423e-09, 3.829329995969557450e-10, 1.794460232778167581e-09
2.056000000000000000e+03, 1.409247196987132970e-09, 8.736904635773752975e-10, 8.214597555126188379e-10, 7.167293317869728344e-10, 7.167293317869728344e-10, 5.791012115606370181e-10, 6.159893407399306523e-10, 8.045719173491102157e-10, 8.736904635773752975e-10, 1.462170997880941772e-09, 6.159893407399306523e-10, 1.406475582436891501e-09
