year, ACCESS-ESM1-5, CMCC-ESM2, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR
2.015000000000000000e+03, 6.681834896514017122e-11, 5.621742600600551342e-11, 7.762561185929388422e-11, 1.723684974621843755e-09, 1.318346799321716360e-09, 1.202246664100739274e-09, 4.398157237727755794e-10, 4.391006068583527478e-11, 7.305824288646696317e-10
2.016000000000000000e+03, 1.052628981772333589e-10, 5.776537170306182038e-11, 8.028263055223411255e-11, 1.689827835538330505e-09, 1.201346126917355234e-09, 1.165019228557456422e-09, 4.098675558470556620e-10, 2.468068085425533644e-11, 7.104018444951580198e-10
2.017000000000000000e+03, 6.668873535103760738e-11, 5.894036851475159810e-11, 7.734343646789607783e-11, 1.823647576620520911e-09, 1.189945122713433430e-09, 1.144252395584018538e-09, 4.169747169925052377e-10, 1.753555403694395797e-11, 7.153830755189803674e-10
2.018000000000000000e+03, 5.137811460074862926e-11, 5.977030347451032753e-11, 7.437644266308891100e-11, 1.720270083723307897e-09, 1.195758339759030565e-09, 1.120801197152607000e-09, 3.983297363490152743e-10, 1.445989610942174791e-11, 7.096059195585544023e-10
2.019000000000000000e+03, 4.477597685122589642e-11, 6.023184704403611824e-11, 6.937836325123639015e-11, 1.762655837370435710e-09, 1.187793482305315643e-09, 1.102052415173346905e-09, 4.106592606087392407e-10, 1.287405045173943028e-11, 7.012763571358641745e-10
2.020000000000000000e+03, 4.154958150680138475e-11, 5.884464334436503310e-11, 5.736895054695266797e-11, 1.824868092412454366e-09, 1.189499919815609791e-09, 1.058010450695371748e-09, 4.158750982908864022e-10, 1.167587639068651304e-11, 6.835402842708214996e-10
2.021000000000000000e+03, 4.666344464740729930e-11, 5.603550772266581758e-11, 5.058589058276239229e-11, 1.723141904310790647e-09, 1.146889396478239842e-09, 1.042773799946348321e-09, 4.110948192134944328e-10, 9.830488704675807348e-12, 6.676394853535980640e-10
2.022000000000000000e+03, 4.816985021543549809e-11, 5.351701124878225917e-11, 4.536096844132751599e-11, 1.707463330452143708e-09, 1.188194256275409562e-09, 1.031347062364487400e-09, 3.895412708842539061e-10, 8.606100953756677503e-12, 6.662302922232976359e-10
2.023000000000000000e+03, 4.853052714929278802e-11, 5.129523527246264603e-11, 3.707068659092689809e-11, 1.668289580663356485e-09, 1.218189266345398556e-09, 1.022485141189180195e-09, 3.753182473045069798e-10, 7.801450065490802043e-12, 6.650299520970160861e-10
2.024000000000000000e+03, 4.841737002812013388e-11, 4.941692580314767905e-11, 2.781341384218778331e-11, 1.746274421138619130e-09, 1.215752163495164794e-09, 1.013219246527255607e-09, 3.894107299928889325e-10, 7.170494510505283290e-12, 6.581629908035465236e-10
2.025000000000000000e+03, 4.825293797050494083e-11, 4.760000358718580706e-11, 2.096207998135355880e-11, 1.670852449025655716e-09, 1.220082406107428216e-09, 1.013402720006023689e-09, 3.646100586193084859e-10, 6.610916879310166430e-12, 6.646069636771955818e-10
2.026000000000000000e+03, 4.376455089616350347e-11, 4.581956532985055171e-11, 2.024735073330546463e-11, 1.699723963169221811e-09, 1.176806305618731278e-09, 1.013730873588100553e-09, 3.692672413103584875e-10, 6.109032256609012301e-12, 6.746152836294809210e-10
2.027000000000000000e+03, 4.173148437124024027e-11, 4.432479410569080242e-11, 1.950216278706190827e-11, 1.690805577283369331e-09, 1.201835749025783637e-09, 1.016136473419068096e-09, 3.554684718420429972e-10, 5.659719083083500470e-12, 6.773184641382199534e-10
2.028000000000000000e+03, 4.055120788971160593e-11, 4.315583411607131660e-11, 1.870398924638061764e-11, 1.700184430942522369e-09, 1.221549724040499751e-09, 1.016486143578690671e-09, 3.656142484182201536e-10, 5.242482617972160015e-12, 6.951802503954549393e-10
2.029000000000000000e+03, 3.975621739889698143e-11, 4.226648549838842295e-11, 1.796871671576150926e-11, 1.768655628815821205e-09, 1.268940550292292886e-09, 1.015736116925328442e-09, 3.576795967654642523e-10, 4.904581118352856905e-12, 7.102349759884069759e-10
2.030000000000000000e+03, 3.911521139425929354e-11, 4.141167029976898432e-11, 1.721989590379603949e-11, 1.768139041190182125e-09, 1.206684083992123347e-09, 1.024957105254653106e-09, 3.503774339337764255e-10, 4.582223170250841117e-12, 7.032156007316154240e-10
2.031000000000000000e+03, 3.310242613183466193e-11, 4.053378321732582866e-11, 1.703356538377144487e-11, 1.873986047238494376e-09, 1.270302927429203380e-09, 1.029419241094517191e-09, 3.621207790233451077e-10, 4.251658534816604731e-12, 6.702933120578528233e-10
2.032000000000000000e+03, 3.021858705547215871e-11, 3.983799616575964202e-11, 1.705279631470439927e-11, 1.769739807150153009e-09, 1.232925394181894863e-09, 1.034205195188348289e-09, 3.612269367417098410e-10, 3.960588692396821418e-12, 6.547678725104937046e-10
2.033000000000000000e+03, 2.867718815621141741e-11, 3.936353896790402982e-11, 1.709860427096141093e-11, 1.833634518873855716e-09, 1.258752840920698196e-09, 1.042477208521412259e-09, 3.401321122284123523e-10, 3.750562368678243777e-12, 6.581930532157569851e-10
2.034000000000000000e+03, 2.742815160411419778e-11, 3.905542391689804969e-11, 1.719707014253261373e-11, 1.813052520861444002e-09, 1.310974911539105835e-09, 1.049566793202206088e-09, 3.429321090767494050e-10, 3.563554655054121561e-12, 6.820726783341106164e-10
2.035000000000000000e+03, 2.640290105192004121e-11, 3.868804564046895885e-11, 1.757184719995419214e-11, 2.000664759688401171e-09, 1.297216207891539433e-09, 1.040511605719550325e-09, 3.746095194027332501e-10, 3.373848178400722427e-12, 7.147128320270416583e-10
2.036000000000000000e+03, 2.341945077318791746e-11, 3.826531375543244889e-11, 1.807628145826507986e-11, 1.914406792814816815e-09, 1.287780202295195142e-09, 1.041082780822342086e-09, 3.461705007470356610e-10, 3.205603131092161562e-12, 7.120108137157625146e-10
2.037000000000000000e+03, 2.169351248525611946e-11, 3.794075437433872763e-11, 1.836312341067590172e-11, 2.009608901829982952e-09, 1.188638241771016604e-09, 1.049781433750512407e-09, 3.353299306753765997e-10, 3.064507964989143044e-12, 6.910258019748605697e-10
