year, INM-CM5-0, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, EC-Earth3-Veg, CanESM5, TaiESM1, INM-CM4-8, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.744519406482010737e+01, 2.269446554861723797e+01, 2.390279397180227150e+01, 1.818218672158887372e+01, 1.733916053251776290e+01, 1.948389118976240297e+01, 2.231299468739673841e+01, 2.418927981750755407e+01, 2.957804069003695702e+01, 3.760567529108039508e+01, 2.940598571927738547e+01, 3.666840101163038668e+01, 2.908848140860878573e+01, 2.901866146337457053e+01, 1.991906977570858217e+01, 2.798040214621716260e+01
2.016000000000000000e+03, 3.723227979255557329e+01, 2.235981152681929274e+01, 2.534169993304238844e+01, 1.735979644593870574e+01, 1.990800323562513086e+01, 2.028408098893347145e+01, 2.341291284177964016e+01, 2.507105774912341900e+01, 2.927039533755973721e+01, 3.830218833529553280e+01, 2.730821806329020163e+01, 3.652609962056827442e+01, 3.015542778646022981e+01, 2.900116378312353405e+01, 1.905846392484850327e+01, 2.904257178470107092e+01
2.017000000000000000e+03, 3.734661716517189234e+01, 2.310250059475701789e+01, 2.457446333780947612e+01, 1.785289341278671671e+01, 1.864685199064208732e+01, 2.036149325669121879e+01, 2.203886353546238297e+01, 2.468755542694614036e+01, 2.891754845177925048e+01, 3.807596872705655500e+01, 2.890933310663575995e+01, 3.664965208999222313e+01, 3.121343359144943008e+01, 2.866894956859049515e+01, 1.840393818376956503e+01, 3.068296835751884899e+01
2.018000000000000000e+03, 3.764454481362668048e+01, 2.253340533024683268e+01, 2.429756027264648566e+01, 1.864223507533921875e+01, 1.704376099785213583e+01, 2.039640606395157718e+01, 2.249939550983669889e+01, 2.494262069233090884e+01, 2.882557936879631555e+01, 3.706763809599370774e+01, 2.988045171305527248e+01, 3.674058295024913434e+01, 3.088866408461955970e+01, 2.958705216714008301e+01, 1.850982130329144582e+01, 3.056427222103196328e+01
2.019000000000000000e+03, 3.791661845204032488e+01, 2.360639667128171482e+01, 2.608556462487142014e+01, 1.780662631302151411e+01, 2.035742883903185785e+01, 2.077053765047217837e+01, 2.323980040936103109e+01, 2.461429761959193740e+01, 3.053196103923250249e+01, 3.826170332729253687e+01, 3.099047067352160312e+01, 3.558933384881834172e+01, 3.044978388031291061e+01, 2.944958472745494049e+01, 1.837034309648880637e+01, 3.147613160912812091e+01
2.020000000000000000e+03, 3.901510064758330998e+01, 2.324951864624963704e+01, 2.379668400299338771e+01, 1.809405816143284085e+01, 2.043430283478521758e+01, 2.076188786149035082e+01, 2.272664331002525984e+01, 2.470960769541702717e+01, 2.921850603020776305e+01, 3.720833478141824457e+01, 3.018269342353637796e+01, 3.548372340975964079e+01, 2.891947070327077896e+01, 2.975300714641898381e+01, 1.846044601044635414e+01, 3.030733925113473148e+01
2.021000000000000000e+03, 3.867730877331722894e+01, 2.397369784359814204e+01, 2.567263081115835632e+01, 1.854217121907666410e+01, 1.957234770264122758e+01, 2.077628172958736030e+01, 2.249945583974012564e+01, 2.528982685442312928e+01, 2.880778608783336381e+01, 3.848249748134783488e+01, 2.846324459898148618e+01, 3.729332953808146556e+01, 2.872660125333957026e+01, 2.890164101130891439e+01, 1.911363972315967175e+01, 3.078331863051931450e+01
2.022000000000000000e+03, 4.039132595508494461e+01, 2.333694913573809515e+01, 2.251001978409490434e+01, 1.913150743953784527e+01, 1.595618085566526290e+01, 2.093853456925517520e+01, 2.257287080842400329e+01, 2.520826375700348976e+01, 2.879064255877272416e+01, 3.882419130522962547e+01, 2.946445903917232556e+01, 4.002288995974363672e+01, 3.030364252681948756e+01, 3.087235180106839749e+01, 1.847922627909094828e+01, 3.056784027441782570e+01
2.023000000000000000e+03, 3.891909670555999412e+01, 2.369964064751543376e+01, 2.559069251205988493e+01, 1.840256263718062968e+01, 1.700377320103940804e+01, 2.064321388902946097e+01, 2.263367146990096757e+01, 2.521713354046991995e+01, 2.945360451504503274e+01, 3.831789577207011632e+01, 2.994447111141090545e+01, 3.806563197102686757e+01, 3.059952741748882232e+01, 3.063147383930014200e+01, 1.856878648014090771e+01, 3.090829237085455361e+01
2.024000000000000000e+03, 3.753522064773655842e+01, 2.396355970279852343e+01, 2.478945412588871378e+01, 1.767627366463541705e+01, 1.526684276079212665e+01, 2.083102459461561651e+01, 2.202608570110313124e+01, 2.504876072988162861e+01, 2.887465716661085935e+01, 3.850549696169425573e+01, 3.109357285628076895e+01, 3.609650205428787473e+01, 3.062648335453143744e+01, 3.063907033175460626e+01, 1.798360628472966738e+01, 3.067408590997795059e+01
