year, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, CMCC-ESM2, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM
2.015000000000000000e+03, 1.081890896259785073e+00, 1.990500244538573993e+00, 8.388168047384843007e-01, 1.277512286369541394e+00, 1.503421232540432140e+00, 1.295510195358710925e+00, 1.708940231897537076e+00, 1.901098027110761812e+00, 1.391935788416433617e+00, 1.093390678923550796e+00, 9.127439756782983471e-01, 1.115824792909859697e+00, 1.446187815742315586e+00, 2.292943072700653229e+00, 1.462974442237677808e+00, 9.224554092491499269e-01
2.016000000000000000e+03, 1.120877557223428411e+00, 2.018715415547048142e+00, 9.042465574425863073e-01, 1.308780797342943947e+00, 1.490901902655624500e+00, 1.310850510239454536e+00, 1.760577010338148396e+00, 1.778233539756634451e+00, 1.381086908255460433e+00, 1.072066384684244644e+00, 9.385374490387247137e-01, 1.156221410245100278e+00, 1.509971020980060974e+00, 2.213274926909751805e+00, 1.475244003100086854e+00, 9.250878368426439513e-01
2.017000000000000000e+03, 1.176715334874056884e+00, 2.021098921516626845e+00, 8.614676088096155926e-01, 1.368059623394599855e+00, 1.485880589228464110e+00, 1.313746907286625465e+00, 1.735016401551847665e+00, 1.821775553223992317e+00, 1.343826082517199483e+00, 1.092264980756893822e+00, 9.615118145045437048e-01, 1.164802075398078562e+00, 1.406857215260071126e+00, 2.236050835446421026e+00, 1.484103519595066256e+00, 9.134059880326400593e-01
2.018000000000000000e+03, 1.160096015382986900e+00, 2.019059416408808261e+00, 8.126177787263202390e-01, 1.365323839365685687e+00, 1.489808833956870693e+00, 1.314360101148945859e+00, 1.650691684469486775e+00, 1.928043685202219804e+00, 1.378254226009412609e+00, 1.079866506088606570e+00, 9.625303203128278140e-01, 1.138281055709768896e+00, 1.437148665521572832e+00, 2.167725362270891409e+00, 1.463385962155191899e+00, 9.145187971829562557e-01
2.019000000000000000e+03, 1.141746558332965567e+00, 2.043133481362975346e+00, 9.278067329199584101e-01, 1.388077539183013798e+00, 1.508560166663684532e+00, 1.309019071137881962e+00, 1.745355553997566922e+00, 2.006905931644809460e+00, 1.377926228452895474e+00, 1.098992547002612064e+00, 9.879613468905265039e-01, 1.176918089681545876e+00, 1.488375315710630087e+00, 2.263683279333525533e+00, 1.427778391095783972e+00, 9.083825606273171482e-01
2.020000000000000000e+03, 1.097056599197014926e+00, 2.003982510311795195e+00, 9.218345430220186154e-01, 1.356508583764074238e+00, 1.518888401213551509e+00, 1.298116134512646624e+00, 1.687998972091272920e+00, 2.014965685706996190e+00, 1.386836561656610511e+00, 1.106464009755214972e+00, 1.000053535318635056e+00, 1.122903184938579768e+00, 1.454085126743013046e+00, 2.337514453856138097e+00, 1.419727770494151109e+00, 9.060711706926647402e-01
2.021000000000000000e+03, 1.050239803957319751e+00, 2.032201108129893630e+00, 8.984991277523584063e-01, 1.357959011869666055e+00, 1.512539245151066414e+00, 1.320511006241571028e+00, 1.769244704343236441e+00, 1.817565995542121948e+00, 1.347373612151522959e+00, 1.145022205388399161e+00, 1.007353910800376839e+00, 1.115396761731536124e+00, 1.428641334699422449e+00, 2.172853765320251096e+00, 1.473540948600344347e+00, 9.316509773478066636e-01
2.022000000000000000e+03, 1.107956073660797180e+00, 2.010359372027769709e+00, 7.984335816653987949e-01, 1.349219462660906421e+00, 1.529942247364105556e+00, 1.318851163382726455e+00, 1.780306281033856575e+00, 1.843887481249778748e+00, 1.403625161860986514e+00, 1.141608919542683065e+00, 9.933881045775052598e-01, 1.093036199190253965e+00, 1.439948268248548047e+00, 2.159506209471299787e+00, 1.512505818691833204e+00, 9.113036713957608503e-01
2.023000000000000000e+03, 1.147038950674934332e+00, 2.025668902795443760e+00, 8.124681246144003222e-01, 1.326592967422641545e+00, 1.517304065418839665e+00, 1.323242460299098422e+00, 1.698453181589399730e+00, 1.894402136409395920e+00, 1.418156437843451911e+00, 1.132088980921376775e+00, 9.961608204710394876e-01, 1.157500791068648782e+00, 1.437396739006249202e+00, 2.246867101510511500e+00, 1.483423128367565402e+00, 9.166898292628814504e-01
2.024000000000000000e+03, 1.137066092897814018e+00, 2.033163280013587038e+00, 7.520678080775538010e-01, 1.309351513292496216e+00, 1.478359504201914643e+00, 1.322149357855440854e+00, 1.704815317406838115e+00, 2.019619019041606123e+00, 1.419283302255171630e+00, 1.156822725133929808e+00, 1.012314352563205233e+00, 1.167562103222836267e+00, 1.401253446043304596e+00, 2.222565298975426096e+00, 1.441942354428294326e+00, 8.885126535006578896e-01
2.025000000000000000e+03, 1.128107062331834332e+00, 2.016503415857209713e+00, 8.607267927289080633e-01, 1.334141082109977283e+00, 1.449400285747225903e+00, 1.310116670022435592e+00, 1.761531575287603291e+00, 1.917428971486357492e+00, 1.446965728564169495e+00, 1.186247756546938925e+00, 1.012294896681330325e+00, 1.117478604406806575e+00, 1.419039440720009759e+00, 2.180901429133097480e+00, 1.482241527268808534e+00, 9.438558327948014526e-01
2.026000000000000000e+03, 1.115962802529036013e+00, 2.020694127108858762e+00, 8.818989578891647252e-01, 1.350614131270477802e+00, 1.490230894345019541e+00, 1.325129788165315681e+00, 1.754760803583981010e+00, 1.855589222502288305e+00, 1.411505187987747822e+00, 1.167059967336310011e+00, 1.017746653150249481e+00, 1.125200087641034630e+00, 1.421651454266445125e+00, 2.348697379942240371e+00, 1.470795533517829767e+00, 9.540912828623372421e-01
2.027000000000000000e+03, 1.106230188376842172e+00, 1.996276689092530976e+00, 8.390835293240475057e-01, 1.418765439684580354e+00, 1.528223420375854014e+00, 1.328648528302343923e+00, 1.692838033567555689e+00, 1.964480881556427638e+00, 1.394183595582466184e+00, 1.150313195361513330e+00, 1.033888662433955608e+00, 1.146235219524505355e+00, 1.419411614929019239e+00, 2.325635479231479064e+00, 1.453651013633747491e+00, 9.381482368728797372e-01
2.028000000000000000e+03, 1.103041414811688492e+00, 2.001584234557391540e+00, 8.722397648170293616e-01, 1.444537663134234817e+00, 1.524625010595817898e+00, 1.336115666452063033e+00, 1.731104135690174850e+00, 1.993119812732620622e+00, 1.437296065343796725e+00, 1.140139375001830047e+00, 1.024677261799609607e+00, 1.199611083591570315e+00, 1.470723229982278335e+00, 2.119411593320812859e+00, 1.417292696220985748e+00, 9.242620489521911065e-01
2.029000000000000000e+03, 1.115306079525500760e+00, 2.007994826243606035e+00, 8.550904608627935000e-01, 1.417841217341853310e+00, 1.508388054727856309e+00, 1.319506557138884428e+00, 1.819383275814608458e+00, 1.932533951220970492e+00, 1.473897665219416231e+00, 1.151457487591554640e+00, 1.028834930532102732e+00, 1.235953360858838668e+00, 1.460449276300669785e+00, 2.109898590709088140e+00, 1.449284727816434470e+00, 8.907392236800947272e-01
2.030000000000000000e+03, 1.115840329144014875e+00, 1.987804147865087634e+00, 8.248730264597464723e-01, 1.302817433562537763e+00, 1.514943124776138239e+00, 1.328182811525628892e+00, 1.790788053491008780e+00, 1.937672371106664126e+00, 1.405168301772886208e+00, 1.166953880396322418e+00, 1.044874745972041108e+00, 1.152378945091523166e+00, 1.526204107227887796e+00, 2.186406022524912895e+00, 1.457004837165950972e+00, 9.317559407684490314e-01
2.031000000000000000e+03, 1.111303082119876162e+00, 2.010007470510853267e+00, 8.389428809718625368e-01, 1.326123578031513484e+00, 1.516937764071747852e+00, 1.350534506746631225e+00, 1.787494095542242034e+00, 1.987770970154586703e+00, 1.428292552381928759e+00, 1.194471507450675540e+00, 1.022891174033558226e+00, 1.150788936669378870e+00, 1.467418519621343620e+00, 2.232043085353724532e+00, 1.469700692415117471e+00, 9.628039474538254705e-01
