year, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, CanESM5, CMCC-ESM2
2.015000000000000000e+03, -2.706707732339990114e-10, -1.877115742746057988e-10, -6.132359040046075585e-10, 3.294732530196803437e-11, -7.631584024784292459e-10, 7.839304551324768899e-11, 5.697902963857918361e-10, -2.181918384049159599e-10
2.016000000000000000e+03, 3.521237259990298337e-10, 4.023629461687180923e-10, 5.665098022249493563e-10, 6.987517156364775138e-10, 7.848268401424003353e-10, -9.984989979323122947e-11, 1.498964592243361732e-09, -5.025894649969377914e-10
2.017000000000000000e+03, 3.184223119360607619e-10, 8.140204404831381457e-10, -1.678591772168587091e-11, -7.050612806771141861e-10, 6.158574007325154572e-10, 2.776354552523768411e-10, 7.715239942536474971e-10, -2.524502214985714719e-11
2.018000000000000000e+03, -2.965549498891895934e-10, 6.070039918711042207e-10, -3.981024883534396858e-10, 1.248705094199502466e-10, 4.609621358687864291e-10, -3.055993814616603386e-10, -3.725597162228834233e-10, -1.643248191387881412e-10
2.019000000000000000e+03, 4.844409373442207181e-10, 5.992369658557258038e-10, 4.950671190409860501e-10, 4.672856357135472349e-10, -5.527725969022705892e-10, 4.719697364193236785e-10, 8.428418635673932744e-10, -2.080856483226485677e-10
2.020000000000000000e+03, -1.554306445594634620e-10, 1.107093298181672053e-10, 5.515365461185879204e-10, -2.531230634267225915e-10, 1.691045485534845694e-10, 1.525397415375684691e-10, 2.494172479299739050e-10, 4.910002146509016692e-11
2.021000000000000000e+03, 4.229040625946565627e-10, 7.002637363186720083e-10, 4.590164751484802990e-11, -4.289437480526518936e-10, 8.159486284884770030e-10, 5.689224112001687780e-10, 9.102898118408902964e-10, -4.850980447043711159e-10
2.022000000000000000e+03, -7.980471547275846012e-10, 5.019740577881369983e-10, -1.092345111820428062e-09, 8.876280580769954891e-11, 5.021855288554978516e-10, 5.340570486917122265e-11, 1.432958055309759186e-09, -4.444280455061500715e-10
2.023000000000000000e+03, 1.580034889135192895e-10, 5.851774444000624784e-10, 7.783026942957452264e-11, -2.685218357354296420e-11, 2.155174875351376208e-10, 5.206114496646820431e-10, 2.673400009874406308e-10, -4.975244251172761355e-10
2.024000000000000000e+03, 2.837223382323320501e-10, 3.721666282422867957e-10, -5.071912360541781052e-10, -1.559358009394734168e-10, -2.521250834892322231e-10, 3.129912888926763503e-10, 3.675898694999896986e-10, -6.699086812440045785e-11
2.025000000000000000e+03, 1.338883631588111628e-10, 3.872897516164149726e-10, 3.759389409075447552e-10, 6.074155324213696172e-10, 1.966733310701181309e-10, 7.042507450151361982e-10, 8.646720414731908474e-10, 4.067980013225041464e-11
2.026000000000000000e+03, 1.359639381948098747e-10, 4.805867599663186872e-10, 1.804272722776535314e-10, -1.962694297484141849e-10, 7.844006381600157827e-10, -3.754910668971746669e-11, 7.774966282919039171e-10, -5.422537446912485276e-10
2.027000000000000000e+03, -4.266454324351294378e-10, 1.042115016337522036e-09, -2.166491085715890653e-10, 3.899330173502425866e-10, 8.818730603100113281e-10, 1.793659985615380213e-10, 2.922133998100725229e-10, -3.241649834138915899e-10
2.028000000000000000e+03, -5.004538415723045025e-10, 1.152386118847298248e-09, 2.691239682323027278e-10, 4.314694392069616264e-10, 5.826265073001091026e-10, 3.075593639292024290e-10, 2.164256601798852082e-10, -5.057175107550638628e-10
2.029000000000000000e+03, 3.660337297416510184e-10, 7.212472651716367542e-10, 2.856594645170843266e-10, 2.902297992704477701e-10, -3.236605670051933706e-10, 4.028733354563009952e-10, 1.251420110904125450e-09, -3.224636197274324977e-10
