year, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, NorESM2-MM, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CMCC-CM2-SR5, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, GFDL-ESM4
2.015000000000000000e+03, 2.985626112411733288e+02, 2.976056273447746889e+02, 2.992275271268613892e+02, 2.981326559901431210e+02, 2.980173710913809373e+02, 2.958592282533788307e+02, 2.977934889611317999e+02, 2.980745605699767680e+02, 2.966940570678734730e+02, 2.978025026781333509e+02, 2.978983141606186109e+02, 2.987987746067307739e+02, 2.979619000740696038e+02, 2.968056667623449130e+02, 2.968350462675048220e+02, 2.967562133837778333e+02
2.016000000000000000e+03, 2.988572181013914246e+02, 2.976015145462621945e+02, 2.981789267571755886e+02, 2.978545678459472015e+02, 2.976368533110929206e+02, 2.961660243293074473e+02, 2.976914532864718126e+02, 2.979884024053910139e+02, 2.966523796267980515e+02, 2.979237804695886211e+02, 2.976271754070996849e+02, 2.989505006971128296e+02, 2.981255969064925466e+02, 2.969604264212558178e+02, 2.966580531634170370e+02, 2.967433577997870202e+02
2.017000000000000000e+03, 2.982272909318043048e+02, 2.974255347367041509e+02, 2.978197495783165891e+02, 2.978449292253370686e+02, 2.979471691589910165e+02, 2.965023140193654854e+02, 2.981021303341169073e+02, 2.975859432878687016e+02, 2.966464341511124303e+02, 2.982377533572263246e+02, 2.980792226994673797e+02, 2.987838745640266893e+02, 2.977346839817001865e+02, 2.970796240177918435e+02, 2.968025861604610895e+02, 2.972656160023532266e+02
2.018000000000000000e+03, 2.992030279040769756e+02, 2.972992746535618949e+02, 2.982178109309603542e+02, 2.978477199063063381e+02, 2.983534255835027125e+02, 2.966399463290360927e+02, 2.981650413747131552e+02, 2.977962991364939853e+02, 2.968250848457757911e+02, 2.982950410289377032e+02, 2.984172071519037104e+02, 2.986335066835277416e+02, 2.982251243948849151e+02, 2.969550477216782838e+02, 2.969279323906421268e+02, 2.969979161483298071e+02
2.019000000000000000e+03, 2.988206749011076795e+02, 2.975880029334019241e+02, 2.992168765174317286e+02, 2.978792409467614561e+02, 2.978293637301255217e+02, 2.963979170444736724e+02, 2.982413078292127011e+02, 2.976297181534802121e+02, 2.967226166371411864e+02, 2.984041544661964735e+02, 2.983138304858698007e+02, 2.985380477459204940e+02, 2.983436387563558014e+02, 2.970835994339679473e+02, 2.968758149433803624e+02, 2.967894070181412758e+02
2.020000000000000000e+03, 2.986404866346791778e+02, 2.976480765181848369e+02, 2.985834772292319599e+02, 2.985174375628703842e+02, 2.978233659351491838e+02, 2.964984996461291757e+02, 2.981313452003441284e+02, 2.979031663712573277e+02, 2.967375953388278731e+02, 2.980433692070909615e+02, 2.978990362973010519e+02, 2.985406635629175867e+02, 2.984463534859902438e+02, 2.968278178903917137e+02, 2.968863896183374891e+02, 2.973675656685031186e+02
2.021000000000000000e+03, 2.987838946456474787e+02, 2.978144769226324797e+02, 2.981766657412220525e+02, 2.987670000815406866e+02, 2.981255987105433292e+02, 2.966067062433306205e+02, 2.977797270667415432e+02, 2.979138760768394150e+02, 2.969277044892954223e+02, 2.978929158400973165e+02, 2.976488370111292738e+02, 2.990346505858352089e+02, 2.982985185830364685e+02, 2.969646681793176413e+02, 2.970185722465903382e+02, 2.977882303735852929e+02
2.022000000000000000e+03, 2.991792457741166800e+02, 2.978247319683871979e+02, 2.983201890116933441e+02, 2.981839414798252506e+02, 2.987197440711290142e+02, 2.964732682706240894e+02, 2.977644870106301482e+02, 2.974165611100061710e+02, 2.971791821652814747e+02, 2.986026829017667978e+02, 2.979414210973336026e+02, 2.991201069993391002e+02, 2.988668855843505980e+02, 2.970324057913371689e+02, 2.967076316426129097e+02, 2.971249648404636332e+02
2.023000000000000000e+03, 2.988867108803083852e+02, 2.974519815358416963e+02, 2.987825384466308378e+02, 2.981985324229136154e+02, 2.983396297122152987e+02, 2.964954129020276241e+02, 2.984057460845617697e+02, 2.977716003607007451e+02, 2.967667008502336898e+02, 2.985265819906837237e+02, 2.982407934685410851e+02, 2.977631794506082770e+02, 2.987979397473957874e+02, 2.970528145847179076e+02, 2.968325490110090641e+02, 2.971167087475481594e+02
2.024000000000000000e+03, 2.991409179304397981e+02, 2.973596753563446100e+02, 2.993672236879274919e+02, 2.983271228346968087e+02, 2.983487119014737914e+02, 2.969537041611614541e+02, 2.984457458335463684e+02, 2.983922273125577931e+02, 2.970262759403446466e+02, 2.984184417968860998e+02, 2.982801002948880296e+02, 2.974603040991108287e+02, 2.985683101724487187e+02, 2.969739803975678569e+02, 2.970899428587447346e+02, 2.973350171338099699e+02
2.025000000000000000e+03, 2.992772072801321883e+02, 2.977135346114598633e+02, 2.989126749241995071e+02, 2.986034372489360749e+02, 2.985507721169227580e+02, 2.968471716504467963e+02, 2.982223238991346079e+02, 2.987094320611120111e+02, 2.973567748166508409e+02, 2.982527261053135703e+02, 2.982455117864539602e+02, 2.980981037466558519e+02, 2.985602845292693814e+02, 2.968680492711422971e+02, 2.970156097285515671e+02, 2.975945825497841497e+02
2.026000000000000000e+03, 2.988029683714820521e+02, 2.979332823474569523e+02, 2.981861724775694142e+02, 2.985015030707598385e+02, 2.982838813792924384e+02, 2.965080975409534290e+02, 2.984057872885610436e+02, 2.982847981704124436e+02, 2.971866126516076179e+02, 2.990272407090681668e+02, 2.985945226802097636e+02, 2.987996778677737666e+02, 2.986985544309826537e+02, 2.972168394700038903e+02, 2.969779981385846099e+02, 2.976360583111500091e+02
