year, NorESM2-MM, TaiESM1, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5
2.015000000000000000e+03, 9.198886034110412879e+01, 8.713715411416117718e+01, 1.046360119771307780e+02, 9.396803644983613424e+01, 1.350383316594788141e+02, 1.068032316780322901e+02, 2.373814366714013318e+02, 1.561407497847812920e+02, 2.372264037479883996e+02, 8.767089732932622326e+01, 1.194390351034255531e+02, 1.190037070498495666e+02, 1.866986592868782111e+02
2.016000000000000000e+03, 9.194867834145179586e+01, 8.664361346606791869e+01, 1.046654510892372372e+02, 9.401518804006393282e+01, 1.351447994017231338e+02, 1.067502939959465067e+02, 2.377065081528816961e+02, 1.560935666090447853e+02, 2.371727696692402105e+02, 8.774014025470137312e+01, 1.194408618490327569e+02, 1.191333852478600903e+02, 1.867570035954869354e+02
2.017000000000000000e+03, 9.196853345731763341e+01, 8.654554998056254078e+01, 1.046879293846411088e+02, 9.408067297828583264e+01, 1.350869742953493073e+02, 1.068588355947188262e+02, 2.375764303490105078e+02, 1.561197702874197830e+02, 2.372162670880916835e+02, 8.781908028446721914e+01, 1.194333646777196094e+02, 1.191692328270704877e+02, 1.869129861328088396e+02
2.018000000000000000e+03, 9.202805570538001234e+01, 8.695430200297846568e+01, 1.047416396619958903e+02, 9.411821820228057334e+01, 1.353171928920642131e+02, 1.070625466428381856e+02, 2.375134776210181258e+02, 1.561234548986117261e+02, 2.372156612445546955e+02, 8.777119863402897693e+01, 1.194270443452342363e+02, 1.191977279208037288e+02, 1.869694827096484460e+02
2.019000000000000000e+03, 9.203735631105739401e+01, 8.691335717146640150e+01, 1.047630318604804813e+02, 9.415566911259463723e+01, 1.352034863919973304e+02, 1.071069544382694971e+02, 2.374728991539623735e+02, 1.561255108098394260e+02, 2.371642846271464578e+02, 8.777422169998686741e+01, 1.194609467510715604e+02, 1.192819949268975535e+02, 1.870580323893220793e+02
2.020000000000000000e+03, 9.207043429235973520e+01, 8.665761135840801899e+01, 1.048079215838632194e+02, 9.421241211490065837e+01, 1.353581126120984948e+02, 1.070941475453719107e+02, 2.371394926755484107e+02, 1.560777489270214460e+02, 2.371179975401061881e+02, 8.804582329115464745e+01, 1.195380323720868034e+02, 1.193804316281631230e+02, 1.870993444995797574e+02
2.021000000000000000e+03, 9.211734299813025473e+01, 8.666217973355352910e+01, 1.049275938911964943e+02, 9.427253745169807075e+01, 1.352402118831316216e+02, 1.071692723762978119e+02, 2.369075689853805500e+02, 1.560031613677621181e+02, 2.371099402832695375e+02, 8.820886958402905975e+01, 1.196764936838534226e+02, 1.194386224735744548e+02, 1.871518084417506316e+02
2.022000000000000000e+03, 9.218669293818602739e+01, 8.677182436993210501e+01, 1.049124774345151678e+02, 9.426662611513248180e+01, 1.354453583328376567e+02, 1.070090623814328552e+02, 2.369928973553448941e+02, 1.560069156914260873e+02, 2.371810603178110171e+02, 8.869203059267179867e+01, 1.198554555443764684e+02, 1.195536644089205964e+02, 1.871928792924411198e+02
2.023000000000000000e+03, 9.226342379655248749e+01, 8.678241437271164216e+01, 1.048942426341688900e+02, 9.431393792525540221e+01, 1.354465309051482507e+02, 1.068819589132394725e+02, 2.369924250030612995e+02, 1.560982692013384110e+02, 2.372619316002796950e+02, 8.884268188382527853e+01, 1.200365378085987658e+02, 1.196597779205044105e+02, 1.871787279761320804e+02
2.024000000000000000e+03, 9.229123116597517651e+01, 8.679693102864321474e+01, 1.049113628476789017e+02, 9.438325637049682371e+01, 1.355175500448726496e+02, 1.066432637465773610e+02, 2.369099296258136746e+02, 1.560888121837693916e+02, 2.373225216560430795e+02, 8.909827178999275077e+01, 1.200198847132365785e+02, 1.197611112382982412e+02, 1.872798221631047113e+02
