year, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, INM-CM4-8, CanESM5, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, INM-CM5-0, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.015000000000000000e+03, 1.045555451725919625e+02, 6.207677770369814141e+01, 6.540875984073358040e+01, 7.370925416896845661e+01, 1.218833691530102925e+02, 1.298386434937106344e+02, 1.113745849471413010e+02, 7.595835358728633935e+01, 1.037724339233667479e+02, 6.440326551666214527e+01, 6.251329269094094343e+01, 6.744457858362839886e+01, 1.259541645214398500e+02, 8.881496107397160245e+01, 4.535786188177758049e+01, 5.218694866664254306e+01
2.016000000000000000e+03, 1.041653428610945014e+02, 6.185965446351149666e+01, 6.492913535290703919e+01, 7.394715704334939232e+01, 1.227915892546820800e+02, 1.298975588508346561e+02, 1.107804941599455191e+02, 7.570964032583556502e+01, 1.039485764427179930e+02, 6.437815120482595432e+01, 6.270615649921255397e+01, 6.656447717085916338e+01, 1.259749816374315543e+02, 9.096456395895435776e+01, 4.524575419633434592e+01, 5.200716241663310768e+01
2.017000000000000000e+03, 1.040637637832113711e+02, 6.129896707470027906e+01, 6.458105256057619670e+01, 7.413801709075268320e+01, 1.234907951354250599e+02, 1.304319706664461194e+02, 1.106361180005732763e+02, 7.534702626612558163e+01, 1.035721394640264350e+02, 6.403480032515038545e+01, 6.229428164291058323e+01, 6.637502603675636692e+01, 1.259013416743428877e+02, 9.045924991777533819e+01, 4.477389572188396016e+01, 5.200064441879541022e+01
2.018000000000000000e+03, 1.040859260028085629e+02, 6.112276142060925110e+01, 6.376869708095023981e+01, 7.408902194978874434e+01, 1.241183778689822361e+02, 1.308082345853803190e+02, 1.104659258918390492e+02, 7.509112901168283827e+01, 1.035380918694251022e+02, 6.449286915432710998e+01, 6.190647868244770535e+01, 6.628381355750998694e+01, 1.262839456957304520e+02, 8.834325776492170235e+01, 4.477896793228677552e+01, 5.074422514560750130e+01
2.019000000000000000e+03, 1.039766332233196806e+02, 6.078554746575549927e+01, 6.384288365368962559e+01, 7.445945268899913572e+01, 1.239365854609497575e+02, 1.309984854595725778e+02, 1.103378438453770514e+02, 7.482794499626687923e+01, 1.032711760814803199e+02, 6.485482387123964543e+01, 6.179126652131969877e+01, 6.605688128167203388e+01, 1.269420596286503553e+02, 8.842739490300888860e+01, 4.482581754964791543e+01, 5.089257364229499103e+01
2.020000000000000000e+03, 1.038280858531878721e+02, 6.035823399594396221e+01, 6.372952907841857240e+01, 7.436528038932962659e+01, 1.246736533026089688e+02, 1.316426622363777028e+02, 1.104497747483941339e+02, 7.461354782347544301e+01, 1.028024304015286958e+02, 6.465894905520177360e+01, 6.143582566038715953e+01, 6.619381198112708375e+01, 1.274024590190180817e+02, 8.953504988716188961e+01, 4.466063474834826508e+01, 5.028383669600849259e+01
2.021000000000000000e+03, 1.037583604237983792e+02, 5.976598412930358251e+01, 6.338532176372844873e+01, 7.415233226747329809e+01, 1.256403669874507187e+02, 1.319029779802890516e+02, 1.105153263616641084e+02, 7.413906117672739526e+01, 1.023050093925598247e+02, 6.553269786242476869e+01, 6.111998754703548542e+01, 6.587930343035419867e+01, 1.280648975033501245e+02, 8.875519031039763718e+01, 4.441680703963751142e+01, 5.091555041593981912e+01
2.022000000000000000e+03, 1.037740182844008103e+02, 5.955077181224191207e+01, 6.217192261845845280e+01, 7.492446634833824248e+01, 1.257941932991006269e+02, 1.322553995658795429e+02, 1.107337161467880975e+02, 7.392041312510450268e+01, 1.019821780785294010e+02, 6.546198036929182251e+01, 6.042405110848918781e+01, 6.607096008928451170e+01, 1.284360241517058796e+02, 8.822211957561434303e+01, 4.422595197128345745e+01, 4.945416452416048969e+01
2.023000000000000000e+03, 1.037176936728636036e+02, 5.889412224251644545e+01, 6.279492435304061360e+01, 7.573795893526859402e+01, 1.259862235828657901e+02, 1.330034943172443604e+02, 1.102851353527922100e+02, 7.366036524119797946e+01, 1.014906448079472483e+02, 6.564949272839500338e+01, 5.961837014165264037e+01, 6.643244442527213778e+01, 1.297705883584251296e+02, 8.802288041081935432e+01, 4.442759400297427419e+01, 4.937516976570810812e+01
2.024000000000000000e+03, 1.035386064060546403e+02, 5.827892177825012254e+01, 6.273820675570422623e+01, 7.597957502034034860e+01, 1.268235941275357561e+02, 1.337505151662354876e+02, 1.096527603293595376e+02, 7.323320083033274841e+01, 1.011034998263816362e+02, 6.519551180634424270e+01, 5.930052549704780063e+01, 6.593472481138890373e+01, 1.301189874148410013e+02, 8.751227136288578379e+01, 4.443022657568531031e+01, 4.884464349782441417e+01
