year, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1
2.015000000000000000e+03, -1.509455400675367595e-09, 4.746122611935906198e-10, 2.289651118995952997e-10, 2.217977600659518326e-10
2.016000000000000000e+03, -1.651027136149428871e-09, 4.863813560855111520e-10, 1.911845777974481272e-10, 3.213890418477936142e-10
2.017000000000000000e+03, -1.719569680106784787e-09, 4.575840057097391020e-10, 1.878607055819989260e-10, 3.497718066319272073e-10
2.018000000000000000e+03, -1.787263832172546234e-09, 5.098297177064937690e-10, 1.843308143911160834e-10, 3.774672535211750457e-10
2.019000000000000000e+03, -1.829759632115465306e-09, 4.905942940814363639e-10, 1.801010143509099789e-10, 4.013513182453550696e-10
2.020000000000000000e+03, -1.862573536774508010e-09, 4.724034377950365083e-10, 1.770246726633636528e-10, 4.082068583789488746e-10
2.021000000000000000e+03, -1.843994996338997560e-09, 4.758394646115213233e-10, 1.474878158169208441e-10, 3.853129473801290542e-10
2.022000000000000000e+03, -1.807631822192232454e-09, 4.792260234711281567e-10, 1.413741227103101122e-10, 3.999093976457495048e-10
2.023000000000000000e+03, -1.833651334553746423e-09, 5.216035702158056508e-10, 1.353194762470974724e-10, 4.244636676403095302e-10
2.024000000000000000e+03, -1.876840722820796117e-09, 5.340605850833500631e-10, 1.307559789064377122e-10, 4.532007747507228517e-10
2.025000000000000000e+03, -1.877864328208712695e-09, 5.732901955358919919e-10, 1.263467909445978183e-10, 4.856379980723143882e-10
2.026000000000000000e+03, -1.859863224228302135e-09, 5.749502928264622091e-10, 1.237161970371212896e-10, 4.091527646781292802e-10
2.027000000000000000e+03, -1.977310313788476044e-09, 5.331230577592295512e-10, 1.199263763217577437e-10, 4.146493402310187927e-10
2.028000000000000000e+03, -2.043628392394533157e-09, 5.686525296459687615e-10, 1.176281596390895791e-10, 4.176540029898579553e-10
2.029000000000000000e+03, -1.990608232243306572e-09, 6.230982512969722678e-10, 1.155115502871791434e-10, 4.041109849969627552e-10
2.030000000000000000e+03, -1.978497176254709400e-09, 6.043913484248835406e-10, 1.142512759280130235e-10, 4.031029645323205684e-10
2.031000000000000000e+03, -1.902021353661110521e-09, 6.263904646877304766e-10, 1.109662288260311282e-10, 3.324894464831988057e-10
2.032000000000000000e+03, -1.917326134619661407e-09, 6.554420431932982382e-10, 1.097403958642419382e-10, 3.359172423654797363e-10
2.033000000000000000e+03, -1.998587121077877771e-09, 6.471966349366325895e-10, 1.083619717152423137e-10, 3.285537365334949994e-10
2.034000000000000000e+03, -2.050672895162725126e-09, 6.445964265326769858e-10, 1.078455700123613706e-10, 3.238178471678381296e-10
2.035000000000000000e+03, -2.195773554559106916e-09, 7.096799037896423043e-10, 1.079715179014454629e-10, 3.207947751264009604e-10
2.036000000000000000e+03, -2.149106451452994384e-09, 6.596246055522308256e-10, 1.045827789498708102e-10, 3.055024006497084637e-10
2.037000000000000000e+03, -2.127813070408037591e-09, 7.038656807818036125e-10, 1.047974816569255709e-10, 3.109307273318163090e-10
2.038000000000000000e+03, -2.207844833455339291e-09, 7.102833782917804392e-10, 1.047961255001632699e-10, 3.137229229785861462e-10
2.039000000000000000e+03, -2.241726188397795054e-09, 7.199179571389717297e-10, 1.052296129103124228e-10, 3.123135661582380830e-10
2.040000000000000000e+03, -2.211218462849219801e-09, 7.833032638366634648e-10, 1.057363317176497339e-10, 3.079875447486612862e-10
2.041000000000000000e+03, -2.261113453819377568e-09, 7.407738512266076263e-10, 1.046005856174585853e-10, 3.195422732508062050e-10
2.042000000000000000e+03, -2.311419064874896106e-09, 7.899122712640674213e-10, 1.044274131009064520e-10, 3.228551005958812668e-10
2.043000000000000000e+03, -2.428544650779382193e-09, 7.539149197854338282e-10, 1.042787287405595415e-10, 3.528156030687898949e-10
2.044000000000000000e+03, -2.358592342671938033e-09, 7.637922101822087888e-10, 1.046522089540997323e-10, 3.712841891271191949e-10
2.045000000000000000e+03, -2.461961356740405776e-09, 7.757154392506890737e-10, 1.048781075932053158e-10, 3.794619873656787037e-10
2.046000000000000000e+03, -2.576417661254764333e-09, 8.021982616302727790e-10, 1.104493347644435584e-10, 3.659539499872073733e-10
2.047000000000000000e+03, -2.610113509431409611e-09, 8.271725188425705320e-10, 1.106764038524774474e-10, 3.737830488703706357e-10
2.048000000000000000e+03, -2.641153760633994569e-09, 9.151206570636611127e-10, 1.113823317695226106e-10, 3.800315132770056420e-10
2.049000000000000000e+03, -2.584967242883025246e-09, 8.758794992988393452e-10, 1.113826912324221811e-10, 3.890702070651482833e-10
2.050000000000000000e+03, -2.478616014375511311e-09, 9.231978430508827785e-10, 1.114446020050086552e-10, 3.950721802039223586e-10
2.051000000000000000e+03, -2.675239785527585443e-09, 1.016271110821839537e-09, 1.070091738775771809e-10, 4.625035204144697239e-10
2.052000000000000000e+03, -2.743044511631637024e-09, 9.531977836341504118e-10, 1.056079604760963864e-10, 4.957742659198273332e-10
2.053000000000000000e+03, -2.717210943275860651e-09, 9.515512185188916954e-10, 1.054110071415587470e-10, 5.240182272061956098e-10
2.054000000000000000e+03, -2.840566600780440354e-09, 9.662799322613705487e-10, 1.052569400038123442e-10, 5.389490795072723127e-10
2.055000000000000000e+03, -2.920534134635556175e-09, 8.355959934123152549e-10, 1.048498288605824462e-10, 5.580746992963248625e-10
2.056000000000000000e+03, -2.996104688363129540e-09, 8.324018250872089309e-10, 1.146201909994103635e-10, 5.994029826508328874e-10
2.057000000000000000e+03, -2.981880430274511154e-09, 9.141514678956042610e-10, 1.154221696896403861e-10, 6.142111816727733096e-10
2.058000000000000000e+03, -3.002367030532558367e-09, 9.812067463991971432e-10, 1.138403629037909985e-10, 6.317694439462409588e-10
2.059000000000000000e+03, -3.047286636959894997e-09, 1.049537637546292696e-09, 1.162579329547559057e-10, 6.566150754167496551e-10
2.060000000000000000e+03, -3.119840482893148069e-09, 9.415514457941879409e-10, 1.182587569755690271e-10, 6.724630419930062479e-10
2.061000000000000000e+03, -3.026006529831928094e-09, 9.241374369680015659e-10, 1.105254384166260931e-10, 6.181092903166880515e-10
2.062000000000000000e+03, -3.199572927389921294e-09, 1.154413851979037199e-09, 1.095709836803999023e-10, 6.165908046646862148e-10
2.063000000000000000e+03, -3.148912856962237060e-09, 1.119703130280998688e-09, 1.105470405278176088e-10, 6.181972420310895762e-10
2.064000000000000000e+03, -3.173499429243903562e-09, 1.090840639545446765e-09, 1.102487400171438516e-10, 6.225855998504527362e-10
2.065000000000000000e+03, -3.312604813259330296e-09, 1.158257035683628810e-09, 1.106388009721263960e-10, 6.195408799433397867e-10
2.066000000000000000e+03, -3.438691892814666687e-09, 1.058308003339606709e-09, 1.104545785723108953e-10, 5.667466680087364717e-10
2.067000000000000000e+03, -3.390185955991905492e-09, 1.187335893641316936e-09, 1.107092464856906279e-10, 5.715444705382532812e-10
2.068000000000000000e+03, -3.335699312193567590e-09, 1.173807794355766410e-09, 1.114058548296475016e-10, 5.781809326675964396e-10
2.069000000000000000e+03, -3.251502583216649913e-09, 1.143325933387139261e-09, 1.102111814002004396e-10, 5.714362257314440516e-10
2.070000000000000000e+03, -3.254375311229236794e-09, 1.236178576430399516e-09, 1.124163496707631792e-10, 5.673143665395571216e-10
2.071000000000000000e+03, -3.266859790347887891e-09, 1.215945399104492724e-09, 1.213099781425172929e-10, 4.701786649658281061e-10
2.072000000000000000e+03, -3.485279160807360295e-09, 1.132690402145997746e-09, 1.228538215008975880e-10, 4.601548370437199876e-10
2.073000000000000000e+03, -3.573050786073445375e-09, 1.209204160344473828e-09, 1.231112021806671650e-10, 4.562667413238577704e-10
2.074000000000000000e+03, -3.501744430117635457e-09, 1.177447291378959740e-09, 1.236044866436343623e-10, 4.603092721456934712e-10
2.075000000000000000e+03, -3.613611445565580628e-09, 1.390335061885201790e-09, 1.244294378454715486e-10, 4.732620296915590561e-10
2.076000000000000000e+03, -3.584909969820559142e-09, 1.377762063712167264e-09, 1.481898082261747540e-10, 4.041362881065281345e-10
2.077000000000000000e+03, -3.548086461780617779e-09, 1.172798061600919324e-09, 1.517169550308611011e-10, 4.001041227687004762e-10
2.078000000000000000e+03, -3.660469938882671330e-09, 1.175310070516565658e-09, 1.517986021043661948e-10, 3.985651923591284924e-10
2.079000000000000000e+03, -3.555307139787323052e-09, 1.417402656270080021e-09, 1.551691617970769697e-10, 3.995209657084692233e-10
2.080000000000000000e+03, -3.547398416490228371e-09, 1.378476222713755315e-09, 1.568957656470215027e-10, 3.956795328105230936e-10
2.081000000000000000e+03, -3.594987628369278976e-09, 1.260452016901797113e-09, 1.491394190444399639e-10, 3.441649227531894247e-10
2.082000000000000000e+03, -3.843056048874986127e-09, 1.439964308608561883e-09, 1.494420687860241196e-10, 3.440819936609860391e-10
2.083000000000000000e+03, -3.691399478710666601e-09, 1.356805669921490775e-09, 1.486667078545492865e-10, 3.394466555629544026e-10
2.084000000000000000e+03, -3.538610819409396328e-09, 1.299668071431450945e-09, 1.502668615062865494e-10, 3.413840162073496805e-10
2.085000000000000000e+03, -3.785077815481246452e-09, 1.357219319136210921e-09, 1.519897596260743487e-10, 3.387069612701289697e-10
2.086000000000000000e+03, -3.929431055953268571e-09, 1.607850403471731530e-09, 1.200962299951962382e-10, 2.915522112820579978e-10
2.087000000000000000e+03, -3.903131613595337927e-09, 1.344950116097679001e-09, 1.160412815581521159e-10, 2.838752506594594982e-10
