year, TaiESM1, NorESM2-LM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1
2.015000000000000000e+03, 3.740467352339898006e-10, 6.118876616575148119e-10, 8.716248468265502523e-10, 1.129451753445237446e-09, 9.085036558572687517e-10
2.016000000000000000e+03, 2.505634427540643298e-10, 9.423803186730507014e-10, 8.493683689145325636e-10, 1.081973328484269163e-09, 7.706073964237011526e-10
2.017000000000000000e+03, 4.348041203206594989e-10, 9.727715966270250916e-10, 1.241990008345595154e-09, 1.489866653199841610e-09, 8.730639331658698202e-10
2.018000000000000000e+03, 5.801212492409802527e-10, 8.887417739569719016e-10, 1.048614257738055915e-09, 8.275453602904810268e-10, 5.428790046245786032e-10
2.019000000000000000e+03, 3.856720688304662282e-10, 8.120197273690678866e-10, 9.478378903862331851e-10, 1.232886156524811097e-09, 9.145795544095154057e-10
2.020000000000000000e+03, 4.264573451712190509e-10, 1.005546732993001485e-09, 1.126096768972854837e-09, 1.051254366818158051e-09, 7.429103411563384603e-10
2.021000000000000000e+03, 5.493371382756775609e-10, 1.130848020692910740e-09, 1.111374991944149433e-09, 1.101850078353048266e-09, 8.735405370785056007e-10
2.022000000000000000e+03, 4.210216470555596907e-10, 1.081001471265802669e-09, 1.592699392010236103e-09, 8.892877790898247093e-10, 5.912510625194080642e-10
2.023000000000000000e+03, 4.177836961483350341e-10, 1.103547767835372739e-09, 1.280501296270043965e-09, 1.042858479859270011e-09, 8.025252037167498003e-10
2.024000000000000000e+03, 4.748719989391692487e-10, 1.285503600675318179e-09, 1.290021401075591108e-09, 9.802535726800955648e-10, 6.911762287966060057e-10
2.025000000000000000e+03, 3.406575547950708696e-10, 1.198916725377452049e-09, 1.575497682548909487e-09, 1.140190447075216644e-09, 9.333063493212003182e-10
2.026000000000000000e+03, 4.652714854042447524e-10, 1.072448827196198431e-09, 1.123353782216591275e-09, 9.745619752890322110e-10, 8.490345816924876809e-10
2.027000000000000000e+03, 4.338007305018241488e-10, 1.044660837869262160e-09, 1.074397414634655515e-09, 1.081917062599183316e-09, 5.653876220583971765e-10
2.028000000000000000e+03, 4.364072897013692597e-10, 8.705305411723021997e-10, 9.175241142263589425e-10, 1.073526036508522801e-09, 7.979337299762524967e-10
2.029000000000000000e+03, 4.001672402301395173e-10, 9.945364686843309292e-10, 9.590265241327814415e-10, 8.623406221932713723e-10, 7.915977017542417612e-10
2.030000000000000000e+03, 3.274512803397497604e-10, 1.203569616421892508e-09, 1.097565080626344436e-09, 1.166364006207811543e-09, 6.815324384017272402e-10
2.031000000000000000e+03, 5.048287279369611268e-10, 8.316731986411485007e-10, 1.303856123162508110e-09, 1.078398148694444242e-09, 6.315990313057033474e-10
2.032000000000000000e+03, 4.180359854419739626e-10, 8.118014860994713337e-10, 9.769155184063687957e-10, 8.653829344927949844e-10, 7.491704255718134552e-10
2.033000000000000000e+03, 2.872085285701812438e-10, 9.053101476070283152e-10, 1.005650447609859423e-09, 1.246725188875092861e-09, 5.752427625343478710e-10
2.034000000000000000e+03, 3.765254597157586990e-10, 1.065058177578686630e-09, 1.132822210622202717e-09, 1.438564987404507769e-09, 7.364124281771645345e-10
2.035000000000000000e+03, 3.835723133541910197e-10, 8.962878396919790409e-10, 1.106090065799885134e-09, 9.958184507049883575e-10, 6.545993743687043396e-10
2.036000000000000000e+03, 3.661272786390578200e-10, 9.272655409817978632e-10, 1.173338236112354540e-09, 9.802291436104396083e-10, 7.528289249159076229e-10
2.037000000000000000e+03, 3.201245455827812684e-10, 9.312189162559465206e-10, 1.276814192949797109e-09, 1.064380855805234046e-09, 7.953340625363808873e-10
2.038000000000000000e+03, 4.141818762442701914e-10, 1.616574133066088586e-09, 1.190158794085537421e-09, 1.160629269148345396e-09, 6.637265643570357600e-10
