year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.015000000000000000e+03, 8.716248468265502523e-10, 7.155924114414618824e-10, 3.740467352339898006e-10, 3.740467352339898006e-10, 6.118876616575148119e-10, 8.716248468265502523e-10, 7.842383447507121058e-10, 9.085036558572687517e-10, 1.194398239417023524e-09, 1.129451753445237446e-09, 9.085036558572687517e-10, 1.440545695914712562e-09
2.016000000000000000e+03, 8.493683689145325636e-10, 7.694258900355507671e-10, 2.505634427540643298e-10, 2.505634427540643298e-10, 9.423803186730507014e-10, 8.493683689145325636e-10, 6.563306913758270960e-10, 7.706073964237011526e-10, 1.151623281219736265e-09, 1.081973328484269163e-09, 7.706073964237011526e-10, 1.407344496082773309e-09
2.017000000000000000e+03, 1.241990008345595154e-09, 7.479325081745581114e-10, 4.348041203206594989e-10, 4.348041203206594989e-10, 9.727715966270250916e-10, 1.241990008345595154e-09, 7.941842276167762975e-10, 8.730639331658698202e-10, 1.563407865423290016e-09, 1.489866653199841610e-09, 8.730639331658698202e-10, 1.197263901035799763e-09
2.018000000000000000e+03, 1.048614257738055915e-09, 7.179300265421944266e-10, 5.801212492409802527e-10, 5.801212492409802527e-10, 8.887417739569719016e-10, 1.048614257738055915e-09, 8.154401267127479415e-10, 5.428790046245786032e-10, 9.027571590113529641e-10, 8.275453602904810268e-10, 5.428790046245786032e-10, 1.440758716807497027e-09
2.019000000000000000e+03, 9.478378903862331851e-10, 7.629638603027137244e-10, 3.856720688304662282e-10, 3.856720688304662282e-10, 8.120197273690678866e-10, 9.478378903862331851e-10, 5.801986536387910955e-10, 9.145795544095154057e-10, 1.309385257878305865e-09, 1.232886156524811097e-09, 9.145795544095154057e-10, 1.163563177493047755e-09
2.020000000000000000e+03, 1.126096768972854837e-09, 7.591767859172287424e-10, 4.264573451712190509e-10, 4.264573451712190509e-10, 1.005546732993001485e-09, 1.126096768972854837e-09, 1.200471151744533265e-09, 7.429103411563384603e-10, 1.130787833213131423e-09, 1.051254366818158051e-09, 7.429103411563384603e-10, 1.261351002912015004e-09
2.021000000000000000e+03, 1.111374991944149433e-09, 7.868406590049868065e-10, 5.493371382756775609e-10, 5.493371382756775609e-10, 1.130848020692910740e-09, 1.111374991944149433e-09, 6.089163108603718599e-10, 8.735405370785056007e-10, 1.182553532735275173e-09, 1.101850078353048266e-09, 8.735405370785056007e-10, 1.662338051498010305e-09
2.022000000000000000e+03, 1.592699392010236103e-09, 8.233239440432765989e-10, 4.210216470555596907e-10, 4.210216470555596907e-10, 1.081001471265802669e-09, 1.592699392010236103e-09, 5.874873688597389434e-10, 5.912510625194080642e-10, 9.716670289564068330e-10, 8.892877790898247093e-10, 5.912510625194080642e-10, 9.594885548527066750e-10
2.023000000000000000e+03, 1.280501296270043965e-09, 7.489413164081557404e-10, 4.177836961483350341e-10, 4.177836961483350341e-10, 1.103547767835372739e-09, 1.280501296270043965e-09, 6.973440308319344769e-10, 8.025252037167498003e-10, 1.126333925198714826e-09, 1.042858479859270011e-09, 8.025252037167498003e-10, 9.729453336521638244e-10
2.024000000000000000e+03, 1.290021401075591108e-09, 8.339406954246857049e-10, 4.748719989391692487e-10, 4.748719989391692487e-10, 1.285503600675318179e-09, 1.290021401075591108e-09, 7.068024009849447583e-10, 6.911762287966060057e-10, 1.066117186630102094e-09, 9.802535726800955648e-10, 6.911762287966060057e-10, 1.004059293215737719e-09
2.025000000000000000e+03, 1.575497682548909487e-09, 8.019195337737221689e-10, 3.406575547950708696e-10, 3.406575547950708696e-10, 1.198916725377452049e-09, 1.575497682548909487e-09, 7.923467356633438356e-10, 9.333063493212003182e-10, 1.229667993175360354e-09, 1.140190447075216644e-09, 9.333063493212003182e-10, 1.344275353526727763e-09
