year, UKESM1-0-LL, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-LM, CMCC-ESM2
2.015000000000000000e+03, 4.561844534249450795e-11, 4.553841265056673466e-10, 3.843702608889874522e-10, 2.870686126988596936e-10, 2.275181686737406596e-10, 9.025184579460409184e-10, 2.664404966928278065e-10, 2.217977600659518326e-10, 4.059802859803915288e-10, 1.476999604742122738e-10
2.016000000000000000e+03, 4.650164705388758751e-11, 5.581429956197629039e-10, 3.830020220834691022e-10, 4.866731473349840294e-10, 1.904325258374645732e-10, 8.046144160170412040e-10, 3.695914484073609860e-10, 3.213890418477936142e-10, 4.781844310412579358e-10, 1.518289534217861060e-10
2.017000000000000000e+03, 6.610318870140791838e-11, 5.806416295205149303e-10, 3.874548523034467873e-10, 5.564309319422710712e-10, 1.871072979035493882e-10, 7.191952137416903115e-10, 3.762130270639041564e-10, 3.497718066319272073e-10, 4.914514006982619553e-10, 1.532089755688514251e-10
2.018000000000000000e+03, 8.793887379295965725e-11, 5.796558684037543638e-10, 3.976057652531296125e-10, 5.745933455944731884e-10, 1.835786784673501188e-10, 6.465520835390568546e-10, 3.826783824296453392e-10, 3.774672535211750457e-10, 5.123833194592066308e-10, 1.544246447535982318e-10
2.019000000000000000e+03, 1.132279251238693699e-10, 5.783168172395143766e-10, 4.066576220755549405e-10, 5.808743197820537211e-10, 1.793595748541255957e-10, 5.908575579303453579e-10, 3.882653226014145064e-10, 4.013513182453550696e-10, 5.052893983778972001e-10, 1.540288932251197993e-10
2.020000000000000000e+03, 1.458963476294221745e-10, 5.954676445601005590e-10, 4.102705779642854751e-10, 5.922709977800105744e-10, 1.762710230461141091e-10, 5.568652955264804945e-10, 3.933973880119081157e-10, 4.082068583789488746e-10, 5.093057470067935608e-10, 1.708034253634692104e-10
2.021000000000000000e+03, 1.730353050444581162e-10, 6.335359103931685045e-10, 4.203265334859610808e-10, 5.714266123994200241e-10, 1.471633969380193844e-10, 5.259977795877834121e-10, 3.837172143134984035e-10, 3.853129473801290542e-10, 5.249130758457520042e-10, 1.739629532451814563e-10
2.022000000000000000e+03, 2.001985684664631140e-10, 6.409161902466228459e-10, 4.307722422943781133e-10, 5.687286653904491097e-10, 1.410489851056429801e-10, 5.004178717499410536e-10, 3.867488928165233103e-10, 3.999093976457495048e-10, 5.700812941675392241e-10, 1.750572151701889624e-10
2.023000000000000000e+03, 2.257680745911450375e-10, 6.244730678357453533e-10, 4.338212746363683527e-10, 5.792721659441800719e-10, 1.350041309178195148e-10, 4.772654922357382082e-10, 3.899596862248601602e-10, 4.244636676403095302e-10, 5.733497209425517152e-10, 1.755223297936805462e-10
2.024000000000000000e+03, 2.467061900542701872e-10, 6.624840676612141363e-10, 4.346644378532366698e-10, 5.794044193123325253e-10, 1.304359028074442289e-10, 4.622221828814981130e-10, 3.938221616625257011e-10, 4.532007747507228517e-10, 5.858390812657939097e-10, 1.757663435770545011e-10
2.025000000000000000e+03, 2.598609150350007127e-10, 6.663860020194799657e-10, 4.199180827387632771e-10, 5.785855435704123587e-10, 1.260312485681408869e-10, 4.327628541480098760e-10, 3.961307108712240148e-10, 4.856379980723143882e-10, 5.825455448499539098e-10, 1.702149482456648220e-10
2.026000000000000000e+03, 2.226044042683387042e-10, 6.323324809663962592e-10, 4.100051235151409665e-10, 5.143374202024097402e-10, 1.233865433316914910e-10, 4.212255246725558216e-10, 3.395556232915336305e-10, 4.091527646781292802e-10, 5.792567229383674189e-10, 1.720150349808700016e-10
2.027000000000000000e+03, 2.111750532323914254e-10, 6.550700957417881756e-10, 4.120786918408896197e-10, 5.109697826896021601e-10, 1.196124382643401047e-10, 4.156195888985380232e-10, 3.379338402348212568e-10, 4.146493402310187927e-10, 5.743776225121050053e-10, 1.734672847608140822e-10
2.028000000000000000e+03, 2.201378624395675212e-10, 6.445761739937786068e-10, 4.131325693904746688e-10, 5.079755535277035925e-10, 1.173112887476741062e-10, 4.100321642372966759e-10, 3.365053073484922470e-10, 4.176540029898579553e-10, 5.806723709640203076e-10, 1.718382310730819414e-10
2.029000000000000000e+03, 2.301665304034996256e-10, 6.728445815545111748e-10, 4.100087619730359903e-10, 5.031987245412903893e-10, 1.151972269385931960e-10, 4.059281632668545340e-10, 3.319788363717761199e-10, 4.041109849969627552e-10, 6.052695383613334286e-10, 1.740427379002247682e-10
2.030000000000000000e+03, 2.320267758532508689e-10, 6.926183058133008633e-10, 3.969088840732396875e-10, 5.170535358746249194e-10, 1.139316374299065304e-10, 4.084335887959588697e-10, 3.300379468857591866e-10, 4.031029645323205684e-10, 6.308501651720004820e-10, 1.749188954183664897e-10
2.031000000000000000e+03, 1.964055087805950300e-10, 6.812746075084129089e-10, 3.902737709232345105e-10, 4.807114663404735822e-10, 1.106787646453023592e-10, 4.054831105772639433e-10, 2.966217418128280426e-10, 3.324894464831988057e-10, 5.930863688073844625e-10, 1.772419920981270270e-10
2.032000000000000000e+03, 1.807297434233864441e-10, 6.659432020504975701e-10, 3.894682922558817275e-10, 4.747026619187227564e-10, 1.094545666171273952e-10, 4.039651775197421388e-10, 2.942089157710143623e-10, 3.359172423654797363e-10, 6.201607246257553464e-10, 1.792955387047881387e-10
2.033000000000000000e+03, 1.805385712840975724e-10, 6.941537979087321065e-10, 3.863256333863721396e-10, 4.824647219399654340e-10, 1.080871871525085140e-10, 4.102636076306580685e-10, 2.908550837494510736e-10, 3.285537365334949994e-10, 6.297822538641610632e-10, 1.819833488935002787e-10
2.034000000000000000e+03, 1.833100932816629152e-10, 6.873216970171867986e-10, 3.826751275327583931e-10, 4.822156704790536494e-10, 1.075701591652983238e-10, 4.120325325273329257e-10, 2.884139512600951582e-10, 3.238178471678381296e-10, 6.300406372702364446e-10, 1.821802012103278518e-10
2.035000000000000000e+03, 1.887209185226449925e-10, 7.304723546101176284e-10, 3.879610645926790100e-10, 4.872385683937830687e-10, 1.076878657521487463e-10, 4.294128401629213429e-10, 2.847089813968159023e-10, 3.207947751264009604e-10, 5.968410151253049915e-10, 1.993256976478037460e-10
2.036000000000000000e+03, 1.788306128835767873e-10, 7.297754173291183862e-10, 3.881491912098632211e-10, 5.133212545057531201e-10, 1.043569879719026602e-10, 4.355036770067082974e-10, 2.900156789793953355e-10, 3.055024006497084637e-10, 6.611540850780359463e-10, 2.005703448626933407e-10
2.037000000000000000e+03, 1.783060978593910175e-10, 7.064209136509608261e-10, 3.872900485089582239e-10, 5.181922794680013422e-10, 1.045640375225487171e-10, 4.400789504147594956e-10, 2.904023918836101411e-10, 3.109307273318163090e-10, 6.887919187091540779e-10, 2.022880317272358051e-10
2.038000000000000000e+03, 1.823897826680929654e-10, 7.077317819791749554e-10, 3.879115154351050512e-10, 5.231724596783634976e-10, 1.045636308814455223e-10, 4.453219585846519025e-10, 2.922036162303760075e-10, 3.137229229785861462e-10, 6.429723570535315499e-10, 2.054422052769272898e-10
2.039000000000000000e+03, 1.956379096871200751e-10, 7.519076790674387969e-10, 3.893703458047545126e-10, 5.159353457452815881e-10, 1.049922640532515669e-10, 4.473138634672501765e-10, 2.926527915786423400e-10, 3.123135661582380830e-10, 6.798087983499426811e-10, 2.080069755178743162e-10
2.040000000000000000e+03, 2.066291931752799927e-10, 7.915601525617029292e-10, 4.040602839848338317e-10, 5.175318251929962639e-10, 1.054928157805816952e-10, 4.688053802710582493e-10, 2.914437756800379434e-10, 3.079875447486612862e-10, 6.741320435828306835e-10, 2.283204049313954632e-10
2.041000000000000000e+03, 1.948017959085145916e-10, 8.124975295636540532e-10, 4.167565328066228530e-10, 5.685009539642048152e-10, 1.043717450357213195e-10, 4.782876171760257124e-10, 3.043191178423676128e-10, 3.195422732508062050e-10, 6.899455980454406868e-10, 2.308696852353714442e-10
2.042000000000000000e+03, 1.935106567101509733e-10, 7.673256517210322257e-10, 4.190057652253028416e-10, 5.818427033866032225e-10, 1.041964987974443684e-10, 4.887677542791637810e-10, 3.039254784341966077e-10, 3.228551005958812668e-10, 7.031252197496461745e-10, 2.385262770757785769e-10
2.043000000000000000e+03, 2.023224014463419690e-10, 7.670565090846937366e-10, 4.191967988490663483e-10, 5.945944325380950356e-10, 1.040471125722480509e-10, 4.979666414888130321e-10, 3.048796546381928021e-10, 3.528156030687898949e-10, 7.091749580025215806e-10, 2.423884829845039725e-10
2.044000000000000000e+03, 2.152101578287339085e-10, 8.123899342513543382e-10, 4.248613819233590311e-10, 5.888931494225649544e-10, 1.044121674229030627e-10, 5.053190897655383931e-10, 3.045852432391254093e-10, 3.712841891271191949e-10, 7.210955342314913963e-10, 2.463422276699706191e-10
2.045000000000000000e+03, 2.186438138255827626e-10, 8.177816018710671767e-10, 4.261266750814043751e-10, 5.849993110460380996e-10, 1.046336950718705943e-10, 5.251473197247816504e-10, 3.059282150272234000e-10, 3.794619873656787037e-10, 7.121387069230365236e-10, 2.700018244405494838e-10
