year, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 6.681834896514017122e-11, 7.572408238931883110e-10, 4.561844466473756547e-11, 5.828943306383522310e-11, 4.329724855569998096e-10, 1.470459694410384928e-09, 1.332689205039574338e-09, 7.762561185929388422e-11
2.016000000000000000e+03, 1.659278848284467246e-10, 7.719331665771879382e-10, 4.650164701725130581e-11, 6.337475263094487218e-11, 4.009597232611374612e-10, 1.499342112536829561e-09, 1.468952286162366112e-09, 8.028263055223411255e-11
2.017000000000000000e+03, 1.549184984855857468e-10, 7.763209738032186122e-10, 6.610318861199614359e-11, 6.743979332503989011e-11, 4.136871479003565600e-10, 1.521834187838646293e-09, 1.534308363548484662e-09, 8.928750811864617814e-11
2.018000000000000000e+03, 1.558921776285601241e-10, 7.991274505567886333e-10, 8.793887379339269923e-11, 7.084645055148185611e-11, 4.168522311214251143e-10, 1.535019716367197836e-09, 1.597597168096540108e-09, 9.937290369261810541e-11
2.019000000000000000e+03, 1.605771905625007781e-10, 8.080029676010089233e-10, 1.132279246135132137e-10, 7.366799936665556553e-11, 4.127059266309585881e-10, 1.542397388779591294e-09, 1.636296083702852026e-09, 1.083350867333122515e-10
2.020000000000000000e+03, 1.669585315367586591e-10, 8.243991438620767720e-10, 1.458963501378362409e-10, 7.674065319206064333e-11, 4.076772849513242833e-10, 1.526920409805454464e-09, 1.665812234901664757e-09, 1.110706313831778283e-10
2.021000000000000000e+03, 1.784986990968011563e-10, 8.715755509919186269e-10, 1.730353078329526946e-10, 7.995074469204069948e-11, 3.953284641397991185e-10, 1.530633655083921778e-09, 1.644129268409431402e-09, 1.191930863886646034e-10
2.022000000000000000e+03, 1.863346471534604005e-10, 9.056509195272090328e-10, 2.001985694483373578e-10, 8.259909255783588098e-11, 3.873199314663249885e-10, 1.532350425179847799e-09, 1.604722262905313862e-09, 1.279102485849626794e-10
2.023000000000000000e+03, 1.925828224280695434e-10, 9.138308514013228491e-10, 2.257680725778807170e-10, 8.486633421147193238e-11, 4.190647831527494208e-10, 1.535677621060843793e-09, 1.626528233906889157e-09, 1.338502656579730372e-10
2.024000000000000000e+03, 1.983254482784146067e-10, 9.147615584165900615e-10, 2.467061919829499392e-10, 8.690165377286188104e-11, 3.766931400414765906e-10, 1.533795859918304108e-09, 1.665876508373782359e-09, 1.399103834310499754e-10
2.025000000000000000e+03, 2.029790502300332034e-10, 8.985799157161854304e-10, 2.598609121420076061e-10, 8.869623957617624384e-11, 3.624853891704498718e-10, 1.505199168505682256e-09, 1.664012066573989588e-09, 1.495729777100890736e-10
2.026000000000000000e+03, 1.991792824589019320e-10, 8.892637739649784215e-10, 2.226044046481877963e-10, 9.026365518763150149e-11, 3.642741776250035056e-10, 1.504803623649058066e-09, 1.643165496925857944e-09, 1.556399399765469829e-10
2.027000000000000000e+03, 1.998889141889127755e-10, 9.144099160659608577e-10, 2.111750541629333220e-10, 9.168922976168749834e-11, 3.667417217143016558e-10, 1.502130107375075643e-09, 1.756972965410411097e-09, 1.561264041545669692e-10
2.028000000000000000e+03, 2.021463686238614710e-10, 9.494834195133953372e-10, 2.201378635207566624e-10, 9.304414816710290394e-11, 3.647062017620365181e-10, 1.495490785342338679e-09, 1.819685545864132276e-09, 1.560275760130099738e-10
2.029000000000000000e+03, 2.045333495875581034e-10, 9.276720592661438045e-10, 2.301665291852075984e-10, 9.431837755265557857e-11, 3.649932346245143222e-10, 1.495974887242100038e-09, 1.763234786338040778e-09, 1.553085055963948315e-10
2.030000000000000000e+03, 2.068885069059471280e-10, 9.363161679963419380e-10, 2.320267773834265122e-10, 9.575571631468611329e-11, 3.724060245720181301e-10, 1.487853479792237437e-09, 1.746770094476406735e-09, 1.537306084768271629e-10
