year, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, TaiESM1, INM-CM4-8, GFDL-ESM4, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
2.015000000000000000e+03, 8.699250236898851130e-01, 2.025117966657677737e+00, 9.276450740571370313e-01, 1.621841190407626199e+00, 1.459987197629940558e+00, 1.501534449631086510e+00, 1.497406287516462653e+00, 2.270616533043661178e+00, 1.294669089643026405e+00, 1.288624833737516351e+00, 1.076040543685098383e+00, 1.137813102088005568e+00, 1.667405646672497355e+00, 1.092428341082219312e+00, 8.988943150714946428e-01, 1.434713462147090279e+00
2.016000000000000000e+03, 8.831156143566090133e-01, 2.033432092590623075e+00, 9.704642201269565449e-01, 1.874587446425565629e+00, 1.482054118737476056e+00, 1.461505396507070786e+00, 1.467552984443542430e+00, 2.153340127447838537e+00, 1.292311787743974705e+00, 1.292027525408752098e+00, 1.090872825456985717e+00, 1.118749760633828361e+00, 1.653165032418566271e+00, 1.091805414345321523e+00, 8.991838735354262813e-01, 1.417731594684949359e+00
2.017000000000000000e+03, 8.871958012703460295e-01, 1.997442293246031397e+00, 9.664853714266309348e-01, 1.929885479916075841e+00, 1.486330793839719000e+00, 1.393130180676491969e+00, 1.456285740767055303e+00, 2.212982928921619408e+00, 1.299397957569853324e+00, 1.290254866844433579e+00, 1.088576869862656116e+00, 1.082730430869391913e+00, 1.730471947290718182e+00, 1.105549108546040937e+00, 8.804142248272057714e-01, 1.394565123604232904e+00
2.018000000000000000e+03, 7.982533637420029526e-01, 2.017411572808927911e+00, 9.492675223464305256e-01, 1.674504542765687498e+00, 1.458837874088861675e+00, 1.401026777414814850e+00, 1.520514290206802954e+00, 2.203073172362095988e+00, 1.339180059055727678e+00, 1.297800124952436907e+00, 1.097985542799683190e+00, 1.117141068408011195e+00, 1.710676381077381070e+00, 1.093599876707906482e+00, 8.929651455627006795e-01, 1.412606078614821570e+00
2.019000000000000000e+03, 8.540942884703259796e-01, 1.994524991534010860e+00, 9.578572586632895236e-01, 1.672455491223336699e+00, 1.420734901576470977e+00, 1.428862661457257044e+00, 1.498309236853076598e+00, 2.168177805163980842e+00, 1.318370824378813477e+00, 1.289483698669208644e+00, 1.114394806867505805e+00, 1.072407681071674279e+00, 1.705340978919316797e+00, 1.113226814998855785e+00, 8.710296148175215025e-01, 1.419721505165422393e+00
2.020000000000000000e+03, 8.394226771059392078e-01, 1.984812710931225022e+00, 9.564800451779279511e-01, 1.805831883473755228e+00, 1.489452931741331643e+00, 1.405271193413987652e+00, 1.484353288692410011e+00, 2.226983046437129410e+00, 1.335611036929808426e+00, 1.297231651693597998e+00, 1.145451262224487898e+00, 1.076195441152719257e+00, 1.731725268747839053e+00, 1.098308378407681252e+00, 8.676574869385272892e-01, 1.427396002338215064e+00
2.021000000000000000e+03, 9.505494196523966988e-01, 1.989387515988335187e+00, 9.706738300672619335e-01, 1.804473740800951687e+00, 1.470967749414529013e+00, 1.354712132329318086e+00, 1.473186817458830955e+00, 2.264052989613363209e+00, 1.483734331268488305e+00, 1.291587580383988909e+00, 1.153939078582775668e+00, 1.076551151470432677e+00, 1.738843277058924830e+00, 1.082695316754348935e+00, 8.557697580648022662e-01, 1.388186074607138609e+00
2.022000000000000000e+03, 7.816530428881380832e-01, 1.993616005055525831e+00, 9.563549850045183209e-01, 1.767349208892383894e+00, 1.451531102453246236e+00, 1.376359569764908253e+00, 1.527695149622823045e+00, 2.188019529143602870e+00, 1.387654084385067543e+00, 1.289796284490574818e+00, 1.174461935796884182e+00, 1.112259758892468753e+00, 1.749255249053430994e+00, 1.109270433540002987e+00, 8.724763972469896656e-01, 1.410344076524799428e+00
2.023000000000000000e+03, 8.291010836011754037e-01, 1.973840813814814688e+00, 9.327927542790050985e-01, 1.808539013481059499e+00, 1.434596966075846858e+00, 1.433511182448193644e+00, 1.546187751963181256e+00, 2.258312635176845440e+00, 1.402687207602145270e+00, 1.287126862250600023e+00, 1.130435273923701134e+00, 1.198499650577130593e+00, 1.803884148216125860e+00, 1.163154329312130031e+00, 8.785529735094657067e-01, 1.410664614458269961e+00
2.024000000000000000e+03, 8.279439985888553677e-01, 1.997298463435375648e+00, 9.400314743290287822e-01, 1.750896768357216526e+00, 1.479017797952536961e+00, 1.424426798238951131e+00, 1.493619064149780185e+00, 2.254024091400114393e+00, 1.322974401474897421e+00, 1.289895860467634270e+00, 1.106290846485976198e+00, 1.087245088101099322e+00, 1.811055860190180056e+00, 1.150133600778748599e+00, 8.745611479406329991e-01, 1.371547624250764263e+00
