year, IPSL-CM6A-LR, MPI-ESM1-2-LR, GFDL-ESM4, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CanESM5, CESM2-WACCM, TaiESM1, MIROC-ES2L, INM-CM4-8
2.015000000000000000e+03, 4.774576683261741450e-01, 1.865494459870133681e-01, 4.449041492545530163e-01, 4.151175463643886898e-01, -2.049426591830403876e-01, -1.666507095947194206e-01, -1.562787963585261231e-01, 3.011254843240621093e-01, 5.450880127253915353e-01, 8.799706170477770151e-01, 2.629907512474645159e-01, 5.636108708664158140e-01, -1.000047639004108535e-01, -7.838257016967362656e-01, -9.416542559851764915e-01, 1.859634334357475050e+00
2.016000000000000000e+03, -2.047879810046520643e-01, -2.279742288161200892e-01, 1.129735837968621065e-01, -5.639267245766667047e-01, -1.057205718112352449e-01, -5.649886832205911619e-02, 2.500891469017402224e-01, -3.062710855221510431e-01, -8.337901989418430304e-01, 1.056685028266517667e+00, 1.085962798846144967e-01, 1.892262544078500419e-01, 2.416522296865263320e-01, 3.909183314670711673e-01, 2.572761130752106440e-01, 2.433944343038710656e+00
2.017000000000000000e+03, -4.073839539663322573e-01, 8.743189519340029137e-02, -1.023062398410517160e+00, 2.817733199613489670e-01, -2.521393482591272606e-01, -1.488737663102181474e-01, -4.186318109716005709e-01, -2.894047640828453782e-01, -3.109471537758324855e-01, -3.895232795556408112e-01, -3.392568273148300895e-01, 6.758119249799249273e-01, 1.167942901193509547e-01, -1.681650075874467909e+00, 1.492847437132064359e-01, 1.839471179670954637e+00
2.018000000000000000e+03, -1.073768498822558620e-01, 4.574398105777663370e-01, -4.336445204836421319e-02, -4.822768706181015941e-02, 1.814583843264764296e-01, -1.322248610244457223e-01, -2.663175475496967204e-01, -1.606818354370717905e-01, -6.397958073445193794e-02, 1.088181983613532688e+00, 1.319230694827933483e-03, 3.838769551332941732e-01, -3.600609370282142202e-02, -1.450844977396756663e+00, 8.445418811786530033e-02, 8.241069836657615166e-01
2.019000000000000000e+03, 7.326520563368681127e-02, 2.128415173693974927e-01, 1.135901279385715806e-01, 2.470192975050767778e-02, 1.577272266854698179e-01, -7.378788234588147255e-01, -1.096447190761160040e-01, -1.946536444580072578e-01, -2.904964902593186182e-01, 1.198958004051250414e+00, -5.576426238316566364e-01, 2.764791937912725039e-01, 6.107004390777408531e-01, -1.031978916923310813e-01, -2.104197892803605363e-01, 6.475382057815962655e-01
2.020000000000000000e+03, -4.864039691651476927e-02, 3.483082191885474854e-01, -2.911671894625644796e-01, -1.319232796311948508e-01, 5.957263615776461352e-01, 1.107158449622556440e-01, -2.874378831281376723e-01, -3.184360059181481351e-01, 2.743721906677829003e-01, 9.797207682421550379e-01, -7.094602645051988343e-01, 5.816878116921463393e-01, -3.573221978458787085e-01, 1.144403814726858148e-01, -4.797066236205699274e-01, 2.270576513070840186e+00
2.021000000000000000e+03, -2.879181743615183975e-01, 1.750158272612944321e+00, -5.022133460678599448e-01, -2.135171059007641772e-02, 3.040866104302532014e-01, 4.427429641723691911e-01, -1.683098329585588082e-01, -5.578139563003655654e-01, -1.053467642069032983e+00, 6.777872123933967874e-01, -5.033687587134637598e-01, 7.155196400643940580e-01, 3.412740662886296628e-01, -1.183134255253327716e+00, -1.240503382973464491e-01, 1.098711081702815395e+00
2.022000000000000000e+03, 9.705473593125003851e-02, 4.375617339654655144e-03, 5.860219309501890107e-03, 2.216440391450772984e-01, 7.511573430487653580e-01, -6.937983560218007328e-01, -7.816793179862180363e-01, -2.947309273125884310e-01, 4.429955429370967535e-01, 1.593917463250174249e+00, -1.094332182125922065e-01, 7.172485940490621603e-01, 5.327755014871030648e-01, -3.385543617814792960e-01, 7.053154831739956443e-02, 7.474587303749146150e-01
2.023000000000000000e+03, -1.639105409563699350e-02, 7.365993918920060723e-01, 4.672818187998169503e-01, 2.827901566948201606e-01, -9.188418443675568925e-01, -5.716569191763454238e-01, -4.186737647168358722e-01, -3.567722528133083215e-01, -3.877957872424028785e-01, 2.652145765225848439e+00, -4.192811980454438370e-01, 8.642472782589785130e-01, 5.653312454048694535e-01, -5.466232848643062248e-01, -4.803500477172031879e-01, 8.096029526360656314e-01
2.024000000000000000e+03, -5.323788161447881029e-01, -4.047948989555766319e-01, 1.543393398675534378e-01, -1.299784008246720191e-01, -3.205864708810916563e-01, -1.065016929454701278e-01, -4.903978838638188287e-01, -4.130955847697497241e-01, 7.235023960062225701e-01, 1.913813700452698663e-01, -4.719894073085206254e-01, 1.231059158538214904e+00, 1.435170724620780658e-01, -6.899801819622687349e-01, -3.163067433046434229e-01, 1.779522749463468889e+00
2.025000000000000000e+03, -5.212288324566162201e-01, 6.020128879646204079e-02, -9.503710578669020137e-01, -4.217301173072045273e-02, 2.847808772818779532e-01, -1.091650178832798967e-01, -8.419465796914060718e-01, -3.847035230950091034e-01, -1.147991492409257130e+00, 1.693086015423104218e+00, -8.512452465257477341e-01, 5.609080047562742255e-01, 1.670504665781812892e-01, 5.149260121367109644e-01, 2.620126193020843597e-01, 1.021560192616229878e+00
2.026000000000000000e+03, 2.558196566217573187e-01, 4.216698818992080655e-01, 5.278200373842641957e-01, -1.828864889397948390e-01, -5.222657312054378442e-01, -4.209275268456643682e-01, -3.740895151300381583e-02, -3.871598119087108492e-01, 1.538731917460593734e-01, 4.415416550328116890e-02, -4.999915012182450935e-01, 5.867992602905377497e-01, 1.736684436294119172e-01, -6.657755141210958127e-01, 2.009479975773207083e-01, 2.559665629325985403e+00
2.027000000000000000e+03, -6.545968802568145894e-02, 6.438848297692891798e-01, 2.218803066163682614e-01, 4.721411711684992407e-01, -6.232129196459689213e-01, -2.406487312687966562e-01, -3.269654007391071260e-01, -3.972912009450224047e-01, -9.307803702688045577e-01, 2.093068450015775905e+00, -7.246599065124808003e-01, -2.179438249792200327e-02, 6.614348768941863410e-01, -1.391690197152250785e-01, 1.244607731081802254e-01, 1.341914287404630812e+00
2.028000000000000000e+03, -6.811756401498469948e-01, 2.882955191808810325e-01, -3.278962807694217885e-01, -1.116883077585585221e-01, -1.069866249725283547e+00, -2.634970400361430487e-01, 1.452160728241124604e-02, -1.103695837302339638e-01, 4.923791624216554419e-02, 2.162937541822655962e+00, -5.156856591868480555e-01, 2.446957097631264344e-01, 4.125743888634870737e-01, -6.882111483021272624e-01, -6.070540069353451695e-01, 3.918407069578769830e-01
2.029000000000000000e+03, 1.907643240844602781e-02, 3.069744058170379986e-01, -6.672327706297813410e-02, 1.676123560498511134e-01, -2.263203364159328546e-01, -4.549398132845194898e-02, -2.047110183647756821e-04, -1.304146327523063587e-01, -1.183396377569167351e-02, 1.622573563867971247e+00, 2.231880311641370740e-01, 7.184090154442916987e-01, 6.660760432980240564e-01, -2.199027918599568421e-01, 2.562246580157132025e-01, 1.293553489716050775e+00
2.030000000000000000e+03, -5.390561921797050182e-01, 9.202918168546860844e-01, -8.452551049268456351e-01, 3.484105343905786328e-02, 7.851361288267907357e-01, -7.667957769252825573e-01, -2.022146670112905664e-01, -4.117461415637422295e-01, 4.799254838882567875e-01, 1.481387558081595612e+00, 2.598871861806294897e-02, 8.564797802633906665e-01, 4.095448596635717919e-01, 8.064277326658114697e-01, 7.402628870341714240e-01, 8.962751231121234285e-01
2.031000000000000000e+03, -9.141996109144611424e-04, 5.732199498548817829e-01, 3.218313804092108876e-01, -2.377962097908580819e-01, -2.925227542753705001e-01, -4.509623441266537303e-02, -4.456884618716939750e-01, 1.590704474808271596e-01, -4.291668153109928774e-01, 1.865636042018192997e+00, -6.668515818193240241e-01, 1.617312978951602476e-01, 3.722082960494374482e-01, -9.374302694917466816e-01, 5.652540663925181841e-01, 1.481692235716429051e+00
2.032000000000000000e+03, -4.650723948906201888e-01, 5.205064540109015647e-01, -4.048966744091073156e-01, -4.740477714731685527e-02, 1.687105707776251004e-02, -1.675117022800641509e-01, -4.557765360798080728e-02, -3.937634967879066750e-02, 8.337676335798073213e-01, 2.099359015000076489e+00, -3.371172747060915409e-01, 1.026736632305438768e+00, 1.897998769544780306e-01, -6.811329618868775526e-01, -3.145461347062397106e-01, 8.179937252325606423e-01
2.033000000000000000e+03, 1.033747557522441546e-01, -5.642642288445390841e-01, -4.507456459670481363e-01, 1.672104704315786061e-01, 2.552107343187111632e-01, -6.959465502947500548e-01, -7.865003447460874875e-02, -3.176363782765619370e-01, -8.532317773653275150e-01, 1.473105880826190983e+00, 2.123007192521359637e-02, 7.139648629535227942e-01, 5.348767802434035712e-01, 8.028412794812977982e-01, -2.450487998354039521e-01, 1.650627694335785822e+00
2.034000000000000000e+03, 3.415938251930590308e-01, 3.183555636480243090e-01, -7.967261217455203770e-01, 1.587266262104499726e-01, -3.429160335067599763e-01, -1.963770006257747336e-01, -6.447333314150835437e-02, -4.526604018666895990e-01, -4.489304574152128829e-02, 7.903982079696496577e-01, -6.815030695657080528e-01, 6.803181381047264109e-01, 5.823389643993727161e-01, -6.641136302828437588e-01, 9.029310913086642243e-01, 1.391579195009599701e+00
2.035000000000000000e+03, 2.167139646901941885e-01, 6.279027436052532218e-01, 3.838363179923106605e-01, 8.662268825005990658e-02, -7.046026862380694311e-02, 3.869943710509232693e-01, -6.683266391350950464e-02, 6.235676571346461528e-02, -7.400252189666335356e-01, 1.603373796941091722e+00, 1.436400838965136151e-01, 2.131332785390446793e-01, 4.217267258086064285e-01, -5.282373864403121511e-01, 9.517630128618596030e-01, 1.667959974922946342e+00
2.036000000000000000e+03, -3.798737069264603305e-01, 3.252775358514033432e-01, -5.820616412466368406e-01, -1.091309722881799033e-01, 9.843419795068895917e-02, 9.094555534920368833e-01, -5.123857490966902128e-01, -4.441968934562031540e-02, 3.380476235997876278e-01, 1.533853676519405518e+00, -5.194692208121556298e-01, 2.075776773375643258e-01, 5.239892739618425832e-01, 8.034390233267034442e-02, -3.349379056641129671e-01, 2.566249024432810444e+00
2.037000000000000000e+03, -1.678163728073620853e-01, 2.327168964494606973e-01, -1.828598635814579765e-01, -1.366929966600850810e-01, -4.676038257956257049e-01, -1.652911163946404471e-01, -4.758861599102639506e-01, -1.149638358393773041e-01, -1.024578374111187129e+00, 2.290343036854210368e+00, -2.036051526203823958e-01, 5.425098347257134579e-01, 3.399849184015521497e-01, 4.969266788976525184e-01, -1.976639181769624873e-02, 2.273503842508517447e+00
2.038000000000000000e+03, -2.346304307274868217e-01, 1.719565719288554950e-01, 3.943895152539855092e-02, 1.886597580633708471e-01, -1.029669988634098310e+00, -1.467529589350228536e-01, -1.525105494780281956e-01, -9.827580389081009837e-01, -7.016853789315840029e-01, 1.826023299721193371e-01, -4.847889231501193996e-01, 8.743210819257029032e-01, 5.929907736141019070e-01, -8.229555044995322532e-01, 1.097902796940892628e-01, 2.464805863721054813e+00
2.039000000000000000e+03, -1.685252983114446379e-01, 8.519655624343162037e-01, -2.099016345139847681e-02, -2.863531420773285929e-01, 9.451415165966925436e-02, -4.220129263219236093e-01, 2.384810672797222364e-01, -4.156841998690269380e-01, -1.069008299217466762e+00, 6.893553920684512004e-01, -3.507364955657170102e-01, 1.175035990305730582e+00, 6.373391815843355568e-01, -3.882172657986426856e-01, 6.418695794942594901e-01, 1.574989828843790463e+00
2.040000000000000000e+03, 3.241879784107497969e-02, 9.749114655043882305e-01, -1.640911148434055500e-01, 7.510764298923203186e-02, 1.789206377209864585e-01, -6.861764755985383379e-02, 1.988085410277493636e-01, 2.392437782810717672e-01, 1.543572250355576658e+00, 1.687084178833107684e+00, 3.353430153683829851e-02, 1.102777726607237385e+00, 6.784083451527114228e-01, -3.167435001488824731e-01, 7.988249903686209796e-01, 3.478961737627733752e-01
2.041000000000000000e+03, -4.022001506408998672e-01, 1.049290641418792358e+00, -8.043042743806035066e-02, 6.650339342339903204e-02, 1.095594966908571971e-01, -4.495107763618916841e-01, -1.559101171627695903e-01, -2.752450786938896443e-01, -6.451163454029814615e-01, 8.659389104173892404e-01, -3.310161286502422140e-01, 9.248575698288548086e-01, 2.490019437429527305e-01, 1.763283484650240984e-01, 7.238169763211073082e-01, 1.501334963565306158e-01
2.042000000000000000e+03, -2.777529747082982392e-01, -3.675839079677857557e-02, -7.361208907908561860e-01, -1.217808821302594074e-01, -7.200763814373958294e-01, 4.401703503889248768e-03, -2.378659227475334592e-01, -2.526287249762256271e-01, -9.894350286935443828e-03, 1.125888686689267670e+00, -4.503484515275230776e-03, 1.300716331510370027e+00, 5.250029880757536294e-01, -4.137152160719414495e-01, -3.888013953373647968e-01, 1.429092592733362421e+00
2.043000000000000000e+03, 5.539996273198721094e-02, 4.798212784576955103e-01, -3.395040301265906529e-03, 1.101761051549479502e-02, -1.074097529254347316e+00, -4.796574439897633435e-01, -3.507934634149615372e-01, 1.683274020694670581e-01, -7.788499226041614154e-01, 4.229924264021039382e-01, -6.052981457804030851e-01, 7.851030224915196420e-01, 8.158065887296750418e-01, -2.125960150807485738e-01, 6.769859491586076583e-01, 6.407495657632835684e-01
2.044000000000000000e+03, -2.062436019802528497e-01, 3.770842182612990645e-01, 2.635964326427202575e-01, 6.078986757491074977e-01, -5.001406616578443209e-01, 1.873306190964878215e-02, -2.175754754203926000e-01, -2.884061861477351871e-02, -4.522627652555190059e-01, 1.878199110656963988e-01, -1.314693820635557953e-01, 8.031457334921223712e-01, 8.693697622992920815e-01, 5.781411934088898086e-02, 8.537506252471497303e-01, 1.501539543969930834e+00
2.045000000000000000e+03, 1.593164841878728644e-01, -1.054774725457518353e-01, -1.036343338795820523e+00, -7.722259919142769879e-01, 9.547717614037802836e-01, -2.731790865971431281e-01, 1.728970250360328115e-02, -2.526166736835419036e-01, -9.565617198128999188e-02, 2.168301177662200541e+00, -4.987645909994448123e-01, 4.346965092526118291e-01, 8.462132424846808831e-01, -8.348728510819448667e-01, 5.182899790895797443e-01, 5.010132740646423555e-01
2.046000000000000000e+03, -2.238634356394727243e-01, -5.163337077966643207e-01, 1.431909209765031832e-01, 1.530218937353284847e-01, 8.295356280201623966e-02, -7.875761121142863530e-01, -3.047673667722960444e-01, 2.429923624575852648e-02, 7.477572230701701184e-02, 1.116376234930561262e+00, -4.561013105866065787e-01, 1.107573869854442616e+00, 3.918234502357475502e-01, -9.683123535976820850e-01, -8.775191589958614147e-01, 1.845203540124128017e+00
2.047000000000000000e+03, -4.105336740278856672e-02, 6.372436572037201152e-01, -5.425066272426296576e-01, -5.541894012942575332e-01, -4.413352121107071147e-02, -1.194444789753100089e+00, -3.115300370095085980e-01, -1.607987007849502326e-01, 1.491003167891375714e-01, 1.322015302776216039e+00, -1.113917807087694278e-01, 2.060896737135700985e+00, 7.863657846687769348e-01, -1.116699361199367663e-01, 2.789317382217177399e-01, 1.199532162799240131e+00
2.048000000000000000e+03, 1.314637896875211487e-01, 6.637435341943401790e-01, -2.448362503142990088e-01, -4.086978856875932153e-02, -4.948086604611757755e-01, 9.290596318635698792e-01, -3.823578233304705809e-01, -5.316894467818059633e-01, 7.233782601867304596e-01, 2.020194473472025187e+00, -1.266346329788592580e-02, 7.012159146073385640e-01, 7.892512295842478709e-01, 1.208233547944862707e+00, 1.171217356641692575e+00, 2.176902172830784910e+00
2.049000000000000000e+03, -7.062479138247599320e-01, 2.158770967072059788e-01, 2.598590932986410418e-01, -2.187620745934514277e-01, -9.221993903142750026e-01, -6.640604025212110129e-01, -4.759098458047767433e-01, -7.639312709268836210e-01, -9.073940606264193631e-01, 1.593206829358763121e+00, -2.513134138934574602e-01, 2.399704539495377958e-02, 5.600658159448452800e-01, -1.088061796360979328e+00, 7.834973904948452361e-01, 2.211203918809196090e+00
2.050000000000000000e+03, -5.093408701823947116e-01, 9.897512534126071682e-01, -6.584056605875884816e-02, -7.462515930990653024e-01, 1.253579082583904380e-01, -5.262962330090824592e-01, -6.375864066740299929e-02, 1.519584315304034761e-01, -6.823523023751025818e-01, 5.128361719513492567e-02, -3.369898755938290080e-02, -1.141036392928040794e-01, 6.547271290247115294e-01, -1.291919304271115676e+00, -5.701579807662323640e-01, 1.348933034714487000e+00
2.051000000000000000e+03, -3.424895187236468019e-01, -5.449685737530413771e-02, -3.338507249203369054e-01, -1.250188140532209613e-01, 3.845258999071814454e-01, 1.915437847431649687e-01, -6.993917466841740316e-01, -4.250976556830389219e-01, 2.166670757182315721e-01, 1.896634274168545131e+00, 2.240241907777378860e-01, 1.191863543117070101e+00, 8.042436332110008967e-01, -1.627691723651342459e-01, 9.711761243981750780e-02, 1.540190991800774789e+00
2.052000000000000000e+03, -7.042591127559756359e-01, -2.180111783659845481e-01, -1.894493608015797581e-01, -1.081965781653540848e+00, -7.594957547614892279e-01, -2.875623610456861656e-01, -8.190429660684975799e-01, -5.110942527462298823e-01, -1.289356780426806237e+00, 2.318287541371252480e+00, -4.118328485830224928e-01, 1.394290918487426811e+00, 1.146979801628052797e+00, 1.648965203507101185e-01, 7.588405797082460325e-01, 6.963456908992459171e-01
2.053000000000000000e+03, -5.173915284226214550e-02, 6.985461511729397222e-01, -4.435334291960525976e-01, 3.746253701956378523e-02, -9.962635244548285751e-01, -5.200375134829984258e-01, -6.295342783247664942e-01, -8.302287369862605404e-01, -4.879664514610380643e-01, 1.010742874913117539e+00, -5.161602467717645720e-02, 6.867530802375185761e-01, 9.889071033370917529e-01, -5.313715168104943265e-01, 8.241668336303406006e-01, 1.800046487359032055e+00
2.054000000000000000e+03, -5.709580969718089927e-01, 6.146528766254418796e-01, -1.325107072998915059e-01, -1.133861148926925272e-01, -3.346785987662806439e-01, -1.454041237933234414e-03, -2.446071702492832456e-01, -2.585873704044465704e-01, -5.461435957332189117e-01, 2.333674106280329230e+00, -4.237862997607672044e-01, -2.413612082107564616e-01, 7.122469111894618177e-01, -4.947426362241276188e-01, 6.464545426485792667e-01, 2.150549799026024722e+00
2.055000000000000000e+03, 2.764819691914402466e-01, -3.991075854871108386e-01, -7.135695483204866907e-01, -7.167556061656039645e-01, -6.428863665842055042e-01, -1.048522329967015443e+00, -3.190457488148062404e-01, -3.601279392057479822e-01, -5.710713590795081229e-01, 2.065690270326822287e+00, -1.438403552599434754e+00, 9.250259214076674841e-01, 5.262126883183614323e-01, -1.029256522037152788e+00, -6.706793636159924521e-01, 2.059804532343554317e+00
