year, MPI-ESM1-2-LR, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MIROC-ES2L, CESM2-WACCM
2.015000000000000000e+03, 2.062109982301954454e-10, -2.528466488046604023e-10, -1.757393706908031287e-10, 2.778685046615583824e-10, 5.930227862827300525e-10, -9.930080884724573891e-10, -1.056602968112710243e-10
2.016000000000000000e+03, -2.429332247226507370e-10, 4.495286981612677612e-10, -5.958015773114858450e-11, 1.147397228237577558e-10, 1.991009869172390777e-10, 2.713068619725544342e-10, 2.553183000282940532e-10
2.017000000000000000e+03, 9.352264609038102980e-11, 3.996189729501921277e-11, -1.569929229065607276e-10, -3.584490589689708978e-10, 7.110790289381755551e-10, 1.574261009818931045e-10, 1.233993149782499648e-10
2.018000000000000000e+03, 4.855947513214231375e-10, -2.485978988303058702e-10, -1.394360331415672472e-10, 1.393861414276638641e-12, 4.039094937486267747e-10, 8.905996162962696424e-11, -3.804233317767892674e-11
2.019000000000000000e+03, 2.212337314863185170e-10, 1.243738625370931014e-10, -7.781206596484318416e-10, -5.891892444302989536e-10, 2.909072026933346798e-10, -2.218951928502273323e-10, 6.452371581016504810e-10
2.020000000000000000e+03, 3.826988636807610656e-10, -6.275359427371976133e-11, 1.167539758245581507e-10, -7.495954206745278887e-10, 6.120430684846388403e-10, -5.058677899253687771e-10, -3.775297096771220821e-10
2.021000000000000000e+03, 1.832175140346758080e-09, 3.507848339637337537e-10, 4.668889204891714271e-10, -5.318450311031744558e-10, 7.528588828294144003e-10, -1.308155180354739552e-10, 3.605740139935258438e-10
2.022000000000000000e+03, 1.230403094103244347e-12, -3.278986644327907492e-10, -7.316361674672910110e-10, -1.156240079196632211e-10, 7.546780619161597174e-10, 7.437804005716323267e-11, 5.629053599582549681e-10
2.023000000000000000e+03, 7.693158773247696203e-10, -2.486190725422577311e-10, -6.028334801058510652e-10, -4.430005199078931915e-10, 9.093478417166297914e-10, -5.065463036454670908e-10, 5.973022169788713532e-10
2.024000000000000000e+03, -4.166527373027609516e-10, 5.339477939369986754e-10, -1.123099958065532757e-10, -4.986905060456123742e-10, 1.295301723249119408e-09, -3.335567726089443695e-10, 1.516333410769200231e-10
2.025000000000000000e+03, 5.717332868391807767e-11, 1.347659467073150746e-10, -1.151185709974664828e-10, -8.994013767799736057e-10, 5.901788716699383332e-10, 2.763016771762142572e-10, 1.764976106407209852e-10
2.026000000000000000e+03, 4.437157354794710743e-10, 2.759085203480639910e-11, -4.438837305535070709e-10, -5.282767174434654804e-10, 6.174212569590720540e-10, 2.119068497681854242e-10, 1.834898517325509719e-10
2.027000000000000000e+03, 6.875462099833027806e-10, -2.188242654656330725e-10, -2.537730363919109503e-10, -7.656549276188626663e-10, -2.293171779025636966e-11, 1.312483362215099545e-10, 6.988407620617273202e-10
2.028000000000000000e+03, 2.939103662955410225e-10, 1.592946449659183618e-11, -2.778674276722577878e-10, -5.448587158064212558e-10, 2.574651041987313909e-10, -6.401601598409833981e-10, 4.359065576861553589e-10
2.029000000000000000e+03, 3.251538906646617682e-10, 6.386929541347098582e-10, -4.797509514555723176e-11, 2.358140892170783648e-10, 7.558990396591958072e-10, 2.701980650100706872e-10, 7.037443986551633993e-10
2.030000000000000000e+03, 9.778526813168583369e-10, -1.296124555475581332e-10, -8.086146624453650306e-10, 2.745893665924411797e-11, 9.011749984627231329e-10, 7.806336877348291920e-10, 4.327057006271833560e-10
2.031000000000000000e+03, 5.942891188556324640e-10, 6.242405043316845763e-12, -4.755565623140840487e-11, -7.045763054114887937e-10, 1.701712118495357373e-10, 5.960806276848113050e-10, 3.932576559589219895e-10
2.032000000000000000e+03, 5.457593965733961444e-10, -4.028956017720412825e-10, -1.766473194961807899e-10, -3.561884688865633991e-10, 1.080316668719172758e-09, -3.317001478788623563e-10, 2.005335601184342899e-10
2.033000000000000000e+03, -5.965067337118008963e-10, 2.979236002558668167e-10, -7.339015182153784744e-10, 2.243108668930161836e-11, 7.512229700001956414e-10, -2.584127228867480052e-10, 5.651254715650882487e-10
2.034000000000000000e+03, 3.469860245523994211e-10, 3.019026160093791138e-10, -2.070868500473198071e-10, -7.200566482442450024e-10, 7.158203978524153140e-10, 9.521731264992880155e-10, 6.152717672978089869e-10
2.035000000000000000e+03, 6.547989453147535015e-10, -1.372414359949739838e-10, 4.080999558583782703e-10, 1.517660036805945753e-10, 2.242555941025390269e-10, 1.003668134109320014e-09, 4.455764834019052361e-10
2.036000000000000000e+03, 3.419662593075516470e-10, 1.091674582201394399e-10, 9.590547020809742090e-10, -5.488563187872570110e-10, 2.184100750143196820e-10, -3.532039996065442662e-10, 5.536222481147544583e-10
2.037000000000000000e+03, 2.440139081495018062e-10, 4.401480192859462051e-11, -1.743056291006326419e-10, -2.151233799350557129e-10, 5.708205969843306677e-10, -2.084436705949232877e-11, 3.592119613965327376e-10
2.038000000000000000e+03, 1.861425741700479283e-10, -1.902544161280373535e-10, -1.547564526606215772e-10, -5.122141083412321144e-10, 9.199473447207548619e-10, 1.157777762686608139e-10, 6.265259643911205428e-10
2.039000000000000000e+03, 8.936524789315994536e-10, -2.588266522844466935e-11, -4.450283246651661247e-10, -3.705781480557700341e-10, 1.236354997699731813e-09, 6.768744261824355826e-10, 6.733823916900102299e-10
2.040000000000000000e+03, 1.031215837027503266e-09, 5.704117680920322546e-10, -7.235986111177133269e-11, 3.543138372247565536e-11, 1.160325951623030121e-09, 8.423895200049523879e-10, 7.167741246753164813e-10
