year, UKESM1-0-LL, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CMCC-CM2-SR5, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5
2.015000000000000000e+03, 2.101160429698980980e+00, 2.676864264640491431e+00, 2.327559606325761532e+00, 1.506687427726366213e+00, 2.371544874460358887e+00, 1.669000953468399828e+00, 1.824841054463671064e+00, 1.843277548211751826e+00, 2.190200667694760739e+00, 2.332692430941970763e+00, 2.182517999206259773e+00, 2.298685796827296013e+00, 2.448946366202111591e+00, 2.131951818994465508e+00, 1.847161114226556933e+00, 2.392277705990534020e+00
2.016000000000000000e+03, 1.756269433577694494e+00, 2.677995741373102589e+00, 2.700030331592715438e+00, 1.738122683615461961e+00, 2.512909963130141477e+00, 1.579500626658828510e+00, 1.680246100181572055e+00, 1.954475884117601536e+00, 2.187737729646048734e+00, 2.199900043860142596e+00, 2.173732502359796204e+00, 2.580526703914734377e+00, 2.209878648195791495e+00, 2.257177083615056645e+00, 2.049787681985377308e+00, 2.389628275408153257e+00
2.017000000000000000e+03, 1.906525124346059474e+00, 2.869398984816383003e+00, 2.114882661736128266e+00, 1.418602950395940088e+00, 2.351898736331175854e+00, 1.689661748496465110e+00, 1.788776526897639441e+00, 2.017758677722893079e+00, 2.034740184642074734e+00, 2.333897124947263535e+00, 2.161811763945453713e+00, 2.502274874110513636e+00, 2.412037167015003369e+00, 2.195125462416649853e+00, 1.764387853744680212e+00, 2.265104996971726070e+00
2.018000000000000000e+03, 1.896407541909022720e+00, 2.791279827775077216e+00, 2.038715073136896372e+00, 1.696126776106277267e+00, 2.248676889546480595e+00, 1.736797097000303935e+00, 1.721799775542655730e+00, 1.937602451848158713e+00, 2.216840631203744749e+00, 2.154966821785884168e+00, 2.106544695139719980e+00, 2.456194845724092524e+00, 2.470536350922516888e+00, 2.100390002298241132e+00, 1.836690056742571686e+00, 2.373706637147514176e+00
2.019000000000000000e+03, 1.850425270459603810e+00, 2.580725826987221527e+00, 2.270340011530031621e+00, 1.431415577970467812e+00, 2.347974513551507769e+00, 1.666917437696499027e+00, 1.639107905145199995e+00, 1.936271778752730599e+00, 2.283119299210110587e+00, 2.268402952781732651e+00, 2.319890717732462360e+00, 2.699813595848423287e+00, 2.446464118510870200e+00, 2.087023464886896829e+00, 1.895471451392961804e+00, 2.407686120263690555e+00
2.020000000000000000e+03, 1.912618008162531469e+00, 2.872739338438985435e+00, 2.322105041531603575e+00, 1.707630716572979379e+00, 2.345229813159581234e+00, 1.813999732863397663e+00, 1.574734053538120460e+00, 1.928322562758532532e+00, 2.205292800939196773e+00, 2.321129818169711534e+00, 1.859997127181929999e+00, 2.579050895244852537e+00, 2.301018495651729889e+00, 2.181160630263920375e+00, 1.853167486219419846e+00, 2.503206732243945964e+00
2.021000000000000000e+03, 1.768392765844273740e+00, 2.673127245193122281e+00, 2.153342496791835980e+00, 1.602833529190573536e+00, 2.344533447672468629e+00, 1.806405305848691967e+00, 1.772092104627378539e+00, 1.863707341060476752e+00, 2.101010889062243869e+00, 2.429662820516108823e+00, 2.123073725970004766e+00, 2.591302013993786346e+00, 2.347748537691915605e+00, 2.087630359653767975e+00, 1.886825288374788911e+00, 2.360205754855136728e+00
2.022000000000000000e+03, 1.788500352112138758e+00, 2.530937849150246333e+00, 2.157999977192836205e+00, 1.563746384160379144e+00, 2.283448730811802108e+00, 1.672390501543059127e+00, 1.762278503172358679e+00, 2.067014485785691136e+00, 2.321594802376838018e+00, 2.484194599353477972e+00, 2.056423334338646658e+00, 2.547945742977003825e+00, 2.419110153976918198e+00, 2.119619855679931497e+00, 1.655437686330529790e+00, 2.360488681808828648e+00
2.023000000000000000e+03, 1.848748477835397752e+00, 2.617204979543508170e+00, 2.244485402683563002e+00, 1.483694763650180493e+00, 2.387941324235594021e+00, 1.722039827221969910e+00, 1.656597804476406255e+00, 2.076597189236659258e+00, 2.368330664248301520e+00, 2.445433740262632938e+00, 2.328038445400551382e+00, 2.683908368259103838e+00, 2.282029183497852998e+00, 2.096008025160533528e+00, 1.875969594649662842e+00, 2.328501100650969491e+00
2.024000000000000000e+03, 1.961949427452593486e+00, 2.531314758755904393e+00, 2.151223633264335966e+00, 1.632590840047023706e+00, 2.322297819083281034e+00, 1.696772387682985217e+00, 1.742996017190599822e+00, 2.087571838700668536e+00, 2.186211210393145254e+00, 2.295725680322982853e+00, 2.110603446486797985e+00, 2.755205755297447379e+00, 2.264861924222412615e+00, 2.157276103993556404e+00, 1.736177969098091411e+00, 2.552513296582783031e+00
2.025000000000000000e+03, 1.833415130328356346e+00, 2.776919399638320574e+00, 2.400332120398961600e+00, 1.731058565438101882e+00, 2.271823708165451094e+00, 1.693273553298116019e+00, 1.573702660497927175e+00, 1.902535618200521528e+00, 2.343030520405781303e+00, 2.222950057240773436e+00, 1.997355594044765592e+00, 2.546817953292126901e+00, 2.315126353414629357e+00, 2.128110906619894216e+00, 1.680815763511828598e+00, 2.442504706320355545e+00
2.026000000000000000e+03, 1.901417010688423392e+00, 2.666007215830060062e+00, 2.257024266530985646e+00, 1.483985308292508298e+00, 2.390308288760213173e+00, 1.740532640952512589e+00, 1.578321607623998535e+00, 1.900909666046536550e+00, 2.140008866527181475e+00, 2.395902566516458165e+00, 2.012099621784565695e+00, 2.510507775990987511e+00, 2.376350090197163922e+00, 2.279621261551804334e+00, 1.841512717655574116e+00, 2.136924173868476107e+00
2.027000000000000000e+03, 1.861879215668510890e+00, 2.688343145719465532e+00, 2.220050232745747643e+00, 1.641081690225703937e+00, 2.461312799308334576e+00, 1.907840356050772401e+00, 1.700621305154616181e+00, 1.925035225810399320e+00, 2.337038248591372103e+00, 2.388057636503701620e+00, 2.343607745222831884e+00, 2.678935817191826274e+00, 2.379607904418866493e+00, 2.216411555851473647e+00, 1.848704396116687798e+00, 2.467358789648209427e+00
2.028000000000000000e+03, 1.914432371049479720e+00, 2.572825681043060086e+00, 2.093554868830828752e+00, 1.529624572127288529e+00, 2.295974084719938801e+00, 1.693489676954785361e+00, 1.836715731739699153e+00, 1.909527770929578594e+00, 2.448018151035689982e+00, 2.351777573111422992e+00, 2.163686308962454952e+00, 2.676488686980208254e+00, 2.242617559274086680e+00, 2.075366062655676913e+00, 1.899748818941052964e+00, 2.433780482128823586e+00
2.029000000000000000e+03, 1.835941775711357193e+00, 2.703039076447479871e+00, 2.212911349246912351e+00, 1.637161801881130252e+00, 2.360385120439463247e+00, 1.819705141061886966e+00, 1.755647369849240302e+00, 1.962978718917522292e+00, 2.274817318115864406e+00, 2.318438511087494547e+00, 2.156626175096396647e+00, 2.632545138074047220e+00, 2.388354338231811980e+00, 2.175575455865230268e+00, 1.781289610584627869e+00, 2.539201094336192011e+00
2.030000000000000000e+03, 1.847984711616010634e+00, 2.767256002124063752e+00, 2.498564557270855691e+00, 1.438623397234368717e+00, 2.147420080151874799e+00, 1.851036354531026440e+00, 1.588741460135624228e+00, 1.918008596453684156e+00, 2.286359351277344132e+00, 2.237730981927817719e+00, 2.129727905184855441e+00, 2.622049184872911720e+00, 2.292561412070585725e+00, 2.189068364205119188e+00, 1.793353047704084435e+00, 2.441705302334897354e+00
2.031000000000000000e+03, 1.940918518950214056e+00, 2.983636194035710343e+00, 2.123788553078926000e+00, 1.633962429785538850e+00, 2.377424810678869793e+00, 1.863694269603746623e+00, 1.816530833146100088e+00, 1.904368762229488476e+00, 2.322058930886051531e+00, 2.239704044294790641e+00, 2.040247622352256318e+00, 2.457878855654682670e+00, 2.256074518426931075e+00, 2.154076835120385613e+00, 1.709391005917841655e+00, 2.262485391582683913e+00
2.032000000000000000e+03, 1.931857033798634937e+00, 2.661764884517107799e+00, 2.165089320329109057e+00, 1.498376342515346682e+00, 2.321146007262630651e+00, 1.752412762849324679e+00, 1.769364378152485706e+00, 2.099797890320296290e+00, 2.407953260492723846e+00, 2.243256172476364885e+00, 2.070594207549018240e+00, 2.642373375903216637e+00, 2.229762503347802571e+00, 2.136650596182148476e+00, 1.833629542525395895e+00, 2.589480349014144256e+00
2.033000000000000000e+03, 1.898105660657442684e+00, 2.759886771041798692e+00, 2.443245912898551087e+00, 1.450852655986433870e+00, 2.447510813864369528e+00, 1.749849153335513829e+00, 1.675140460731195047e+00, 1.910447457164658136e+00, 2.291725947274991348e+00, 2.342048415240918224e+00, 2.126412117508480470e+00, 2.611308872020004390e+00, 2.354699131465541662e+00, 2.190752388914332105e+00, 1.794017991928754219e+00, 2.562236405453396149e+00
