year, CanESM5, TaiESM1, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, INM-CM4-8, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CMCC-CM2-SR5
2.015000000000000000e+03, 2.977894365788934010e+02, 2.982813986425791768e+02, 2.979227331134423480e+02, 2.968528997244241054e+02, 2.982967490605210514e+02, 2.974396594871397497e+02, 2.978345149688099696e+02, 2.987317606036574489e+02, 2.983495794208985217e+02, 2.967151659848961458e+02, 2.979061157637837027e+02, 2.966154457330435434e+02, 2.984652175484628742e+02, 2.966847835242782594e+02, 2.959279402309417151e+02, 2.986036611037368971e+02
2.016000000000000000e+03, 2.979455190587884772e+02, 2.982286081872109662e+02, 2.981226370680689683e+02, 2.966516396967099354e+02, 2.984090368762774688e+02, 2.980554944280661971e+02, 2.979773188965430109e+02, 2.977825017857752528e+02, 2.977179411623304190e+02, 2.969427443974889798e+02, 2.977976795980356997e+02, 2.967077134859391663e+02, 2.989469043627940437e+02, 2.971546209096130156e+02, 2.960647452128355894e+02, 2.989135510354511780e+02
2.017000000000000000e+03, 2.977146128040766371e+02, 2.974225458586407171e+02, 2.980176434625238926e+02, 2.968010727264651223e+02, 2.981989291853995496e+02, 2.976363586646946260e+02, 2.979966260847998001e+02, 2.978263022162402081e+02, 2.974917880277735662e+02, 2.972104063755929815e+02, 2.980722003432735505e+02, 2.967541461013006483e+02, 2.986113775149610774e+02, 2.972072274347192433e+02, 2.970112270442033946e+02, 2.982686610876914415e+02
2.018000000000000000e+03, 2.980733236837258460e+02, 2.975884668361707099e+02, 2.983796337030315158e+02, 2.969595200755110227e+02, 2.979863710578221117e+02, 2.976571558689796007e+02, 2.980899220513886121e+02, 2.981789314552999599e+02, 2.980367569897861699e+02, 2.971149752813562372e+02, 2.978297526220454756e+02, 2.969974103981312510e+02, 2.987988267602029282e+02, 2.964667453549883476e+02, 2.964827846032613934e+02, 2.981396240909589892e+02
2.019000000000000000e+03, 2.985605509192708951e+02, 2.983533975845663235e+02, 2.984836913589110168e+02, 2.968742791867974802e+02, 2.981296127487101444e+02, 2.979194874765333338e+02, 2.982070093440730716e+02, 2.988110841039346610e+02, 2.982449936447114851e+02, 2.968408277647543514e+02, 2.984408332039141101e+02, 2.966453159613906791e+02, 2.985327395827700343e+02, 2.966853751449556853e+02, 2.961887848444400788e+02, 2.982240971079273208e+02
2.020000000000000000e+03, 2.981619598432475868e+02, 2.983562466683795833e+02, 2.983492470877220057e+02, 2.970093116797069683e+02, 2.980310762629276269e+02, 2.977293795504974128e+02, 2.980465345991815411e+02, 2.987837998149317400e+02, 2.974924426665564852e+02, 2.971586483761275304e+02, 2.977138719036079806e+02, 2.967800431134256769e+02, 2.985047617050485087e+02, 2.969465257719936631e+02, 2.966140318827095257e+02, 2.989698885835539386e+02
2.021000000000000000e+03, 2.979511488487666497e+02, 2.975783829748412472e+02, 2.982930377921020977e+02, 2.969163967344359776e+02, 2.981244917428225563e+02, 2.972915729602141255e+02, 2.985341090811294293e+02, 2.988939427242932538e+02, 2.972590029774222558e+02, 2.973001078383790059e+02, 2.979373506952964590e+02, 2.969429796325608777e+02, 2.986284099834648487e+02, 2.975946988629802377e+02, 2.964156131655142872e+02, 2.991376858772426885e+02
2.022000000000000000e+03, 2.982134151342143014e+02, 2.978967231546591279e+02, 2.982089260018899495e+02, 2.972472066976551446e+02, 2.977408219613676010e+02, 2.974691480353438919e+02, 2.986653064608428849e+02, 2.990507469871553212e+02, 2.970473001419586581e+02, 2.973904983393131261e+02, 2.982214259426531271e+02, 2.970160975359099780e+02, 2.984956095972580670e+02, 2.970724749729164387e+02, 2.961246891289425207e+02, 2.986976162319622290e+02
2.023000000000000000e+03, 2.986012134042500179e+02, 2.981274463602389346e+02, 2.984410896434305300e+02, 2.970731765074237956e+02, 2.985777864996176731e+02, 2.972891040610994082e+02, 2.978165320592214584e+02, 2.993082726828524187e+02, 2.977317456297236049e+02, 2.967042660547470518e+02, 2.981938558856419945e+02, 2.972584639890544054e+02, 2.986684161394473449e+02, 2.969675063244105786e+02, 2.962288290899821845e+02, 2.980226153867527046e+02
2.024000000000000000e+03, 2.982074894684175774e+02, 2.982742842932998997e+02, 2.984973946429730631e+02, 2.973258215527126254e+02, 2.987911054575473031e+02, 2.978261867872409425e+02, 2.971427743055612609e+02, 2.992506320219195004e+02, 2.979335067051263195e+02, 2.971118844334441178e+02, 2.980293616254710400e+02, 2.970860760398157367e+02, 2.990310185523640598e+02, 2.970810359262948737e+02, 2.965948093339941352e+02, 2.979863096096322010e+02
