year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.850000000000000000e+03, 5.142696761460677779e-01, 1.412555317120605780e+00, 7.112150181464755860e+00, 6.217765765778869858e-01, 1.049758023199225621e+00, 1.121407035757367332e+00, 1.432317302780054202e+00, 5.158362213459722900e-01, 1.897274853760414492e-01, 3.891822213265905273e+00, 6.527599772105214804e+00, 3.687133769343680090e+00, 6.708464576741115515e-01
1.851000000000000000e+03, 5.492623002241603380e-01, 1.432186474792378483e+00, 7.099122576763094550e+00, 6.345367307013818348e-01, 1.074417773333499415e+00, 1.111942318839878041e+00, 1.450290240507679185e+00, 5.169767800364947208e-01, 1.571280515929792954e-01, 3.898190638100743843e+00, 6.521023105139368781e+00, 3.656089945511967088e+00, 7.264412192426501491e-01
1.852000000000000000e+03, 5.531439527704906656e-01, 1.435274038031709942e+00, 7.115609542437939083e+00, 6.616684414131163150e-01, 1.046571835901307201e+00, 1.092409905473534559e+00, 1.464430157743938921e+00, 5.392719101900705914e-01, 1.547533801581695567e-01, 3.936684171601544158e+00, 6.538906970371672678e+00, 3.630936242003910852e+00, 8.121358369367136509e-01
1.853000000000000000e+03, 5.389291667189012314e-01, 1.431601117985961347e+00, 7.113862230111191565e+00, 6.252759825944190775e-01, 1.016266897373868883e+00, 1.093934411048861133e+00, 1.589683585426161727e+00, 5.792575769035019917e-01, 1.876983435138822043e-01, 3.849053800603160713e+00, 6.544999460082361331e+00, 3.636848165329297000e+00, 7.924331579417001059e-01
1.854000000000000000e+03, 5.271011302677465205e-01, 1.435020685152911257e+00, 7.141924232580257659e+00, 6.233449705427842602e-01, 1.040591371520476649e+00, 1.111993807045000615e+00, 1.635766665383649565e+00, 5.491443542795195754e-01, 1.542250421120933690e-01, 3.851065168617074708e+00, 6.517001971562068618e+00, 3.647129029519594834e+00, 7.183266840540768472e-01
1.855000000000000000e+03, 5.219807443155645155e-01, 1.450607994947092472e+00, 7.124084808523044821e+00, 6.062266652408944134e-01, 1.060247604327231086e+00, 1.137215028769325453e+00, 1.542048446282829666e+00, 5.416077327791214424e-01, 1.747547846390756776e-01, 3.871908145026069281e+00, 6.555479922801192849e+00, 3.643030746376000995e+00, 7.441931381170152626e-01
1.856000000000000000e+03, 5.738196931637908893e-01, 1.454093655732097812e+00, 7.109206212864506824e+00, 6.236241792561306729e-01, 1.044226555355634689e+00, 1.146756619382024223e+00, 1.382606369697806592e+00, 5.668220829764857305e-01, 1.629628759747270283e-01, 3.963977393533368421e+00, 6.550472687740779065e+00, 3.632248168178715098e+00, 7.632197476261650682e-01
1.857000000000000000e+03, 5.401600128949292090e-01, 1.454011279135984047e+00, 7.109519339448540975e+00, 6.242950244233396173e-01, 1.015952769683503121e+00, 1.143026797362619140e+00, 1.479851397211692898e+00, 5.424360231765152918e-01, 1.686058510999076110e-01, 3.995355444484250729e+00, 6.560065402111780131e+00, 3.603889354581417681e+00, 6.599033662161249980e-01
1.858000000000000000e+03, 5.582732744905805067e-01, 1.448553010564059829e+00, 7.106896447305205200e+00, 6.604052580812938000e-01, 1.018022178237601771e+00, 1.118203606509321490e+00, 1.585495097216080396e+00, 5.113949568314094529e-01, 1.696015375229503186e-01, 4.002870614471712329e+00, 6.554745700035135236e+00, 3.601083849800068126e+00, 6.836507315305954124e-01
1.859000000000000000e+03, 5.296715400453506639e-01, 1.457018032647709793e+00, 7.121247171227048867e+00, 6.798714658797249122e-01, 9.961448045510165050e-01, 1.095833347884214382e+00, 1.540075926671633066e+00, 5.315676705719403206e-01, 2.052966150406544954e-01, 3.962082754391520023e+00, 6.537249522065709861e+00, 3.586981150849566369e+00, 7.835516479009602131e-01
