year, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg
1.850000000000000000e+03, 4.720506205158961310e-06, 1.112527867858475713e-03, 0.000000000000000000e+00, 3.979304973023223106e-03, 9.076599046614500232e-02, 0.000000000000000000e+00, 2.615583735245424323e-03, 6.995075684923737769e-02, 0.000000000000000000e+00
1.851000000000000000e+03, 1.065652543822857746e-05, 3.068573923638103721e-03, 1.288896614036834061e-03, 7.632008286006983742e-03, 9.224537798404494615e-02, 2.586179434220758065e-04, 3.008495242228348410e-03, 7.134188160027878089e-02, 2.231517173139846780e-04
1.852000000000000000e+03, 1.416838789598409175e-05, 4.701441142842432974e-03, 2.442683056026404183e-03, 9.740697690624397498e-03, 9.386414587638587659e-02, 5.022746964181423746e-04, 3.016696738844220314e-03, 7.316026911699452517e-02, 4.390982534912130628e-04
1.853000000000000000e+03, 1.613043145122899157e-05, 6.090965510489416632e-03, 3.497376191272659127e-03, 1.183799843667457038e-02, 9.507015328712692392e-02, 7.434471160826678368e-04, 3.009386801224381291e-03, 7.571443135391611734e-02, 6.531991182686294056e-04
1.854000000000000000e+03, 1.687082389597197059e-05, 7.276910250986741956e-03, 4.490304148532758659e-03, 1.297298168309371676e-02, 9.577617683514735858e-02, 9.508978747525125312e-04, 3.032714966300122540e-03, 7.636268317229806535e-02, 8.635363234617264051e-04
1.855000000000000000e+03, 1.618382672256479321e-05, 8.296383530143692023e-03, 5.437927273990928421e-03, 1.391925647173803543e-02, 9.650699886107613756e-02, 1.126583898932272381e-03, 3.019297705908097814e-03, 7.591005445436593835e-02, 1.060630035928841405e-03
1.856000000000000000e+03, 1.922147514273425765e-05, 9.173974535148324630e-03, 6.347875519191084441e-03, 1.458083256773624534e-02, 9.737829336276121461e-02, 1.270375731864930441e-03, 3.041778721884349362e-03, 7.494104561290881872e-02, 1.253044417423854846e-03
1.857000000000000000e+03, 2.058457160796435913e-05, 9.869693745359224557e-03, 7.224288523634790626e-03, 1.560110549477037624e-02, 9.829866798144382134e-02, 1.374454549060515583e-03, 3.022987302493564468e-03, 7.569007218853857077e-02, 1.445030859784987923e-03
1.858000000000000000e+03, 1.967235494077959506e-05, 1.042457298607485199e-02, 8.071241906439331412e-03, 1.594231607729183764e-02, 9.931426344553814789e-02, 1.454545574489842646e-03, 3.046105488769767188e-03, 7.720416226794536707e-02, 1.631391430968123866e-03
1.859000000000000000e+03, 1.896498338051230497e-05, 1.089941390710687241e-02, 8.891311652904103011e-03, 1.606754685472748176e-02, 9.999147900678961864e-02, 1.512646387470099711e-03, 3.049817415415404572e-03, 7.447161930132725760e-02, 1.813433160511706936e-03
1.860000000000000000e+03, 1.770659097218609047e-05, 1.128656964283631520e-02, 9.685430784254656089e-03, 1.641102148084286685e-02, 1.004973293410783702e-01, 1.534539535469472060e-03, 3.127795959284814398e-03, 7.248335609888366393e-02, 1.992543136504269959e-03
1.861000000000000000e+03, 1.676560885188868501e-05, 1.167220306375427001e-02, 1.036124663252958357e-02, 1.681604052895318072e-02, 1.011254574714964827e-01, 1.512252537074498327e-03, 3.087028437724692771e-03, 7.435301944385655504e-02, 2.152447599114643353e-03
1.862000000000000000e+03, 1.874727614771165679e-05, 1.210757417310458217e-02, 1.103588329460547350e-02, 1.723566764357405828e-02, 1.016489778317150594e-01, 1.488785830969709340e-03, 3.112462392502838692e-03, 7.858139371610922685e-02, 2.309112220461211236e-03
1.863000000000000000e+03, 2.321789328668440736e-05, 1.251724651012232903e-02, 1.169634640353062367e-02, 1.757011453049028143e-02, 1.018887790598015375e-01, 1.471380366496293380e-03, 3.080714927127671098e-03, 7.769609769034317714e-02, 2.464856884740284585e-03
