year, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM
1.850000000000000000e+03, -1.630864263143508317e-10, 6.728690201685466077e-11, 0.000000000000000000e+00, 1.729927683048027670e-12
1.851000000000000000e+03, -1.776947152688825257e-10, 7.017491767430917282e-11, 1.130362652756597523e-11, 4.574542355059800150e-12
1.852000000000000000e+03, -1.636088580594412417e-10, 7.423795469498160410e-11, 1.247178089496197460e-11, 5.516939785274026675e-12
1.853000000000000000e+03, -1.586398225433907852e-10, 7.457162683825096688e-11, 1.382194879435278889e-11, 5.996010386985211573e-12
1.854000000000000000e+03, -1.827746138607710728e-10, 7.343207985204881871e-11, 1.448338684595197351e-11, 6.482181642970027744e-12
1.855000000000000000e+03, -1.659729850618516103e-10, 6.987115084949217299e-11, 1.516681519603400283e-11, 6.788457798922739300e-12
1.856000000000000000e+03, -1.560018784101981575e-10, 8.258112407237873345e-11, 1.586149844072099296e-11, 7.012105881049962789e-12
1.857000000000000000e+03, -1.654165628917692804e-10, 7.864254544160620429e-11, 1.530170690080452166e-11, 7.156257111541832422e-12
1.858000000000000000e+03, -1.737046830336963144e-10, 6.743175891123529458e-11, 1.458354288570806661e-11, 7.278241638105946584e-12
1.859000000000000000e+03, -1.796876608165485194e-10, 5.589061006701425410e-11, 1.446056345863877857e-11, 7.206172945140615477e-12
1.860000000000000000e+03, -1.659525032594748581e-10, 5.358667610871707789e-11, 1.490096375698612885e-11, 7.066727683233784889e-12
1.861000000000000000e+03, -1.798705267693804899e-10, 5.442219472779403261e-11, 1.360499423227073683e-11, 6.983082926164043293e-12
1.862000000000000000e+03, -1.646685645674771618e-10, 6.781892993504570146e-11, 1.345596693891956625e-11, 6.961593566430572906e-12
1.863000000000000000e+03, -1.822366886131471217e-10, 8.209419564307476114e-11, 1.321926565624097916e-11, 6.921957434403957335e-12
1.864000000000000000e+03, -1.828401428391992658e-10, 9.320666936178283759e-11, 1.279608179262445413e-11, 6.784620475819075712e-12
1.865000000000000000e+03, -1.635165277407229320e-10, 8.123526183190071829e-11, 1.258156950598352061e-11, 6.689054342084073939e-12
1.866000000000000000e+03, -1.863220787978028344e-10, 7.018795932939925281e-11, 1.219705030402205484e-11, 6.634680221359025883e-12
1.867000000000000000e+03, -1.898687530927726065e-10, 6.263635457746997705e-11, 1.211891911999768313e-11, 6.509707036294722362e-12
1.868000000000000000e+03, -1.899247802268203380e-10, 5.576647027995290924e-11, 1.236861913543246829e-11, 6.498237904449272830e-12
1.869000000000000000e+03, -2.108364836134378770e-10, 6.642873150542473273e-11, 1.356389380869411096e-11, 6.383193210555040919e-12
1.870000000000000000e+03, -1.811718682279771536e-10, 5.354638050509668604e-11, 1.377643566574212485e-11, 6.224922849061067332e-12
1.871000000000000000e+03, -1.642401749930332496e-10, 5.923436681665478962e-11, 1.957449103074995248e-11, 7.334026831250211632e-12
1.872000000000000000e+03, -1.881932155325999860e-10, 6.644220804386807656e-11, 2.012720716878301089e-11, 7.431601107568465707e-12
1.873000000000000000e+03, -2.057810467378324487e-10, 8.098753187697950845e-11, 2.105348715699223139e-11, 7.129439338488537765e-12
1.874000000000000000e+03, -1.942919180717240466e-10, 6.715783726725390287e-11, 2.205241302253348339e-11, 7.169586314087010063e-12
1.875000000000000000e+03, -2.008980463667891465e-10, 6.482620586220140792e-11, 2.281160419365010790e-11, 6.814253847556254995e-12
1.876000000000000000e+03, -2.138104266753641835e-10, 6.245858667983986207e-11, 2.294851192638752300e-11, 6.834537115134164361e-12
1.877000000000000000e+03, -1.984612254229666393e-10, 7.211571743234958146e-11, 2.359519686944521893e-11, 6.617286621196095690e-12
1.878000000000000000e+03, -1.970372705377823631e-10, 8.843795999181064590e-11, 2.413482030695008027e-11, 6.747768015476831272e-12
1.879000000000000000e+03, -1.849235363897096460e-10, 7.464599108494767616e-11, 2.515192784179851212e-11, 6.801872352352968687e-12
1.880000000000000000e+03, -1.882836593849465867e-10, 7.626474494396302027e-11, 2.537090126466423244e-11, 6.820980163486721028e-12
1.881000000000000000e+03, -2.150408243652644233e-10, 6.147531989692121454e-11, 2.571221280729457175e-11, 7.187023261036055177e-12
1.882000000000000000e+03, -2.038525530644255237e-10, 6.567614939100578718e-11, 2.500721311474722133e-11, 6.928672027600438305e-12
1.883000000000000000e+03, -1.894732178184513321e-10, 8.242520883413813813e-11, 2.497146330304672611e-11, 6.847238073639024867e-12
1.884000000000000000e+03, -2.061204434921079559e-10, 7.710846836762836467e-11, 2.441490862399969169e-11, 6.843528700696515640e-12
1.885000000000000000e+03, -2.084736156044394379e-10, 6.591153184970976201e-11, 2.419899002277094099e-11, 6.843605672772093715e-12
1.886000000000000000e+03, -2.311595159757914073e-10, 8.018973075582388574e-11, 2.421072387174250284e-11, 6.980206032467733991e-12
1.887000000000000000e+03, -2.214475145047845079e-10, 8.725327720978256182e-11, 2.389089781066687109e-11, 6.739193105580068583e-12
1.888000000000000000e+03, -2.037766430332674211e-10, 8.348078824880329580e-11, 2.409674045544702960e-11, 6.854363839466440235e-12
1.889000000000000000e+03, -2.400381272955667195e-10, 8.592858220051352066e-11, 2.296153930310995749e-11, 6.793353418383048950e-12
1.890000000000000000e+03, -2.154372429608000654e-10, 8.092034346223716102e-11, 2.156900404306720359e-11, 6.714823953819773572e-12
1.891000000000000000e+03, -2.136804376372923002e-10, 8.947898391029525379e-11, 1.844589711586225285e-11, 6.309703133822331426e-12
