year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, TaiESM1
1.850000000000000000e+03, 1.068773066140771919e-10, 9.078030274529840637e-11, 9.264232773250435843e-11, 8.068349709039375002e-11, 3.911437288924351974e-11
1.851000000000000000e+03, 1.161797890770811298e-10, 1.062762961635401482e-10, 7.548851765506726136e-11, 9.303580919426995866e-11, 2.461659259535482077e-11
1.852000000000000000e+03, 6.859581334495928032e-11, 1.226976724258248250e-10, 8.822625789360199397e-11, 9.014862802931368128e-11, 3.763968894585935533e-11
1.853000000000000000e+03, 5.070260220378813795e-11, 1.105978766995326722e-10, 1.104237216045754797e-10, 1.226608216829741533e-10, 3.303169388387392010e-11
1.854000000000000000e+03, 1.236823067315004562e-10, 7.855517775289083592e-11, 1.131342564187935203e-10, 8.487066554907123586e-11, 2.948149420464293350e-11
1.855000000000000000e+03, 1.003144642600641295e-10, 1.009803225046576459e-10, 9.128979769222089475e-11, 8.147353271068288699e-11, 3.311132233368258132e-11
1.856000000000000000e+03, 6.614495039774671338e-11, 1.127996267147732731e-10, 1.151827256116298942e-10, 1.176611005566938956e-10, 2.423901243814167317e-11
1.857000000000000000e+03, 5.806993129841338547e-11, 1.153353524548213352e-10, 7.222413729455336879e-11, 1.018666765054188960e-10, 2.675747101073847210e-11
1.858000000000000000e+03, 5.803049993033992495e-11, 1.171093227164697314e-10, 1.113625808015346340e-10, 7.030606375653457655e-11, 2.784151936981514462e-11
1.859000000000000000e+03, 5.987373125183221424e-11, 1.115189229794847690e-10, 1.161504642497932588e-10, 9.829653499576652421e-11, 3.335671477188155764e-11
1.860000000000000000e+03, 8.551663273823867639e-11, 1.085153406085042397e-10, 9.545098296625129857e-11, 1.031965844496100755e-10, 2.062409087253081026e-11
1.861000000000000000e+03, 1.233116041452985725e-10, 8.716002996430831065e-11, 1.068226655406379132e-10, 1.182192817362454668e-10, 2.313531107752351692e-11
1.862000000000000000e+03, 7.946726184677637926e-11, 9.943929285362588654e-11, 7.465132803286493223e-11, 6.405628917606088883e-11, 3.198387742471620652e-11
1.863000000000000000e+03, 8.455948403147986007e-11, 1.112645002907772485e-10, 9.449863560662100969e-11, 5.537522743428768796e-11, 2.685542236646252637e-11
1.864000000000000000e+03, 8.777500964015156119e-11, 1.061361378282489236e-10, 7.477021764091393019e-11, 6.833484965419410093e-11, 2.857929726764921955e-11
1.865000000000000000e+03, 6.034667573208196160e-11, 9.259067968641160849e-11, 1.227753263559265293e-10, 9.392004676116666038e-11, 2.824586744136142654e-11
1.866000000000000000e+03, 1.123962873302077118e-10, 8.575675889587510512e-11, 1.206321219558551526e-10, 6.461237740733322058e-11, 3.239448096325758643e-11
1.867000000000000000e+03, 6.687927427655747252e-11, 1.000745249444474076e-10, 8.161022412721188979e-11, 8.699969650470111234e-11, 2.793014943257537716e-11
1.868000000000000000e+03, 6.787700536056155265e-11, 9.199549630724769859e-11, 7.985414491018870598e-11, 1.061285304108061366e-10, 2.922461469420103911e-11
1.869000000000000000e+03, 6.408475757588444739e-11, 1.227035058174388039e-10, 5.973193099631668761e-11, 8.987718724364802906e-11, 3.624214413723518231e-11
