year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, NorESM2-MM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, TaiESM1, CESM2-WACCM
1.850000000000000000e+03, 1.068773066140771919e-10, 9.078030274529840637e-11, 8.068349709039375002e-11, 3.803639448709155330e-10, 9.264232773250435843e-11, 8.068349709039375002e-11, 3.911437288924351974e-11, 1.074113512301363080e-10, 9.078030274529840637e-11, 2.665702020048559545e-10, 3.911437288924351974e-11, 1.073609908558826757e-10
1.851000000000000000e+03, 1.161797890770811298e-10, 1.062762961635401482e-10, 9.303580919426995866e-11, 3.606470024809849545e-10, 7.548851765506726136e-11, 9.303580919426995866e-11, 2.461659259535482077e-11, 1.167418924432419741e-10, 1.062762961635401482e-10, 3.176620979378608233e-10, 2.461659259535482077e-11, 1.473898672718600704e-10
1.852000000000000000e+03, 6.859581334495928032e-11, 1.226976724258248250e-10, 9.014862802931368128e-11, 3.771551021761395257e-10, 8.822625789360199397e-11, 9.014862802931368128e-11, 3.763968894585935533e-11, 6.914832638621077479e-11, 1.226976724258248250e-10, 2.567637812976853247e-10, 3.763968894585935533e-11, 1.822985552401471072e-10
1.853000000000000000e+03, 5.070260220378813795e-11, 1.105978766995326722e-10, 1.226608216829741533e-10, 3.043457617928613704e-10, 1.104237216045754797e-10, 1.226608216829741533e-10, 3.303169388387392010e-11, 5.126301247163492012e-11, 1.105978766995326722e-10, 4.929849331951186307e-10, 3.303169388387392010e-11, 9.248568944180046876e-11
1.854000000000000000e+03, 1.236823067315004562e-10, 7.855517775289083592e-11, 8.487066554907123586e-11, 4.003838611632865295e-10, 1.131342564187935203e-10, 8.487066554907123586e-11, 2.948149420464293350e-11, 1.242796407537765357e-10, 7.855517775289083592e-11, 6.624878923527743876e-10, 2.948149420464293350e-11, 8.153186966301439469e-11
1.855000000000000000e+03, 1.003144642600641295e-10, 1.009803225046576459e-10, 8.147353271068288699e-11, 4.644969314799095290e-10, 9.128979769222089475e-11, 8.147353271068288699e-11, 3.311132233368258132e-11, 1.008945167577118613e-10, 1.009803225046576459e-10, 3.738781856373860742e-10, 3.311132233368258132e-11, 1.016420099820966266e-10
1.856000000000000000e+03, 6.614495039774671338e-11, 1.127996267147732731e-10, 1.176611005566938956e-10, 3.768811130462234838e-10, 1.151827256116298942e-10, 1.176611005566938956e-10, 2.423901243814167317e-11, 6.672529385882959174e-11, 1.127996267147732731e-10, 2.201986254415001822e-10, 2.423901243814167317e-11, 9.598330198457235205e-11
1.857000000000000000e+03, 5.806993129841338547e-11, 1.153353524548213352e-10, 1.018666765054188960e-10, 3.600460867566138757e-10, 7.222413729455336879e-11, 1.018666765054188960e-10, 2.675747101073847210e-11, 5.863891399103297167e-11, 1.153353524548213352e-10, 2.858373854573810423e-10, 2.675747101073847210e-11, 8.327491489382905556e-11
1.858000000000000000e+03, 5.803049993033992495e-11, 1.171093227164697314e-10, 7.030606375653457655e-11, 4.663425363695314929e-10, 1.113625808015346340e-10, 7.030606375653457655e-11, 2.784151936981514462e-11, 5.861772858428249650e-11, 1.171093227164697314e-10, 3.588056840699920323e-10, 2.784151936981514462e-11, 1.110219548112802094e-10
1.859000000000000000e+03, 5.987373125183221424e-11, 1.115189229794847690e-10, 9.829653499576652421e-11, 4.249649795808504238e-10, 1.161504642497932588e-10, 9.829653499576652421e-11, 3.335671477188155764e-11, 6.045503165022766539e-11, 1.115189229794847690e-10, 3.344572629447383165e-10, 3.335671477188155764e-11, 1.216102029558917844e-10
1.860000000000000000e+03, 8.551663273823867639e-11, 1.085153406085042397e-10, 1.031965844496100755e-10, 4.401142180467237989e-10, 9.545098296625129857e-11, 1.031965844496100755e-10, 2.062409087253081026e-11, 8.612763966827442643e-11, 1.085153406085042397e-10, 2.152663549863098954e-10, 2.062409087253081026e-11, 1.193749717839947317e-10
1.861000000000000000e+03, 1.233116041452985725e-10, 8.716002996430831065e-11, 1.182192817362454668e-10, 2.898424214459178940e-10, 1.068226655406379132e-10, 1.182192817362454668e-10, 2.313531107752351692e-11, 1.239188874727531919e-10, 8.716002996430831065e-11, 2.700112551176026853e-10, 2.313531107752351692e-11, 9.811495926096374524e-11
1.862000000000000000e+03, 7.946726184677637926e-11, 9.943929285362588654e-11, 6.405628917606088883e-11, 4.086497038059876462e-10, 7.465132803286493223e-11, 6.405628917606088883e-11, 3.198387742471620652e-11, 8.009608177163312687e-11, 9.943929285362588654e-11, 2.366243403964111647e-10, 3.198387742471620652e-11, 9.727122290716100157e-11
1.863000000000000000e+03, 8.455948403147986007e-11, 1.112645002907772485e-10, 5.537522743428768796e-11, 3.105791967415425033e-10, 9.449863560662100969e-11, 5.537522743428768796e-11, 2.685542236646252637e-11, 8.518637657142575743e-11, 1.112645002907772485e-10, 2.272660546608818869e-10, 2.685542236646252637e-11, 1.280942675418148380e-10
1.864000000000000000e+03, 8.777500964015156119e-11, 1.061361378282489236e-10, 6.833484965419410093e-11, 3.350886739974898430e-10, 7.477021764091393019e-11, 6.833484965419410093e-11, 2.857929726764921955e-11, 8.843723354112605286e-11, 1.061361378282489236e-10, 2.612589489555206036e-10, 2.857929726764921955e-11, 9.823933877837833347e-11
1.865000000000000000e+03, 6.034667573208196160e-11, 9.259067968641160849e-11, 9.392004676116666038e-11, 3.753599264870228056e-10, 1.227753263559265293e-10, 9.392004676116666038e-11, 2.824586744136142654e-11, 6.099049757694624742e-11, 9.259067968641160849e-11, 2.108490810192781230e-10, 2.824586744136142654e-11, 8.659975987341044449e-11
1.866000000000000000e+03, 1.123962873302077118e-10, 8.575675889587510512e-11, 6.461237740733322058e-11, 3.413878627745476951e-10, 1.206321219558551526e-10, 6.461237740733322058e-11, 3.239448096325758643e-11, 1.130328189504299368e-10, 8.575675889587510512e-11, 3.061812515756312671e-10, 3.239448096325758643e-11, 8.564085932964335118e-11
1.867000000000000000e+03, 6.687927427655747252e-11, 1.000745249444474076e-10, 8.699969650470111234e-11, 4.275468631120019010e-10, 8.161022412721188979e-11, 8.699969650470111234e-11, 2.793014943257537716e-11, 6.752550605088518065e-11, 1.000745249444474076e-10, 4.743516315994091802e-10, 2.793014943257537716e-11, 8.023376210890363076e-11
1.868000000000000000e+03, 6.787700536056155265e-11, 9.199549630724769859e-11, 1.061285304108061366e-10, 4.233550512144196308e-10, 7.985414491018870598e-11, 1.061285304108061366e-10, 2.922461469420103911e-11, 6.852020391889323597e-11, 9.199549630724769859e-11, 4.545556181222040147e-10, 2.922461469420103911e-11, 9.957798674405359529e-11
1.869000000000000000e+03, 6.408475757588444739e-11, 1.227035058174388039e-10, 8.987718724364802906e-11, 3.872988221582588845e-10, 5.973193099631668761e-11, 8.987718724364802906e-11, 3.624214413723518231e-11, 6.472685528606109835e-11, 1.227035058174388039e-10, 3.283153181061991939e-10, 3.624214413723518231e-11, 1.264525328889728410e-10
1.870000000000000000e+03, 7.846951675908614160e-11, 8.539402532721827053e-11, 8.467719014878367643e-11, 3.374057164829391223e-10, 9.198324811894047105e-11, 8.467719014878367643e-11, 3.357104641532909458e-11, 7.912152186132213011e-11, 8.539402532721827053e-11, 3.178875543771608039e-10, 3.357104641532909458e-11, 8.649505085349897679e-11
1.871000000000000000e+03, 5.682733140021915435e-11, 9.210281846356271247e-11, 7.924425019407359365e-11, 4.043397143500884772e-10, 1.025001698352822607e-10, 7.924425019407359365e-11, 2.458026470672388463e-11, 5.746916691553517266e-11, 9.210281846356271247e-11, 2.712618301216962968e-10, 2.458026470672388463e-11, 1.196872733144010613e-10
1.872000000000000000e+03, 8.574116655809849472e-11, 1.018111345222501382e-10, 7.145172047905531260e-11, 3.153704026469004544e-10, 6.940117617493106487e-11, 7.145172047905531260e-11, 3.036847219076703363e-11, 8.640345239920245200e-11, 1.018111345222501382e-10, 2.245285260211293348e-10, 3.036847219076703363e-11, 9.615714015311579474e-11
1.873000000000000000e+03, 7.750006084907754351e-11, 1.060143783234317147e-10, 1.034182140986514401e-10, 3.539546387730594308e-10, 1.172038899471387157e-10, 1.034182140986514401e-10, 2.785080210295363299e-11, 7.819539998874956112e-11, 1.060143783234317147e-10, 3.222164692827810471e-10, 2.785080210295363299e-11, 9.847778934187139690e-11
