year, UKESM1-0-LL, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM
1.850000000000000000e+03, 1.125603524474739949e-14, 1.581055280436587874e-10, 8.585787358500847749e-11, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.759165579420161031e-11, 5.757391275547285691e-13, 5.777555512939308541e-12
1.851000000000000000e+03, 2.525139694557558430e-14, 1.726414654383199533e-10, 8.757538003972349259e-11, 0.000000000000000000e+00, 1.226510690082401109e-12, 6.141140249212428703e-11, 1.554671539019349191e-12, 1.287756658911620073e-11
1.852000000000000000e+03, 3.210522618164578429e-14, 1.585479209322523502e-10, 8.987600172423500224e-11, 6.159534609121607723e-13, 1.820622327909695148e-12, 6.613137947834016599e-11, 2.324373583205056289e-12, 1.322397841164850263e-11
1.853000000000000000e+03, 3.452466824280166761e-14, 1.536079499341221397e-10, 9.058639975140440896e-11, 1.261873554387694926e-12, 2.135569241647185032e-12, 7.312606986339290871e-11, 2.938498462671173447e-12, 1.681948464724794223e-11
1.854000000000000000e+03, 3.380742462077118704e-14, 1.777418463726790301e-10, 9.053091609096105363e-11, 1.946060187160461743e-12, 2.340623906082140305e-12, 7.414659089408115146e-11, 3.419785324518818414e-12, 1.617965899142136114e-11
1.855000000000000000e+03, 2.895145292502256633e-14, 1.609794706527180501e-10, 9.160699088605390181e-11, 2.629007627032816717e-12, 2.499157273814416395e-12, 7.208855843216985680e-11, 3.797808381681124703e-12, 1.600319392148585972e-11
1.856000000000000000e+03, 3.480668104149904084e-14, 1.510165464287909864e-10, 9.261260895115510534e-11, 3.312035452126708709e-12, 2.634459879240396001e-12, 6.860265942869215994e-11, 4.090587279622213655e-12, 1.500904119937059059e-11
1.857000000000000000e+03, 3.638518245203140328e-14, 1.604944077688981363e-10, 9.416281518537602605e-11, 3.995618718884719934e-12, 2.755262687518110784e-12, 7.074923599828609436e-11, 4.279471724509841290e-12, 1.743442787792242511e-11
1.858000000000000000e+03, 3.144872352610852600e-14, 1.687898191223427511e-10, 9.518758457383018124e-11, 4.611530128868244211e-12, 2.866362664660188469e-12, 7.517469242891106587e-11, 4.391095153531332755e-12, 1.666848636609751563e-11
1.859000000000000000e+03, 2.740377818056722894e-14, 1.747397658295912453e-10, 9.554410986199555959e-11, 5.154782053700729265e-12, 2.969341142200281971e-12, 6.631658565320481613e-11, 4.460325960191940243e-12, 1.514084339436532107e-11
1.860000000000000000e+03, 2.247037374586874021e-14, 1.607634236201710267e-10, 9.581690545047620451e-11, 5.661763919649899341e-12, 3.063944805883246490e-12, 5.988598299155701976e-11, 4.491076929275045632e-12, 1.561748635737132778e-11
1.861000000000000000e+03, 1.849480381863530692e-14, 1.746357506681924596e-10, 9.635654069212917018e-11, 5.598362202790173956e-12, 3.061634124706170855e-12, 6.521155769607342972e-11, 4.528409115668418381e-12, 1.632518794613460384e-11
1.862000000000000000e+03, 2.269662786809092206e-14, 1.593762089618915555e-10, 9.667857954399611466e-11, 5.440261420782157689e-12, 3.109885901303446658e-12, 7.777267788277694103e-11, 4.595871227286205423e-12, 1.728165092725544012e-11
1.863000000000000000e+03, 3.404164995214438948e-14, 1.770355419712723940e-10, 9.613641280337673292e-11, 5.247554744728996833e-12, 3.167751350617433862e-12, 7.436774388770218038e-11, 4.650535379949549346e-12, 1.775308055561701482e-11
1.864000000000000000e+03, 4.558734796475268095e-14, 1.776109288345337187e-10, 9.580758048917402723e-11, 5.053653036378973689e-12, 3.228660573270193709e-12, 7.615573153598788188e-11, 4.656017773860035371e-12, 1.695060512702528369e-11
1.865000000000000000e+03, 4.497459332433549393e-14, 1.583250885931786804e-10, 9.701555878641980104e-11, 4.847103894850030905e-12, 3.288219444156206043e-12, 7.622063202850852058e-11, 4.615731508879865282e-12, 1.871517706664332361e-11
1.866000000000000000e+03, 3.604245595310836271e-14, 1.811642060436114782e-10, 9.864796686944078404e-11, 4.639567279250162466e-12, 3.345398750060750871e-12, 7.514448294899559897e-11, 4.562700799269124530e-12, 1.883910677628193471e-11
1.867000000000000000e+03, 2.928516636827016530e-14, 1.846379716547417535e-10, 9.890184526797852461e-11, 4.484800350150436037e-12, 3.398857087914141882e-12, 7.420859265119543922e-11, 4.515035952810456596e-12, 1.816370619620507527e-11
1.868000000000000000e+03, 2.519717946705192331e-14, 1.847210447194658428e-10, 9.867318034617223708e-11, 4.401070709434567558e-12, 3.489303348271565317e-12, 7.282426728592226960e-11, 4.477890774669606837e-12, 1.740386439520387497e-11
1.869000000000000000e+03, 2.518023896744456330e-14, 2.056892143096393084e-10, 9.782855603187934031e-11, 4.368765469805299277e-12, 3.517320984084326051e-12, 6.637148163788568787e-11, 4.439172603300426655e-12, 1.608788508983955315e-11
1.870000000000000000e+03, 2.371069254389144046e-14, 1.761202012917084109e-10, 9.995966389959709804e-11, 4.406449621407170752e-12, 3.555154211881205753e-12, 6.638002669336961783e-11, 4.410706941940728553e-12, 2.276731690662252572e-11
1.871000000000000000e+03, 2.320347542780310654e-14, 1.592079923233317081e-10, 1.021613636201480498e-10, 4.515341848092290762e-12, 3.710609364882412757e-12, 6.886562860856772400e-11, 4.367300715519788209e-12, 1.807801737057834223e-11
1.872000000000000000e+03, 2.720309047620058630e-14, 1.831507905327812287e-10, 1.043389486224488084e-10, 4.933623712761880472e-12, 3.812525061337245874e-12, 7.076096262636219736e-11, 4.307043555915448281e-12, 1.563254420469164600e-11
1.873000000000000000e+03, 3.954760831693744714e-14, 2.006892447911200973e-10, 1.054358248400359101e-10, 5.361360494196605809e-12, 3.882766800483767165e-12, 7.731395761034126914e-11, 4.263022525147053152e-12, 2.232939981342593423e-11
1.874000000000000000e+03, 3.669547096017458330e-14, 1.891864304720170089e-10, 1.061560601985025111e-10, 5.827882220587043610e-12, 3.939783949511923310e-12, 7.748958787073805286e-11, 4.225592433842413485e-12, 1.849772851225171913e-11
1.875000000000000000e+03, 2.805794917410177777e-14, 1.957449181286578335e-10, 1.063475679801208900e-10, 6.323747147727498537e-12, 3.989224634362450714e-12, 7.471392042523211809e-11, 4.193249931346182254e-12, 1.526441545802325642e-11
1.876000000000000000e+03, 2.252191801446324415e-14, 2.085639364921943319e-10, 1.074464581325143069e-10, 6.842560687613058252e-12, 4.032422434339625699e-12, 7.632902155156453005e-11, 4.170327018263637347e-12, 1.540560698114377060e-11
1.877000000000000000e+03, 2.524096165888820344e-14, 1.931313559011597399e-10, 1.086066150665526558e-10, 7.336658698255379980e-12, 4.074721377322670063e-12, 6.980649048465855506e-11, 4.154586285564023205e-12, 1.449691445118900348e-11
