year, CNRM-ESM2-1, UKESM1-0-LL, TaiESM1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, NorESM2-LM, GFDL-ESM4, MIROC-ES2L
1.850000000000000000e+03, 1.054690238165987948e+00, 1.502284178986952101e+00, 9.681248951171566031e-01, 9.158726518962932994e-01, 1.960615707135248797e+00, 1.407252493727571663e+00, 2.240510348859583445e+00, 4.428075027934398555e+00, 1.213372254504115011e+00, 1.035429103525340899e+00, 1.028611165014242212e+00, 2.433946910297132060e+00, 2.364869444899529327e+00, 1.108588911010765177e+00, 1.228041955474903801e+00, 9.860252511129249386e-01
1.851000000000000000e+03, 1.126583799337833813e+00, 1.487575780369336576e+00, 1.071715449596396752e+00, 9.680065961184148859e-01, 1.900774139390965400e+00, 1.262628043061193583e+00, 2.100584431402867658e+00, 4.711637802126126040e+00, 1.023034461525828887e+00, 9.549609584363316639e-01, 1.017552239048080009e+00, 2.775667205013348848e+00, 2.057478296847408128e+00, 1.159556934772891346e+00, 1.113124841574244517e+00, 1.315873871593628452e+00
1.852000000000000000e+03, 1.118213433501862752e+00, 1.826941890492945308e+00, 1.033762248911165527e+00, 1.008163235670311630e+00, 1.859827005015639800e+00, 1.304349861876708205e+00, 1.943060593957167459e+00, 5.417205448505476362e+00, 9.863571868340961224e-01, 8.786554544929311428e-01, 9.670395470381107916e-01, 2.572775717316293065e+00, 2.265576918215664204e+00, 9.877761847585946331e-01, 1.169588998605100016e+00, 1.244231841962738949e+00
1.853000000000000000e+03, 9.005443212888167848e-01, 1.667920203453590711e+00, 9.723603123408725013e-01, 9.748241324981180567e-01, 1.982993223355334012e+00, 1.425715990756493801e+00, 1.814029166540503279e+00, 4.494432378761414881e+00, 1.234456993705836503e+00, 9.338528740384975935e-01, 9.576926538333780936e-01, 3.079768829362209193e+00, 2.187986042545998266e+00, 9.898011041674583677e-01, 1.328175137931068672e+00, 1.095489058568893670e+00
1.854000000000000000e+03, 1.114233102619735627e+00, 1.446924210174852954e+00, 1.042326787572577018e+00, 1.133652131185836076e+00, 1.978637463287382214e+00, 1.524235896663975964e+00, 1.969039955653816065e+00, 3.803883994059364060e+00, 1.248932252520710939e+00, 9.760236889804474458e-01, 1.107171076724733139e+00, 2.378315893787410484e+00, 2.177394750220748243e+00, 8.593794444458231485e-01, 1.212444540524068248e+00, 1.153833613868330943e+00
1.855000000000000000e+03, 9.677074293706855457e-01, 1.615437873185480377e+00, 1.007230850277606615e+00, 1.085467855870735354e+00, 1.889458713516501520e+00, 1.516823533653563816e+00, 2.179545726577124753e+00, 4.442532963978477412e+00, 1.396364925963401227e+00, 9.180966291059732276e-01, 1.051590880047493348e+00, 2.444053912179795063e+00, 2.263580570284412730e+00, 1.072997198874740654e+00, 1.211552244673137713e+00, 1.287461204421752381e+00
1.856000000000000000e+03, 1.025590126430965254e+00, 1.785219885981156551e+00, 1.081811852322144274e+00, 8.677361740977017623e-01, 1.877595654362200772e+00, 1.439296456864451068e+00, 1.842306593759428734e+00, 4.951408363315566774e+00, 1.325954161253261487e+00, 8.676003132514673588e-01, 9.731473495335415391e-01, 2.586766111855447026e+00, 2.099317338632037622e+00, 8.847945257475933190e-01, 1.246650320010566970e+00, 1.154171166636688728e+00
1.857000000000000000e+03, 1.035313780773087000e+00, 1.811967421363028130e+00, 1.064584712812695733e+00, 7.660427129496750753e-01, 1.818632661467503908e+00, 1.274340820650266881e+00, 1.739811778018622856e+00, 4.855244276177890228e+00, 1.362533186203521485e+00, 1.084662651710366577e+00, 1.019504478797110369e+00, 2.826905952998882476e+00, 2.002783130570895409e+00, 1.150523926597664337e+00, 1.238599155913825189e+00, 1.332879103364962292e+00
1.858000000000000000e+03, 9.499631426867419792e-01, 1.418895025767041185e+00, 1.085322139977427103e+00, 9.676971138926246940e-01, 1.875271003840314421e+00, 1.295692928886239104e+00, 1.783561295694471305e+00, 4.958054497122830639e+00, 1.186243471756448509e+00, 9.890489751330384660e-01, 1.038528895846945854e+00, 2.853010350271405482e+00, 2.299530634565783327e+00, 7.808904641728603435e-01, 1.204562345172441651e+00, 1.162926162829567955e+00
1.859000000000000000e+03, 1.132126593798427505e+00, 1.401992508791040759e+00, 9.243893891596767221e-01, 8.800104927759310192e-01, 1.905843751753429904e+00, 1.234303273646724097e+00, 2.091793156189645675e+00, 4.912791471453505920e+00, 9.508258714903403686e-01, 8.744060162972284722e-01, 9.717912882098328486e-01, 2.141184751223369709e+00, 2.408595613861427065e+00, 9.042715615444206767e-01, 1.383143941103727625e+00, 1.276860372854101700e+00
1.860000000000000000e+03, 1.093869846897797204e+00, 1.115540935445202386e+00, 1.061942035361747250e+00, 9.031416031255511401e-01, 1.862292305116951541e+00, 1.266035002536826104e+00, 1.726245725576605494e+00, 4.560816352977055566e+00, 1.128456112705384040e+00, 9.610422186802579647e-01, 9.455067507866746768e-01, 2.263093414690103611e+00, 2.478933900580126970e+00, 6.640541225202525322e-01, 1.325649330331760467e+00, 1.318318584696237528e+00
1.861000000000000000e+03, 9.500884717578687022e-01, 1.343330006540882859e+00, 1.175662423851465910e+00, 8.412316501401543301e-01, 1.970895872407778082e+00, 1.259563076239492929e+00, 2.035385050415145614e+00, 4.523842690379404452e+00, 1.085396446050769237e+00, 1.097716827543517848e+00, 1.016800893878886614e+00, 2.875692486386796975e+00, 2.078518501233802329e+00, 7.593926076386307011e-01, 1.272199410606738468e+00, 1.300178489729076903e+00
1.862000000000000000e+03, 1.003058883703573212e+00, 1.648788315231266566e+00, 1.039535976148664442e+00, 8.432049541837606244e-01, 1.955768925383046364e+00, 1.311606594380960500e+00, 2.082742069056791934e+00, 4.777089396009074562e+00, 1.068205450574302162e+00, 1.017619564811017563e+00, 9.105856524342256231e-01, 2.757698379255367538e+00, 2.303743439293271411e+00, 1.080810691108303967e+00, 1.149793478929145518e+00, 1.173810193160505388e+00
1.863000000000000000e+03, 8.934856171761844656e-01, 1.787677959638204639e+00, 1.008627994468706879e+00, 1.024589261830659792e+00, 1.977318896271353710e+00, 1.433338346907338190e+00, 2.062493892779996063e+00, 4.617509986800554245e+00, 9.324334246134796667e-01, 9.489999165630930156e-01, 1.082619778832899060e+00, 2.709760899483719676e+00, 2.020877612737275175e+00, 1.087537420575209968e+00, 1.229112868213173781e+00, 1.203397723322796598e+00
1.864000000000000000e+03, 9.761659752347240371e-01, 1.914325304043348108e+00, 1.020631631254527161e+00, 1.112808646988252992e+00, 1.947363192820761757e+00, 1.438195483204865566e+00, 2.158367569805518027e+00, 4.364736227446022632e+00, 1.066913660996263946e+00, 8.836804424560535942e-01, 1.045874152100633614e+00, 2.970895385267737776e+00, 2.155605210483686029e+00, 1.079730431390246936e+00, 1.309020649874885533e+00, 1.223773871289964399e+00
1.865000000000000000e+03, 9.837806407875699932e-01, 1.631140625612967243e+00, 1.117784413964244550e+00, 1.025017691949041243e+00, 1.913282974165449346e+00, 1.453872685508406537e+00, 1.986974828818635963e+00, 4.581774528068708108e+00, 1.094741945803133110e+00, 9.601209939933047499e-01, 9.359775848250029284e-01, 2.788644148592522409e+00, 2.548055731252069300e+00, 8.666472935776158293e-01, 1.275466109545100091e+00, 1.362657972735229484e+00
1.866000000000000000e+03, 1.191149160389698425e+00, 1.527627394673320316e+00, 1.075883656503094699e+00, 1.064403528784114705e+00, 1.947631225829324464e+00, 1.447456818482691476e+00, 1.931311881014386334e+00, 4.043429197573796152e+00, 1.312746216033185975e+00, 9.006086979773351153e-01, 1.069432255847865276e+00, 2.407954565731709629e+00, 2.306805066092413092e+00, 8.807583434556259805e-01, 1.236171590668835973e+00, 1.331456358424439435e+00
1.867000000000000000e+03, 1.184583689141050611e+00, 1.458688470725258091e+00, 1.080262343430765659e+00, 9.903782751239660342e-01, 1.935213642018905000e+00, 1.496104333959054955e+00, 2.043784956525370067e+00, 4.154588479413749980e+00, 1.284593553537114019e+00, 9.480488603697819761e-01, 1.072830181640166192e+00, 2.762822104773487553e+00, 2.501447827458397555e+00, 9.687752374648138654e-01, 1.174923426000402893e+00, 1.117626909898160603e+00
