year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, TaiESM1, NorESM2-MM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-ESM2, CanESM5, INM-CM4-8, ACCESS-ESM1-5
1.850000000000000000e+03, 3.739379207844967801e-01, 5.614196040398305998e-01, 5.870521357375910743e-01, 9.260576220483899279e-01, 2.276799505742934104e-01, 1.880354693559133095e-01, 2.460384702358849873e-01, 5.493990154829136996e-01, 2.711484698975689112e-01, 2.423237890649616033e-01, 1.706382862184128713e-01, 1.499329380347488583e-01, 2.132182079812367237e-01, 1.510559713868091791e-01, 5.234912275610563714e-01, 2.469096043838736043e-01
1.851000000000000000e+03, 3.553699939588252366e-01, 5.654179320978307555e-01, 7.278525896189941280e-01, 9.282419228968782354e-01, 2.252127458722035791e-01, 1.951959787729340146e-01, 2.436638907054823888e-01, 4.908759654405487338e-01, 2.834059303188218304e-01, 2.143436565423255113e-01, 1.732374187221583650e-01, 1.728552023728638087e-01, 2.180983470311131101e-01, 1.443878890629533562e-01, 4.953046994033006301e-01, 2.272719346824394471e-01
1.852000000000000000e+03, 3.512674694162467026e-01, 5.617983464447464659e-01, 7.117679866663867427e-01, 9.633806382901051180e-01, 2.467242079946741495e-01, 2.039887772148635814e-01, 2.090797581118037374e-01, 5.104948985486101876e-01, 2.825515393492589178e-01, 1.934718952352462995e-01, 1.672870316204460028e-01, 1.705287365399162369e-01, 2.007532665237104774e-01, 1.439346310282846875e-01, 4.608702478901081090e-01, 2.266789318096478767e-01
1.853000000000000000e+03, 3.735134397978420728e-01, 5.878424942040177958e-01, 6.511897312520481540e-01, 9.616791487374886094e-01, 2.283647845429501444e-01, 1.948528167757950513e-01, 2.069792907933002968e-01, 5.161830891869283455e-01, 2.456455686647092129e-01, 2.349366513609577045e-01, 1.642440142908748180e-01, 1.719490320974917941e-01, 2.019125308098791427e-01, 1.509412952685742770e-01, 4.378924278050485563e-01, 2.427760376067693293e-01
1.854000000000000000e+03, 3.673113379673913492e-01, 5.498472555870951295e-01, 5.206847268290161201e-01, 9.336842471512315500e-01, 2.308412533741018291e-01, 2.232512272660620301e-01, 1.822898051567453381e-01, 5.077134903648289344e-01, 2.843496391438504745e-01, 2.511357653012191160e-01, 1.767146438971252120e-01, 1.793460795300436117e-01, 1.898954026818336360e-01, 1.502094323367638984e-01, 4.804194002277645814e-01, 2.635389282154680379e-01
1.855000000000000000e+03, 3.675938213326758741e-01, 5.497317854418557470e-01, 5.873544289355819847e-01, 9.446538404085499385e-01, 2.356170717756062849e-01, 2.113938729367302316e-01, 2.220625923873539298e-01, 5.281902323938182375e-01, 2.566937084084069953e-01, 2.854190834714557257e-01, 1.802515168166074488e-01, 1.826460142722721169e-01, 1.788440666867811557e-01, 1.450421186444669774e-01, 4.982356517720289424e-01, 2.675131771673850967e-01
1.856000000000000000e+03, 3.638872070997748454e-01, 5.534656258858804412e-01, 6.620952689518233569e-01, 9.657911585319252090e-01, 2.402375943134751057e-01, 1.861999650151130448e-01, 1.901767011315970424e-01, 5.103475626022483391e-01, 2.684527055532098250e-01, 2.929831502446560432e-01, 1.713910099367834117e-01, 1.599059166764124629e-01, 1.838983691337696125e-01, 1.424828123954702819e-01, 4.509529724605473300e-01, 2.522276140636179886e-01
1.857000000000000000e+03, 3.557714064865769021e-01, 5.815318181180537671e-01, 6.445363771165103506e-01, 9.746602408263036477e-01, 2.534560141379889053e-01, 1.499706870499283862e-01, 2.253446099225324961e-01, 4.903912331185992790e-01, 2.683818636322760631e-01, 2.860221574730820726e-01, 1.727028870961674900e-01, 1.857441715965487128e-01, 1.779103631858182655e-01, 1.392739191419446187e-01, 4.380247378538253966e-01, 2.242627356868618083e-01
1.858000000000000000e+03, 3.670069820730042509e-01, 5.896602172842848599e-01, 6.249962241309261479e-01, 9.428260199103889461e-01, 2.581483610637799186e-01, 1.864419534993008998e-01, 1.694845103774557660e-01, 5.453029986151751718e-01, 2.543570905403515492e-01, 2.429471394342666568e-01, 1.768860739209495159e-01, 1.584973888515574247e-01, 1.986211096539956811e-01, 1.432870611442880193e-01, 4.430545989160113995e-01, 2.228429455773697221e-01
1.859000000000000000e+03, 3.851158182877143510e-01, 5.446843285271341095e-01, 6.472882828320078996e-01, 9.369535895338816367e-01, 2.189768019115121422e-01, 1.741076525199407588e-01, 1.909622185628893076e-01, 5.644493904921622507e-01, 2.849107411236010967e-01, 1.942569280923635011e-01, 1.666921956618529765e-01, 1.789145332116173492e-01, 2.120309572929511277e-01, 1.444986049891712754e-01, 4.797422049072576633e-01, 2.164739378219630861e-01
