year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, ACCESS-ESM1-5, NorESM2-MM, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, INM-CM4-8, MIROC-ES2L, IPSL-CM6A-LR, CanESM5
1.850000000000000000e+03, 6.571424332606730090e-01, 1.066238827487220764e+00, 4.815494461775078894e-01, 8.317788507703016698e-01, 3.904132558557822374e-01, 1.532353175613237806e+00, 1.244266481940063063e+00, 8.557694164583004026e-01, 5.648933060639784731e-01, 5.288365440944695628e-01, 3.741147378535721324e-01, 4.633246341571865545e-01, 1.167753691341226308e+00, 5.000225627260000971e-01, 4.766091292977188698e-01, 1.236370227298297042e+00
1.851000000000000000e+03, 6.761298776074373684e-01, 1.223348976743599437e+00, 4.975993317484893042e-01, 7.331015172625274801e-01, 4.274123600815726842e-01, 1.602876057111594976e+00, 1.073323399207466000e+00, 8.555117654355823831e-01, 4.909767862851858733e-01, 4.416149340115994582e-01, 4.516931068212404754e-01, 3.727217719497594728e-01, 1.099893993018183691e+00, 7.105816494867406297e-01, 4.537836680070709283e-01, 1.208261903089967726e+00
1.852000000000000000e+03, 6.785622374100749310e-01, 1.150014294979029517e+00, 4.233772307274628055e-01, 7.751270389243216652e-01, 4.334102593482211940e-01, 1.847545393320115359e+00, 1.204265884906776662e+00, 9.970865913349427068e-01, 4.573631795940154565e-01, 4.197815405346522755e-01, 3.999969707674838615e-01, 4.688709885082995021e-01, 1.007787028081018388e+00, 6.613637769692285451e-01, 4.151103029081626428e-01, 1.171927720668999751e+00
1.853000000000000000e+03, 5.539929665281860816e-01, 1.396197844133506116e+00, 4.187457700533663840e-01, 8.638149330566512463e-01, 4.097461191636588285e-01, 1.416057010028446861e+00, 1.146845452392704301e+00, 9.120719135225298091e-01, 4.989396450440398145e-01, 5.440725757636292181e-01, 3.788006809074903058e-01, 5.671032001575119219e-01, 9.553709183986531794e-01, 5.583439066424485953e-01, 4.128725319067261812e-01, 1.260314751851221438e+00
1.854000000000000000e+03, 6.960870689147373724e-01, 1.031226917536798959e+00, 3.628800219928198789e-01, 9.354158238018379645e-01, 4.982507657845974824e-01, 1.104234924611344981e+00, 1.152505172176909731e+00, 8.114990315168866264e-01, 5.301015871780823119e-01, 5.455675435703867260e-01, 4.371772192547309643e-01, 4.545259040971875164e-01, 1.021643472455330937e+00, 5.978664204494563705e-01, 5.149320343008032541e-01, 1.259050724309250358e+00
1.855000000000000000e+03, 6.037357847624299501e-01, 1.059742302760379173e+00, 4.632167557788449130e-01, 9.144278742912078650e-01, 4.723565878091481318e-01, 1.458725301772133554e+00, 1.166149425572034826e+00, 9.158421273782599847e-01, 4.736814584637542569e-01, 6.189894580977773897e-01, 3.932745536178901546e-01, 4.704984446326476721e-01, 1.158159164474576341e+00, 6.887262089359691419e-01, 4.553588158696389443e-01, 1.189655119136493688e+00
1.856000000000000000e+03, 6.424305056871872921e-01, 1.127047965444304189e+00, 3.786251967737370716e-01, 8.561438668866615531e-01, 3.625612344928728081e-01, 1.825432989235173276e+00, 1.076741342647704602e+00, 9.714773562517200478e-01, 4.622323253196989334e-01, 5.704204991092496346e-01, 4.423601092139197166e-01, 5.058179008772938356e-01, 9.705648906472231774e-01, 6.051330410198303422e-01, 4.187146841058298485e-01, 1.188420826804194252e+00
1.857000000000000000e+03, 6.397551405849181139e-01, 1.212034279810739301e+00, 4.945906952457843619e-01, 7.364350164323055781e-01, 3.188472237076817040e-01, 1.656339728087096619e+00, 1.028802543534079295e+00, 9.665258908034234375e-01, 6.046698135061031598e-01, 5.928939856827563082e-01, 4.140585791118316927e-01, 5.107244561597555910e-01, 9.054251845796094100e-01, 7.139395228091405254e-01, 4.408289041803991060e-01, 1.149289384395192570e+00
1.858000000000000000e+03, 5.770120928557367357e-01, 1.172274324062920980e+00, 3.165702500198801506e-01, 7.585570108708097337e-01, 4.404458934448036156e-01, 1.671539174449098386e+00, 1.213321836780485885e+00, 7.992752062161435633e-01, 5.016014831167792121e-01, 4.946498786189068575e-01, 4.197468071496939235e-01, 4.742180061453462048e-01, 9.154840227521251483e-01, 6.067956195014280185e-01, 4.549597352652672844e-01, 1.187298915962121892e+00
1.859000000000000000e+03, 6.996243163057443981e-01, 8.961841874378398964e-01, 3.837536989754225525e-01, 7.148533879924283685e-01, 3.741838805383405075e-01, 1.655178572195491915e+00, 1.258272452766252547e+00, 7.821220064652950610e-01, 4.577785928003493265e-01, 3.834503138938319955e-01, 3.475513057603108469e-01, 6.036083243774366114e-01, 1.104115925767386042e+00, 6.765479313593196764e-01, 4.173936550736738194e-01, 1.211100604074846210e+00
1.860000000000000000e+03, 6.565490102595733513e-01, 9.677127846970434710e-01, 2.759348631958259412e-01, 7.385993209291208395e-01, 3.896628009809411930e-01, 1.546045222652411510e+00, 1.285356824679428467e+00, 6.368033535608074169e-01, 5.240382664874930763e-01, 4.873340373347918586e-01, 4.538962310238527365e-01, 5.533927984305528902e-01, 8.887049088640841532e-01, 7.053322448863269534e-01, 4.210138838513390880e-01, 1.182060737997310707e+00
1.861000000000000000e+03, 5.928095618616167073e-01, 1.262128257703929446e+00, 3.256595552898034485e-01, 7.390956784423430292e-01, 3.577378487263868645e-01, 1.464824580114958641e+00, 1.098504805796892025e+00, 7.640397656867646825e-01, 5.946771623714448562e-01, 4.739924750713918056e-01, 4.801863513376779524e-01, 5.125417223758811369e-01, 1.075495149851574350e+00, 6.948740097729269038e-01, 4.519762409963426486e-01, 1.255743900143304614e+00
1.862000000000000000e+03, 6.327109510257441505e-01, 1.177384191898771304e+00, 4.895662593727319045e-01, 7.832826106734507299e-01, 3.603706290907472964e-01, 1.568017233796951126e+00, 1.211945063860861538e+00, 9.345407139223441684e-01, 5.247691838486044924e-01, 4.590499938144302905e-01, 3.813842054321328612e-01, 4.326395643613417108e-01, 1.064281426702312849e+00, 6.110413504797819195e-01, 3.935732471819312628e-01, 1.242866101739202866e+00
1.863000000000000000e+03, 5.502656879564782333e-01, 1.250295862939151847e+00, 4.828370086612450152e-01, 8.646395055635474058e-01, 4.549488298419560039e-01, 1.663015383987013873e+00, 1.084819754779474010e+00, 9.695033133219476129e-01, 4.956800581952869322e-01, 3.893097235619547014e-01, 3.866829562888954297e-01, 4.741672602867594288e-01, 1.064459396372694266e+00, 6.303079784712650735e-01, 4.946605406510967140e-01, 1.259575776061402363e+00
1.864000000000000000e+03, 5.926255295168554316e-01, 1.323359746739346754e+00, 4.628246482470426137e-01, 8.616619166411296771e-01, 5.041558378893727932e-01, 1.468559840658126614e+00, 1.121939354319480664e+00, 1.024111325916097881e+00, 4.692326010593754759e-01, 4.691258353944683379e-01, 4.092080672139084552e-01, 5.193747489429140218e-01, 1.134297579323848781e+00, 6.441278871009185059e-01, 4.667348442124616970e-01, 1.239306263735491020e+00
1.865000000000000000e+03, 6.117604621687718902e-01, 1.202917274577623763e+00, 3.534544394377059917e-01, 8.721606418567303676e-01, 4.436249924281355228e-01, 1.563748221940047367e+00, 1.330459203918293865e+00, 8.806751433014945452e-01, 5.266366512642522979e-01, 4.900632782860245840e-01, 4.510788364638419479e-01, 4.963227506209162421e-01, 1.034103076664071752e+00, 7.301833438549488742e-01, 3.915511720734803913e-01, 1.219065541712537781e+00
1.866000000000000000e+03, 7.290596416302929095e-01, 1.043701515814962066e+00, 3.559782150127609457e-01, 8.708930173240707617e-01, 4.465081691405890507e-01, 1.389100896740665725e+00, 1.227917020944824023e+00, 8.567540585636453931e-01, 4.697556823200955689e-01, 5.882696446312044580e-01, 4.095663441133741700e-01, 4.822788744238622471e-01, 9.844657705367169109e-01, 7.077323230127662290e-01, 4.824053529524848227e-01, 1.241361411603367770e+00
1.867000000000000000e+03, 7.109765012829737385e-01, 1.222019126434554792e+00, 4.054097612809570150e-01, 9.089597504059545585e-01, 4.188443104219919944e-01, 1.373798746548451577e+00, 1.308935149508486440e+00, 8.177153720356548083e-01, 5.049775408704720858e-01, 5.713590577289403560e-01, 4.268822268547162735e-01, 4.485874332464310776e-01, 1.066019906802076367e+00, 5.649581480486532969e-01, 4.845060811887689778e-01, 1.228116335152930505e+00
1.868000000000000000e+03, 7.016688646956376063e-01, 8.790538162291869906e-01, 4.376094474422975167e-01, 9.166997265318704846e-01, 4.026616711075063915e-01, 1.596332498183585802e+00, 1.141842616854062076e+00, 7.714118577450377323e-01, 4.351844932326985327e-01, 5.670777382980954906e-01, 4.268325316980046136e-01, 4.468729978026682037e-01, 9.397980386781148443e-01, 6.118005678618544385e-01, 4.677049172651632780e-01, 1.188499103174995630e+00
1.869000000000000000e+03, 6.325298709644751050e-01, 1.093715223336228393e+00, 4.161546381959566610e-01, 8.229568830775442212e-01, 2.974603960486510434e-01, 1.591974401018399599e+00, 1.202576818711722284e+00, 8.555581191891216131e-01, 4.808376556699140436e-01, 5.395207527208409903e-01, 3.784591434559695933e-01, 4.679078328545305254e-01, 1.038416838003830334e+00, 5.798470614408300916e-01, 4.753718598902203496e-01, 1.308486287835395334e+00
1.870000000000000000e+03, 7.066679567692982777e-01, 1.222053880618814814e+00, 4.000386148273138431e-01, 8.426559855966508916e-01, 3.556170591797907510e-01, 1.542482368556694183e+00, 1.185694495511546931e+00, 6.660731660238997653e-01, 4.982596667352151565e-01, 5.246224577797966582e-01, 3.655095040766369041e-01, 4.522411420837212370e-01, 9.797117569661455416e-01, 6.203273693574318237e-01, 4.309922045512512567e-01, 1.234455907028271238e+00
1.871000000000000000e+03, 6.673734514906437543e-01, 1.141838621901646755e+00, 4.331009864455441782e-01, 7.828541893967646548e-01, 3.834297046737583092e-01, 1.405064078104294900e+00, 1.358621356463772356e+00, 7.678921997103963504e-01, 4.931006674190385186e-01, 5.410010189599100405e-01, 4.436223157446708143e-01, 4.657983810820714443e-01, 1.134876291396151871e+00, 7.396386267252563762e-01, 3.916029838469209934e-01, 1.177317736211505039e+00
1.872000000000000000e+03, 6.154150728129764714e-01, 1.194164699092854054e+00, 4.480371743262544504e-01, 8.180537807527855643e-01, 4.909903505358845788e-01, 1.744173991313478389e+00, 1.262019139452206451e+00, 8.985431403025661012e-01, 4.720217762026137631e-01, 4.624922301166103367e-01, 4.154897542181971715e-01, 4.840671222090420223e-01, 9.991053753126053483e-01, 8.014974541248867101e-01, 5.024156399631205527e-01, 1.218339437357889299e+00
1.873000000000000000e+03, 6.461300222608610255e-01, 1.164532536160153287e+00, 4.422440621952464790e-01, 8.938857105129141001e-01, 3.677405660838358181e-01, 1.748797454212669633e+00, 1.244042072345078687e+00, 9.269956910583860843e-01, 5.334275248623354670e-01, 5.616137370135845241e-01, 4.038311029339558544e-01, 4.681877238225684024e-01, 1.064585535680417472e+00, 5.844699441958576269e-01, 5.131807659962844825e-01, 1.257398461702585735e+00
1.874000000000000000e+03, 6.024747326841435324e-01, 9.659851758059964100e-01, 3.588954918061997845e-01, 7.983856470685443130e-01, 4.653385082176538234e-01, 1.411389974216974652e+00, 1.175688285914187059e+00, 7.297166081947713545e-01, 4.938672035610995881e-01, 4.456517996732852760e-01, 3.737911844323559274e-01, 4.570793042820550656e-01, 8.829156633192464243e-01, 6.557983057851693998e-01, 4.499430778101193851e-01, 1.327169309502457484e+00
1.875000000000000000e+03, 5.691891642371285087e-01, 1.005884942352004208e+00, 3.327315796793727798e-01, 7.558556009985120117e-01, 4.611627296004876531e-01, 1.472388086607241409e+00, 1.406754735397288236e+00, 7.140457525840160358e-01, 4.914651898430990040e-01, 4.938399390315873494e-01, 4.137319418420193906e-01, 5.482594953685030470e-01, 1.107039767875342973e+00, 6.692299324486894463e-01, 4.811498944554214452e-01, 1.264046556388705111e+00
