year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM
1.850000000000000000e+03, 2.875099470812223217e+02, 2.885330930937656717e+02, 2.881716635894751448e+02, 2.907934253200067474e+02, 2.897152350802141427e+02, 2.884054792628733708e+02, 2.879091426247244385e+02, 2.868524800283050809e+02, 2.884596159490847072e+02, 2.863990765174677335e+02, 2.878114363843444607e+02, 2.886571925173507225e+02, 2.849737462491532369e+02, 2.885510056072210432e+02, 2.875580449678663513e+02, 2.894766395438709878e+02
1.851000000000000000e+03, 2.879676125256818864e+02, 2.884767747531786313e+02, 2.882646604484637578e+02, 2.912146943258809415e+02, 2.895973116448019482e+02, 2.879926073679080787e+02, 2.875584599956137595e+02, 2.856294295634338596e+02, 2.887445286559766373e+02, 2.865834463314057530e+02, 2.876644690712518013e+02, 2.903323287667456611e+02, 2.852247530515322751e+02, 2.879722398282254403e+02, 2.879639809176616723e+02, 2.890357583075460184e+02
1.852000000000000000e+03, 2.876279799222255633e+02, 2.881102948868148133e+02, 2.881205008929384803e+02, 2.911194023638493036e+02, 2.894835907952917182e+02, 2.874653942031017664e+02, 2.875022373734269650e+02, 2.862638728074342680e+02, 2.886674359663862788e+02, 2.868850535947590288e+02, 2.883901122169677933e+02, 2.896037469715133170e+02, 2.856944345069525752e+02, 2.880505694356791082e+02, 2.877114729052595976e+02, 2.893972149634240623e+02
1.853000000000000000e+03, 2.879421398688874092e+02, 2.888058004431817380e+02, 2.878845173825575330e+02, 2.909459197583425976e+02, 2.885500127225868710e+02, 2.873154119688305741e+02, 2.873670357347943423e+02, 2.869916874061837007e+02, 2.885209789459199214e+02, 2.871256879565849545e+02, 2.880567084132982814e+02, 2.898021097605923728e+02, 2.851506902143200364e+02, 2.891770305263188447e+02, 2.880273450997806322e+02, 2.890874197297130763e+02
1.854000000000000000e+03, 2.877279480708883739e+02, 2.893051310950884272e+02, 2.880247302459426919e+02, 2.910820257152148542e+02, 2.887730851312414302e+02, 2.871552392916204326e+02, 2.877708474624206474e+02, 2.867744565500543672e+02, 2.884533112699121489e+02, 2.864069064948848791e+02, 2.881717161867438222e+02, 2.900714257376286014e+02, 2.857152304723287557e+02, 2.883648287349597581e+02, 2.877091072110575851e+02, 2.888342404807702906e+02
1.855000000000000000e+03, 2.877727617272237239e+02, 2.887703757469175798e+02, 2.871672768619425824e+02, 2.912326416744503490e+02, 2.891829284316653457e+02, 2.874436179437348642e+02, 2.881600639684345992e+02, 2.860680929724701400e+02, 2.888485919749422806e+02, 2.861471820805797392e+02, 2.876913273203991821e+02, 2.898408456400798627e+02, 2.862261539471731453e+02, 2.885354273723752385e+02, 2.875683522654663307e+02, 2.894145309094055278e+02
1.856000000000000000e+03, 2.879150832642918090e+02, 2.890437408679095483e+02, 2.880249615247770407e+02, 2.914732037054864691e+02, 2.897356492632459322e+02, 2.876184223968998026e+02, 2.875715294115205438e+02, 2.866800339438300398e+02, 2.892088814315521859e+02, 2.862546806629589469e+02, 2.888556696660954231e+02, 2.896103049028558871e+02, 2.858162449718929565e+02, 2.896362042690009844e+02, 2.880673318157891458e+02, 2.895467466724761039e+02
1.857000000000000000e+03, 2.877302330704659425e+02, 2.883866827332610683e+02, 2.879522517790585994e+02, 2.917038735754149457e+02, 2.894639395440792100e+02, 2.882489281786357083e+02, 2.877985140624579685e+02, 2.857846401944960348e+02, 2.887366793770528375e+02, 2.864895080640365563e+02, 2.875745571697881360e+02, 2.896939695899589537e+02, 2.864885056596959885e+02, 2.892224390298224534e+02, 2.876250412552613511e+02, 2.891303426763467996e+02
1.858000000000000000e+03, 2.875396242846013024e+02, 2.889473878000024456e+02, 2.877361557310259172e+02, 2.915370690984519797e+02, 2.904471600838722338e+02, 2.881408640984053591e+02, 2.882017596640438910e+02, 2.858134439725863558e+02, 2.887260168681807500e+02, 2.869405519022253088e+02, 2.879110174363651709e+02, 2.894635910652839357e+02, 2.863952015793258283e+02, 2.891872114720814011e+02, 2.881730371819446646e+02, 2.887807485776482395e+02
1.859000000000000000e+03, 2.875271733334988085e+02, 2.884717724435469108e+02, 2.877452999358147281e+02, 2.914920294241028955e+02, 2.895851170187449952e+02, 2.876872915370940405e+02, 2.872821644540255761e+02, 2.864602556862336087e+02, 2.889804823198473969e+02, 2.868715724020973994e+02, 2.881741999638699667e+02, 2.893276852390818021e+02, 2.856319755968284539e+02, 2.888928356353247295e+02, 2.867129658423174305e+02, 2.896483392791446363e+02
