year, ACCESS-ESM1-5, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CMCC-CM2-SR5, CNRM-ESM2-1
2.015000000000000000e+03, 5.472191991852583953e-02, 3.369156489894595263e-02, 1.155185145740961622e-01, 2.976636362681367998e-01, 6.168355479502655504e-05, 8.955684302824970175e-03, 2.955611912611476669e-02, 4.655302465055975551e-03, 4.316549207193633164e-03
2.016000000000000000e+03, 7.232890892219001611e-02, 3.233734928436313855e-02, 1.181065783890997006e-01, 2.961127895702440060e-01, 6.255394149253093233e-05, 8.728527788041798297e-03, 3.143618507348442531e-02, 4.441238137677654130e-03, 4.033755582059568058e-03
2.017000000000000000e+03, 6.886244694152868218e-02, 3.103429058260645176e-02, 1.257002116750869647e-01, 2.942201138012844330e-01, 6.147401627019931402e-05, 8.662228570708398190e-03, 3.167966542767313570e-02, 4.259925571338918360e-03, 3.735020549474706540e-03
2.018000000000000000e+03, 6.668689642887405677e-02, 2.977639857555254913e-02, 1.190799820565038858e-01, 2.920998738813842532e-01, 5.706439644791293112e-05, 8.491547072011367686e-03, 3.338882445911619395e-02, 4.104711164466473897e-03, 3.433636874133090024e-03
2.019000000000000000e+03, 6.504850496696622242e-02, 2.856373977125515468e-02, 1.092371611708661538e-01, 2.911531916148550891e-01, 5.997828017544262074e-05, 8.324919720775120213e-03, 3.534119468978277195e-02, 3.970551560722302038e-03, 3.126503040224385115e-03
2.020000000000000000e+03, 6.366028969088279033e-02, 2.740046873824156931e-02, 1.140270871667426189e-01, 2.909712015238027916e-01, 5.677050400730704723e-05, 8.194650724367029404e-03, 3.298134174497749371e-02, 3.851712496275382525e-03, 2.876319770593242005e-03
2.021000000000000000e+03, 6.241800448944606616e-02, 2.616923997817825406e-02, 1.175955064941433953e-01, 2.899317130133006182e-01, 5.146439170726541974e-05, 7.969205602622823209e-03, 3.521405183203910744e-02, 3.744894927657602558e-03, 2.665704118665923085e-03
2.022000000000000000e+03, 6.126110691881254955e-02, 2.499665743910230165e-02, 1.135464717425042347e-01, 2.898780646494296120e-01, 5.552905585903915162e-05, 7.846201029276231309e-03, 4.017545624812767641e-02, 3.648765929410857731e-03, 2.476831290353312658e-03
2.023000000000000000e+03, 6.016952975908015228e-02, 2.387811565964060787e-02, 1.071975075948602280e-01, 2.905616049031672365e-01, 5.696948948808417621e-05, 7.677254053635513241e-03, 3.632817376128371495e-02, 3.561226869498293045e-03, 2.334958838189284298e-03
2.024000000000000000e+03, 5.913163142805637901e-02, 2.281069547334409545e-02, 1.069673904127098341e-01, 2.917410212542622672e-01, 5.643060870074588829e-05, 7.716888476170732925e-03, 3.568666467966202793e-02, 3.481125526836550792e-03, 2.220047133718169082e-03
2.025000000000000000e+03, 5.813852866882222165e-02, 2.179673181022612552e-02, 1.105696265603300088e-01, 2.925149727121772458e-01, 4.670350907719596949e-05, 7.730118652889700001e-03, 4.266951178593315214e-02, 3.409692016624118940e-03, 2.137824877813835050e-03
2.026000000000000000e+03, 5.719645680266290805e-02, 2.085763493025094562e-02, 1.102789539486759285e-01, 2.932713535698944218e-01, 3.971955506439684726e-05, 7.744420780622321247e-03, 4.083212840126571735e-02, 3.344939297151497751e-03, 2.121758179953431560e-03
2.027000000000000000e+03, 5.630257050117344619e-02, 1.997085953894395943e-02, 1.074823409273460012e-01, 2.941942873417029425e-01, 3.794407853802876998e-05, 7.737857830273436703e-03, 3.929511756439841436e-02, 3.283115869759567398e-03, 2.093183986888130874e-03
2.028000000000000000e+03, 5.545220339219698868e-02, 1.911813658790149223e-02, 1.086002812150123065e-01, 2.947231532527124775e-01, 4.459331268619225793e-05, 7.810455535579019504e-03, 3.612202511142165867e-02, 3.223673278773004497e-03, 2.050293696967079877e-03
