year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM4-8, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, INM-CM5-0
2.015000000000000000e+03, 1.171149816164250623e+00, 2.190222145059889769e+00, 4.570263973065491037e+00, 1.828088903065917092e+00, 4.651920796306247219e+00, 1.653522522547862472e+00, 4.087240518362058594e+00, 3.889807761917290385e+00, 5.073690924935005064e+00, 7.704938587594730492e+00, 4.469571740891909783e+00, 1.603698324787222962e+00, 5.045677798070949294e+00, 1.628468304255047183e+00, 1.489496031069159176e+00, 9.347560666611110847e+00
2.016000000000000000e+03, 1.364959945840673372e+00, 2.320799732907127932e+00, 4.592824782979856302e+00, 1.826700308998056466e+00, 4.738741897426944405e+00, 1.727689066580279098e+00, 4.099976377739507960e+00, 3.892496118261727922e+00, 4.987352720162187225e+00, 7.762425959209982018e+00, 4.557279474948357390e+00, 1.564476361554305806e+00, 5.058107567212651645e+00, 1.583160033346517226e+00, 1.567917352204575065e+00, 9.415445533087927643e+00
2.017000000000000000e+03, 1.390903483470412150e+00, 2.313535894441680618e+00, 4.636205384512541272e+00, 1.834643841388625907e+00, 4.699896598196129816e+00, 1.774357348380845023e+00, 4.104753796966563506e+00, 3.896126560371537817e+00, 4.966545402913100205e+00, 7.864471558367892357e+00, 4.527790173970943854e+00, 1.602775813977174835e+00, 5.043203825397951867e+00, 1.587456762335478055e+00, 1.553011333164987740e+00, 9.383921536629031834e+00
2.018000000000000000e+03, 1.250405909013289962e+00, 2.199461175767705612e+00, 4.661731820227935863e+00, 1.856814587889086932e+00, 4.647403631845710592e+00, 1.769081990166676777e+00, 4.082218586111787673e+00, 3.948414396243931090e+00, 4.966995973524751307e+00, 7.938210466493484496e+00, 4.680763146810351216e+00, 1.666775836898477081e+00, 5.040557421557963380e+00, 1.587342900344881569e+00, 1.514614129844333856e+00, 9.368657255163164166e+00
2.019000000000000000e+03, 1.224880774238917391e+00, 2.214036138246870511e+00, 4.653825572807560818e+00, 1.865074403600371022e+00, 4.749721586989621436e+00, 1.857398953545369658e+00, 4.055482321168224935e+00, 4.200184270834567357e+00, 5.013644466976082903e+00, 7.864545089070747785e+00, 4.699894726548385471e+00, 1.723593630535613874e+00, 5.092912133949211828e+00, 1.570450170183628646e+00, 1.532200665769747117e+00, 9.465649320759204954e+00
2.020000000000000000e+03, 1.246760314623360566e+00, 2.290386271616046354e+00, 4.688480553694241770e+00, 1.854046570201578259e+00, 4.809605743853550663e+00, 1.792391157148331526e+00, 4.106568038667626652e+00, 4.216949666655570361e+00, 5.046507181753194793e+00, 7.824397091504218693e+00, 4.764299640841889172e+00, 1.673720105755021947e+00, 5.061153783458794742e+00, 1.570262555222679213e+00, 1.612947181803628949e+00, 9.612865152869131791e+00
2.021000000000000000e+03, 1.277679507467216702e+00, 2.326897807070051005e+00, 4.690738516779351386e+00, 1.875762208119776897e+00, 4.787787753243857303e+00, 1.783526473009791946e+00, 4.149038558715936631e+00, 4.328989514122401516e+00, 5.109060011834565707e+00, 7.867439642192274540e+00, 4.844465287662857556e+00, 1.634499856627114722e+00, 5.084157538966172396e+00, 1.626281271812612950e+00, 1.674965000378546565e+00, 9.658453050481517366e+00
2.022000000000000000e+03, 1.331092287167573218e+00, 2.273819021332891488e+00, 4.714232310240231705e+00, 1.911487007432144170e+00, 4.894220003912979955e+00, 1.816928470424482134e+00, 4.137668885083250814e+00, 4.330932523211511231e+00, 5.163150023288162416e+00, 7.894396922008268369e+00, 4.853155684794299596e+00, 1.554768912120574331e+00, 5.115513867192868602e+00, 1.629291002211210593e+00, 1.696458598535413254e+00, 9.594007659113747977e+00
2.023000000000000000e+03, 1.248937113516563446e+00, 2.248685626343517097e+00, 4.775608973726264139e+00, 1.958911822944160663e+00, 5.009292908006892198e+00, 1.797203481679451764e+00, 4.150210422869274218e+00, 4.215899070440465302e+00, 5.178595758722624787e+00, 7.895144235448475989e+00, 4.876240180037507699e+00, 1.593754153802362517e+00, 5.161988613662780168e+00, 1.657233593019543205e+00, 1.538301572753891566e+00, 9.570122692894821981e+00
2.024000000000000000e+03, 1.217440620748882818e+00, 2.277841097580211471e+00, 4.818285805435436053e+00, 1.962171811432017465e+00, 5.084620763383143505e+00, 1.876851461606780624e+00, 4.155015505929137376e+00, 4.282154405913831674e+00, 5.142351884980357113e+00, 7.896071466593749477e+00, 4.916120899180906001e+00, 1.593151906018917652e+00, 5.185176397563989070e+00, 1.660025240061598906e+00, 1.544115662224184948e+00, 9.574317269127924135e+00
2.025000000000000000e+03, 1.126802674871550280e+00, 2.279623387785567168e+00, 4.854448987716150299e+00, 1.964560903185124996e+00, 5.095768010297061501e+00, 1.989939862783157487e+00, 4.153950030421840189e+00, 4.336900981840475566e+00, 5.100378180333789757e+00, 7.940663421630890895e+00, 5.005769619937714410e+00, 1.544306245005945044e+00, 5.155869453240735645e+00, 1.635493101800117088e+00, 1.595959135743030277e+00, 9.520844397770460432e+00
2.026000000000000000e+03, 1.095769004818585968e+00, 2.254707807427088984e+00, 4.880719102797281828e+00, 1.947402995744170529e+00, 5.078376170736992101e+00, 1.931413365232909296e+00, 4.184928365714649878e+00, 4.326282837277465987e+00, 5.067222714547279239e+00, 7.944010913901363047e+00, 5.001409144202376922e+00, 1.604344829172852593e+00, 5.161138003932515872e+00, 1.697855576525779231e+00, 1.701656123558513478e+00, 9.580952238289123457e+00
2.027000000000000000e+03, 1.138914278174888661e+00, 2.261686713037033947e+00, 4.933602948650539943e+00, 1.966682892552338968e+00, 5.066131306385749156e+00, 1.923055149360043403e+00, 4.165063003696070076e+00, 4.493678898398536070e+00, 5.077302840148143481e+00, 7.908181920149486288e+00, 5.128648006851510566e+00, 1.662941225834540404e+00, 5.222983735957797080e+00, 1.698106199978682618e+00, 1.688764639521961541e+00, 9.678466226420249896e+00
