year, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 1.583412903598966436e-10, 1.787232355161751044e-11, -4.762019269230163184e-10, 2.475413272937783120e-12
2.016000000000000000e+03, 1.646076882442504315e-10, 1.241563651838079876e-11, -4.302077192168140050e-10, 1.128378918150571398e-12
2.017000000000000000e+03, 1.630326121360453229e-10, 1.186380551035253649e-11, -4.451205594539413426e-10, 1.102598260281031233e-12
2.018000000000000000e+03, 1.574344637996517224e-10, 1.187928287949115521e-11, -4.358371658675232475e-10, 9.937036327623304897e-13
2.019000000000000000e+03, 1.797359344605693666e-10, 1.092861604439550125e-11, -4.493619611031297518e-10, 9.253737503499279619e-13
2.020000000000000000e+03, 1.351273202884168707e-10, 9.710903205348072415e-12, -4.370338953554084075e-10, 9.668382129623278507e-13
2.021000000000000000e+03, 1.748239391460184997e-10, 9.165731012658047781e-12, -4.485066055173039779e-10, 7.429928217807583201e-13
2.022000000000000000e+03, 2.010908463974452506e-10, 8.441975157248984342e-12, -4.611209235629437138e-10, 6.904428996352016291e-13
2.023000000000000000e+03, 2.026672016137002014e-10, 7.349266208724167770e-12, -5.168769434852927281e-10, 8.272089751062540157e-13
2.024000000000000000e+03, 1.780879441400127567e-10, 7.015420576236373228e-12, -4.935378071319305158e-10, 7.491580495831164161e-13
2.025000000000000000e+03, 1.425411607986262898e-10, 7.758859552560211301e-12, -4.971893682924407241e-10, 8.288594550565050517e-13
2.026000000000000000e+03, 1.582930960228462444e-10, 1.091971743487120868e-11, -4.579878013515757005e-10, 1.328329099165955708e-12
2.027000000000000000e+03, 1.801136783826507812e-10, 1.108777118721082323e-11, -4.490638653548941902e-10, 1.012445507478306486e-12
2.028000000000000000e+03, 2.130604890436659373e-10, 1.093891628682647453e-11, -5.297307287828164826e-10, 1.010186553407293246e-12
2.029000000000000000e+03, 1.602380223056029527e-10, 1.092073941886009584e-11, -5.006282139274733440e-10, 1.076208030422366811e-12
2.030000000000000000e+03, 1.576463996953824765e-10, 1.021404662863940744e-11, -5.260356532205689170e-10, 1.095614132973282551e-12
2.031000000000000000e+03, 1.703094932021942349e-10, 1.006937215709326436e-11, -5.067169413657557383e-10, 2.910051687280492468e-12
2.032000000000000000e+03, 1.621332625151949132e-10, 1.029184516417565875e-11, -4.947179221858416871e-10, 2.711479693831071070e-12
2.033000000000000000e+03, 1.833936055678538098e-10, 1.043173035841098595e-11, -5.392858302113094296e-10, 2.533362707121497146e-12
2.034000000000000000e+03, 2.399999602904651712e-10, 1.042312815296274364e-11, -4.819753643907177398e-10, 2.371729446903527044e-12
2.035000000000000000e+03, 2.320916031267622216e-10, 1.044075577671933127e-11, -4.597534511278285601e-10, 2.857952457417124742e-12
2.036000000000000000e+03, 2.358500394442604525e-10, 1.071184618304168962e-11, -4.773504788224321720e-10, 2.385247524828826872e-12
2.037000000000000000e+03, 2.301869296655747110e-10, 1.066064051498475321e-11, -5.083691357007469312e-10, 2.833406039360358556e-12
2.038000000000000000e+03, 2.378834616240606855e-10, 1.091404681860352714e-11, -5.596422090213485183e-10, 2.421971945060926316e-12
2.039000000000000000e+03, 2.194187628873569159e-10, 1.151663118531303973e-11, -5.321893641669522614e-10, 2.392939855689750145e-12
2.040000000000000000e+03, 2.329918739816542948e-10, 1.179399502080794275e-11, -4.728551626892952864e-10, 2.657650725956144153e-12
2.041000000000000000e+03, 1.730195209271817288e-10, 8.598409701412720423e-12, -5.171971557279432122e-10, 2.584279716611164997e-12
2.042000000000000000e+03, 2.057992425594819262e-10, 8.162919011529888750e-12, -4.761233590095561461e-10, 2.612462998237821429e-12
2.043000000000000000e+03, 2.327611543020045334e-10, 7.936316601480878176e-12, -4.283756534603811892e-10, 2.311067216684134976e-12
2.044000000000000000e+03, 2.235820954067775880e-10, 7.691028415772715949e-12, -4.617671699294142550e-10, 2.412609211378384798e-12
2.045000000000000000e+03, 2.097991100655928944e-10, 7.186238684263900950e-12, -4.709543050568955085e-10, 2.573317355294656954e-12
2.046000000000000000e+03, 2.459792366225743974e-10, 8.593545360300658038e-12, -5.198917011319819598e-10, 2.543972885194338818e-12
2.047000000000000000e+03, 2.461274113163553212e-10, 8.477902124290381694e-12, -4.536148622052577604e-10, 2.545000407618891212e-12
2.048000000000000000e+03, 1.856556755264212569e-10, 8.423741955049033037e-12, -4.819723100775510708e-10, 2.646411278809109931e-12
2.049000000000000000e+03, 1.363207294271866238e-10, 8.423957889461475429e-12, -4.822044284687687815e-10, 2.775169949280372809e-12
2.050000000000000000e+03, 1.754545133528342133e-10, 8.254514009620842809e-12, -5.368486861406929180e-10, 2.542393102341115616e-12
2.051000000000000000e+03, 2.267082196717332882e-10, 6.080438098627225114e-12, -5.667900567880694921e-10, 1.799550308764143494e-12
2.052000000000000000e+03, 1.839591645690932168e-10, 6.053930799883478495e-12, -4.941995520679159324e-10, 1.734390985466281759e-12
2.053000000000000000e+03, 2.050530999228659878e-10, 6.366222010024325429e-12, -5.014206057296997740e-10, 1.879609439022097937e-12
2.054000000000000000e+03, 1.604919684720306473e-10, 6.226634449712750869e-12, -5.137330816875780200e-10, 1.706549074602782765e-12
2.055000000000000000e+03, 2.130551767360760185e-10, 6.251607803864119501e-12, -5.151341048145430504e-10, 1.759304957190932911e-12
2.056000000000000000e+03, 2.411573548650477859e-10, 5.107211893724844993e-12, -5.017686390407450678e-10, 2.478055445181151343e-12
2.057000000000000000e+03, 1.688562221132809397e-10, 4.979005926372683483e-12, -5.570258672477923568e-10, 2.357774649185847298e-12
2.058000000000000000e+03, 1.471838822547518872e-10, 5.217895907850862744e-12, -5.668075406539531017e-10, 2.349180288589366632e-12
2.059000000000000000e+03, 1.977939259866288330e-10, 5.198145514465916555e-12, -4.968555740332799267e-10, 2.590665349707719737e-12
2.060000000000000000e+03, 1.978169529056992005e-10, 5.192328024838943755e-12, -5.502593157329499230e-10, 2.305930431655118669e-12
2.061000000000000000e+03, 1.645115801770757590e-10, 4.371560377791996513e-12, -5.326007071158545311e-10, 1.649857315693573561e-12
2.062000000000000000e+03, 1.748384653732809418e-10, 4.121872251493197696e-12, -5.137558485684916882e-10, 1.517221230461366060e-12
2.063000000000000000e+03, 1.933687631508982845e-10, 4.055217491384448159e-12, -5.478218693092803377e-10, 1.486220565638874183e-12
2.064000000000000000e+03, 2.048303208970600124e-10, 3.948581639310565741e-12, -5.163319755995622457e-10, 1.528422714697064423e-12
2.065000000000000000e+03, 1.685044968506356263e-10, 3.866245949602583836e-12, -4.840020908610320360e-10, 1.622876960989725833e-12
2.066000000000000000e+03, 1.569435876592665792e-10, 8.027689751920630537e-12, -5.101629006024055703e-10, 1.640276096574015938e-12
2.067000000000000000e+03, 2.100332426146173171e-10, 8.122332460307252838e-12, -5.166802391649735301e-10, 1.433691782759061923e-12
2.068000000000000000e+03, 1.900063427092088567e-10, 8.168626200935544027e-12, -5.321703777142863180e-10, 1.409601793180515428e-12
2.069000000000000000e+03, 2.106380653649740292e-10, 8.255833869772850816e-12, -5.561678592249936327e-10, 1.605812656414415596e-12
2.070000000000000000e+03, 2.836845079693584264e-10, 8.415804610347724093e-12, -5.552806755731735858e-10, 1.654001123831647031e-12
2.071000000000000000e+03, 2.366424140292915842e-10, 9.361266731333066711e-12, -5.178764728062250823e-10, 1.260864300736682085e-12
2.072000000000000000e+03, 1.696488483530948764e-10, 9.515135109919155080e-12, -5.073657300763213496e-10, 1.319675846302640506e-12
2.073000000000000000e+03, 1.404618674163285817e-10, 9.684997360125734483e-12, -5.554879441023864661e-10, 1.434116114996101034e-12
2.074000000000000000e+03, 1.933476311855191299e-10, 9.842481747696602172e-12, -5.243976693854075245e-10, 1.422866838883567785e-12
2.075000000000000000e+03, 2.133846957184999563e-10, 1.001610650175678402e-11, -4.998371037502047786e-10, 1.430363564322733488e-12
2.076000000000000000e+03, 1.700801862143531410e-10, 6.594792035990105362e-12, -5.394219972043517321e-10, 1.747070736720500784e-12
2.077000000000000000e+03, 1.583007826944982164e-10, 6.476679621205102155e-12, -5.224528630558304984e-10, 1.835420230029193902e-12
2.078000000000000000e+03, 1.582002765505556328e-10, 6.301229956139760387e-12, -5.304389182660615469e-10, 1.906672980794420077e-12
2.079000000000000000e+03, 2.414615093580911119e-10, 6.173323200542802968e-12, -4.530931889249970347e-10, 1.887219561555292956e-12
2.080000000000000000e+03, 2.024988555842163054e-10, 5.969964358052080849e-12, -5.436275252064111866e-10, 1.943886106566756541e-12
2.081000000000000000e+03, 2.322593730196714675e-10, 8.324452802009427026e-12, -4.940003380263655821e-10, 2.461544876524340002e-12
2.082000000000000000e+03, 2.187067499953165660e-10, 8.396063476603789771e-12, -5.524108293603988599e-10, 2.439021641485269735e-12
2.083000000000000000e+03, 2.343725449014640771e-10, 8.418117618987353296e-12, -5.228243080828378371e-10, 2.559204843530860963e-12
2.084000000000000000e+03, 1.897909873637322848e-10, 8.417243422944915960e-12, -4.732053243207545616e-10, 2.465925099225304738e-12
2.085000000000000000e+03, 2.018551566859574205e-10, 8.327666135813568551e-12, -4.598676312387132807e-10, 2.664416508401870653e-12
2.086000000000000000e+03, 2.778025253071183482e-10, 5.119566460498060291e-12, -4.868189517459203545e-10, 1.897053883101346835e-12
2.087000000000000000e+03, 2.134889152246004273e-10, 5.000442192838692434e-12, -5.415048182310277389e-10, 1.924809786413659454e-12
2.088000000000000000e+03, 1.627861233288048933e-10, 5.043260035470478926e-12, -6.188192023885873053e-10, 1.959559801351854316e-12
2.089000000000000000e+03, 2.361400484687309415e-10, 4.901009798120503700e-12, -5.357933836344266048e-10, 1.942321427188905453e-12
2.090000000000000000e+03, 2.423118010706305878e-10, 4.900216724146824210e-12, -5.314289988671478055e-10, 2.058057784056964252e-12
2.091000000000000000e+03, 2.010185029565784360e-10, 6.015686044819887163e-12, -5.060672423011236130e-10, 2.125187434719061079e-12
2.092000000000000000e+03, 2.201388095123974757e-10, 5.789996862782088353e-12, -4.682315610903644263e-10, 2.135938021221844833e-12
2.093000000000000000e+03, 2.368762237927454563e-10, 5.713320394530877642e-12, -4.757305014525421055e-10, 2.293930754567577978e-12
2.094000000000000000e+03, 1.977633100807449594e-10, 5.622115547906663288e-12, -4.961616742110081319e-10, 2.317843779535266817e-12
2.095000000000000000e+03, 2.404172790491536261e-10, 5.699400200520161546e-12, -4.815819136209455304e-10, 2.370432489761682896e-12
2.096000000000000000e+03, 2.111870591866260713e-10, 6.055349673756475572e-12, -4.587177716680136720e-10, 2.886969513306650829e-12
2.097000000000000000e+03, 1.734723142618885108e-10, 6.157205240480213659e-12, -4.669685277894647183e-10, 2.956685816459135214e-12
2.098000000000000000e+03, 2.008275039371281986e-10, 6.382749836631494635e-12, -4.998940588415381111e-10, 3.096742672212560390e-12
2.099000000000000000e+03, 2.343633162029034044e-10, 6.775836155547049897e-12, -5.442517720431091087e-10, 3.009627049156916238e-12
2.100000000000000000e+03, 1.749305057196998507e-10, 7.050178985600415646e-12, -4.873887931419533222e-10, 3.062120888986297743e-12
