year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 1.588908528336936073e-10, 4.397364619712606546e-10, 6.979113626725716588e-11
2.016000000000000000e+03, 2.029479400706967045e-10, 4.215676404403010079e-10, 6.273359904833874451e-11
2.017000000000000000e+03, 1.650973613356715201e-10, 4.590962556656055232e-10, 7.519452841877982170e-11
2.018000000000000000e+03, 1.179871780131513548e-10, 4.091716193130881510e-10, 6.506943746432694714e-11
2.019000000000000000e+03, 1.364481694081081676e-10, 4.853925521967383850e-10, 6.066254669627490879e-11
2.020000000000000000e+03, 1.649055176401196036e-10, 5.204317218499292017e-10, 5.680453242085439238e-11
2.021000000000000000e+03, 1.614943854146474892e-10, 4.283967649797660268e-10, 7.284679815654316737e-11
2.022000000000000000e+03, 1.312718071500480223e-10, 4.373908533192547220e-10, 7.668841851356990808e-11
2.023000000000000000e+03, 1.276815522613345924e-10, 3.825380010057182294e-10, 6.571069267798113803e-11
2.024000000000000000e+03, 1.461971278831873823e-10, 4.369888582569429338e-10, 7.509641740976436077e-11
2.025000000000000000e+03, 1.433423988194807704e-10, 4.541413790468926067e-10, 6.749809427840665819e-11
2.026000000000000000e+03, 1.327738017349174954e-10, 4.593914286430468219e-10, 6.870706759932473770e-11
2.027000000000000000e+03, 1.366965657357595302e-10, 5.010860978493068029e-10, 7.628032027929534738e-11
2.028000000000000000e+03, 1.545872179971238827e-10, 4.904470766046543862e-10, 4.889577624238404808e-11
2.029000000000000000e+03, 1.658937413164516076e-10, 3.612061880303137225e-10, 7.183326622646487221e-11
2.030000000000000000e+03, 1.881104088917589778e-10, 4.136495951643772472e-10, 7.921985147143611615e-11
2.031000000000000000e+03, 1.981407825979752748e-10, 5.210886348856395153e-10, 1.023185194090937330e-10
2.032000000000000000e+03, 1.405717671410155322e-10, 4.780360295627855514e-10, 8.094400792453619053e-11
2.033000000000000000e+03, 1.125168094409378175e-10, 4.279973792493639753e-10, 7.184916814178125201e-11
2.034000000000000000e+03, 1.150644730897948160e-10, 4.393950792863543268e-10, 9.762637671536300134e-11
2.035000000000000000e+03, 1.904510320361721947e-10, 5.177974487409460368e-10, 9.158440265735995796e-11
2.036000000000000000e+03, 1.954667938000013461e-10, 4.261193895222640032e-10, 6.424161155078974809e-11
2.037000000000000000e+03, 1.455407553928823553e-10, 4.654974891773800803e-10, 7.186117576326630300e-11
2.038000000000000000e+03, 1.740478412374621476e-10, 4.183890771097636548e-10, 9.535556120811353427e-11
2.039000000000000000e+03, 1.726647708842114349e-10, 4.069153323454478869e-10, 8.952195226976407752e-11
2.040000000000000000e+03, 1.716066046451099333e-10, 4.347390096002749209e-10, 7.673421701017432239e-11
2.041000000000000000e+03, 1.896037886769039826e-10, 4.659457568700025994e-10, 8.182726509221795402e-11
2.042000000000000000e+03, 1.447689404193936666e-10, 4.344956299727711494e-10, 1.051907513949265926e-10
2.043000000000000000e+03, 1.614908875737277467e-10, 4.829803775403334273e-10, 1.039451753600855892e-10
2.044000000000000000e+03, 1.717989765816634232e-10, 3.626099205772543570e-10, 1.093274368396600072e-10
2.045000000000000000e+03, 1.663052666654411210e-10, 3.832711062687714702e-10, 7.971755169029648873e-11
2.046000000000000000e+03, 1.674910780246835316e-10, 4.501633654381522682e-10, 1.036575851233905989e-10
2.047000000000000000e+03, 1.451491878265439291e-10, 5.275825470457809368e-10, 1.354328488988032161e-10
2.048000000000000000e+03, 1.892369795644300303e-10, 4.022146192795113701e-10, 1.093147150053608506e-10
2.049000000000000000e+03, 1.697479206449592602e-10, 3.810575709624329209e-10, 8.146000256366152002e-11
2.050000000000000000e+03, 1.287730630647277383e-10, 4.423057842049444317e-10, 1.294070973048482060e-10
2.051000000000000000e+03, 1.928773673994639444e-10, 5.424034082227371065e-10, 9.070607752504506776e-11
2.052000000000000000e+03, 1.605148273116414829e-10, 3.709601062148096810e-10, 9.841197524656495859e-11
2.053000000000000000e+03, 1.610966057607924307e-10, 3.924918522395400439e-10, 1.084720055313137741e-10
2.054000000000000000e+03, 1.461390406273547797e-10, 4.508373515131853270e-10, 7.179821078489733772e-11
2.055000000000000000e+03, 1.658030899916566675e-10, 4.666975952969586566e-10, 5.801679823937869916e-11
2.056000000000000000e+03, 1.766314276304281993e-10, 4.516803571677044105e-10, 7.901178980986906564e-11
2.057000000000000000e+03, 1.517271078926798944e-10, 4.756236971832758909e-10, 9.617762900767081320e-11
2.058000000000000000e+03, 1.534257692610076277e-10, 3.780704667061827687e-10, 7.402223112741397270e-11
2.059000000000000000e+03, 1.655920080311804595e-10, 3.887725808624833452e-10, 1.060186033173143032e-10
2.060000000000000000e+03, 1.839767433672746362e-10, 4.830478241547727169e-10, 8.123479318581051920e-11
2.061000000000000000e+03, 2.262527056620735252e-10, 4.590738240137923917e-10, 1.190573891509889596e-10
2.062000000000000000e+03, 1.618074850488040927e-10, 3.633819090072926569e-10, 1.306086333934245553e-10
2.063000000000000000e+03, 1.344786734364601832e-10, 3.349872867112852628e-10, 7.792928814102962731e-11
2.064000000000000000e+03, 1.974828356643615742e-10, 4.347473867705127447e-10, 9.228523149414749260e-11
2.065000000000000000e+03, 1.568413717028472962e-10, 4.519765055055766854e-10, 6.122613909235295006e-11
2.066000000000000000e+03, 1.716647974443363011e-10, 4.706458551601933125e-10, 5.099697475181491672e-11
2.067000000000000000e+03, 1.634097017184354002e-10, 3.664823305810523475e-10, 1.094414377865620714e-10
