year, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-ESM2, ACCESS-ESM1-5
2.015000000000000000e+03, 1.214603328727140078e-10, 1.427337044491976660e-10, 6.301086681893683605e-14, 2.597039329204360893e-10, 1.206998968187163468e-11, 4.704650846112309587e-10, 2.064208590573373760e-10, 8.329197064823880538e-13, 3.440265472567582971e-12
2.016000000000000000e+03, 1.062526533056004893e-10, 1.576110172953102752e-10, 6.990896396904110880e-14, 2.588638121021357401e-10, 9.839013455341505143e-12, 4.246404196968169056e-10, 2.154883739062967497e-10, 7.316973446015619264e-13, 2.070532890047205877e-11
2.017000000000000000e+03, 1.391300931472072694e-10, 1.609918936400174590e-10, 7.257474513050729070e-14, 2.557832592682207794e-10, 9.602110440974619032e-12, 4.398057685430638639e-10, 2.403428873385165182e-10, 6.516460790571725848e-13, 1.075829062698629143e-11
2.018000000000000000e+03, 1.140340389719422708e-10, 1.739812375129648251e-10, 6.429650155184235146e-14, 2.519156952415870908e-10, 9.395964779389809354e-12, 4.306456220740587469e-10, 2.211015676141591134e-10, 5.882785303930453826e-13, 6.903281612766368885e-12
2.019000000000000000e+03, 1.112921767516319585e-10, 1.884100383677578389e-10, 7.640455820552525862e-14, 2.541558531882947238e-10, 8.447526775869830709e-12, 4.443056462835992564e-10, 1.917698560242362318e-10, 5.380841303726751243e-13, 5.314581588884673957e-12
2.020000000000000000e+03, 1.185031634522199008e-10, 1.736303837338582708e-10, 7.221829332029402908e-14, 2.540651095483631750e-10, 7.483005848555756854e-12, 4.320775202466695356e-10, 2.075906055091614206e-10, 4.973222239099147087e-13, 4.575105957055034718e-12
2.021000000000000000e+03, 1.256306878695152761e-10, 1.897037870371466619e-10, 5.946388926573608228e-14, 2.521096755215442737e-10, 6.839690369951944241e-12, 4.436593245008883568e-10, 2.194178240332815223e-10, 4.638797894013708835e-13, 4.167810353158927220e-12
2.022000000000000000e+03, 1.413579987733389722e-10, 2.240436036414859337e-10, 7.470682142379276660e-14, 2.538535561988087941e-10, 6.063980172010212097e-12, 4.564788937693615771e-10, 2.075367704805772773e-10, 4.368213637081346750e-13, 3.881725881396912311e-12
2.023000000000000000e+03, 1.177433234581230586e-10, 1.989613576013897011e-10, 8.255600946248429289e-14, 2.564766961168096720e-10, 5.054790853039776668e-12, 5.122131094437421634e-10, 1.888829072801116888e-10, 4.147685265886607141e-13, 3.649723915297908694e-12
2.024000000000000000e+03, 1.323556992511462004e-10, 1.953843534579266706e-10, 8.414966686104820042e-14, 2.594360379513748971e-10, 4.722167250200585533e-12, 4.883697766651638633e-10, 1.891633627535949724e-10, 3.967273847514292491e-13, 3.445693036087144988e-12
2.025000000000000000e+03, 1.166003348844351745e-10, 2.430037308826507327e-10, 5.851366220503065900e-14, 2.596688544910111199e-10, 4.454426686968645246e-12, 4.920299922824630002e-10, 2.013415705987509006e-10, 3.833375971830538302e-13, 3.258175927859931557e-12
2.026000000000000000e+03, 1.107449163458657123e-10, 2.311318016761678640e-10, 3.931212187368260777e-14, 2.612017864129576912e-10, 4.406366154200858686e-12, 4.528425289401938753e-10, 2.014006153803814572e-10, 3.734070351518765059e-13, 3.094683630618367805e-12
2.027000000000000000e+03, 1.397187162998747295e-10, 2.212622496393758134e-10, 3.586149281321053685e-14, 2.626790597277536814e-10, 4.552614320192916608e-12, 4.439522787865825225e-10, 1.935769354721504415e-10, 3.648307013677844631e-13, 2.950310189364972682e-12
2.028000000000000000e+03, 8.759494580658589255e-11, 2.003500782842583861e-10, 5.703081986614619684e-14, 2.626475560737913642e-10, 4.688951072673779036e-12, 5.247302991437999260e-10, 1.978216289260384712e-10, 3.572523994786789504e-13, 2.820258267333839681e-12
2.029000000000000000e+03, 1.208402143141370892e-10, 2.028189001685648189e-10, 4.442232020857065854e-14, 2.634372441294822607e-10, 4.812856312178512341e-12, 4.957089850748189667e-10, 2.044677626829806009e-10, 3.505853899576758661e-13, 2.701918416900532756e-12
2.030000000000000000e+03, 1.381437501766884742e-10, 2.339750031859775959e-10, 2.881294928783680127e-14, 2.656739862501638569e-10, 4.943170275180968364e-12, 5.208434532309573357e-10, 2.129499128468353283e-10, 3.464572802161670781e-13, 2.593808497029878939e-12
2.031000000000000000e+03, 1.619102124719891341e-10, 2.015138148775598687e-10, 2.207579739267737811e-14, 2.621638861012458570e-10, 5.028096097597434243e-12, 5.015830162584319780e-10, 2.396384286157159308e-10, 3.442723526148429725e-13, 2.482857122458311207e-12
2.032000000000000000e+03, 1.537015647155982077e-10, 1.855513183201651350e-10, 1.784250066908465215e-14, 2.585142176643059248e-10, 5.097161750075285818e-12, 4.895670098829072222e-10, 2.391281473354651417e-10, 3.424342901601650762e-13, 2.387125810822704459e-12
2.033000000000000000e+03, 1.301817264577784862e-10, 1.983872664502227085e-10, 1.940099583036899153e-14, 2.579313025650323392e-10, 5.177221081318814364e-12, 5.340547957176244589e-10, 1.963668281520236673e-10, 3.401382678068142868e-13, 2.301650243189268411e-12
2.034000000000000000e+03, 1.624753966563646583e-10, 2.310701906394838478e-10, 3.756898817046827597e-14, 2.605136260702639005e-10, 5.258256632333299365e-12, 4.767641151774090908e-10, 1.750324097360829306e-10, 3.371460505181371954e-13, 2.223979325823790702e-12
2.035000000000000000e+03, 1.440101806658167804e-10, 2.351985407470710492e-10, 4.017321478809202728e-14, 2.624249213332020516e-10, 5.279153125707611780e-12, 4.545575015069832403e-10, 1.972448199913538422e-10, 3.333729509495992121e-13, 2.152992906498503513e-12
2.036000000000000000e+03, 1.151863724158012223e-10, 2.579080648468740880e-10, 3.275278067777781391e-14, 2.619661273191355551e-10, 5.142482103038838736e-12, 4.720838729148002867e-10, 2.258010919959651635e-10, 3.289953660910178881e-13, 2.032505575133168869e-12
2.037000000000000000e+03, 1.232495861935008301e-10, 2.165343844597167907e-10, 3.116952350134897290e-14, 2.588935227594477824e-10, 5.027609999943251109e-12, 5.030024408006774690e-10, 2.272266825017280913e-10, 3.248450806779263637e-13, 3.014285139827479139e-12
2.038000000000000000e+03, 1.657452085711804615e-10, 2.217308814495760276e-10, 3.179956006844613290e-14, 2.587105106198481810e-10, 4.931373906169004005e-12, 5.543191297564201834e-10, 2.269915040674616698e-10, 3.209862955322670662e-13, 2.355401799061651311e-12
2.039000000000000000e+03, 1.471499282969538471e-10, 2.544371444556188442e-10, 3.106498210013359969e-14, 2.619499549519818721e-10, 4.862201098462776769e-12, 5.268720275784061201e-10, 2.373919951124590705e-10, 3.175527300446003989e-13, 3.135145923483621321e-12
2.040000000000000000e+03, 1.271880932075274988e-10, 2.697548892090178881e-10, 4.157934862215334269e-14, 2.633281689414866197e-10, 4.873043912434840787e-12, 4.675347990134089835e-10, 2.404017878924796936e-10, 3.132702139766969341e-13, 2.403254849815738507e-12
2.041000000000000000e+03, 1.239986283821353882e-10, 2.841017750084433721e-10, 4.737576556090768338e-14, 2.632975893365769306e-10, 4.714630304030060141e-12, 5.118880198431289677e-10, 2.435612881819699675e-10, 3.087141250868489787e-13, 2.480235934954548382e-12
2.042000000000000000e+03, 1.796180706319229292e-10, 2.141873458659311272e-10, 4.878919816806825990e-14, 2.637269381928148766e-10, 4.424998077288837761e-12, 4.707391304873982071e-10, 2.431893794960193706e-10, 3.048392272725428202e-13, 2.238304359321402954e-12
2.043000000000000000e+03, 1.486919917503815696e-10, 2.049814639440697091e-10, 6.268935550405676605e-14, 2.668363025147952119e-10, 4.238454377928542567e-12, 4.230207775102322789e-10, 2.213396285359923575e-10, 3.013366898894393484e-13, 2.204157639955242927e-12
2.044000000000000000e+03, 1.586547743015770677e-10, 2.455089116582553505e-10, 6.840121347356752088e-14, 2.686148943080074847e-10, 3.930036440381473210e-12, 4.565241606957065758e-10, 2.217614049068726416e-10, 2.981454353424471867e-13, 2.085615654562589789e-12
2.045000000000000000e+03, 1.279005268252302489e-10, 2.139851583072214572e-10, 6.077882500487924760e-14, 2.684883635587020197e-10, 3.503803744176287624e-12, 4.658992051952999161e-10, 2.244162471100607206e-10, 2.962578141767238704e-13, 2.100541688663554758e-12
2.046000000000000000e+03, 1.729370164926480762e-10, 2.292283602546508115e-10, 5.889263355345824906e-14, 2.679415529682992004e-10, 3.211852907541672973e-12, 5.149047173991069451e-10, 2.179120231818945464e-10, 2.953091171508123145e-13, 1.885647716759922034e-12
2.047000000000000000e+03, 2.075299000000177845e-10, 2.280039251025902727e-10, 6.892144612811026919e-14, 2.664046630061789253e-10, 3.200578750090565539e-12, 4.487071115272166822e-10, 2.125765084857704530e-10, 2.941485502002462543e-13, 1.776520405023174849e-12
2.048000000000000000e+03, 1.880140881441859947e-10, 2.467247231517646572e-10, 8.018548399094562096e-14, 2.630628065121353297e-10, 3.167998520374347236e-12, 4.771811990718195700e-10, 2.309149721427236637e-10, 2.930742695529207771e-13, 1.801946252191163746e-12
2.049000000000000000e+03, 1.383576889598848210e-10, 2.537854004014260376e-10, 7.168669531641804487e-14, 2.614816106457964965e-10, 3.043217496880150796e-12, 4.774908520052366974e-10, 2.493929381733688175e-10, 2.920628685794305610e-13, 1.694254348017283072e-12
2.050000000000000000e+03, 1.944300704476547891e-10, 2.702134289364052417e-10, 6.310624595300109609e-14, 2.626529652775125214e-10, 2.910681744770967735e-12, 5.322175424469972761e-10, 2.278726683557806173e-10, 2.890169052554164347e-13, 1.628417378401342790e-12
2.051000000000000000e+03, 1.757193703053348013e-10, 2.284882277254828614e-10, 4.958701859511936209e-14, 2.692375775207404743e-10, 2.954590407200326992e-12, 5.621234032447250029e-10, 2.231524965711689298e-10, 2.807668676888042508e-13, 1.595997247426411795e-12
2.052000000000000000e+03, 1.747197089671269623e-10, 2.471238769627402738e-10, 4.083570725447766993e-14, 2.735734322030595883e-10, 2.869270922908051426e-12, 4.894616391647841022e-10, 2.389624110887243202e-10, 2.701783298546906107e-13, 1.603178338651759631e-12
2.053000000000000000e+03, 1.935576508418980965e-10, 2.240979695618759673e-10, 3.725459831886868931e-14, 2.690839512339913808e-10, 2.777075745521358697e-12, 4.967548848757661698e-10, 2.268564914068988830e-10, 2.614043994411770360e-13, 1.553987884440394338e-12
2.054000000000000000e+03, 1.276667511106656786e-10, 2.300775396147004051e-10, 2.866797472295960834e-14, 2.675975319783535968e-10, 2.755358915352877536e-12, 5.090492310430402151e-10, 2.269507747217885450e-10, 2.542362361282417537e-13, 1.554538435800577894e-12
2.055000000000000000e+03, 1.324594588144785930e-10, 3.049877694837770947e-10, 2.640947222425959800e-14, 2.689617737007293348e-10, 2.737554505313328381e-12, 5.101520640139298182e-10, 2.283667272072865111e-10, 2.611358639991719343e-13, 1.503384851942812367e-12
2.056000000000000000e+03, 1.425826728075065917e-10, 2.428764798479827402e-10, 3.635267180265806009e-14, 2.751259384984602570e-10, 2.649125104706805957e-12, 4.967782962622709655e-10, 2.331648971346682370e-10, 2.789942274833283449e-13, 2.816066821290006823e-12
2.057000000000000000e+03, 1.694185018656257465e-10, 2.213031259812692536e-10, 2.946102478941622553e-14, 2.766634211064776174e-10, 2.510242690110119502e-12, 5.519861593228761850e-10, 2.231232117103340871e-10, 2.925658084257214793e-13, 3.186271986918277408e-12
2.058000000000000000e+03, 1.403454913429137202e-10, 2.490170174472752853e-10, 1.903385099626370514e-14, 2.722931782787888275e-10, 2.372793057556722798e-12, 5.617495853907486039e-10, 2.101040231647558756e-10, 3.021085869206934230e-13, 3.388862604295262202e-12
2.059000000000000000e+03, 1.842496069315785888e-10, 2.158881582520987756e-10, 2.004587380820698560e-14, 2.730499724340482535e-10, 2.248279358048923579e-12, 4.918080000202819143e-10, 2.058899536870697276e-10, 3.090422936567944813e-13, 3.524173472298656224e-12
2.060000000000000000e+03, 1.381199040100511813e-10, 2.213592416544427793e-10, 2.366377838184598029e-14, 2.738899273985986790e-10, 2.132013225029435759e-12, 5.452369284903502434e-10, 2.177306854911519387e-10, 3.037192839088367044e-13, 3.630781904874427817e-12
2.061000000000000000e+03, 1.985004865822898847e-10, 2.073638507229534073e-10, 1.725690580582966215e-14, 2.727988281449007430e-10, 2.133612015564633673e-12, 5.276035551039986618e-10, 2.468490564578561566e-10, 2.885512676370312047e-13, 2.533583859917067955e-12
2.062000000000000000e+03, 2.221045960936372115e-10, 2.042078386104668054e-10, 1.521735772465363843e-14, 2.738116960164879382e-10, 2.085565006192424224e-12, 5.087817400952848696e-10, 2.392971118901424824e-10, 2.751658395958058168e-13, 2.081567807321091185e-12
2.063000000000000000e+03, 1.379891234351535325e-10, 2.660587193236169410e-10, 2.768648659961656764e-14, 2.739858239669121246e-10, 2.005846082341690940e-12, 5.428758977893445379e-10, 1.998734134733061318e-10, 2.641698669112877108e-13, 1.871044411551417097e-12
2.064000000000000000e+03, 1.709915013932811897e-10, 2.831982470990261253e-10, 3.423026771660822508e-14, 2.747333683843055502e-10, 1.934077297911820743e-12, 5.113882086447204188e-10, 2.156630823268556534e-10, 2.555252132966732643e-13, 1.753018641588393651e-12
2.065000000000000000e+03, 1.279445045701166485e-10, 3.350278122948724488e-10, 2.176967482970136420e-14, 2.740654825247934494e-10, 1.853205411242659331e-12, 4.790666433786515807e-10, 2.334509769303988980e-10, 2.482287463887386428e-13, 1.672549185368414644e-12
2.066000000000000000e+03, 9.948238381480613372e-11, 2.695547674452829378e-10, 1.359917756146325008e-14, 2.755576402936038398e-10, 1.810362369119708260e-12, 5.052375301387183574e-10, 2.320181464083149294e-10, 2.423087021411364282e-13, 1.653759090704352989e-12
2.067000000000000000e+03, 1.664138051073674906e-10, 2.486818016942257145e-10, 1.447135588336380633e-14, 2.797502989778221906e-10, 1.997359004886945205e-12, 5.117679992823348593e-10, 2.306298433925008220e-10, 2.369883580578425008e-13, 1.618715204489719320e-12
2.068000000000000000e+03, 1.917731389245215882e-10, 2.748303544658300772e-10, 1.553941252650165052e-14, 2.834558799644560192e-10, 2.160201335901077232e-12, 5.272339119990248391e-10, 2.341470231708080993e-10, 2.316485735747408574e-13, 1.579809598905649624e-12
2.069000000000000000e+03, 1.829890868862085655e-10, 2.872253783423767317e-10, 1.391039831652626056e-14, 2.853866909223566067e-10, 2.312235898492620355e-12, 5.511972550133701264e-10, 2.322591865438602826e-10, 2.347582782494825204e-13, 1.541357520287290722e-12
2.070000000000000000e+03, 2.010132788326296176e-10, 2.264399712547439293e-10, 2.157249920122848790e-14, 2.838209999490061934e-10, 2.456883456815929777e-12, 5.503033924045870097e-10, 2.329055828800294622e-10, 2.470105771473136681e-13, 1.504788913858991983e-12
2.071000000000000000e+03, 1.507016694406888023e-10, 2.480181758160808052e-10, 2.910352843088461057e-14, 2.746125139494358315e-10, 2.647113034148102754e-12, 5.129451771422405026e-10, 2.358479552942300638e-10, 2.597872385368217915e-13, 1.468628117884997986e-12
2.072000000000000000e+03, 1.219643330730622770e-10, 3.017110099380757464e-10, 1.997012961541866290e-14, 2.677878477089859297e-10, 2.888372893804545851e-12, 5.022774330636913635e-10, 2.396590599300650616e-10, 2.686423501955139604e-13, 1.435777464932359242e-12
2.073000000000000000e+03, 1.465991145930728171e-10, 2.569065807851714806e-10, 1.113144445298725934e-14, 2.631226771666390815e-10, 3.123096981891869502e-12, 5.504565547510534160e-10, 2.388541665359001740e-10, 2.901023023747292741e-13, 1.405470156350843290e-12
2.074000000000000000e+03, 1.797470968780868619e-10, 2.486548418077848413e-10, 7.789834827738233753e-15, 2.641729674564071822e-10, 3.356951135210032464e-12, 5.192932205390177141e-10, 2.249122450258266198e-10, 3.149952966329247475e-13, 1.378225235366674091e-12
2.075000000000000000e+03, 1.378916438066506101e-10, 2.939454659918923473e-10, 1.313996037313449677e-14, 2.658331590181062299e-10, 3.586152074567788848e-12, 4.947603586127213394e-10, 2.214780645373173854e-10, 3.400284293074740903e-13, 1.352340887789919715e-12
