year, NorESM2-LM, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, INM-CM5-0, GFDL-ESM4, TaiESM1, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg
2.015000000000000000e+03, 1.688417704789821228e+00, 1.936064430891728083e+00, 2.980442522557336105e+00, 3.230311509381900148e+00, 1.939353029012955254e+00, 3.254831908286948572e+00, 1.377427833480493469e+00, 1.281837710074764214e+00, 1.973875120939248662e+00, 1.770300353931673509e+00, 1.599768805705132024e+00, 1.226472568258560658e+00, 1.799766472201910217e+00, 1.970283927614867814e+00, 2.638742951898909173e+00, 5.982887022037082225e+00
2.016000000000000000e+03, 1.452529570899260492e+00, 1.801644172201916971e+00, 2.938228254500883097e+00, 3.962925676665929764e+00, 1.998908841185991880e+00, 3.234280069292572168e+00, 1.435107494526122407e+00, 1.136648611420297161e+00, 2.037134919619070228e+00, 1.845717799484521970e+00, 1.499018895262442808e+00, 1.444379340189575478e+00, 1.486619973153558538e+00, 1.959159291439340977e+00, 2.752797557126017480e+00, 5.073304449687986661e+00
2.017000000000000000e+03, 1.609084993814367648e+00, 1.699005464896176765e+00, 3.049866149828911688e+00, 3.542868391708412279e+00, 1.810840793696576911e+00, 2.902388434403805562e+00, 1.422584242155955359e+00, 1.259297206780266354e+00, 1.976763826945204139e+00, 1.789698591114924353e+00, 1.560573148089457574e+00, 1.313587734529494178e+00, 1.465044039493784700e+00, 1.909859390182998329e+00, 2.858652118516714857e+00, 5.611565597607513389e+00
2.018000000000000000e+03, 1.677030795572957311e+00, 1.716902735925702306e+00, 2.917948646385598366e+00, 2.860594355057584082e+00, 2.375043814958168298e+00, 2.950419865534699593e+00, 1.263045477864819244e+00, 1.357896450589286985e+00, 2.033916890251049381e+00, 1.776373656214772057e+00, 1.617590623729255217e+00, 1.228758941754946488e+00, 1.406289372125143489e+00, 1.936978986788589818e+00, 2.761676767037117841e+00, 5.853330981055656856e+00
2.019000000000000000e+03, 1.555746396192818626e+00, 2.118593198438179837e+00, 2.920813856656223617e+00, 2.913193086797300158e+00, 1.916085564562969079e+00, 3.341745759591252529e+00, 1.347734941138625908e+00, 1.369925132179988791e+00, 2.186194911642620475e+00, 1.720510173548924548e+00, 1.596412750736243780e+00, 1.221048426374696350e+00, 1.923209384604276151e+00, 2.079037894962734612e+00, 2.371619104507470599e+00, 6.932034025209919292e+00
2.020000000000000000e+03, 1.556906626067033672e+00, 1.481133506828667512e+00, 3.040366110134344879e+00, 3.621988069429503465e+00, 2.161990569252763894e+00, 3.395347532986881411e+00, 1.469264267003667968e+00, 1.284399809976160212e+00, 1.775612922740938293e+00, 2.127701339016929705e+00, 1.506529873347605131e+00, 1.276716732894457751e+00, 1.367782966127099042e+00, 1.996593299963695500e+00, 2.358676721827840606e+00, 5.986113315492151088e+00
2.021000000000000000e+03, 1.836406090581192974e+00, 2.060013208468998602e+00, 2.843136283011213017e+00, 3.539559300202770764e+00, 2.217323106938978050e+00, 3.364930814950243931e+00, 1.485851999245173527e+00, 1.249867242278091428e+00, 2.064980726366090646e+00, 1.995171292373693506e+00, 1.619870590937527055e+00, 1.325189670591975899e+00, 1.628726062709998423e+00, 2.179919843604167795e+00, 2.529543737626308353e+00, 6.357659118514676244e+00
2.022000000000000000e+03, 1.719095841177055606e+00, 2.078539888996953522e+00, 2.983253551008197224e+00, 2.939920987953830167e+00, 1.933221296783604659e+00, 2.873598953987130056e+00, 1.390066955761097178e+00, 1.187295137127408973e+00, 2.084188310236229302e+00, 2.105725420173813145e+00, 1.670635731804642088e+00, 1.321671314767019378e+00, 1.825548118873881576e+00, 2.165883107059604740e+00, 2.476207756335182530e+00, 5.548728194439617845e+00
2.023000000000000000e+03, 1.859697822145488511e+00, 2.211146366119888018e+00, 3.107654177760003744e+00, 2.772988500254311983e+00, 1.909905019965393747e+00, 3.077780999118141292e+00, 1.412683895264795098e+00, 1.267559540619578984e+00, 1.957132706621389051e+00, 1.481865719855344654e+00, 1.829595398265013939e+00, 1.296093753774681279e+00, 1.703011053746875891e+00, 2.072459905904410427e+00, 2.454391589033815713e+00, 5.977429341241580651e+00
2.024000000000000000e+03, 1.754918967176391620e+00, 2.014320103363387737e+00, 3.105593144522355242e+00, 3.129115836418528307e+00, 1.959735358405108041e+00, 2.987457953412957501e+00, 1.375014194042045723e+00, 1.252989938130182335e+00, 2.232934785671024436e+00, 1.878695908508434709e+00, 1.681444709993758613e+00, 1.176630906231834972e+00, 1.726728448410101757e+00, 1.958359386996751494e+00, 2.451017420908452316e+00, 5.889028707814683017e+00
