year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, CMCC-ESM2, INM-CM4-8, EC-Earth3-Veg, MIROC-ES2L, NorESM2-MM, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR
2.015000000000000000e+03, 4.409231257964552064e-01, 5.634111238771037922e-01, 3.224415690611557306e-01, 3.582682289485360494e-01, 6.106939521396052006e-01, 1.904105613180838985e-01, 3.233396548414309013e-01, 3.425008683113237029e-01, 1.964834098180196220e-01, 5.156782710146319282e-01, 7.578131559066536571e-01, 2.069943175157296089e-01, 2.870736127449661779e-01, 2.680522014805348796e-01, 9.781999150035736168e-01, 2.316490457391853774e-01
2.016000000000000000e+03, 4.564527973210499856e-01, 5.838529124333906584e-01, 2.668821378507041375e-01, 3.787398557247740882e-01, 6.188097374408990659e-01, 1.857077385145290138e-01, 3.444877441927745032e-01, 3.335746927728932554e-01, 1.933423743730428579e-01, 5.445567331136597078e-01, 7.429898547231426065e-01, 2.093036518984700001e-01, 3.259784695945807109e-01, 2.455998164825356211e-01, 9.821678228159486101e-01, 2.264827077849307091e-01
2.017000000000000000e+03, 4.113508786277040308e-01, 5.690994120538227508e-01, 3.056328334362156673e-01, 3.723318834344589989e-01, 5.794473237106840813e-01, 1.928566784942692958e-01, 3.561963627075337979e-01, 3.297948051106350809e-01, 2.347752613432346480e-01, 5.619357984972974673e-01, 7.018083835905046808e-01, 1.973641962459505572e-01, 3.264026604939319065e-01, 2.603718393052305013e-01, 9.454522612850388974e-01, 2.306395159717412879e-01
2.018000000000000000e+03, 4.952873097661895097e-01, 5.609941495940943268e-01, 3.109765789368493794e-01, 3.486250331137550895e-01, 5.869574886137842729e-01, 1.860871696977025314e-01, 3.842606918569783647e-01, 3.400311276148867412e-01, 2.414964169072098821e-01, 5.498469994615130529e-01, 7.738055428667225399e-01, 1.908746247102802718e-01, 3.157816375606247727e-01, 2.875140547623068477e-01, 9.363894265260198635e-01, 2.375619928432211592e-01
2.019000000000000000e+03, 4.385845809423962738e-01, 5.450887421673281663e-01, 2.998888704140691974e-01, 3.549202772086414437e-01, 6.280109623704487332e-01, 1.837377912302630700e-01, 3.925569028623832613e-01, 3.528317637667605644e-01, 2.481629448594304121e-01, 4.994281038543466611e-01, 9.017388219922503056e-01, 2.156509774953232206e-01, 3.153210626585226661e-01, 3.031310136639489006e-01, 1.014031759366638807e+00, 2.403099743419473411e-01
2.020000000000000000e+03, 4.713615100567954963e-01, 5.820492158501904267e-01, 2.958590019878267752e-01, 3.682088670134875952e-01, 6.346731362641765406e-01, 1.916930372616174327e-01, 3.434939569068203302e-01, 3.465048203622633216e-01, 2.394551462742188774e-01, 4.827791810308689757e-01, 9.324699639687177299e-01, 2.087883162374406243e-01, 3.895045983537392398e-01, 2.968980256842091436e-01, 9.437897757455299130e-01, 2.267072912263230489e-01
2.021000000000000000e+03, 4.814676019985446032e-01, 5.797493222677494451e-01, 3.372145833212544797e-01, 3.716308477383435394e-01, 6.410345552123243307e-01, 1.784733590345954635e-01, 3.700582945746994090e-01, 3.642359183315322935e-01, 2.328752282457415557e-01, 4.895183073080551783e-01, 8.117701365426461813e-01, 2.053935252203726580e-01, 3.801030426560103037e-01, 2.790608758376714182e-01, 1.004159609571415146e+00, 2.327677165589834840e-01
2.022000000000000000e+03, 4.446432627733258869e-01, 5.540760760341195690e-01, 3.289917870167111680e-01, 3.598371302773731850e-01, 5.711830504968857802e-01, 1.874408714058534708e-01, 3.658120589408900281e-01, 3.707167883883460413e-01, 2.027279868798403106e-01, 4.990867299002407775e-01, 7.613282903487871289e-01, 2.090471404971740998e-01, 3.924159293060191511e-01, 2.425798244697481565e-01, 1.014081355091849712e+00, 2.464531364226089094e-01
2.023000000000000000e+03, 4.456170872144450956e-01, 5.273690824364427598e-01, 3.400358301085917856e-01, 3.620630310936333029e-01, 6.120528734390353609e-01, 1.971864586983058110e-01, 3.444674984075427049e-01, 3.580736093501379336e-01, 1.790349263235292421e-01, 4.884536227832115274e-01, 7.423764971973396687e-01, 2.108277724637587502e-01, 2.692302342495253575e-01, 2.521337823202333128e-01, 1.018306085154742968e+00, 2.604680976401443915e-01
2.024000000000000000e+03, 4.400856281208760934e-01, 5.405338157904826524e-01, 3.250270348193687875e-01, 3.642528318212929772e-01, 5.886926828500397280e-01, 1.968999812403776917e-01, 4.109036712959689419e-01, 3.312901952955750184e-01, 2.091080017028522919e-01, 5.041298114915592210e-01, 7.818472460091824283e-01, 2.154273584580774226e-01, 3.134409964938612569e-01, 2.519905331950716421e-01, 9.941107451332023004e-01, 2.484229558657374271e-01
2.025000000000000000e+03, 4.754011567208579203e-01, 5.670071527710565107e-01, 3.349588193828021976e-01, 3.630479018084736831e-01, 5.311009955015008055e-01, 1.971039539595747792e-01, 4.274491785978321023e-01, 3.189069594137787789e-01, 2.680544032043105651e-01, 4.964119985936730761e-01, 8.090872760049897527e-01, 2.022608737522521016e-01, 3.579938982699603089e-01, 2.350527215564864325e-01, 9.458817895693570899e-01, 2.473627393001911756e-01
2.026000000000000000e+03, 4.463125977550140844e-01, 5.494070104843866709e-01, 3.625502900611840551e-01, 3.711614164501525481e-01, 6.000759295334625598e-01, 1.944996351599243833e-01, 3.469740820092072631e-01, 3.243273546061421486e-01, 2.410498546344155835e-01, 4.617771212260667890e-01, 8.781460783476340293e-01, 2.140357285014482525e-01, 3.785523175744815449e-01, 2.588705868855496472e-01, 9.487851213074931511e-01, 2.289938623981768451e-01
