year, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, NorESM2-LM, MIROC-ES2L, CanESM5
2.015000000000000000e+03, 1.224904269776096788e+00, 5.003469909478153177e-01, 1.142360169731585717e+00, 7.709495119639135918e-01, 9.497626275926707162e-01, 4.799071693237258462e-01, 1.814010980683506746e+00, 5.398724198472836244e-01, 9.981246517187953859e-01, 6.101045787455177116e-01, 6.054974276852480575e-01, 5.673284373555559368e-01, 7.514295934399465304e-01, 1.978002020552709350e+00
2.016000000000000000e+03, 1.388057799269445169e+00, 5.288393862958162828e-01, 1.180959361546930930e+00, 7.534905544465830829e-01, 9.342146820695133025e-01, 5.076405390655387428e-01, 1.666912105350017992e+00, 5.342310635048881373e-01, 9.157558727581193159e-01, 5.985382487452862721e-01, 5.823020894741406384e-01, 5.643535952647237286e-01, 7.223682748990423175e-01, 1.894634158159790305e+00
2.017000000000000000e+03, 1.249122252031192426e+00, 5.274973510877947191e-01, 1.152874939777458918e+00, 7.008561247355432622e-01, 9.401993319051519249e-01, 4.807501523415106948e-01, 1.732235455755000153e+00, 5.500644332886018839e-01, 9.124624192396334488e-01, 6.039396870842625997e-01, 6.240199284906857713e-01, 5.635255310841554843e-01, 7.137441810520929186e-01, 2.044962174354256756e+00
2.018000000000000000e+03, 1.079174972001725852e+00, 4.930563818814354682e-01, 1.139868231625149830e+00, 8.336549725805504352e-01, 1.080735021500696558e+00, 5.029636343891356054e-01, 1.711305449070342766e+00, 5.576662159913663430e-01, 9.552824618914543819e-01, 6.445285123116710757e-01, 6.733210008158629911e-01, 5.967908139338957696e-01, 7.193618253843948596e-01, 1.884797831543591151e+00
2.019000000000000000e+03, 1.111768973639254199e+00, 5.113912345786605362e-01, 1.139022787459414987e+00, 7.458813302800116896e-01, 9.638049978588917321e-01, 5.033692051183275007e-01, 1.621972932853533056e+00, 5.681091882946426308e-01, 1.033992471605952090e+00, 6.477202668962395160e-01, 6.583705491426478096e-01, 5.379228864858165426e-01, 7.420692389575689329e-01, 1.894404918156274098e+00
2.020000000000000000e+03, 1.342158366938811742e+00, 5.127601741587196615e-01, 1.116530715219778980e+00, 6.521694625463545503e-01, 1.014220523238109406e+00, 5.493540650759368704e-01, 1.766794401232544054e+00, 5.522234099357834491e-01, 9.139484099099733916e-01, 6.262338433886980305e-01, 7.666247373694473621e-01, 5.833451164426430857e-01, 7.414591029316489612e-01, 1.902045711527458938e+00
2.021000000000000000e+03, 1.224578465458191712e+00, 5.353527014597397882e-01, 1.174868081783827289e+00, 7.940971147624521498e-01, 1.015434555878626188e+00, 5.095170593268675274e-01, 1.914876132099010864e+00, 5.505661384357947163e-01, 9.680586018310509688e-01, 6.431874033115534406e-01, 7.017323521881915216e-01, 6.148656809716569471e-01, 7.504017916386623854e-01, 1.873518173128448483e+00
2.022000000000000000e+03, 1.066668717123674170e+00, 5.175331482132063954e-01, 1.196258477096389994e+00, 7.681351785919530162e-01, 9.804233526521016762e-01, 5.222029498840449202e-01, 1.938931561923989744e+00, 5.755487536726818787e-01, 1.027396467745641750e+00, 6.348136350205397793e-01, 6.544201290600442089e-01, 6.427671851425641458e-01, 7.515428391768457228e-01, 1.913482202856865877e+00
2.023000000000000000e+03, 1.104342842554399517e+00, 5.175003603889405390e-01, 1.196668367265161237e+00, 7.241570257321964244e-01, 9.732199934002319086e-01, 5.041774667129593768e-01, 1.911528591362886775e+00, 5.831467265509231446e-01, 1.026810629078801718e+00, 6.496510420802841246e-01, 6.428334454665906028e-01, 6.555531028372457714e-01, 7.520768920435770832e-01, 2.074337148999893632e+00
2.024000000000000000e+03, 1.030938319732968678e+00, 5.154827818356515490e-01, 1.211666513085808639e+00, 8.395560822068486306e-01, 9.981217738768440872e-01, 5.241990124076820745e-01, 1.702550666232910181e+00, 5.867690820004498597e-01, 1.002706415059792189e+00, 5.899054751579967393e-01, 7.328423846853213686e-01, 6.269644014615675109e-01, 7.619729306617808451e-01, 1.984451929548344040e+00
2.025000000000000000e+03, 1.190882211437338967e+00, 5.343089252652846177e-01, 1.164495243342196229e+00, 7.982131681062147877e-01, 1.019003917284778238e+00, 5.168296546269685043e-01, 1.770226244895146461e+00, 5.968917733372839374e-01, 9.071439565479062495e-01, 6.211764703328392923e-01, 7.659172056318307442e-01, 6.464482295723100735e-01, 7.636363582075851308e-01, 2.031344210235358716e+00
2.026000000000000000e+03, 1.095554210243754767e+00, 5.265668136674994670e-01, 1.140273188825321915e+00, 7.482328029238236589e-01, 1.013091678819649122e+00, 5.052215328154113783e-01, 1.889508975745053831e+00, 5.517898166333763399e-01, 9.912319405435836561e-01, 6.551429548791407598e-01, 7.060427467105157007e-01, 6.757208696924502656e-01, 7.358313502063619227e-01, 2.096166355463620512e+00
2.027000000000000000e+03, 1.132341623120008967e+00, 5.163221794799677244e-01, 1.163749352326262976e+00, 7.611949994863829172e-01, 1.011958158103473338e+00, 5.207596793079699582e-01, 1.921822454703630001e+00, 5.805417493626082726e-01, 1.119747939820812332e+00, 6.374051613404989602e-01, 7.244380614301566546e-01, 6.497133406191705207e-01, 7.490178148703920957e-01, 1.996762770319780111e+00
2.028000000000000000e+03, 1.181915738719780951e+00, 5.280064939842581406e-01, 1.148853859137507483e+00, 8.232767687769495524e-01, 1.037852685419240695e+00, 5.160939513029684234e-01, 1.928328256756202563e+00, 5.958192649299314247e-01, 1.086548191597850987e+00, 6.207498507198256910e-01, 7.580586710716028520e-01, 5.885800830601324307e-01, 7.499966780525939569e-01, 2.060418001403394594e+00
2.029000000000000000e+03, 1.271339732624817032e+00, 5.333330953934249941e-01, 1.167835052672953289e+00, 8.331637000009669558e-01, 9.308097719425399985e-01, 5.256097906815743181e-01, 2.047096259574309851e+00, 6.248674422164022246e-01, 9.432234434195350126e-01, 6.355694347841569503e-01, 6.731101236901280149e-01, 6.362001178153249281e-01, 7.914826477723170273e-01, 2.117575528387900974e+00
2.030000000000000000e+03, 1.460407086337209837e+00, 5.686590163111048257e-01, 1.190837965454680569e+00, 8.522358177606590424e-01, 1.007710457910575563e+00, 5.692226495119677709e-01, 1.765568401496827589e+00, 6.404608622045371291e-01, 9.818833824045176684e-01, 6.300558374627936997e-01, 7.067532021732354508e-01, 5.941675597330141612e-01, 7.421571631936265678e-01, 2.063097572882782504e+00
2.031000000000000000e+03, 1.371051544534483968e+00, 5.680307837863884934e-01, 1.187259805978551075e+00, 6.834581886240831405e-01, 1.139815810378437488e+00, 5.268800981398908956e-01, 1.709012091040812198e+00, 6.574014459138494137e-01, 1.037390210454141926e+00, 6.976496502182962800e-01, 7.819715659609433045e-01, 6.246249449014099620e-01, 7.622169691106921441e-01, 2.082968731360412828e+00
2.032000000000000000e+03, 1.151578823325634993e+00, 5.685441422626250629e-01, 1.191491827435539497e+00, 8.794746267095706616e-01, 1.075362498106148923e+00, 5.222816259286078289e-01, 1.956233461794670836e+00, 6.163604796665119734e-01, 1.023858026462371118e+00, 6.139434816900339875e-01, 6.938476173429367622e-01, 7.121602150526977759e-01, 7.527879025210216790e-01, 2.023567798155071706e+00
2.033000000000000000e+03, 9.777833783415930125e-01, 5.989009128267549498e-01, 1.179501585027843635e+00, 8.928763990231006753e-01, 1.001456802710818605e+00, 5.270653045931873448e-01, 2.081244552392515601e+00, 6.266424370035218461e-01, 1.067169753002363608e+00, 6.681605462682341789e-01, 6.678969881305529821e-01, 5.707833028427723443e-01, 7.634604958361506100e-01, 2.017852626170735686e+00
2.034000000000000000e+03, 1.120897478468423580e+00, 5.983749057618179545e-01, 1.185557577231930004e+00, 8.613013545847517660e-01, 1.033650247765903529e+00, 5.163832132539954989e-01, 1.922295990516850184e+00, 6.304653222323879369e-01, 1.139832611681755203e+00, 6.775351242151573805e-01, 6.950227095244438935e-01, 5.909082086174701764e-01, 7.627690877350474796e-01, 2.189035063005956516e+00
