year, UKESM1-0-LL, INM-CM4-8, CMCC-CM2-SR5, CanESM5, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.896378048686036664e+02, 2.892433066981963066e+02, 2.904572928578914457e+02, 2.886188833713086979e+02, 2.880311725452511951e+02, 2.904122814877935639e+02, 2.914936612485775527e+02, 2.888106446349402177e+02, 2.886891352942299704e+02, 2.887645524486862882e+02, 2.903568432433391422e+02, 2.933328250486885622e+02, 2.893350622667090875e+02, 2.886510048146173517e+02, 2.911015198249112927e+02, 2.897203442208763136e+02
2.016000000000000000e+03, 2.891379683236887672e+02, 2.893260691353761445e+02, 2.909448229833633945e+02, 2.888289939761355640e+02, 2.872175478029865303e+02, 2.906614937988101701e+02, 2.913793019754432976e+02, 2.894024621592815265e+02, 2.891306161884451171e+02, 2.891889351915440898e+02, 2.907307575174655767e+02, 2.925667886734946137e+02, 2.900336239971488226e+02, 2.889821156752954039e+02, 2.906619401229277173e+02, 2.899991758597257672e+02
2.017000000000000000e+03, 2.888888119634227678e+02, 2.898737030072663288e+02, 2.912358539179926424e+02, 2.900276197948127219e+02, 2.876404126018329634e+02, 2.898883892540051761e+02, 2.911773407774497286e+02, 2.890097104195399424e+02, 2.886021000397809644e+02, 2.889432599340763659e+02, 2.914794316187665686e+02, 2.923897261429391961e+02, 2.899716645699249398e+02, 2.888849703118024763e+02, 2.907623085947388404e+02, 2.900414480528014565e+02
2.018000000000000000e+03, 2.897266513788871407e+02, 2.895796741634185878e+02, 2.907775528565666150e+02, 2.892480928081510569e+02, 2.881726870117632870e+02, 2.894831193816791597e+02, 2.915618847137838543e+02, 2.891018911469595878e+02, 2.888388497697552566e+02, 2.890148324660625576e+02, 2.912010216759130685e+02, 2.921430653262021337e+02, 2.896356230527409252e+02, 2.894510179149734768e+02, 2.911543167029079768e+02, 2.900568605202074650e+02
2.019000000000000000e+03, 2.897099441397231772e+02, 2.889681250688298064e+02, 2.908876294500645372e+02, 2.888419837675313602e+02, 2.875809439626428343e+02, 2.903062682005492547e+02, 2.908303277888851994e+02, 2.891056171597264779e+02, 2.888405725970000617e+02, 2.889457566202175940e+02, 2.911291076970629206e+02, 2.927044067746652445e+02, 2.898571077473072251e+02, 2.890679468981550713e+02, 2.910516560513871696e+02, 2.906981963912160154e+02
2.020000000000000000e+03, 2.903334044836863086e+02, 2.897860009367715293e+02, 2.912516743086177371e+02, 2.895434008494606246e+02, 2.877384707755547311e+02, 2.901934555439153200e+02, 2.911517902096370563e+02, 2.886463836308346913e+02, 2.892877920929749394e+02, 2.889003657044726765e+02, 2.912786982307467269e+02, 2.928981237493316598e+02, 2.890142138983030691e+02, 2.898135407326922746e+02, 2.909594652824602576e+02, 2.899657906679111647e+02
2.021000000000000000e+03, 2.895009991962257345e+02, 2.891951547701540335e+02, 2.911544708483730801e+02, 2.881151986948247554e+02, 2.882594666571926041e+02, 2.905307412056292833e+02, 2.910453528068164815e+02, 2.895871093100506073e+02, 2.895393787370362020e+02, 2.891823189268756096e+02, 2.916039207489711771e+02, 2.929549151458857636e+02, 2.898287020237522711e+02, 2.895490449736723235e+02, 2.904046317325231712e+02, 2.904860610224160382e+02
2.022000000000000000e+03, 2.896487216048728328e+02, 2.894325025664829241e+02, 2.907609099689267964e+02, 2.890754047666192719e+02, 2.884417378233977729e+02, 2.896228800766472773e+02, 2.908334858298452446e+02, 2.893727963377654078e+02, 2.885728257422441061e+02, 2.889208095034144890e+02, 2.906512689918671981e+02, 2.928850682069273148e+02, 2.901627898910318777e+02, 2.895064357688273162e+02, 2.908199335004709383e+02, 2.907045083777999821e+02
2.023000000000000000e+03, 2.892730128960978391e+02, 2.893352671661089630e+02, 2.906681341865484569e+02, 2.901945274531469181e+02, 2.886693962225610335e+02, 2.901793427995433490e+02, 2.909113806273085174e+02, 2.897193370490439293e+02, 2.887872648148753569e+02, 2.892968253794771272e+02, 2.910051964887478562e+02, 2.930936610163502110e+02, 2.895557394048037168e+02, 2.887833504864610745e+02, 2.913619440516132499e+02, 2.903532634387862572e+02
2.024000000000000000e+03, 2.899756834547400217e+02, 2.894790914192432751e+02, 2.902953637615211733e+02, 2.900400176327233908e+02, 2.886619920925249403e+02, 2.912424692775517769e+02, 2.915177703357024939e+02, 2.900659296066467618e+02, 2.891845496962043853e+02, 2.885506288385686844e+02, 2.912504561526051816e+02, 2.930626573253299512e+02, 2.895745733508830995e+02, 2.897518768920413663e+02, 2.913118342811143862e+02, 2.903132790887641477e+02
2.025000000000000000e+03, 2.900650537699989968e+02, 2.895688442119154615e+02, 2.907205277615705086e+02, 2.901030894661030857e+02, 2.883477413944696082e+02, 2.910147104083928866e+02, 2.917408804753710001e+02, 2.899110196488741735e+02, 2.895064458153899523e+02, 2.896190501896803653e+02, 2.911296070825017068e+02, 2.931123023600045485e+02, 2.898508816791601816e+02, 2.896638080577964729e+02, 2.914732874436608654e+02, 2.900540713785618436e+02
2.026000000000000000e+03, 2.901904012361793548e+02, 2.892631144940227159e+02, 2.908882487464991868e+02, 2.895186181193464563e+02, 2.878690803854334490e+02, 2.902211644978875142e+02, 2.913861634632154960e+02, 2.895489993643141702e+02, 2.893493159265054828e+02, 2.900818363821534831e+02, 2.927676704701113408e+02, 2.929648083555891844e+02, 2.896102307384412029e+02, 2.889554436725749156e+02, 2.907818534942489350e+02, 2.905685792777367737e+02
2.027000000000000000e+03, 2.911835853657658504e+02, 2.894806919564532564e+02, 2.906755329710036335e+02, 2.892039338759038287e+02, 2.879135664437050650e+02, 2.902695692592129717e+02, 2.912215079017845483e+02, 2.903084916445415615e+02, 2.896101607071479407e+02, 2.900699096869590221e+02, 2.920348928543592706e+02, 2.925492376471869420e+02, 2.905199469762673630e+02, 2.897567519334169219e+02, 2.916913230760198417e+02, 2.904574640026819452e+02
2.028000000000000000e+03, 2.900940887185695374e+02, 2.898740567795697416e+02, 2.917735414223365069e+02, 2.896765905885235384e+02, 2.883083840494674632e+02, 2.907766924071963217e+02, 2.913730197446770944e+02, 2.893210017288179756e+02, 2.896476791574494314e+02, 2.893445956099846512e+02, 2.916883564071545152e+02, 2.934715558215285114e+02, 2.900653392700024824e+02, 2.896961184066053079e+02, 2.910022814185923039e+02, 2.905644231551182202e+02
