year, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5
2.015000000000000000e+03, 5.622279743125088380e+00, 9.893824718657485695e-01, 2.080712458240468354e+00, 9.353736864332298229e-01, 1.565428434785276268e+00, 4.401720628017521619e+00, 1.088142754636105769e+00, 8.663119853322025499e-01, 8.485734051624523877e-01, 7.787378962968281471e+00, 1.720938024801364208e-01, 1.148577081114578746e+01, 1.799454224568181715e+00
2.016000000000000000e+03, 5.697552261425633091e+00, 8.769906278474390859e-01, 2.071555327381144451e+00, 9.253819779903097453e-01, 1.499773847880795374e+00, 4.395005229797687818e+00, 1.093921434823392325e+00, 8.937341092995982894e-01, 9.121392825405197913e-01, 7.818314940387950607e+00, 1.898708663268526831e-01, 1.153256330520196116e+01, 1.809911528239418477e+00
2.017000000000000000e+03, 5.828765482744071136e+00, 9.074453414094894033e-01, 2.054888092442186842e+00, 9.222367254949884741e-01, 1.565058413215844269e+00, 4.411789158098369690e+00, 1.077047237983489225e+00, 9.102842556078994951e-01, 9.148376980996286711e-01, 7.866425866990838678e+00, 2.200623107392560285e-01, 1.159141685725288617e+01, 1.795735495943967086e+00
2.018000000000000000e+03, 5.888306910905876990e+00, 9.883752172720441376e-01, 2.100514466935979652e+00, 1.027877935289051692e+00, 1.713920491102038923e+00, 4.419177487102194490e+00, 1.097163351450799462e+00, 8.836194026862252970e-01, 9.156922065057511162e-01, 7.901318963515427285e+00, 2.270125000515279545e-01, 1.165398055594820370e+01, 1.776114683691831564e+00
2.019000000000000000e+03, 5.800344790886927449e+00, 1.018012262860604311e+00, 2.119063445771221854e+00, 9.763223349145722096e-01, 1.835739679672738767e+00, 4.436132856849481776e+00, 1.097715379411842829e+00, 8.893541470353161227e-01, 9.539362590025222133e-01, 7.862810908272439114e+00, 1.776453334793912098e-01, 1.168724579689547838e+01, 1.771166825094891983e+00
2.020000000000000000e+03, 5.784279336479379197e+00, 1.058439358304940514e+00, 2.135649445273680058e+00, 8.551692756604047929e-01, 1.567009683243655305e+00, 4.421960254692811176e+00, 1.115161401872136748e+00, 9.869883625432146479e-01, 9.221414890685051269e-01, 7.910838248625508662e+00, 1.945234292410465693e-01, 1.170808632841608699e+01, 1.768045236271849951e+00
2.021000000000000000e+03, 5.882490321525901678e+00, 9.981708173592473976e-01, 2.154627292934319538e+00, 8.964848568699875786e-01, 1.422187424287050250e+00, 4.392575638037522268e+00, 1.131752928509503153e+00, 9.916706407368977017e-01, 9.014274535426546331e-01, 7.961125929890385144e+00, 2.365847927428679776e-01, 1.174949217010357572e+01, 1.749902582980719101e+00
2.022000000000000000e+03, 5.960004217930912063e+00, 9.459421717216688341e-01, 2.161658695937185293e+00, 9.384643901149218870e-01, 1.582914352051895568e+00, 4.345756181677064234e+00, 1.144729773470198442e+00, 1.016323397070804768e+00, 8.834772644628111626e-01, 7.982480946120466214e+00, 2.099537877855667256e-01, 1.176232012194012810e+01, 1.739360952919801306e+00
2.023000000000000000e+03, 5.869694361458922316e+00, 9.258202865828951689e-01, 2.171209701248563828e+00, 1.004687049295675427e+00, 1.699298129842303107e+00, 4.363805527547160779e+00, 1.164697307819997807e+00, 9.476904744785112911e-01, 9.573275667686648172e-01, 7.994053597256615795e+00, 1.956740154146713595e-01, 1.181821282238069060e+01, 1.725570708172177614e+00
2.024000000000000000e+03, 5.750178063967762654e+00, 9.579226881565245932e-01, 2.194896865358144655e+00, 1.053349185866107929e+00, 1.777846409566079755e+00, 4.372311980229738104e+00, 1.156292191569600059e+00, 9.059067430374201368e-01, 9.377089659630544194e-01, 7.951080762056044193e+00, 2.124235117195387434e-01, 1.186747116713083727e+01, 1.735762270790383255e+00
