year, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, NorESM2-MM, MIROC-ES2L, CanESM5, CESM2-WACCM, NorESM2-LM, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, ACCESS-ESM1-5, GFDL-ESM4, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.015000000000000000e+03, 4.463146877816181579e+00, 1.563349815294159173e+00, 1.173859437905810266e+00, 1.490907042973683039e+00, 4.616615604197426670e+00, 4.550049299474363096e+00, 1.617461172821000437e+00, 1.626532670530028701e+00, 7.646879523066646200e+00, 3.870238837554536904e+00, 9.305524690708359969e+00, 5.051178210754156517e+00, 5.092240925925068495e+00, 4.078590080393997397e+00, 2.210698724077467148e+00, 1.811368030637735327e+00
2.016000000000000000e+03, 4.509985687858973691e+00, 1.650825081003101102e+00, 1.238404857968709472e+00, 1.527307374202601986e+00, 4.664270797833502513e+00, 4.556877030018661401e+00, 1.750714618020866142e+00, 1.570068061144070493e+00, 7.653832529135248031e+00, 4.094073439803215031e+00, 9.277908280555491771e+00, 5.073625646550302015e+00, 5.035969748773363008e+00, 4.087106804523725323e+00, 2.275158575671245131e+00, 1.793559834196838843e+00
2.017000000000000000e+03, 4.578262936993032994e+00, 1.598154797098155555e+00, 1.285220254583242738e+00, 1.483948853327612838e+00, 4.703837970029319138e+00, 4.556893960306592106e+00, 1.857267182837284203e+00, 1.547672158561079092e+00, 7.771254058245767204e+00, 4.383851243740048531e+00, 9.201887288873807691e+00, 5.069896604279199082e+00, 5.042392107516145749e+00, 4.151794456286712176e+00, 2.254120671656312247e+00, 1.862381417760826663e+00
2.018000000000000000e+03, 4.545195182904095965e+00, 1.516754934500476715e+00, 1.137007288082526379e+00, 1.525878459376356133e+00, 4.789953179299609509e+00, 4.561442022912861383e+00, 1.848929662200640589e+00, 1.597410940783342337e+00, 7.817716578013258477e+00, 4.229122131945714180e+00, 9.330640095007492363e+00, 5.071481120422172140e+00, 5.053626786272654492e+00, 4.171175782902943219e+00, 2.140898888244721299e+00, 1.905151814110354946e+00
2.019000000000000000e+03, 4.601534952645142340e+00, 1.583523639526200011e+00, 1.061838657842385958e+00, 1.639497347996263565e+00, 4.792363971299572256e+00, 4.581718780412251668e+00, 1.805547431703120820e+00, 1.553688327581567830e+00, 7.826317442560380755e+00, 4.025457631990476237e+00, 9.416761740688457394e+00, 5.069254263671107097e+00, 5.059831392960775887e+00, 4.191826801808559821e+00, 2.228682025225555474e+00, 1.908748422574263914e+00
2.020000000000000000e+03, 4.563424781214052928e+00, 1.662670494111839758e+00, 1.256620599845807318e+00, 1.562383287883031935e+00, 4.825916378212251168e+00, 4.607449168114208682e+00, 1.729871942581900246e+00, 1.577618492765739511e+00, 7.774672594564995265e+00, 3.906182234361441186e+00, 9.475162392188909877e+00, 5.117399201193488345e+00, 5.029830949458295564e+00, 4.236334003061546838e+00, 2.288409423208732196e+00, 1.927066743834735307e+00
2.021000000000000000e+03, 4.586512545787101658e+00, 1.571409209855335165e+00, 1.344058680588521959e+00, 1.541662653499312752e+00, 4.851172295198762363e+00, 4.624331483131704168e+00, 1.695207214650017224e+00, 1.634904408526118624e+00, 7.854476915197607489e+00, 4.103263246581844825e+00, 9.470889598231078566e+00, 5.163209324337120876e+00, 5.040720557566816140e+00, 4.262513261107309326e+00, 2.245744850939797033e+00, 1.951632629330169788e+00
2.022000000000000000e+03, 4.655288259756519054e+00, 1.515199698871894318e+00, 1.358599699949798234e+00, 1.454885269501873690e+00, 4.916228806144970598e+00, 4.634087931716805997e+00, 1.704538190784129936e+00, 1.696103464396209182e+00, 7.943839256624753098e+00, 4.376229742255236310e+00, 9.557382343869553765e+00, 5.144927390481896623e+00, 5.039509835492913759e+00, 4.281837331477378328e+00, 2.219789110500685503e+00, 1.953699971477003361e+00
2.023000000000000000e+03, 4.649928973729595683e+00, 1.551724656309677153e+00, 1.299986226586803628e+00, 1.441960163979834064e+00, 4.962397601585763596e+00, 4.683396972459648033e+00, 1.824971679625797538e+00, 1.617673830985739469e+00, 7.986279386255983326e+00, 4.417975300734803490e+00, 9.671714646399085069e+00, 5.119078109092428441e+00, 5.024265396841179232e+00, 4.221308962875759185e+00, 2.147475609204901215e+00, 1.991198293697715505e+00
2.024000000000000000e+03, 4.691534750882348170e+00, 1.538204244486858885e+00, 1.236708952033694242e+00, 1.517637139780713573e+00, 4.986764365241946884e+00, 4.719525436484786951e+00, 1.956500174630995126e+00, 1.539455240884009202e+00, 8.058367855865036233e+00, 4.280274826419232070e+00, 9.751415209115071647e+00, 5.179841770305366744e+00, 5.090333764464226363e+00, 4.202251955819059859e+00, 2.197725129728070215e+00, 1.954686692654656888e+00
2.025000000000000000e+03, 4.761232829599766347e+00, 1.552580750233659712e+00, 1.213652474602936238e+00, 1.629373640594603101e+00, 4.959121061936117236e+00, 4.772730486345479584e+00, 1.820359078995196445e+00, 1.460970800088369215e+00, 8.131196631931882024e+00, 4.350446541018490265e+00, 9.714953514515979549e+00, 5.221452116422757861e+00, 5.154480870187110320e+00, 4.250249623412350353e+00, 2.231292571918141565e+00, 1.957013602979834399e+00
2.026000000000000000e+03, 4.798391263993154965e+00, 1.611238201395254199e+00, 1.308856409067405080e+00, 1.638492643960992812e+00, 4.914308999695824021e+00, 4.791203240068742097e+00, 1.863358143025144020e+00, 1.483930360153991268e+00, 8.235536221689898184e+00, 4.370055744021020594e+00, 9.752795411188882824e+00, 5.247191013565987383e+00, 5.154033419781228531e+00, 4.300553375573828774e+00, 2.260208308691552315e+00, 1.998434983309028912e+00
2.027000000000000000e+03, 4.843370083328559339e+00, 1.535163817343184745e+00, 1.383584614384678835e+00, 1.671275541444287915e+00, 4.875656213511246229e+00, 4.807404548210688411e+00, 1.896417743713789683e+00, 1.591242321227917644e+00, 8.324535012354807861e+00, 4.166742727610600383e+00, 9.814772880461566373e+00, 5.278971436534724226e+00, 5.128786174806161391e+00, 4.339651327347490373e+00, 2.355191907779216720e+00, 2.023617218084797109e+00
2.028000000000000000e+03, 4.852663813992545983e+00, 1.548656083591006594e+00, 1.273385927984435728e+00, 1.736796717328933148e+00, 4.887722667916836627e+00, 4.874084070971355764e+00, 1.954731436664190802e+00, 1.728354720100623965e+00, 8.305755366378635429e+00, 3.991274603224660655e+00, 9.846351138187916519e+00, 5.317333011575128943e+00, 5.143176795898486198e+00, 4.324972319632474083e+00, 2.383923550351614296e+00, 2.046033455749377339e+00
2.029000000000000000e+03, 4.837950648063067405e+00, 1.626314036896102655e+00, 1.227402528399412107e+00, 1.737434527813907170e+00, 4.868009062869242065e+00, 4.915549360906592113e+00, 1.927002682660206467e+00, 1.694522336495707160e+00, 8.260747210456106160e+00, 4.025758952641277588e+00, 9.915923626071547758e+00, 5.288252978979052443e+00, 5.142305437199844675e+00, 4.299875146766120260e+00, 2.376698562484787391e+00, 2.095528435184367044e+00
2.030000000000000000e+03, 4.917246323001206676e+00, 1.702449029082885312e+00, 1.143484065043388176e+00, 1.672386576923836632e+00, 4.838993261176138816e+00, 4.947505590862486535e+00, 2.021401395400320489e+00, 1.596427294109027173e+00, 8.284167186682230621e+00, 4.043289927919577309e+00, 9.890746918851821334e+00, 5.237500226891237176e+00, 5.113901455669067175e+00, 4.249001009104526716e+00, 2.286535474573224480e+00, 2.060197187361208382e+00
2.031000000000000000e+03, 4.957770414322717478e+00, 1.639856983891514686e+00, 1.150946426905404829e+00, 1.616205925050208547e+00, 4.893245557191050921e+00, 4.964426524805577223e+00, 2.054032317221405890e+00, 1.635677665287824656e+00, 8.235757264944769673e+00, 3.876403254958180611e+00, 9.972088277445307014e+00, 5.206022378983008458e+00, 5.101054079230325833e+00, 4.174465728508933715e+00, 2.225988245357044093e+00, 2.018606154706006350e+00
2.032000000000000000e+03, 4.959702168336272088e+00, 1.546631878662742210e+00, 1.334741289580780199e+00, 1.598039563235667870e+00, 5.080560755576811971e+00, 5.014340476347110886e+00, 1.999611920556865208e+00, 1.641674641648094513e+00, 8.137970072114290687e+00, 4.099603509918313016e+00, 1.016648293512936618e+01, 5.226390814462866352e+00, 5.188544312965126082e+00, 4.153841421480731100e+00, 2.363861246884922274e+00, 2.042134096013287436e+00
2.033000000000000000e+03, 4.959911002189060447e+00, 1.557379819954670452e+00, 1.348825619279567789e+00, 1.563603185156786424e+00, 5.203827315866663916e+00, 5.024604095533021564e+00, 1.888764818355523012e+00, 1.706528302416330689e+00, 8.273887462521965830e+00, 4.138763905091438211e+00, 1.020728956981142055e+01, 5.253544142946914519e+00, 5.306506423589206101e+00, 4.180950073644932097e+00, 2.428227419469238590e+00, 2.107514684536648808e+00
2.034000000000000000e+03, 5.059532311976382424e+00, 1.536534389969680392e+00, 1.359962678293096472e+00, 1.521964121031075701e+00, 5.057772818533528003e+00, 5.058425838036418654e+00, 1.837914697096556083e+00, 1.760342568743035185e+00, 8.303156721534657336e+00, 4.054436009029764421e+00, 1.016086286462448385e+01, 5.293794200662629734e+00, 5.363530050359970325e+00, 4.153129070919002075e+00, 2.459721643182806616e+00, 2.139361747813560921e+00
2.035000000000000000e+03, 5.135541473015027059e+00, 1.568864967798079713e+00, 1.330318311585103164e+00, 1.575010092324843791e+00, 4.999694307693882678e+00, 5.081909001080680888e+00, 1.844685976664074190e+00, 1.756083753606246578e+00, 8.345278917897383408e+00, 3.922802800998965722e+00, 1.016396046385390584e+01, 5.303977051159505685e+00, 5.381741791268728647e+00, 4.127359575444095263e+00, 2.407552628717515297e+00, 2.217181326832894595e+00
2.036000000000000000e+03, 5.057532540351813211e+00, 1.635235380185083187e+00, 1.260944454350404698e+00, 1.702322576235284490e+00, 5.087540104597653823e+00, 5.135731749879802521e+00, 1.844425298550644188e+00, 1.752115573967356177e+00, 8.574621509255914376e+00, 4.169512850231172685e+00, 1.034846482172414106e+01, 5.338999920434870816e+00, 5.395084377438198686e+00, 4.151945199355802529e+00, 2.391269431741066320e+00, 2.207696737484477367e+00
