year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 2.475413370178040870e-12, -4.554527679108614241e-10, 1.617191246995623313e-10, 1.787232355161751044e-11
2.016000000000000000e+03, 9.989270700645176144e-13, -4.201160281601161625e-10, 1.625195528052750068e-10, 2.998132841794413942e-11
2.017000000000000000e+03, 1.070282465478651301e-12, -5.262185736753920816e-10, 1.628310112463517995e-10, 3.193058042465559043e-11
2.018000000000000000e+03, 1.154700291961182631e-12, -5.217551122921945064e-10, 1.625196343560543437e-10, 3.449830723312533524e-11
2.019000000000000000e+03, 9.996092129753460927e-13, -5.264928700179189794e-10, 1.794499884159495846e-10, 3.552727380322335696e-11
2.020000000000000000e+03, 8.577430381408918796e-13, -5.487887695593434393e-10, 2.038381203169980393e-10, 3.587186974137976642e-11
2.021000000000000000e+03, 7.460458508767459819e-13, -5.183159443753066406e-10, 2.050956749982715664e-10, 2.462969504189904214e-11
2.022000000000000000e+03, 6.938458294241273720e-13, -4.806942553650608123e-10, 1.611439758300547543e-10, 2.457540674254233380e-11
2.023000000000000000e+03, 6.679100802632022815e-13, -5.484124237858660744e-10, 1.603782588273746467e-10, 2.429809886927061244e-11
2.024000000000000000e+03, 7.134990419891561260e-13, -4.686099969193636060e-10, 2.159189331304065879e-10, 2.458068987740111374e-11
2.025000000000000000e+03, 9.813993718545581572e-13, -5.054615193180494299e-10, 2.452071924822145606e-10, 2.497391970389178755e-11
2.026000000000000000e+03, 9.586261400216856615e-13, -5.465146312627340687e-10, 2.541525394176380060e-10, 2.117820462054178227e-11
2.027000000000000000e+03, 1.080085480464646445e-12, -5.094853134405230924e-10, 2.294864978397776309e-10, 2.046538857235074354e-11
2.028000000000000000e+03, 1.078690393664982702e-12, -5.287922604817563247e-10, 2.198766840747067326e-10, 1.996125238839366460e-11
2.029000000000000000e+03, 1.120566124410428154e-12, -5.771492352962577573e-10, 1.695062557530134609e-10, 1.915912286131621295e-11
2.030000000000000000e+03, 1.055612269143064958e-12, -4.927157761923370412e-10, 1.386681276090122259e-10, 1.730097471082653550e-11
2.031000000000000000e+03, 2.698595317560079844e-12, -4.250049126706399624e-10, 1.598460700470656613e-10, 2.097548800546982992e-11
2.032000000000000000e+03, 2.763373730196734630e-12, -4.748697866217716622e-10, 1.700471992179763495e-10, 2.090978317632491434e-11
2.033000000000000000e+03, 2.634356471400251823e-12, -5.419256768817634901e-10, 1.782601245806051618e-10, 2.097439034646502028e-11
2.034000000000000000e+03, 2.495983551565367883e-12, -5.789737115047088473e-10, 2.031297649769785690e-10, 2.109323129436591384e-11
2.035000000000000000e+03, 2.390003108593870075e-12, -6.128034718915551036e-10, 1.752689790031760291e-10, 2.103646350616318038e-11
2.036000000000000000e+03, 2.262155696173957328e-12, -5.436464595750981312e-10, 2.236312443506677128e-10, 1.930677803546409276e-11
2.037000000000000000e+03, 2.158543550558379870e-12, -4.693191367048022459e-10, 2.056135886805611734e-10, 1.983090123162728720e-11
2.038000000000000000e+03, 2.297216155553756043e-12, -6.127864923848490648e-10, 2.066292713206707952e-10, 1.999654071165979123e-11
2.039000000000000000e+03, 2.528974991685867446e-12, -6.581897968188580795e-10, 1.930251238891107852e-10, 2.018653647262724707e-11
2.040000000000000000e+03, 2.600764180218461456e-12, -5.979680977735872035e-10, 2.669947292519044234e-10, 2.041353190444703005e-11
2.041000000000000000e+03, 2.700025451590399682e-12, -6.780967274904518712e-10, 2.164984953269585619e-10, 2.879318871339264267e-11
2.042000000000000000e+03, 2.586297852051570252e-12, -5.765588198746406113e-10, 1.549885830102083285e-10, 2.893483071739453938e-11
2.043000000000000000e+03, 2.527016213999145817e-12, -5.245887603013429339e-10, 2.076791393611590764e-10, 2.929326033317544980e-11
2.044000000000000000e+03, 2.475165820952344201e-12, -5.563941104345549775e-10, 2.027420057627433494e-10, 2.989953786101532311e-11
2.045000000000000000e+03, 2.699440650915251950e-12, -6.017323546367899514e-10, 2.141136167000910754e-10, 2.994124684215071159e-11
2.046000000000000000e+03, 3.060991978691580851e-12, -6.129985841444844774e-10, 2.088510573955298426e-10, 2.983583023244247015e-11
2.047000000000000000e+03, 3.207681938399965062e-12, -6.674715426609747935e-10, 2.060047583473547037e-10, 3.125904600931161970e-11
2.048000000000000000e+03, 2.705633174967480522e-12, -6.975665691639986682e-10, 2.185097281483173110e-10, 3.560081639522284264e-11
2.049000000000000000e+03, 2.668130722065788294e-12, -5.653994066329433149e-10, 2.611331897571755481e-10, 3.702485242935934269e-11
2.050000000000000000e+03, 3.065337389359811451e-12, -5.793231183973859151e-10, 2.438244637817188071e-10, 3.875747244765031940e-11
2.051000000000000000e+03, 1.935786423407849109e-12, -5.937713538483327138e-10, 2.167557967634181829e-10, 4.809027509677056344e-11
2.052000000000000000e+03, 1.769481774414341448e-12, -6.787247153246336725e-10, 2.493100484788759158e-10, 4.812971808283756773e-11
2.053000000000000000e+03, 2.088136857106952681e-12, -6.186473232983352151e-10, 2.885299174406870968e-10, 4.879089143127486322e-11
2.054000000000000000e+03, 1.833143533507055825e-12, -5.961038162291619304e-10, 2.075095795109352846e-10, 4.961854006932750270e-11
2.055000000000000000e+03, 1.673015787584959755e-12, -7.425893349592062976e-10, 2.020529584827000875e-10, 5.080544985433582115e-11
2.056000000000000000e+03, 2.190486218497254244e-12, -7.019795255853730166e-10, 1.924120046131126333e-10, 3.227681267563994053e-11
2.057000000000000000e+03, 2.513184729962998354e-12, -6.275658990087706237e-10, 2.138274163573291849e-10, 3.218975009677789432e-11
2.058000000000000000e+03, 2.360377820501519645e-12, -6.485933609717940211e-10, 2.704679971016258055e-10, 3.243523178721613078e-11
2.059000000000000000e+03, 2.435022418265251402e-12, -5.850684615319349709e-10, 2.107519138398539583e-10, 3.184278403454422039e-11
2.060000000000000000e+03, 2.702522330465665579e-12, -6.175518217348414977e-10, 1.996038219238542865e-10, 3.169377652700209121e-11
2.061000000000000000e+03, 1.729395709474658229e-12, -6.077363430460544974e-10, 2.398107212978645523e-10, 4.081115265669206943e-11
2.062000000000000000e+03, 1.695147858265741083e-12, -6.557762616088437206e-10, 2.828604812298358613e-10, 4.073517800212665042e-11
2.063000000000000000e+03, 1.762034761446296742e-12, -6.514917712403663415e-10, 2.552368812230082467e-10, 4.101970294124541350e-11
2.064000000000000000e+03, 1.667766274468419469e-12, -6.059958043705362363e-10, 2.463256368679432510e-10, 4.087263013909339560e-11
2.065000000000000000e+03, 1.695088310746686926e-12, -7.366873883935713292e-10, 2.925557230013106825e-10, 4.062367068233425940e-11
2.066000000000000000e+03, 1.538930505125154401e-12, -6.513811978191131361e-10, 2.244440733911443159e-10, 3.985462261305067688e-11
