year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.015000000000000000e+03, 6.792514580813745472e-11, 1.557126689218963470e-10, 9.898657985254455012e-11, 2.178815106473821085e-10, 1.557126689218963470e-10, 3.940243789182713771e-10, 2.491172388735010888e-11, 9.898657985254455012e-11, 2.491172388735010888e-11, 6.543424134642736296e-11, 1.149152590293475400e-10, 9.837153952665498285e-11
2.016000000000000000e+03, 6.997987675881937569e-11, 1.496871995592106136e-10, 8.554835242927216095e-11, 1.385099900354066155e-10, 1.496871995592106136e-10, 4.327932107657521549e-10, 2.632582085687491202e-11, 8.554835242927216095e-11, 2.632582085687491202e-11, 6.742310563256922299e-11, 1.328251426629984397e-10, 1.205106696773506459e-10
2.017000000000000000e+03, 6.482826498833346800e-11, 2.508521198221264423e-10, 1.096127343382552051e-10, 1.142661701518489273e-10, 2.508521198221264423e-10, 4.993025148463892079e-10, 2.925310855150733826e-11, 1.096127343382552051e-10, 2.925310855150733826e-11, 6.230515092671039045e-11, 9.926106556584134025e-11, 1.420334459524448293e-10
2.018000000000000000e+03, 7.688009540991642911e-11, 1.781524951648565266e-10, 1.065046947982687786e-10, 4.486162320920931134e-10, 1.781524951648565266e-10, 5.223873161250206660e-10, 3.179670352524158725e-11, 1.065046947982687786e-10, 3.179670352524158725e-11, 7.435398631928904833e-11, 1.027259094714799476e-10, 1.469342577268717012e-10
2.019000000000000000e+03, 6.691580775220009213e-11, 1.541722071045013297e-10, 9.206251581433539038e-11, 2.809694668651427764e-10, 1.541722071045013297e-10, 3.588533908906292033e-10, 2.172671981837053961e-11, 9.206251581433539038e-11, 2.172671981837053961e-11, 6.432469405158755765e-11, 1.220506152121513616e-10, 1.381198097600480525e-10
2.020000000000000000e+03, 7.776814215727609584e-11, 1.694349764921226850e-10, 1.352639104652693732e-10, 2.073876871955518653e-10, 1.694349764921226850e-10, 4.527582758071277011e-10, 2.501411953753835705e-11, 1.352639104652693732e-10, 2.501411953753835705e-11, 7.511198278467783019e-11, 1.151292064919467100e-10, 1.340483422781899433e-10
2.021000000000000000e+03, 6.760112525922168052e-11, 2.138955719476842213e-10, 1.470542505237995179e-10, 1.763081507814625095e-10, 2.138955719476842213e-10, 5.151733027539191866e-10, 3.251124487038961344e-11, 1.470542505237995179e-10, 3.251124487038961344e-11, 6.499014294459706957e-11, 1.028069828029403894e-10, 1.080659875505242130e-10
2.022000000000000000e+03, 1.028429642046059119e-10, 1.679504286985608650e-10, 1.226402660243983264e-10, 1.540192640637894450e-10, 1.679504286985608650e-10, 5.093867673423811057e-10, 2.539325220695774806e-11, 1.226402660243983264e-10, 2.539325220695774806e-11, 1.001365205192853482e-10, 7.892457158888682820e-11, 1.091119835408791848e-10
2.023000000000000000e+03, 1.217801071436386812e-10, 1.345333902788547904e-10, 1.344218070152813886e-10, 2.104733099783159602e-10, 1.345333902788547904e-10, 5.392243257108476461e-10, 2.429224499486120623e-11, 1.344218070152813886e-10, 2.429224499486120623e-11, 1.190231604517238833e-10, 1.279346385033500978e-10, 1.446518615349440556e-10
2.024000000000000000e+03, 7.213734213620521363e-11, 1.661880957624816363e-10, 1.199510467306925851e-10, 1.401375013434179047e-10, 1.661880957624816363e-10, 4.399782803985479796e-10, 3.079734419178770374e-11, 1.199510467306925851e-10, 3.079734419178770374e-11, 6.938945695379528935e-11, 1.144327862303123423e-10, 8.936215532555680716e-11
