year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.015000000000000000e+03, 0.000000000000000000e+00, 4.460292539600121302e-10, 4.327832823293377422e-13, 1.617191246995623313e-10, 8.321357010828109138e-10, 3.958652165024743300e-11, 7.394261241956423783e-14, 1.993163394998468938e-10, 1.377861090375553111e-10
2.016000000000000000e+03, 7.279332312336394100e-13, 4.070757128387070750e-10, 4.596858337520045108e-13, 1.625195528052750068e-10, 9.310821303439409037e-10, 4.153439334519356588e-11, 8.612741472320892814e-14, 2.035866939724308806e-10, 1.616704878475601965e-10
2.017000000000000000e+03, 8.320777852549111128e-13, 5.132123089123350232e-10, 4.806209937708642920e-13, 1.628310112463517995e-10, 1.065014183353668792e-09, 4.475304196540245887e-11, 8.974437752913514688e-14, 2.151046385734143066e-10, 1.663335072245037435e-10
2.018000000000000000e+03, 9.058536894906520792e-13, 5.085389679386126080e-10, 5.036171354624289710e-13, 1.625196343560543437e-10, 9.049152655946017372e-10, 4.943356260948414184e-11, 9.360611305106264206e-14, 2.079557536338626833e-10, 1.663856731905838962e-10
2.019000000000000000e+03, 9.749408233217769119e-13, 5.129373111930894362e-10, 5.341003992252335222e-13, 1.794499884159495846e-10, 8.448396919187436739e-10, 3.321099676684037894e-11, 9.572862609980432854e-14, 1.915108501956099708e-10, 1.703410058951555318e-10
2.020000000000000000e+03, 1.054784732271486247e-12, 5.352193126833878304e-10, 5.775735508879539127e-13, 2.038381203169980393e-10, 8.396204781510646051e-10, 4.501710181790684218e-11, 9.780059349960558933e-14, 2.011328726120889782e-10, 1.558933016526050263e-10
2.021000000000000000e+03, 1.130458376189252756e-12, 5.069793774631795118e-10, 6.319412963384444011e-13, 2.050956749982715664e-10, 1.000138613672263401e-09, 4.341363201146237565e-11, 9.995969089456306933e-14, 2.073566633945915069e-10, 1.740802243837270520e-10
2.022000000000000000e+03, 1.205077918867929339e-12, 4.692003181480629339e-10, 7.098830730646140152e-13, 1.611439758300547543e-10, 1.107550740785635005e-09, 4.078285796543013404e-11, 1.019219460175716300e-13, 2.027960701381284152e-10, 1.721996185789698797e-10
2.023000000000000000e+03, 1.287963788968589164e-12, 5.370562578740256688e-10, 8.234084990568531132e-13, 1.603782588273746467e-10, 9.884761842735744803e-10, 5.724942876606616508e-11, 1.035493211181148941e-13, 1.913944562202701689e-10, 1.777765783356633860e-10
2.024000000000000000e+03, 1.386947047537963727e-12, 4.569803060998932943e-10, 1.006874404074155570e-12, 2.159189331304065879e-10, 9.484263801313598024e-10, 4.045611697278846816e-11, 1.050813125142462781e-13, 1.913995819335560038e-10, 2.099158497554769897e-10
2.025000000000000000e+03, 1.484538450063002211e-12, 4.939843219872099107e-10, 1.342339819352104899e-12, 2.452071924822145606e-10, 9.485180544052534881e-10, 4.056768946606775486e-11, 1.026018717491754812e-13, 1.976547100490176653e-10, 1.832816660100306036e-10
2.026000000000000000e+03, 1.609189934347710305e-12, 5.316695435404210167e-10, 2.884984861697680114e-12, 2.541525394176380060e-10, 9.353772607300988963e-10, 4.678583420448168393e-11, 1.049128914839345933e-13, 2.033056617632882673e-10, 1.971626998935449591e-10
2.027000000000000000e+03, 4.538988424421220482e-12, 4.935123978598745042e-10, 3.777643432637895379e-12, 2.294864978397776309e-10, 9.407054428390702937e-10, 3.562790902072681852e-11, 2.199427176956511193e-12, 2.113958366003474115e-10, 1.918669676578826093e-10
