year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.015000000000000000e+03, 6.539636920878280614e-12, 6.074047053529281867e-14, 2.463045525369368387e-12, 1.002072053721632960e-11, 3.679768654429992639e-12, 1.391535458474562085e-10, 3.095887310505368046e-11, 1.774539588699507509e-10, 1.787232355161751044e-11, 6.887774448851953672e-12
2.016000000000000000e+03, 2.857932684663871983e-11, 9.317406096654677230e-14, 1.011303828799039341e-12, 8.034860885167895593e-12, 7.221974729293028276e-12, 1.427191127649800205e-10, 2.786897659416594716e-11, 1.547344798332784837e-10, 2.998132841794413942e-11, 7.112444621658898132e-12
2.017000000000000000e+03, 2.683508781495957355e-11, 1.223224993591355419e-13, 1.078775691089023090e-12, 7.811736580927456751e-12, 7.281273053327574208e-12, 1.473823569042147044e-10, 2.375917393555399529e-11, 1.385190730728991995e-10, 3.193058042465559043e-11, 7.103220562303356409e-12
2.018000000000000000e+03, 2.117992944398109246e-11, 1.099238178247644902e-13, 1.159582832338793860e-12, 9.310136067380210820e-12, 7.557233496593067726e-12, 1.566207146270861229e-10, 2.007449108740436516e-11, 1.468235755996650429e-10, 3.449830723312533524e-11, 6.629062283156225940e-12
2.019000000000000000e+03, 2.430585598853157712e-11, 1.323422212229408688e-13, 1.005774000876327532e-12, 1.099354536045815302e-11, 7.784995317321639595e-12, 1.639650410457048861e-10, 1.864167616644048568e-11, 1.362165210011490030e-10, 3.552727380322335696e-11, 6.163773149273204600e-12
2.020000000000000000e+03, 2.510309804879406035e-11, 1.799837214528533012e-13, 8.652663431260258342e-13, 9.178483872505613133e-12, 7.940246946270077095e-12, 1.539338708392262007e-10, 1.663062792944167050e-11, 1.446527991564563075e-10, 3.587186974137976642e-11, 5.546466003907777319e-12
2.021000000000000000e+03, 1.490653576255223839e-11, 2.034410621520645517e-13, 7.545219075018960435e-13, 8.550938903632724901e-12, 5.553596086425452648e-12, 1.683749804218177693e-10, 1.394494554524568181e-11, 1.647244532880807503e-10, 2.462969504189904214e-11, 5.242328403482555813e-12
2.022000000000000000e+03, 1.418164975251873802e-11, 1.884666413444247960e-13, 7.023597385880822817e-13, 1.030093895009820521e-11, 5.583179624552386470e-12, 1.555078414965622365e-10, 1.191057338425322496e-11, 2.085808680095917816e-10, 2.457540674254233380e-11, 4.937682334431787336e-12
2.023000000000000000e+03, 1.766974351150639836e-11, 1.800026531056080897e-13, 6.761477513917079701e-13, 1.109603007306915766e-11, 5.486561182999901873e-12, 1.556643192045944657e-10, 1.223437214892139821e-11, 1.924238513970044299e-10, 2.429809886927061244e-11, 4.590251612523541403e-12
2.024000000000000000e+03, 1.954792067348474624e-11, 2.131145696618784745e-13, 7.202541209779746699e-13, 9.326502733357561340e-12, 5.469852415732803529e-12, 1.612010286349844430e-10, 1.160917949168548152e-11, 1.640287433774519802e-10, 2.458068987740111374e-11, 4.502018952387061934e-12
