year, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
2.015000000000000000e+03, 8.557626478889608564e-13, 1.206998968187163468e-11, 3.440265472567582971e-12, 2.062058024442628335e-10, 2.715165708419523333e-10, 1.396248797100244994e-10, 4.497090249052006459e-10, 6.074047162439224067e-14
2.016000000000000000e+03, 7.944259541626004010e-13, 9.839013455341505143e-12, 2.166729439551476497e-11, 2.106987520064062652e-10, 2.750201987931970040e-10, 1.633271518080609367e-10, 4.142976893239754818e-10, 9.317406104003027633e-14
2.017000000000000000e+03, 7.468067823683034418e-13, 1.055623099781747660e-11, 1.173672097626878626e-11, 2.222102216049792391e-10, 2.782418155796758507e-10, 1.678551432086249769e-10, 5.204935798625191208e-10, 1.223225024576038669e-13
2.018000000000000000e+03, 7.103010044514934532e-13, 1.139409877766577429e-11, 7.931215802977914227e-12, 2.145832968964056132e-10, 2.835265776675881951e-10, 1.677998413015872695e-10, 5.160962021114457580e-10, 1.099238163274521932e-13
2.019000000000000000e+03, 6.825581851703897288e-13, 1.156830298366938475e-11, 6.397838993948004899e-12, 1.976785004350516069e-10, 2.838186197496317253e-10, 1.716682231306304839e-10, 5.207223130333481193e-10, 1.323422209051719189e-13
2.020000000000000000e+03, 6.527200132716620479e-13, 1.177367277031330273e-11, 5.537982228283704546e-12, 2.066810576956230809e-10, 2.803971499258926872e-10, 1.571508430918193972e-10, 5.431595588259609655e-10, 1.799837201924846793e-13
2.021000000000000000e+03, 6.218445082205113113e-13, 1.232318260698248307e-11, 6.578914723350592353e-12, 2.125985186972865851e-10, 2.769868071791636661e-10, 1.752767145064723147e-10, 5.125329822623231824e-10, 2.034410641055063719e-13
2.022000000000000000e+03, 5.982899847820716740e-13, 1.209047443098876220e-11, 6.852116891566935576e-12, 2.077393257407085886e-10, 2.801041544208199695e-10, 1.733459208009069504e-10, 4.747835014851226230e-10, 1.884666356373511033e-13
2.023000000000000000e+03, 5.810512860650678892e-13, 1.163054112921087366e-11, 6.942712408568090449e-12, 1.959913683134778529e-10, 2.825219421755267118e-10, 1.788822622770307042e-10, 5.425428265320934264e-10, 1.800026529899525991e-13
2.024000000000000000e+03, 5.693193602263072610e-13, 1.186249831932084957e-11, 6.968449045662294065e-12, 1.959039662765744991e-10, 2.840178083242547936e-10, 2.109883175848337966e-10, 4.624501569526605538e-10, 2.131145683947063880e-13
2.025000000000000000e+03, 5.599931616273156971e-13, 1.216233969981244799e-11, 6.944687567688403326e-12, 2.024129803436335902e-10, 2.829648554326884485e-10, 1.843341805214118847e-10, 4.995046817415829173e-10, 2.637216800732058998e-13
2.026000000000000000e+03, 5.528504897378145552e-13, 1.175520744813941806e-11, 5.159055159281920132e-12, 2.081668414695209980e-10, 2.960916117524532595e-10, 1.982014373063298418e-10, 5.393457178332397429e-10, 1.960922174869295803e-13
2.027000000000000000e+03, 9.087611413287613768e-13, 1.110046214938590500e-11, 4.463262615393559371e-12, 2.163193187046064978e-10, 3.080368468086561662e-10, 1.928948479182011684e-10, 5.012132992461036466e-10, 1.514398146403890581e-13
