year, UKESM1-0-LL, CanESM5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR
2.015000000000000000e+03, 7.835694742831253445e-02, 5.634960349479740949e-02, 3.972716518276157849e-02, 8.811336615811306283e-02, -3.971564673305661569e-02, 5.912319894814220544e-02, 9.588272222999367350e-03, 1.425905431259853473e-01, 3.350073201476643642e-02, 1.947400900923140082e-02, 1.535854545366863999e-01, 5.234791818303229788e-02, 8.214305498474239187e-02, 7.838398409601836370e-02, -5.742176900545147705e-02, 1.007905227956721744e-01
2.016000000000000000e+03, 5.852620254437572445e-02, 3.310572176140252898e-02, 5.721356481438842900e-01, 3.170706450493540607e-02, -2.596603376414406434e-03, 1.558801317681672294e-01, -4.986168956605600139e-02, 2.169056130801487459e-01, 5.854651789452928329e-02, -2.077650189022864705e-02, 1.056063076448498089e-01, -9.083580662610200168e-03, 4.981236247160476110e-02, 9.055438745502561448e-03, 1.133847205535944563e-01, 1.148314046913013337e-01
2.017000000000000000e+03, 3.005404967503101654e-02, 6.374536380462193785e-02, 6.667569111629824130e-01, 8.576765434411064148e-02, 8.440768369425465101e-02, 2.129586806494682127e-01, 1.534262534188061411e-01, 1.382142949403645238e-01, 3.702074733145318403e-02, -1.903896411293169166e-01, -4.982873939076718633e-02, 4.037591130994486188e-03, -4.563918198292192530e-02, 1.487044046048006940e-02, 1.367109820791717889e-01, 9.057088496261994637e-02
2.018000000000000000e+03, -4.087239287737019430e-03, -6.923684955706142785e-02, -6.268205747177901799e-01, 1.252138858201668203e-01, -7.897838460534024885e-02, 1.499118316503280091e-01, 5.024298162737442924e-02, 1.754197049788088214e-01, -9.269823077148861556e-02, 3.067221944339651452e-01, 1.181974628354337947e-01, 6.470416962005873934e-03, -5.904515940752379233e-02, 1.278358464324704791e-01, 5.713526316721624643e-02, -1.328096241540371314e-01
2.019000000000000000e+03, 5.431298665733726161e-02, -8.716117504871145893e-02, -7.879194504144041433e-01, -5.110014475966490055e-02, 4.857408500460327211e-02, 6.399475971913466676e-02, 3.246573164159532315e-02, 1.101482213708691177e-01, -3.175225568066745302e-02, 1.047465167863350782e-01, 1.877373325086147127e-01, -7.124246506576730961e-03, 6.952789205541802520e-02, -1.329368038116668198e-02, 4.052216056761237528e-02, 1.732219279763134723e-01
2.020000000000000000e+03, 1.233797659972680899e-01, 7.142272742454101875e-02, 1.186837968879486532e-01, 1.239872319988193777e-01, 3.745144148971996795e-02, -3.228864896900857789e-02, 5.007367703019509342e-02, 1.077003354797532869e-01, 1.345942039517288302e-01, 2.071638676499464038e-01, -1.885459453591068965e-02, -3.505469135861088298e-02, 4.940070956546296216e-02, 4.567459669273945394e-02, -1.606028504280709868e-02, 1.850754841438459475e-01
2.021000000000000000e+03, 1.260596913394674834e-01, 3.484620288560439511e-02, 6.416410725467689424e-01, -6.157982777665371027e-02, 1.006099413669594121e-03, 1.982632274105397829e-01, 4.061332151246278138e-02, 1.265404705496371851e-01, 9.975509551237993211e-02, -1.785286817711846663e-02, 6.948511480671060170e-02, 4.942781849805639310e-02, -8.184364683128547702e-02, 1.040954300887306366e-01, -5.150713047281609697e-02, 3.961350096242351182e-02
2.022000000000000000e+03, -6.985832706959151095e-02, -1.541800341994615858e-03, 5.321111638195054061e-01, 1.030958660994329562e-01, -3.258299311121237718e-02, 2.045363733703619569e-01, 1.140766789328618268e-02, 1.882183862292079179e-01, 2.846121823361477329e-02, 2.555941030808213665e-01, -3.546646292980561166e-02, -8.317670531881092566e-02, -1.238658143574774412e-02, 9.604219242843424487e-02, 1.605794839146889447e-02, 3.678265403959537355e-02
2.023000000000000000e+03, -3.266478410133058508e-02, -1.225157774110373077e-01, -2.386376725565679535e-01, 2.392153733347553157e-02, -1.014087866743665634e-01, 1.875068449885217980e-01, 8.939745311711254361e-02, 1.221692351231640494e-01, 3.588693844852442610e-02, 3.037986726862098030e-01, -4.436595411254742188e-02, 5.528510818065211080e-02, 3.270151454476535879e-02, -3.554102952136245497e-02, 1.329511649650324256e-01, -1.515160435845078896e-02
2.024000000000000000e+03, 1.764111787823215982e-01, -7.563160276907794632e-02, -1.914602606429757076e-02, 2.094525295311600727e-02, 2.079567174260384815e-03, 1.798122743378859911e-01, -6.404424787056353652e-02, 1.843670408211180722e-01, -1.545371486351125243e-02, 2.101296271911180513e-01, 1.143374907459995260e-01, 9.033395106814134934e-02, -1.714330658121808806e-02, -5.630062382941028454e-02, 2.585088823844790551e-01, 2.044291033472964147e-02
