year, EC-Earth3-Veg, NorESM2-LM, INM-CM5-0, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL
2.015000000000000000e+03, 2.099905742594564639e+00, 7.480354320410010915e-01, 1.617509426755772806e+00, 1.214522677728728128e+00, 1.144534158815252223e+00, 1.940146097843949535e+00, 5.962796772563730974e-01, 9.175628556774818589e-01, 1.565560390523458967e+00, 8.892292080445526326e-01, 1.284986948861275957e+00, 7.994415272490185131e-01, 6.750731794291360277e-01, 7.091816246004318813e-01, 5.354538637346236696e-01, 1.102677567313473217e+00
2.016000000000000000e+03, 2.640248200911148313e+00, 6.374189919928363590e-01, 1.560005755049298726e+00, 1.200900943168099477e+00, 1.299959297233229449e+00, 1.914152526286422296e+00, 5.465068455758214094e-01, 8.285391751874178201e-01, 1.622903544748384608e+00, 8.411925547940456438e-01, 1.365516964129801281e+00, 1.006951619619846250e+00, 7.058629924102330921e-01, 6.295458920548644421e-01, 5.751346648145647666e-01, 1.095673290275470890e+00
2.017000000000000000e+03, 2.779562308748138921e+00, 7.323889774871220615e-01, 1.415057231966158069e+00, 1.188027512356180093e+00, 1.265465758541942209e+00, 1.933953376305974192e+00, 4.719679557497229450e-01, 8.914616090508512558e-01, 1.450317260965124477e+00, 6.397653947578986200e-01, 1.490412451625109158e+00, 9.720142833052490827e-01, 6.812486325600278780e-01, 8.850607432055865864e-01, 6.968112580101213371e-01, 9.919983734139803389e-01
2.018000000000000000e+03, 1.769141554419986884e+00, 8.032696641421419592e-01, 1.864450955554532330e+00, 1.177039913498348245e+00, 1.246163032388969416e+00, 1.935874344275493097e+00, 4.680466459642015908e-01, 9.574379450624892485e-01, 1.217705663396878579e+00, 8.553986092373455641e-01, 1.443464015462773364e+00, 8.690598401856153288e-01, 5.416356511572089083e-01, 8.169578373584075459e-01, 5.159241801486947887e-01, 9.988670765036519184e-01
2.019000000000000000e+03, 1.737627980272653749e+00, 6.575333649094795563e-01, 1.659561387048706482e+00, 1.165769234383870145e+00, 1.218955893428587345e+00, 1.968228370598093857e+00, 5.597195820958913437e-01, 7.851862667894987657e-01, 1.649457279296234979e+00, 9.380189328495088796e-01, 1.321402205493956261e+00, 8.700861397888923765e-01, 6.296688474020074588e-01, 8.029615630885077460e-01, 6.207550931025568319e-01, 1.104444420252463921e+00
2.020000000000000000e+03, 1.830892514728982290e+00, 7.891741123908488920e-01, 1.729000766314047643e+00, 1.116962465474341304e+00, 1.115836504749323277e+00, 2.030316366272605588e+00, 5.498491206559817934e-01, 9.568997603627348303e-01, 1.627756701482140134e+00, 6.817648435184849864e-01, 1.251517046110629083e+00, 7.792798529781206351e-01, 7.470327131209958393e-01, 8.484207854086468492e-01, 6.432891693072050332e-01, 1.232940424651940425e+00
2.021000000000000000e+03, 2.528305277161698505e+00, 8.400215059900016934e-01, 1.585889904546764928e+00, 1.229217135117655957e+00, 1.100580965447805593e+00, 1.947143860445947672e+00, 4.593577795318186663e-01, 7.835271506813706877e-01, 1.386974632852914668e+00, 8.167436904756962823e-01, 1.463668148542332403e+00, 7.942848517733929192e-01, 7.737268975445358299e-01, 8.309423198429575219e-01, 6.048023925217324015e-01, 1.214967590888877513e+00
2.022000000000000000e+03, 2.628697887337801742e+00, 8.741064004081694483e-01, 1.812408190244861439e+00, 1.105229420737739998e+00, 1.248048039084282745e+00, 2.020998310964379652e+00, 4.929229604611632398e-01, 9.538367668608911387e-01, 1.366733311192183553e+00, 6.681667871682135385e-01, 1.478178561958119364e+00, 8.210591142916284779e-01, 6.866428522233464227e-01, 7.641161921174390859e-01, 5.767682298480086844e-01, 9.226964982733532050e-01
2.023000000000000000e+03, 2.187289896408262102e+00, 6.274629773330803184e-01, 1.831492899755044368e+00, 1.215003406782395601e+00, 1.099750082592469758e+00, 2.089352794401367230e+00, 5.115642410682548213e-01, 8.600543321553287823e-01, 1.235451131820088477e+00, 6.997210128172438592e-01, 1.443305462619158597e+00, 1.004730183166499202e+00, 6.693362526005967039e-01, 8.811633079876766139e-01, 5.060903042989151057e-01, 9.812137639926540311e-01
2.024000000000000000e+03, 2.350633308583732095e+00, 5.135462000479745770e-01, 1.757931655549795247e+00, 1.283677617124157067e+00, 1.178533740079034331e+00, 2.009799382561932024e+00, 4.890549222159178977e-01, 8.598475657113163750e-01, 1.523963735941200826e+00, 8.521865312512995061e-01, 1.509030926047431054e+00, 1.132256432357983122e+00, 6.346435770352628625e-01, 6.899961584448475183e-01, 6.085753376381677349e-01, 1.308944913321612002e+00
2.025000000000000000e+03, 2.520511807612504818e+00, 4.475853643987618424e-01, 1.646257704839214853e+00, 1.317328478772576528e+00, 1.304198514833025735e+00, 2.146802941757021799e+00, 5.541175018710763345e-01, 7.956135935106493084e-01, 1.452452395438204480e+00, 8.783608791438151098e-01, 1.530391711101344754e+00, 7.201801135640454321e-01, 6.647970679937106331e-01, 8.086723305350136393e-01, 6.350435299698451441e-01, 1.252579633562223682e+00
2.026000000000000000e+03, 2.112018466562362917e+00, 7.050670758005367356e-01, 1.777677039282292260e+00, 1.151690711278202217e+00, 1.191315013792513477e+00, 2.046617993577407812e+00, 5.209859865740275042e-01, 7.975554737454774168e-01, 1.556056197946931174e+00, 8.882804844928250398e-01, 1.638029502526100023e+00, 1.006745456352245993e+00, 7.662881193017424541e-01, 8.620734660435055430e-01, 6.763064430531909865e-01, 1.340932557715432960e+00
2.027000000000000000e+03, 1.853397641799847895e+00, 8.444427916257144506e-01, 1.725448704802980071e+00, 1.251243821993627936e+00, 1.330397724155707229e+00, 2.049921861594354411e+00, 5.034205037275993888e-01, 8.669198785081924097e-01, 1.883432522133899667e+00, 9.303900547640866492e-01, 1.600509385279001329e+00, 9.588170832397800991e-01, 7.088246335556837030e-01, 8.049171176400365946e-01, 5.892172330833858052e-01, 1.244023833101179921e+00
