year, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg
2.015000000000000000e+03, 6.329346937501276749e-01, 6.424486645502951454e-01, 7.030915679196143575e-01, 9.030858060198605486e-01, 6.830435987695701039e-01, 9.582423530483010765e-01, 7.517587901588944632e-01, 6.730550969373494397e-01, 4.969982015698039546e-01, 7.035913540856395532e-01, 1.051931919970685358e+00, 8.780793529335637615e-01, 5.745906905373537876e-01, 6.798974097177626907e-01, 6.455684615459957865e-01, 5.118479162943241345e-01
2.016000000000000000e+03, 7.231636998175747788e-01, 5.449860986806119856e-01, 6.763489797623057909e-01, 8.464330707282153865e-01, 6.874316327103091595e-01, 8.270318384059663908e-01, 7.159360355109578578e-01, 8.741620465523044503e-01, 4.251242984141935799e-01, 6.658716543268358157e-01, 1.167402801744812590e+00, 7.849663302814846588e-01, 6.646471086824681240e-01, 6.754593590018075355e-01, 6.280236355899516676e-01, 7.984793960295940574e-01
2.017000000000000000e+03, 6.455869105804173946e-01, 5.781187042963379374e-01, 6.164484374459084925e-01, 8.544942142867284485e-01, 5.646314242910912551e-01, 1.097239082763565188e+00, 6.918742270422972851e-01, 9.291964553917855252e-01, 5.587937858057574481e-01, 5.075395015551984468e-01, 1.018163439792418856e+00, 8.829822939316911423e-01, 6.778307962622646121e-01, 5.477346199833049711e-01, 5.894548571424516048e-01, 8.513331601169850105e-01
2.018000000000000000e+03, 5.969350107812021466e-01, 5.640151408093035945e-01, 5.103640838201154439e-01, 8.366742437632663787e-01, 5.059337597767431527e-01, 1.095668899886386161e+00, 9.545900218546991001e-01, 7.465432344555006372e-01, 5.319699693245484307e-01, 5.969419439159586727e-01, 1.065134867100965943e+00, 9.395866545688754679e-01, 6.486068254860504201e-01, 6.084646513353646480e-01, 6.751344233264622297e-01, 4.624326735871589489e-01
2.019000000000000000e+03, 6.668587731613905278e-01, 5.953679816152678272e-01, 6.705630176128691833e-01, 8.433123507639539440e-01, 7.348958885275179709e-01, 1.036334386861636592e+00, 8.292807911244771679e-01, 7.686454788677051786e-01, 4.811904519110741796e-01, 6.502285265496204891e-01, 1.092139947164847635e+00, 8.387334557921034550e-01, 6.292755420129368948e-01, 7.625485500918059989e-01, 6.782292331909789418e-01, 4.884466078134096501e-01
2.020000000000000000e+03, 5.410658753681423239e-01, 8.112411484048503985e-01, 6.916993520028867914e-01, 8.532491378428272988e-01, 6.439058858579672640e-01, 9.250242778885603423e-01, 8.181448727176314772e-01, 7.832912266689950886e-01, 6.338181812047178898e-01, 5.067666397417885937e-01, 9.941256907617221916e-01, 9.823496111545354514e-01, 6.322563650095325283e-01, 6.265302768636300534e-01, 5.874354375502706116e-01, 6.109725529546243816e-01
2.021000000000000000e+03, 5.376799272883477920e-01, 5.878151628400182238e-01, 7.736438013953735870e-01, 8.377826984975094149e-01, 4.730318912184242053e-01, 1.009387893593719054e+00, 7.308805192436763631e-01, 8.118698135055263387e-01, 5.461457275669299172e-01, 5.285463481815513287e-01, 8.601738119154767048e-01, 7.410881715905524025e-01, 7.097535725114095806e-01, 5.924785495511039057e-01, 6.471362402017867277e-01, 7.066037412726590139e-01
2.022000000000000000e+03, 5.612367932956637828e-01, 4.293882045141179660e-01, 6.758571412723625160e-01, 8.060049180490755916e-01, 4.938842002321650604e-01, 9.073285956395793495e-01, 8.977592210363498637e-01, 6.659334952945686892e-01, 6.266596991625219548e-01, 4.859164217023413390e-01, 9.613934077733530259e-01, 7.611827504980339665e-01, 7.201358328440455869e-01, 5.400006542730629855e-01, 6.427391070006819307e-01, 6.791699856328177187e-01
2.023000000000000000e+03, 7.345017368685070602e-01, 6.261305321284407199e-01, 7.159203021596264316e-01, 9.168538380098885110e-01, 5.619338402792866116e-01, 8.162300168830369795e-01, 9.000446038699104756e-01, 6.487538197211286661e-01, 3.972205287923861183e-01, 5.251678682041432955e-01, 8.618172072138073903e-01, 9.101875928221583312e-01, 6.658251249156742491e-01, 5.672917712452485439e-01, 8.579146340385983560e-01, 5.691008195867794939e-01
2.024000000000000000e+03, 7.939167190765029636e-01, 7.994284910476791017e-01, 6.496316997904477697e-01, 9.058484724453883530e-01, 5.315248697719580084e-01, 8.170108413423183835e-01, 8.253897035219032174e-01, 9.240455862577614532e-01, 3.325265140229461958e-01, 5.863931194494919064e-01, 8.359057893801722372e-01, 7.356456454586379756e-01, 6.812536072028455569e-01, 6.904513310596681608e-01, 7.199546770718937561e-01, 7.326002323762876856e-01
2.025000000000000000e+03, 5.291335703715054350e-01, 6.033976568067537238e-01, 6.020317470573542940e-01, 8.273926253687429178e-01, 6.857843147447763021e-01, 1.001936933061104762e+00, 7.653553259750659477e-01, 8.792021432385327406e-01, 3.766894929817610205e-01, 5.622865239319021491e-01, 1.114234488163676318e+00, 7.306941635381807298e-01, 6.696703674856605559e-01, 5.763030170098667471e-01, 6.831822363371325979e-01, 6.936918794594557625e-01
2.026000000000000000e+03, 6.541974518842407216e-01, 7.769700781919843813e-01, 8.029429680799486935e-01, 7.757123413224803476e-01, 5.905105164915299687e-01, 9.575280027448854758e-01, 8.464706591912072309e-01, 9.175679892758716871e-01, 4.733392676441957048e-01, 6.158794961515202671e-01, 8.682079955311414743e-01, 9.426033571776941677e-01, 7.722623756225239777e-01, 7.395807560758033139e-01, 6.415036836575374046e-01, 5.515433654927099916e-01
2.027000000000000000e+03, 7.237666848662757113e-01, 6.654252275840952802e-01, 8.068122789287203167e-01, 1.069583705574445043e+00, 6.375264344188090737e-01, 1.094301088643310882e+00, 7.488154058480610553e-01, 7.773924533533270731e-01, 5.768076931229764170e-01, 6.854811102948169532e-01, 1.062879594681722439e+00, 8.767983144651435579e-01, 7.471451855106883144e-01, 7.814037033769087870e-01, 7.720744590688246589e-01, 5.451024067761552905e-01
2.028000000000000000e+03, 7.117178214026069760e-01, 5.891602926155271591e-01, 5.812920736745378347e-01, 9.113124234763427811e-01, 6.014777696813180530e-01, 1.003733815429930010e+00, 8.834521181122243494e-01, 8.268176277797936180e-01, 6.758049600311316629e-01, 6.254020979673804437e-01, 9.196473209112212555e-01, 9.217195865071895478e-01, 6.125797422965995054e-01, 7.356829691277169125e-01, 7.779862069602007102e-01, 5.763983608881873000e-01
2.029000000000000000e+03, 6.410037066037946873e-01, 4.050074284455153495e-01, 6.246426767785250300e-01, 8.224896107681795021e-01, 6.486808707126754392e-01, 1.210242435349664136e+00, 7.788768245393146161e-01, 7.221701433924894165e-01, 4.563711953914891817e-01, 5.407038634007690359e-01, 8.663854298925836028e-01, 7.840982185328108089e-01, 6.609119209237421799e-01, 5.836853926593420505e-01, 6.639725654290735690e-01, 5.591172356528726350e-01
2.030000000000000000e+03, 6.516770400261685525e-01, 5.012020763920447264e-01, 5.966280794878213722e-01, 6.905112250083842440e-01, 7.869386965949659585e-01, 8.760002177916761390e-01, 7.372756021893349665e-01, 5.851319941692676441e-01, 4.324535239027858524e-01, 5.423832049442075531e-01, 1.093963532690299445e+00, 7.606466923821406656e-01, 6.386570442945566084e-01, 4.514482206508683704e-01, 6.742558979608154202e-01, 5.280439275516497499e-01
2.031000000000000000e+03, 6.673536485015792996e-01, 5.810407009526126210e-01, 6.232818068216298135e-01, 9.448923363822370192e-01, 4.625219267996354966e-01, 7.866613471935882673e-01, 9.237686656363420790e-01, 7.277320607208739300e-01, 4.562454412095976464e-01, 5.359016868479351547e-01, 9.880694539700285439e-01, 1.041148251458004825e+00, 5.906567727640915644e-01, 6.995002972934919461e-01, 6.364125890527791984e-01, 6.356801263452588335e-01
2.032000000000000000e+03, 5.742007183274179249e-01, 5.800944677793560267e-01, 6.680045519105775043e-01, 9.642079249522639284e-01, 5.763413140307175331e-01, 9.382491736224517487e-01, 9.206490462564972388e-01, 7.302711908650363348e-01, 4.955396905904843052e-01, 5.333078219061466729e-01, 8.569427330056300640e-01, 1.060572332478647128e+00, 6.667724600594180373e-01, 7.383295593309170401e-01, 5.565221677842135950e-01, 8.196200633653312195e-01
2.033000000000000000e+03, 4.727851341514340278e-01, 6.406517360235872705e-01, 8.047643703108336988e-01, 9.219219218870536858e-01, 6.230797335651265811e-01, 9.311105810455209131e-01, 7.948472902481553692e-01, 8.841133632215922855e-01, 5.902833476640011456e-01, 4.438925271069652512e-01, 9.159330456589879210e-01, 7.731120097577572903e-01, 5.818575429138145294e-01, 7.546070892153797782e-01, 5.910383427158747427e-01, 4.612102500950795436e-01
