year, INM-CM4-8, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, TaiESM1, NorESM2-MM, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-LM
2.015000000000000000e+03, 2.889473049236293036e+02, 2.889422528542264672e+02, 2.892350541455539883e+02, 2.889628568268234972e+02, 2.912700521469866999e+02, 2.901616388344486381e+02, 2.898666024373478649e+02, 2.927393385035027222e+02, 2.893574488341373012e+02, 2.880581520122460120e+02, 2.914101716720102786e+02, 2.894841235109985860e+02, 2.893947441962644689e+02, 2.902703401712540767e+02, 2.891143335551549853e+02, 2.911775697636583118e+02
2.016000000000000000e+03, 2.887771305216652422e+02, 2.892406303826846283e+02, 2.896865146645962454e+02, 2.888200555287056090e+02, 2.915512862239057199e+02, 2.900005369607514467e+02, 2.902895880918102307e+02, 2.921280146850760957e+02, 2.893615822796618886e+02, 2.880335768092749049e+02, 2.916845735121703456e+02, 2.890985083298049290e+02, 2.882367345406345294e+02, 2.902135453416877908e+02, 2.889024179164333646e+02, 2.902120989412699146e+02
2.017000000000000000e+03, 2.893750374933443936e+02, 2.894733428612419175e+02, 2.895051599096062773e+02, 2.886631951653159263e+02, 2.905008669378738091e+02, 2.906574665491533551e+02, 2.906769490726145477e+02, 2.921611233335543147e+02, 2.893280578824351892e+02, 2.875751637051040461e+02, 2.911973649268991267e+02, 2.895054861501935761e+02, 2.892248592846780753e+02, 2.906700038733283122e+02, 2.890468779863405757e+02, 2.912328306763947694e+02
2.018000000000000000e+03, 2.895974449715038190e+02, 2.894619255952182471e+02, 2.892752734838189212e+02, 2.892337223811545641e+02, 2.914437166757231807e+02, 2.903799883607952097e+02, 2.899009464374042864e+02, 2.925618557501144892e+02, 2.894509306949711345e+02, 2.878560296421646285e+02, 2.914121722982063716e+02, 2.890534133654011271e+02, 2.898165478380759623e+02, 2.901477093154750264e+02, 2.887706140101286110e+02, 2.914517942017582186e+02
2.019000000000000000e+03, 2.890069444480485004e+02, 2.894860653765037455e+02, 2.888183828967924001e+02, 2.897827019996922786e+02, 2.915282576193519617e+02, 2.902724763309761329e+02, 2.898180504469123662e+02, 2.924671389568729865e+02, 2.890659403560252372e+02, 2.877651449328777176e+02, 2.913621429531688705e+02, 2.893058834109067448e+02, 2.895220254995143137e+02, 2.900572540003859672e+02, 2.884701992426058723e+02, 2.912883808359213162e+02
2.020000000000000000e+03, 2.891383085473726169e+02, 2.891764757366243543e+02, 2.890389689455684561e+02, 2.893978671569665266e+02, 2.914891158702490657e+02, 2.894129103064509536e+02, 2.908889734730850591e+02, 2.922909135445187871e+02, 2.891047519121017331e+02, 2.877583129013099779e+02, 2.907604450189706426e+02, 2.889613745634360384e+02, 2.890979590564843420e+02, 2.907316187396643272e+02, 2.890430144251407114e+02, 2.913797247218907955e+02
2.021000000000000000e+03, 2.888235770629249259e+02, 2.898526295684877709e+02, 2.894678529583038085e+02, 2.889945424730009336e+02, 2.913933355176226883e+02, 2.901835881033774740e+02, 2.904514793371830024e+02, 2.931672429239025632e+02, 2.894602901228024052e+02, 2.881444947423640315e+02, 2.913229080966158335e+02, 2.893617010323998215e+02, 2.888680941383037748e+02, 2.916848404572829736e+02, 2.889522346252197167e+02, 2.912567837809897924e+02
2.022000000000000000e+03, 2.890597689880397070e+02, 2.899515489013783167e+02, 2.893560771659676334e+02, 2.896934573164581934e+02, 2.913285336340576350e+02, 2.902433869580924579e+02, 2.900090744083029790e+02, 2.933576704750077511e+02, 2.891602180429607074e+02, 2.876392648616442216e+02, 2.903743321021021870e+02, 2.898076776342099947e+02, 2.897367696858165687e+02, 2.909210362280759341e+02, 2.896941075943097985e+02, 2.910462419876691911e+02
2.023000000000000000e+03, 2.890400211868603719e+02, 2.899865320969540790e+02, 2.893187951236257049e+02, 2.897216939424321254e+02, 2.916981129554053496e+02, 2.901755155561402262e+02, 2.901623327381918784e+02, 2.930058248581329394e+02, 2.885119062751277852e+02, 2.879247429806889613e+02, 2.910721884216251851e+02, 2.897037384085382428e+02, 2.898623497417807471e+02, 2.902046362910614334e+02, 2.894107256352144191e+02, 2.908344438661665095e+02
2.024000000000000000e+03, 2.891152733325882309e+02, 2.894334116425400794e+02, 2.892975379753007701e+02, 2.893119427418475311e+02, 2.915172262142070849e+02, 2.904350772532874885e+02, 2.905422309031480950e+02, 2.932551382756560656e+02, 2.891634879318533535e+02, 2.882919359897823597e+02, 2.911172672516496505e+02, 2.898330091346686572e+02, 2.901679442821916268e+02, 2.906649712326399708e+02, 2.892577167751774709e+02, 2.899479634239842198e+02
