year, IPSL-CM6A-LR, CanESM5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5
1.850000000000000000e+03, 3.583912220504836910e+01, 1.226883615849122577e+02, 9.657598244037413338e+01, 1.991558964927843078e+02, 1.335702721573061353e+02, 9.719083218063269669e+01, 1.341646858935549176e+02, 6.613536233724941837e+01, 5.550502083819481669e+01, 9.179152963312922964e+01, 4.110497197439092787e+01, 8.985550866738778097e+01, 1.098610901789480465e+02, 2.686608096256720160e+02
1.851000000000000000e+03, 3.584364359413620349e+01, 1.226940961387653317e+02, 9.658397376715153371e+01, 1.992685078324925314e+02, 1.335576063508621871e+02, 9.718792846998351820e+01, 1.341502432068698170e+02, 6.621239830444238805e+01, 5.554728299015997806e+01, 9.172408264063956551e+01, 4.107614434666458436e+01, 8.988793743280363913e+01, 1.097526710210719330e+02, 2.686647395012772108e+02
1.852000000000000000e+03, 3.584452507472572336e+01, 1.226885009409825358e+02, 9.657262256754727048e+01, 1.992306725839176806e+02, 1.335600232735726252e+02, 9.721403495720169019e+01, 1.341189352621738919e+02, 6.613936617177631661e+01, 5.561923365769038696e+01, 9.169185813625290393e+01, 4.103514053993543342e+01, 8.992264817089750295e+01, 1.096539091191289828e+02, 2.686441254598058777e+02
1.853000000000000000e+03, 3.583880917435244129e+01, 1.226870263232393086e+02, 9.657270609834505137e+01, 1.992237791516370464e+02, 1.335478502790284665e+02, 9.722326572095593633e+01, 1.341095954988622339e+02, 6.618514883168039376e+01, 5.552269386419511932e+01, 9.170808443984290648e+01, 4.105018651874620161e+01, 8.993755298888457617e+01, 1.095990360209397494e+02, 2.686680469980752832e+02
1.854000000000000000e+03, 3.583041131592497663e+01, 1.227004812988769373e+02, 9.658953476131021887e+01, 1.990077484243250581e+02, 1.335515053245937338e+02, 9.722135072783154897e+01, 1.341375037852363903e+02, 6.620623544116683945e+01, 5.552836652982843191e+01, 9.173659597051708658e+01, 4.101992686510939734e+01, 8.993265199535488819e+01, 1.095967373779819241e+02, 2.687513471105281155e+02
1.855000000000000000e+03, 3.582708405653968242e+01, 1.227118498237083060e+02, 9.658664611868390182e+01, 1.988982620438292201e+02, 1.335585506646715714e+02, 9.722787105412965047e+01, 1.341526267517202200e+02, 6.618702023288878422e+01, 5.554246490230462285e+01, 9.174599242993036796e+01, 4.100267961887404766e+01, 8.993206173016639582e+01, 1.096198632437013742e+02, 2.687299772038016386e+02
1.856000000000000000e+03, 3.582555785548731109e+01, 1.227205187033236200e+02, 9.656858423306812256e+01, 1.989803456663900363e+02, 1.335681754604973719e+02, 9.721493619158283650e+01, 1.341520221194438989e+02, 6.619879951963746123e+01, 5.559001362984589889e+01, 9.174861303234506238e+01, 4.100105985253189544e+01, 8.993339176901818632e+01, 1.096259713243833858e+02, 2.687231739459207915e+02
1.857000000000000000e+03, 3.582953123105434656e+01, 1.227128896245730800e+02, 9.654325938917183692e+01, 1.989198999296625061e+02, 1.335455067612750497e+02, 9.719617760488185354e+01, 1.341583993411713891e+02, 6.617106365985802086e+01, 5.564197516602117588e+01, 9.174809034116331929e+01, 4.101019365476111034e+01, 8.995128337189855472e+01, 1.096559820853826182e+02, 2.687409507593781655e+02
1.858000000000000000e+03, 3.582476609407640211e+01, 1.227138038856328706e+02, 9.655850425579701835e+01, 1.990072346767593103e+02, 1.335271291093653758e+02, 9.720576527575801151e+01, 1.341768152169262578e+02, 6.623448783625231329e+01, 5.565420457823417166e+01, 9.170992914245488237e+01, 4.097988413695297538e+01, 8.995960083573724830e+01, 1.096351904680375355e+02, 2.687419851899570062e+02
1.859000000000000000e+03, 3.581718587064403891e+01, 1.227285407816679310e+02, 9.661213936875616071e+01, 1.989595267414953526e+02, 1.335010395414749382e+02, 9.724009266124326700e+01, 1.341749514242384009e+02, 6.621045434396037876e+01, 5.566133848542551021e+01, 9.166377031465771097e+01, 4.098297946054351826e+01, 8.996726473956071857e+01, 1.095825060454009758e+02, 2.687195204966261599e+02
