year, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
1.850000000000000000e+03, 2.714516510676447950e-10, 2.478229869723831558e-10, 1.721655593008911229e-10, 1.423269405071705469e-10, 2.714516510676447950e-10, 3.612252786739912390e-10, 2.663220952303718607e-10, 2.663220952303718607e-10, 2.376118574246993935e-10, 2.478229869723831558e-10, 2.397004966627271148e-10, 3.602014794318553217e-10
1.851000000000000000e+03, 2.054723646216295490e-10, 1.693832566750506530e-10, 1.616999845733083216e-10, 1.088569030129623613e-10, 2.054723646216295490e-10, 3.545648964374145527e-10, 2.397294221238726213e-10, 2.397294221238726213e-10, 1.873431540129070881e-10, 1.693832566750506530e-10, 5.284110886854014892e-10, 3.535634888199867929e-10
1.852000000000000000e+03, 1.675392267595037221e-10, 1.758396883488161040e-10, 1.734663234404261909e-10, 7.496237366912123374e-11, 1.675392267595037221e-10, 5.159361496593956565e-10, 1.970385118871724023e-10, 1.970385118871724023e-10, 1.885038068776964631e-10, 1.758396883488161040e-10, 1.088528441042066670e-09, 5.149771964624288835e-10
1.853000000000000000e+03, 2.405520532259462729e-10, 1.347439361529222390e-10, 1.307407125353995821e-10, 2.193338930270555255e-10, 2.405520532259462729e-10, 3.822270838771990198e-10, 3.406494243027649949e-10, 3.406494243027649949e-10, 1.710690016523892021e-10, 1.347439361529222390e-10, 2.947656009910527434e-10, 3.812561827434150466e-10
1.854000000000000000e+03, 2.145245999642140912e-10, 1.473356905820163880e-10, 2.137109469768418268e-10, 1.840351707351933032e-10, 2.145245999642140912e-10, 6.999671129011886180e-10, 3.802096290864508532e-10, 3.802096290864508532e-10, 3.561705869896464185e-10, 1.473356905820163880e-10, 3.530265637974247363e-10, 6.989542143940452338e-10
1.855000000000000000e+03, 2.834750271521802865e-10, 1.699240538152843337e-10, 1.577160057446952089e-10, 2.488722048493198383e-10, 2.834750271521802865e-10, 3.446703004763171723e-10, 3.298861781823917110e-10, 3.298861781823917110e-10, 2.157298740696784178e-10, 1.699240538152843337e-10, 2.783243472567242760e-10, 3.437199416479010681e-10
1.856000000000000000e+03, 1.505195858929448062e-10, 1.271072933745760183e-10, 2.454896801246983236e-10, 6.619643425407204637e-10, 1.505195858929448062e-10, 1.995335335100424596e-10, 2.284977801219286685e-10, 2.284977801219286685e-10, 1.257360957903268451e-10, 1.271072933745760183e-10, 3.019427194962302691e-10, 1.985564968032409754e-10
1.857000000000000000e+03, 2.494076513751464047e-10, 2.030720952596970019e-10, 1.643408827293357475e-10, 2.442425452985331960e-10, 2.494076513751464047e-10, 3.406268281852526770e-10, 1.547036079411654944e-10, 1.547036079411654944e-10, 1.106458815696089978e-10, 2.030720952596970019e-10, 2.003880684382603106e-10, 3.397368088025440981e-10
1.858000000000000000e+03, 3.140028683337778488e-10, 1.698475706801044550e-10, 2.010794339055958557e-10, 3.460552475119100743e-10, 3.140028683337778488e-10, 5.046536257223794420e-10, 2.906413783997168828e-10, 2.906413783997168828e-10, 3.397368195450936320e-10, 1.698475706801044550e-10, 2.328092441127795867e-10, 5.037155403020775489e-10
1.859000000000000000e+03, 4.564259714535401587e-10, 9.672783852418861044e-11, 1.220257415248650281e-10, 1.620938585342251347e-10, 4.564259714535401587e-10, 3.319862738938009338e-10, 1.466483953284891278e-10, 1.466483953284891278e-10, 2.185074601748565311e-10, 9.672783852418861044e-11, 2.879468911262833054e-10, 3.311136282227432550e-10
1.860000000000000000e+03, 3.422788018954572948e-10, 1.814526289353794258e-10, 2.187752442582749847e-10, 1.204847657778330962e-10, 3.422788018954572948e-10, 1.941654122340829379e-10, 2.625714922070583641e-10, 2.625714922070583641e-10, 9.726331580093510506e-11, 1.814526289353794258e-10, 3.038187880690930417e-10, 1.932923176304413119e-10
1.861000000000000000e+03, 3.505858924508171640e-10, 1.410411495897825128e-10, 2.276516173383145247e-10, 1.460474626386046788e-10, 3.505858924508171640e-10, 5.191247936762526506e-10, 3.415234818678675719e-10, 3.415234818678675719e-10, 1.043356514598526974e-10, 1.410411495897825128e-10, 3.088842340085119715e-10, 5.182544823809595138e-10
1.862000000000000000e+03, 1.684662802005094712e-10, 1.496914477960689447e-10, 1.601329520334814715e-10, 1.792996968958731249e-10, 1.684662802005094712e-10, 5.565070747745452783e-10, 3.359878858477871114e-10, 3.359878858477871114e-10, 2.359024853430385087e-10, 1.496914477960689447e-10, 2.412070397729547777e-10, 5.556244524294459637e-10
1.863000000000000000e+03, 1.918648973381943961e-10, 2.594557383659159166e-10, 1.953088023789448952e-10, 3.079450818024705088e-10, 1.918648973381943961e-10, 3.641540925459268363e-10, 2.155150339040780281e-10, 2.155150339040780281e-10, 2.820069563501300092e-10, 2.594557383659159166e-10, 4.766478835443675636e-10, 3.633179965668307868e-10
