year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.516464680599327681e-10, 5.883072603897390739e-10
1.851000000000000000e+03, 1.599659534321215312e-10, 5.947786915516465313e-10
1.852000000000000000e+03, 1.574602622830304458e-10, 5.490769849379357501e-10
1.853000000000000000e+03, 1.563158664998628541e-10, 5.832639315893076489e-10
1.854000000000000000e+03, 1.534453627131743367e-10, 5.684359965865010842e-10
1.855000000000000000e+03, 1.539390629810989706e-10, 5.747114690155802182e-10
1.856000000000000000e+03, 1.528999388685548036e-10, 5.988133451718216822e-10
1.857000000000000000e+03, 1.464847330163841277e-10, 5.889063025752976372e-10
1.858000000000000000e+03, 1.583067117194374833e-10, 5.861717110213816519e-10
1.859000000000000000e+03, 1.537817301924831592e-10, 5.930424196676956752e-10
1.860000000000000000e+03, 1.575025077784691663e-10, 5.703443698351136884e-10
1.861000000000000000e+03, 1.453743153693702914e-10, 5.760417460797887774e-10
1.862000000000000000e+03, 1.541648766547398837e-10, 5.317069443254650802e-10
1.863000000000000000e+03, 1.386296506307117579e-10, 5.641738852833711549e-10
1.864000000000000000e+03, 1.576131421246214318e-10, 5.711549952436656510e-10
1.865000000000000000e+03, 1.537878787511597118e-10, 5.949370777540869031e-10
1.866000000000000000e+03, 1.524580073014340786e-10, 6.064951230327803745e-10
1.867000000000000000e+03, 1.497337595491793109e-10, 6.125375249043793411e-10
1.868000000000000000e+03, 1.546811079542538578e-10, 6.296663822222491107e-10
1.869000000000000000e+03, 1.491303544314892706e-10, 6.059897824125405458e-10
1.870000000000000000e+03, 1.374124278750460187e-10, 5.829443913055664252e-10
1.871000000000000000e+03, 1.367346599747267155e-10, 5.955322284522465542e-10
1.872000000000000000e+03, 1.421289840431656573e-10, 6.211727015695935849e-10
1.873000000000000000e+03, 1.514995932756417683e-10, 5.944090292370256003e-10
1.874000000000000000e+03, 1.496742115971559721e-10, 5.748765375513672094e-10
1.875000000000000000e+03, 1.351782375739432509e-10, 5.631428330941762774e-10
1.876000000000000000e+03, 1.553628508978693199e-10, 5.816730837084178675e-10
1.877000000000000000e+03, 1.358829103639058965e-10, 5.695611068890522239e-10
1.878000000000000000e+03, 1.382347068838752483e-10, 5.798587080619921774e-10
1.879000000000000000e+03, 1.298185932821557589e-10, 5.807689825132597235e-10
1.880000000000000000e+03, 1.345380989824429391e-10, 5.365998399261529323e-10
1.881000000000000000e+03, 1.433670392815075488e-10, 6.221967095360185826e-10
1.882000000000000000e+03, 1.375160882160652863e-10, 6.107213894731951634e-10
1.883000000000000000e+03, 1.433643903064054291e-10, 5.677923868528069578e-10
1.884000000000000000e+03, 1.322662169637908211e-10, 5.675856458047056384e-10
1.885000000000000000e+03, 1.330737011759900647e-10, 5.801738462392730382e-10
1.886000000000000000e+03, 1.420264523989815406e-10, 5.971304494940242935e-10
1.887000000000000000e+03, 1.418298901074919566e-10, 6.097078658891783769e-10
1.888000000000000000e+03, 1.665684206226424657e-10, 6.239518577774829620e-10
1.889000000000000000e+03, 1.508265332215463357e-10, 5.735202220087597776e-10
1.890000000000000000e+03, 1.506663990280512234e-10, 5.310197554155003046e-10
1.891000000000000000e+03, 1.606408142533042283e-10, 5.960375147477961832e-10
1.892000000000000000e+03, 1.657587475982087587e-10, 6.058132741106535688e-10
1.893000000000000000e+03, 1.538788224635845027e-10, 6.246367828565234404e-10
1.894000000000000000e+03, 1.746435308458400102e-10, 6.063538964357423117e-10
1.895000000000000000e+03, 1.622851563974195566e-10, 6.284349730284522372e-10
1.896000000000000000e+03, 1.544344603629404277e-10, 5.946437290287844912e-10
1.897000000000000000e+03, 1.683475752578459179e-10, 6.307333774294837356e-10
1.898000000000000000e+03, 1.880965078598723237e-10, 5.871389765921525747e-10
1.899000000000000000e+03, 1.681610111704896657e-10, 5.892763720834708012e-10
1.900000000000000000e+03, 1.808340568078471005e-10, 6.273565097575777196e-10
1.901000000000000000e+03, 1.786436891596566309e-10, 5.910721150541242049e-10
1.902000000000000000e+03, 1.878131967230870980e-10, 5.867577022223132971e-10
1.903000000000000000e+03, 2.040151777786081645e-10, 5.651514034970791159e-10
1.904000000000000000e+03, 2.027996297383808602e-10, 5.722497602288580555e-10
1.905000000000000000e+03, 1.842064121914753542e-10, 6.289276972719707573e-10
1.906000000000000000e+03, 1.686395264627785721e-10, 6.415026544497748070e-10
1.907000000000000000e+03, 1.921821106781019015e-10, 6.137709281452544244e-10
1.908000000000000000e+03, 1.894575673907893655e-10, 6.255351602747202686e-10
1.909000000000000000e+03, 1.921767592849912237e-10, 6.054533598069971414e-10
1.910000000000000000e+03, 1.754072554431539646e-10, 6.053892034863097200e-10
1.911000000000000000e+03, 1.957948046635187254e-10, 5.730163651350850994e-10
1.912000000000000000e+03, 1.751647339000836115e-10, 6.064166677723705717e-10
